date,open,high,low,close,volume,is_anomaly
2026-09-18,1570.01,1588.0,1552.0,1573.0,531,False
2026-09-17,1588.76,1588.77,1572.11,1575.69,5906,False
2026-09-16,1582.46,1599.0,1565.01,1581.19,1232,False
2026-09-15,1580.0,1600.0,1550.0,1582.46,2367,False
2026-09-14,1588.98,1598.0,1575.1,1580.46,2460,False
2026-09-11,1590.0,1590.0,1564.0,1582.6,3286,False
2026-09-10,1588.12,1600.0,1570.0,1595.48,3511,False
2026-09-09,1587.5,1596.9,1587.5,1592.45,583,False
2026-09-08,1590.03,1599.48,1575.0,1588.14,2605,False
2026-09-07,1600.14,1609.98,1592.05,1600.05,1932,False
2026-09-04,1590.0,1603.9,1550.0,1600.14,30652,False
2026-09-03,1584.0,1600.0,1580.0,1583.11,2183,False
2026-09-02,1594.02,1594.02,1581.0,1584.19,1830,False
2026-09-01,1598.96,1598.97,1590.0,1594.02,1300,False
2026-08-31,1608.98,1608.98,1590.0,1591.75,1218,False
2026-08-28,1590.7,1609.95,1590.7,1596.3,1580,False
2026-08-27,1585.0,1600.0,1584.88,1590.69,1759,False
2026-08-25,1599.5,1599.5,1580.0,1584.88,3163,False
2026-08-24,1602.0,1603.25,1595.05,1599.48,1411,False
2026-08-21,1602.52,1607.99,1600.0,1603.25,2684,False
2026-08-20,1602.0,1619.97,1602.0,1605.27,3855,False
2026-08-19,1612.68,1615.0,1600.12,1601.29,1913,False
2026-08-18,1618.83,1620.0,1600.3,1612.68,1635,False
2026-08-17,1620.02,1626.97,1616.06,1618.83,3330,False
2026-08-13,1628.47,1628.47,1620.0,1626.19,1398,False
2026-08-12,1630.0,1630.0,1619.0,1622.33,1737,False
2026-08-11,1635.99,1635.99,1601.6,1624.65,3128,False
2026-08-10,1625.9,1631.49,1624.0,1629.77,1606,False
2026-08-07,1626.0,1634.99,1620.0,1622.86,3632,False
2026-08-06,1632.88,1640.0,1625.0,1625.67,11018,False
2026-08-05,1632.0,1632.0,1625.0,1625.17,2557,False
2026-08-04,1636.99,1636.99,1621.13,1623.43,1657,False
2026-08-03,1642.0,1647.0,1627.01,1631.2,3403,False
2026-07-31,1635.0,1650.0,1635.0,1638.2,2665,False
2026-07-30,1631.14,1670.0,1631.0,1634.7,6523,False
2026-07-29,1628.98,1636.0,1620.01,1631.14,2101,False
2026-07-28,1635.04,1639.94,1625.0,1628.98,3180,False
2026-07-27,1655.0,1655.0,1632.13,1634.97,6305,False
2026-07-24,1640.11,1654.0,1620.0,1630.75,2313,False
2026-07-23,1633.0,1649.0,1633.0,1638.92,2155,False
2026-07-22,1645.34,1656.9,1630.0,1643.95,1783,False
2026-07-21,1650.0,1657.0,1642.11,1645.34,1971,False
