date,open,high,low,close,volume,is_anomaly
2026-09-18,224.0,224.0,215.05,219.98,5833,False
2026-09-17,229.75,232.7,227.01,229.45,54822,False
2026-09-16,226.0,230.0,225.01,227.38,29670,False
2026-09-15,229.9,229.9,225.1,226.11,11449,False
2026-09-14,225.74,231.0,224.52,224.92,70351,False
2026-09-11,223.0,228.9,220.0,225.74,81916,False
2026-09-10,229.37,229.9,220.0,224.57,19091,False
2026-09-09,229.9,230.0,226.51,229.37,4957,False
2026-09-08,229.9,229.9,218.0,227.33,4576,False
2026-09-07,226.1,230.25,226.1,229.67,6195,False
2026-09-04,231.0,231.0,226.05,229.67,5669,False
2026-09-03,227.0,231.0,226.21,229.86,5684,False
2026-09-02,228.0,233.0,208.0,226.81,13061,False
2026-09-01,233.0,235.0,229.0,230.1,6523,False
2026-08-31,232.0,235.0,230.03,234.34,15968,False
2026-08-28,233.0,234.9,230.02,231.04,14995,False
2026-08-27,227.0,237.79,227.0,232.05,21223,False
2026-08-25,226.0,229.0,226.0,226.41,11722,False
2026-08-24,227.31,228.0,224.0,226.26,30058,False
2026-08-21,224.0,228.0,220.2,227.31,21386,False
2026-08-20,235.07,247.99,215.0,225.24,193114,False
2026-08-19,225.58,238.0,225.58,235.07,33648,False
2026-08-18,232.39,233.49,230.01,231.02,4128,False
2026-08-17,234.99,234.99,231.5,232.39,9442,False
2026-08-13,231.0,233.95,230.0,232.7,9394,False
2026-08-12,231.0,232.0,225.58,230.07,1015,False
2026-08-11,231.0,232.0,225.0,230.62,3816,False
2026-08-10,231.0,235.8,230.16,230.55,4800,False
2026-08-07,233.0,235.5,230.01,230.15,2385,False
2026-08-06,234.8,234.8,230.0,231.67,3046,False
2026-08-05,234.0,234.9,230.01,232.93,1159,False
2026-08-04,235.58,238.0,232.0,232.17,2048,False
2026-08-03,236.0,240.0,235.0,235.58,3769,False
2026-07-31,242.0,242.0,235.0,235.41,10370,False
2026-07-30,226.5,241.0,226.5,239.91,82517,False
2026-07-29,226.89,228.0,225.0,226.16,8958,False
2026-07-28,225.0,228.0,225.0,225.02,3210,False
2026-07-27,224.0,226.4,224.0,224.95,2416,False
2026-07-24,222.0,224.0,219.0,222.91,1829,False
2026-07-23,225.22,227.0,220.0,222.84,2000,False
2026-07-22,227.99,227.99,225.0,225.29,2691,False
2026-07-21,229.9,230.0,225.0,226.59,6358,False
2026-07-20,231.0,231.0,227.0,227.29,4594,False
2026-07-17,232.43,232.43,227.01,230.51,9636,False
2026-07-16,238.99,238.99,232.0,232.43,20312,False
2026-07-15,222.0,230.49,221.5,229.98,54136,False
2026-07-14,223.0,223.0,219.0,222.03,13805,False
2026-07-13,224.0,227.0,222.01,224.21,7603,False
2026-07-10,227.58,230.5,222.65,224.24,46985,False
2026-07-09,225.0,227.0,220.15,225.67,28441,False
2026-07-08,220.63,228.0,218.1,226.48,77721,False
2026-07-07,222.25,223.0,219.25,220.63,21166,False
2026-07-06,227.0,227.0,219.0,221.81,30165,False
2026-07-03,227.62,227.62,222.82,224.99,14000,False
2026-07-02,229.3,229.99,224.1,226.38,19370,False
2026-07-01,218.0,230.99,217.53,229.3,147778,False
2026-06-30,215.3,217.66,215.1,217.53,18764,False
2026-06-29,216.05,217.74,212.66,215.08,21997,False
2026-06-24,219.49,219.49,215.0,217.84,8434,False
2026-06-23,216.66,219.88,216.0,217.01,7799,False
2026-06-22,217.51,220.0,216.0,216.34,13682,False
2026-06-19,216.5,220.0,216.1,216.65,27407,False
2026-06-18,215.25,218.8,215.25,217.91,32476,False
2026-06-17,215.78,220.0,212.0,217.15,36762,False
2026-06-16,219.57,221.98,214.9,215.78,71461,False
2026-06-15,219.89,223.9,215.01,219.07,18993,False
2026-06-12,222.0,225.0,211.0,216.87,58669,False
2026-06-11,224.99,226.0,211.01,220.03,28971,False
2026-06-10,232.89,232.89,224.41,224.56,32833,False
2026-06-09,231.0,238.0,227.0,229.18,21561,False
2026-06-08,233.0,233.0,228.0,229.71,8546,False
2026-06-05,237.0,245.0,233.0,234.77,57308,False
2026-06-04,223.0,245.0,223.0,235.92,51434,False
2026-06-03,226.0,230.0,223.8,224.06,35867,False
2026-06-02,228.74,230.0,223.0,229.26,13756,False
2026-06-01,234.99,234.99,226.9,229.33,19925,False
2026-05-29,232.0,236.0,221.0,229.35,33162,False
2026-05-25,235.0,241.0,230.01,232.43,165294,False
2026-05-22,203.1,220.63,202.08,220.63,229268,False
2026-05-21,199.9,206.0,197.0,200.57,10332,False
2026-05-20,196.0,200.0,196.0,198.61,10894,False
2026-05-19,197.0,197.0,194.6,195.41,9628,False
2026-05-18,200.02,202.0,192.0,193.37,44264,False
2026-05-15,202.0,204.66,200.99,201.04,11954,False
2026-05-14,201.1,206.0,201.1,202.5,22401,False
2026-05-13,203.98,205.0,199.1,201.14,26255,False
2026-05-12,203.84,223.29,198.6,201.32,133698,False
2026-05-11,198.0,204.5,198.0,202.99,27503,False
2026-05-08,201.0,209.99,201.0,202.34,15546,False
2026-05-07,206.0,206.0,201.88,202.91,32635,False
2026-05-06,199.0,204.0,196.0,200.18,44079,False
2026-05-05,198.0,198.0,185.0,195.99,13358,False
2026-05-04,199.98,204.99,196.01,197.15,24331,False
2026-04-30,199.0,202.5,194.0,196.5,186518,False
2026-04-29,223.94,236.03,200.0,203.62,519505,False
2026-04-28,190.0,214.57,190.0,214.57,113953,False
2026-04-27,197.99,199.0,193.06,195.06,1071,False
2026-04-24,193.1,197.5,187.1,197.03,8768,False
2026-04-23,199.9,199.99,197.0,197.53,4967,False
2026-04-22,200.0,202.0,197.01,200.0,17711,False
2026-04-21,199.51,202.8,199.0,200.32,12233,False
2026-04-20,199.0,202.0,196.5,198.06,23002,False
2026-04-17,205.0,206.0,200.0,203.09,43598,False
2026-04-16,200.0,205.0,196.0,204.83,40360,False
