date,open,high,low,close,volume,is_anomaly
2026-09-18,429.98,438.99,421.02,427.1,736,False
2026-09-17,433.99,435.0,420.02,427.16,1523,False
2026-09-16,434.99,434.99,420.02,425.32,3615,False
2026-09-15,444.89,444.89,430.0,430.97,2412,False
2026-09-14,448.93,448.93,435.0,435.59,1401,False
2026-09-11,442.01,449.9,430.0,437.68,2780,False
2026-09-10,466.98,466.98,442.06,444.14,2599,False
2026-09-09,467.22,468.0,452.01,455.46,1785,False
2026-09-08,467.29,467.49,455.0,458.71,2162,False
2026-09-07,461.17,468.89,460.0,460.57,919,False
2026-09-04,473.49,474.5,460.01,463.82,1554,False
2026-09-03,477.98,477.98,468.0,469.78,2703,False
2026-09-02,475.05,479.0,470.0,471.13,2631,False
2026-09-01,484.9,484.9,472.11,477.33,2178,False
2026-08-31,477.0,484.99,471.0,480.24,1757,False
2026-08-28,463.03,515.0,460.0,478.33,21990,False
2026-08-27,469.79,469.79,463.51,468.83,3395,False
2026-08-25,466.6,469.98,465.0,466.52,2018,False
2026-08-24,474.3,474.3,463.9,466.65,3021,False
2026-08-21,476.99,476.99,464.2,466.51,2362,False
2026-08-20,476.89,477.89,468.55,471.21,1707,False
2026-08-19,477.09,477.2,470.0,471.81,3860,False
2026-08-18,478.69,480.0,475.0,477.09,2659,False
2026-08-17,482.0,482.99,478.0,478.69,3040,False
2026-08-13,481.25,483.5,479.12,480.13,2826,False
2026-08-12,481.51,486.99,475.0,481.23,4827,False
2026-08-11,484.73,485.0,480.0,480.94,4073,False
2026-08-10,489.99,490.0,482.0,484.73,3234,False
2026-08-07,481.55,491.0,481.55,484.99,5081,False
2026-08-06,487.99,488.0,483.0,483.84,5763,False
2026-08-05,486.1,490.0,485.0,486.51,3478,False
2026-08-04,488.0,488.0,482.01,483.44,1805,False
2026-08-03,490.0,490.0,486.0,487.67,5291,False
2026-07-31,485.8,534.56,482.29,490.24,5743,False
2026-07-30,494.9,495.0,482.5,485.96,11664,False
2026-07-29,493.99,506.0,489.0,499.34,13053,False
2026-07-28,498.89,499.9,485.0,488.2,7330,False
2026-07-27,499.99,509.0,490.02,495.28,6423,False
2026-07-24,490.0,505.0,485.0,488.98,2765,False
2026-07-23,509.59,509.59,487.0,489.8,2779,False
2026-07-22,511.2,513.99,466.0,500.6,15643,False
2026-07-21,518.0,530.0,511.6,518.5,6714,False
2026-07-20,517.0,520.0,501.55,518.35,2874,False
2026-07-17,521.43,528.28,510.0,519.65,3170,False
2026-07-16,518.49,528.75,518.49,521.43,5458,False
2026-07-15,516.93,529.96,515.02,516.05,3724,False
2026-07-14,525.05,529.0,490.0,512.44,8480,False
2026-07-13,530.0,531.0,526.0,528.92,3018,False
2026-07-10,534.0,537.0,529.62,530.43,3491,False
2026-07-09,532.0,534.99,510.0,530.68,3696,False
2026-07-08,536.01,539.0,486.1,531.28,10853,False
2026-07-07,543.0,543.0,536.01,539.16,6883,False
2026-07-06,540.5,543.8,538.0,541.26,11021,False
2026-07-03,545.0,545.0,488.66,540.5,6519,False
2026-07-02,547.0,547.6,540.11,542.95,3913,False
2026-07-01,544.5,549.54,541.0,542.12,11104,False
2026-06-30,550.0,550.0,543.01,544.44,8094,False
