date,open,high,low,close,volume,is_anomaly
2026-09-18,298.5,301.75,298.1,300.49,169026,False
2026-09-17,299.0,302.99,297.5,298.32,281313,False
2026-09-16,306.63,318.9,298.0,300.45,833380,False
2026-09-15,304.0,309.0,299.98,306.63,322470,False
2026-09-14,302.0,309.94,298.1,302.28,359945,False
2026-09-11,298.0,304.0,292.11,302.93,152266,False
2026-09-10,303.3,305.0,298.0,298.83,153307,False
2026-09-09,304.75,306.0,303.0,303.42,150975,False
2026-09-08,305.51,308.0,302.0,304.6,379458,False
2026-09-07,305.0,307.0,303.01,306.64,216296,False
2026-09-04,305.0,306.0,301.0,305.05,187575,False
2026-09-03,300.96,305.05,300.96,304.29,146489,False
2026-09-02,299.0,302.4,298.0,301.96,142565,False
2026-09-01,301.99,304.8,300.05,301.7,72687,False
2026-08-31,301.25,305.04,298.0,301.45,206314,False
2026-08-28,303.0,303.89,300.52,301.2,142763,False
2026-08-27,304.0,307.0,300.15,301.71,149115,False
2026-08-25,299.0,305.15,298.5,304.27,255909,False
2026-08-24,300.0,302.0,299.0,299.26,97371,False
2026-08-21,299.8,300.99,296.0,299.05,97037,False
2026-08-20,301.0,302.48,296.02,298.17,105912,False
2026-08-19,299.99,303.51,299.01,301.86,91079,False
2026-08-18,303.0,304.0,299.86,299.95,128953,False
2026-08-17,305.0,307.49,302.6,303.26,127953,False
2026-08-13,307.0,307.0,301.0,303.59,122173,False
2026-08-12,305.86,307.99,304.3,304.5,106191,False
2026-08-11,311.0,311.0,305.11,305.86,137747,False
2026-08-10,310.0,311.9,307.7,310.98,334886,False
2026-08-07,312.0,312.54,307.5,310.34,225339,False
2026-08-06,312.97,314.93,309.05,311.28,760939,False
2026-08-05,302.55,313.25,302.55,310.45,897491,False
2026-08-04,300.91,305.0,298.0,302.21,268335,False
2026-08-03,303.0,304.05,299.41,300.02,155279,False
2026-07-31,298.83,304.0,298.01,299.66,244899,False
2026-07-30,295.01,303.5,295.01,298.83,435590,False
2026-07-29,298.0,298.69,292.35,296.57,214401,False
2026-07-28,295.0,299.6,293.01,297.77,207573,False
2026-07-27,290.0,297.0,288.0,294.82,297629,False
2026-07-24,282.02,284.98,279.0,284.11,114631,False
2026-07-23,287.99,287.99,283.92,284.36,113521,False
2026-07-22,287.65,291.0,286.34,286.62,92995,False
2026-07-21,286.0,292.0,286.0,287.58,102743,False
2026-07-20,281.0,289.0,281.0,285.12,148167,False
2026-07-17,290.47,295.0,286.9,290.29,300961,False
2026-07-16,286.7,291.59,286.7,290.36,213979,False
2026-07-15,284.51,291.99,284.51,286.69,221830,False
2026-07-14,291.0,292.01,286.0,286.43,357192,False
2026-07-13,296.0,297.0,293.11,294.42,231676,False
2026-07-10,297.99,300.3,296.0,298.67,171681,False
2026-07-09,292.52,299.0,291.06,298.47,268202,False
2026-07-08,301.67,302.0,292.5,296.51,449579,False
2026-07-07,304.1,304.97,301.95,302.39,150137,False
2026-07-06,302.55,306.0,300.56,303.29,392545,False
2026-07-03,305.0,305.0,300.15,302.52,325812,False
2026-07-02,305.0,306.0,303.5,304.01,328348,False
2026-07-01,305.2,307.0,304.0,305.21,317997,False
2026-06-30,306.5,308.5,304.0,304.95,267639,False
2026-06-29,310.22,311.75,303.6,304.53,493675,False
2026-06-24,309.99,312.5,308.65,310.22,440165,False
2026-06-23,314.5,314.85,307.0,308.65,554519,False
2026-06-22,310.0,314.51,308.0,312.38,1349413,False
2026-06-19,619.5,621.98,601.0,607.26,328173,False
2026-06-18,633.0,634.88,615.06,617.83,656326,False
2026-06-17,599.8,636.99,595.0,627.91,1484426,False
2026-06-16,578.48,596.24,574.02,593.46,847711,False
2026-06-15,580.0,581.5,568.11,573.93,451886,False
2026-06-12,558.0,569.0,558.0,566.09,209941,False
2026-06-11,555.0,558.3,553.1,555.92,48599,False
2026-06-10,558.0,560.0,555.5,557.44,65587,False
2026-06-09,555.05,563.0,555.01,558.69,169118,False
2026-06-08,558.0,559.79,551.01,552.63,115367,False
2026-06-05,561.0,565.0,561.0,563.63,146045,False
2026-06-04,560.0,563.0,556.1,558.37,163179,False
2026-06-03,564.43,564.43,559.11,560.5,113064,False
2026-06-02,567.79,569.5,563.0,564.43,104605,False
2026-06-01,570.0,572.0,563.0,567.79,257960,False
2026-05-29,551.0,572.48,551.0,569.57,754805,False
2026-05-25,550.0,554.9,546.44,550.38,276210,False
2026-05-22,557.0,558.99,545.5,546.44,212118,False
2026-05-21,556.0,558.19,554.0,554.58,171043,False
2026-05-20,553.25,555.0,551.0,553.16,105980,False
2026-05-19,560.0,562.5,552.52,553.25,113291,False
2026-05-18,560.15,564.0,552.5,553.25,134815,False
2026-05-15,569.9,569.98,562.0,564.55,89908,False
2026-05-14,569.0,572.0,563.0,566.24,119892,False
2026-05-13,577.0,581.0,551.0,567.0,306243,False
2026-05-12,576.0,587.5,574.1,576.11,889287,False
2026-05-11,569.71,580.0,565.56,573.82,318603,False
2026-05-08,565.0,579.94,565.0,569.71,533556,False
2026-05-07,543.1,577.0,539.0,564.53,857844,False
2026-05-06,535.5,544.89,535.5,542.09,235328,False
2026-05-05,521.26,534.0,521.26,531.83,58583,False
2026-05-04,530.0,539.98,526.25,530.73,258015,False
2026-04-30,533.8,533.8,515.56,524.04,247448,False
2026-04-29,564.36,564.36,528.0,533.72,666538,False
2026-04-28,508.46,516.5,508.46,513.05,53918,False
2026-04-27,510.05,517.45,505.01,508.46,52490,False
2026-04-24,514.0,514.0,509.0,511.89,74236,False
2026-04-23,516.0,517.99,513.5,515.53,29189,False
2026-04-22,522.0,522.0,515.51,517.19,24387,False
2026-04-21,518.39,524.0,517.6,519.29,135330,False
2026-04-20,516.0,519.0,511.02,518.39,62604,False
2026-04-17,520.0,521.55,515.0,519.21,89986,False
2026-04-16,516.2,520.0,515.0,517.31,54505,False
2026-04-15,515.0,524.75,512.0,516.15,97123,False
2026-04-14,506.11,513.0,504.75,511.67,71367,False
2026-04-13,514.99,514.99,504.0,504.65,73171,False
2026-04-10,518.0,521.0,517.0,519.47,54967,False
2026-04-09,527.9,527.9,513.03,516.06,90270,False
2026-04-08,535.35,536.2,523.0,528.38,233336,False
2026-04-07,499.0,499.5,491.0,497.2,234723,False
