date,open,high,low,close,volume,is_anomaly
2026-09-18,49.31,50.8,49.3,50.69,109540,False
2026-09-17,48.6,49.4,47.55,49.31,60654,False
2026-09-16,48.0,48.69,47.03,47.92,10943,False
2026-09-15,48.99,48.99,47.02,48.0,45113,False
2026-09-14,48.01,49.8,47.85,48.0,89995,False
2026-09-11,48.0,50.0,46.55,49.42,243747,False
2026-09-10,51.98,51.98,49.34,49.64,128314,False
2026-09-09,52.0,52.0,50.9,51.0,155856,False
2026-09-08,53.6,53.6,51.0,51.23,502784,False
2026-09-07,53.98,54.4,52.75,53.12,724360,False
2026-09-04,55.02,56.74,50.26,54.66,3188150,False
2026-09-03,53.89,55.0,53.5,54.23,815721,False
2026-09-02,54.9,54.9,53.2,53.48,60273,False
2026-09-01,54.98,55.0,54.2,54.28,88948,False
2026-08-31,54.4,55.38,54.38,54.65,228685,False
2026-08-28,53.48,54.99,53.0,54.49,161681,False
2026-08-27,52.99,53.9,52.5,53.47,115257,False
2026-08-25,51.79,52.86,51.65,52.32,13645,False
2026-08-24,52.99,52.99,51.36,51.79,31210,False
2026-08-21,52.49,53.0,51.05,52.08,56492,False
2026-08-20,51.99,52.84,51.55,51.83,16120,False
2026-08-19,53.38,53.38,51.3,51.99,93431,False
2026-08-18,53.99,53.99,52.45,52.94,20097,False
2026-08-17,53.66,53.99,52.16,53.54,19874,False
2026-08-13,54.2,54.2,53.1,53.65,15865,False
2026-08-12,54.2,54.2,53.51,53.8,8305,False
2026-08-11,53.99,53.99,53.25,53.51,10272,False
2026-08-10,53.3,54.9,53.3,53.51,35394,False
2026-08-07,54.5,54.5,53.51,54.0,8170,False
2026-08-06,54.51,54.51,53.6,53.92,11211,False
2026-08-05,54.51,54.73,53.61,53.92,38864,False
2026-08-04,54.38,54.9,53.57,53.96,203599,False
2026-08-03,54.92,54.92,53.51,54.38,89620,False
2026-07-31,53.4,53.8,52.6,53.62,315463,False
2026-07-30,53.0,53.45,52.45,52.89,25692,False
2026-07-29,54.88,54.88,53.0,53.0,76022,False
2026-07-28,54.9,55.5,54.01,54.25,255583,False
2026-07-27,52.99,56.4,52.5,54.63,289897,False
2026-07-24,51.95,52.5,50.12,51.5,103843,False
2026-07-23,54.5,54.5,51.0,51.36,275126,False
2026-07-22,55.2,55.2,53.0,53.47,264829,False
2026-07-21,55.97,56.75,54.5,54.88,170122,False
2026-07-20,56.7,57.5,54.75,55.7,256586,False
2026-07-17,58.0,58.5,56.0,56.68,3443496,False
2026-07-16,55.75,57.5,53.9,56.93,6627755,False
2026-07-15,53.0,54.8,52.9,53.47,1007855,False
2026-07-14,54.0,54.9,52.0,52.31,243498,False
2026-07-13,55.3,55.99,54.73,54.92,60360,False
2026-07-10,55.25,57.99,55.25,55.87,289224,False
2026-07-09,56.0,56.4,54.75,55.15,168481,False
2026-07-08,57.5,57.5,54.0,55.11,120010,False
2026-07-07,57.9,58.43,57.1,57.5,65037,False
2026-07-06,57.0,57.9,57.0,57.35,222014,False
2026-07-03,57.0,57.49,56.15,57.0,218029,False
2026-07-02,58.6,58.8,57.25,57.51,118749,False
2026-07-01,59.5,60.5,58.03,58.73,955990,False
2026-06-30,56.2,59.75,56.2,58.34,814089,False
2026-06-29,57.15,57.99,56.1,56.48,499583,False
2026-06-24,54.3,57.55,53.0,56.35,540751,False
2026-06-23,54.72,55.25,53.99,54.01,90316,False
2026-06-22,54.0,55.5,52.56,54.72,60291,False
2026-06-19,55.25,55.75,53.0,53.95,126262,False
2026-06-18,54.0,54.5,53.12,54.28,678915,False
2026-06-17,54.1,54.5,53.0,53.82,27321,False
2026-06-16,54.98,54.98,53.6,54.09,95177,False
2026-06-15,54.99,54.99,52.8,53.87,66033,False
2026-06-12,52.0,53.8,51.75,52.92,64195,False
2026-06-11,52.5,52.5,51.0,51.43,77316,False
2026-06-10,53.0,53.0,51.2,51.71,26372,False
2026-06-09,52.5,53.0,51.5,52.51,43372,False
2026-06-08,51.75,52.0,51.15,51.93,8557,False
2026-06-05,51.98,52.4,51.05,52.04,21616,False
2026-06-04,51.99,51.99,51.17,51.5,9709,False
2026-06-03,52.49,52.49,51.1,51.41,15618,False
2026-06-02,52.04,52.04,51.36,51.5,6602,False
2026-06-01,52.5,53.0,51.3,51.74,19843,False
2026-05-29,53.0,53.55,52.01,52.42,49741,False
2026-05-25,53.0,53.6,51.55,52.34,56506,False
2026-05-22,52.39,52.39,51.25,51.5,8107,False
2026-05-21,51.95,51.95,50.85,51.54,42810,False
2026-05-20,51.9,51.9,50.15,50.78,37469,False
2026-05-19,53.92,53.92,50.0,50.87,37096,False
2026-05-18,52.0,53.4,51.0,51.09,9174,False
2026-05-15,52.7,52.7,51.8,52.0,66404,False
2026-05-14,54.5,54.5,52.0,52.14,77638,False
2026-05-13,52.53,53.74,52.15,52.48,35841,False
2026-05-12,54.8,54.8,52.5,52.53,159622,False
2026-05-11,54.5,55.94,54.01,54.8,141977,False
2026-05-08,55.0,57.0,54.05,55.13,262022,False
2026-05-07,54.8,56.85,54.11,55.59,402008,False
2026-05-06,52.5,55.0,50.56,54.48,874023,False
2026-05-05,50.0,51.48,49.5,50.89,13111,False
2026-05-04,53.54,53.54,51.0,51.41,26996,False
2026-04-30,54.78,54.78,50.5,51.06,144024,False
2026-04-29,53.25,53.25,51.5,51.79,119383,False
2026-04-28,52.01,53.74,52.01,52.72,70176,False
2026-04-27,53.0,54.9,51.5,53.28,658274,False
2026-04-24,53.8,53.8,52.51,53.0,112205,False
2026-04-23,53.01,53.99,53.0,53.02,210786,False
2026-04-22,54.5,54.75,53.0,53.58,7085,False
2026-04-21,54.89,54.89,53.6,54.55,34597,False
2026-04-20,54.4,55.41,53.5,54.01,361216,False
2026-04-17,53.75,58.0,53.02,53.89,108716,False
2026-04-16,54.1,54.89,53.4,53.5,12864,False
2026-04-15,53.45,54.45,50.5,53.93,173752,False
2026-04-14,54.99,56.0,52.5,52.81,527898,False
2026-04-13,54.5,57.99,49.5,52.0,118410,False
2026-04-10,55.39,56.8,53.0,54.96,117950,False
2026-04-09,51.0,54.5,51.0,53.5,239033,False
2026-04-08,52.77,52.94,50.0,52.86,691877,False
2026-04-07,50.0,50.0,48.01,48.13,16051,False
2026-04-06,50.8,50.8,48.0,48.98,18325,False
2026-04-03,48.53,50.94,46.4,48.85,59318,False
2026-04-02,53.4,53.4,48.25,49.44,57457,False
2026-04-01,48.5,52.57,48.06,51.31,278416,False
2026-03-31,51.98,51.98,47.0,47.84,37611,False
2026-03-30,54.89,54.89,47.26,47.65,81753,False
2026-03-27,54.89,54.89,49.0,51.78,13597,False
2026-03-26,54.0,54.9,51.0,51.22,94550,False
2026-03-25,51.5,56.9,50.01,53.9,119572,False
2026-03-24,52.0,52.0,50.0,51.77,66525,False
2026-03-19,50.0,50.0,49.0,49.4,3609,False
2026-03-18,48.7,52.32,48.7,50.03,20354,False
2026-03-17,48.79,49.95,47.8,48.7,3816,False
2026-03-16,49.85,52.7,47.5,47.59,11807,False
2026-03-13,48.5,48.5,47.5,48.49,14132,False
2026-03-12,50.0,50.0,47.33,48.53,15571,False
2026-03-11,50.39,52.0,47.0,51.4,60792,False
2026-03-10,49.12,52.34,49.12,51.72,99968,False
2026-03-09,52.87,54.0,47.58,47.58,112637,False
2026-03-06,55.0,57.95,52.3,52.87,88439,False
2026-03-05,56.0,56.0,51.0,53.96,74592,False
2026-03-04,52.01,57.71,52.01,54.14,18524,False
2026-03-03,58.0,58.0,49.07,52.46,39268,False
2026-03-02,53.09,54.99,53.09,53.09,76206,False
2026-02-27,61.95,61.95,58.5,58.99,33420,False
2026-02-26,60.0,62.5,58.05,60.52,177190,False
2026-02-25,56.43,60.0,56.3,58.0,81724,False
2026-02-24,60.0,60.0,55.0,56.45,23965,False
2026-02-23,58.0,58.26,56.16,56.75,22682,False
2026-02-20,61.0,61.0,55.0,58.02,50410,False
