date,open,high,low,close,volume,is_anomaly
2026-09-18,22.65,22.9,22.6,22.78,1220081,False
2026-09-17,22.55,22.7,22.5,22.55,1105409,False
2026-09-16,22.9,22.9,22.46,22.53,1153921,False
2026-09-15,22.7,23.25,22.7,22.85,1019551,False
2026-09-14,23.3,23.96,22.25,22.57,3602312,False
2026-09-11,23.3,23.45,22.63,23.33,2510707,False
2026-09-10,23.92,23.93,23.6,23.65,2516511,False
2026-09-09,24.0,24.1,23.88,23.94,1929014,False
2026-09-08,23.96,24.1,23.85,24.0,2382189,False
2026-09-07,24.12,24.26,23.96,24.0,2594135,False
2026-09-04,24.21,24.4,23.95,24.1,1834465,False
2026-09-03,23.95,24.3,23.8,24.13,1536916,False
2026-09-02,24.0,24.09,23.8,23.95,1945027,False
2026-09-01,24.05,24.13,24.0,24.02,1628060,False
2026-08-31,24.13,24.14,24.0,24.05,2129078,False
2026-08-28,24.02,24.15,23.99,24.03,2269603,False
2026-08-27,23.97,24.22,23.95,24.01,1916173,False
2026-08-25,24.01,24.08,23.9,23.97,1772527,False
2026-08-24,24.01,24.29,23.94,23.98,2321075,False
2026-08-21,24.0,24.11,23.9,24.0,3637479,False
2026-08-20,23.95,24.12,23.9,23.93,1983498,False
2026-08-19,24.1,24.31,23.89,23.93,3695118,False
2026-08-18,24.29,24.29,24.0,24.05,6317270,False
2026-08-17,24.5,25.4,24.11,24.3,28330404,False
2026-08-13,24.01,24.4,24.01,24.27,4288994,False
2026-08-12,24.0,24.09,23.89,23.96,1796182,False
2026-08-11,23.95,24.14,23.9,23.97,1672399,False
2026-08-10,24.0,24.17,23.88,24.0,2954851,False
2026-08-07,24.49,24.49,23.75,23.85,7882744,False
2026-08-06,24.4,24.54,24.26,24.31,2663579,False
2026-08-05,24.55,24.55,24.02,24.4,1871432,False
2026-08-04,24.35,24.7,24.1,24.25,2087232,False
2026-08-03,24.5,24.5,24.0,24.32,3707710,False
2026-07-31,23.7,24.29,23.7,24.13,3108063,False
2026-07-30,23.9,23.99,23.52,23.68,2191094,False
2026-07-29,24.0,24.09,23.8,23.91,1086103,False
2026-07-28,24.5,24.5,24.09,24.15,1222825,False
2026-07-27,24.31,24.75,24.2,24.27,3167298,False
2026-07-24,23.1,24.15,22.9,24.01,4172592,False
2026-07-23,23.5,23.77,23.14,23.19,2890152,False
2026-07-22,23.96,24.06,23.01,23.42,4737724,False
2026-07-21,24.25,24.45,23.9,23.96,5238605,False
2026-07-20,24.0,24.16,23.6,24.1,3319909,False
2026-07-17,24.48,24.59,24.09,24.17,3163543,False
2026-07-16,24.37,24.79,24.31,24.35,2833380,False
2026-07-15,23.99,24.54,23.99,24.36,2227678,False
2026-07-14,25.0,25.0,23.69,23.99,10450338,False
2026-07-13,24.68,25.3,24.4,25.0,9107886,False
2026-07-10,24.5,24.99,24.5,24.81,3088291,False
2026-07-09,24.15,24.94,24.01,24.57,3798070,False
2026-07-08,24.69,24.97,24.1,24.25,9893424,False
2026-07-07,25.1,25.15,24.77,24.8,6684748,False
2026-07-06,25.24,25.26,25.02,25.06,6687651,False
2026-07-03,25.25,25.3,24.91,25.09,5001944,False
2026-07-02,25.32,25.47,25.12,25.15,6355252,False
2026-07-01,25.38,25.78,25.22,25.28,12102110,False
2026-06-30,25.35,25.83,25.21,25.38,22410222,False
2026-06-29,24.7,25.55,24.37,25.07,21505281,False
2026-06-24,25.15,25.18,24.8,24.87,6782160,False
2026-06-23,25.0,25.29,24.85,24.96,11262746,False
2026-06-22,25.0,25.45,24.5,24.94,18498415,False
2026-06-19,25.3,25.3,24.55,24.73,22316462,False
2026-06-18,25.9,26.05,25.25,25.34,39714858,False
2026-06-17,25.0,26.25,24.25,25.9,189427474,False
2026-06-16,24.15,24.15,24.15,24.15,5171043,False
2026-06-15,21.95,21.95,21.95,21.95,620940,False
