date,open,high,low,close,volume,is_anomaly
2026-09-18,534.0,540.0,534.0,536.7,1767,False
2026-09-17,531.0,544.5,531.0,533.01,818,False
2026-09-16,533.0,535.0,530.0,530.22,12622,False
2026-09-15,547.0,547.0,525.01,531.84,7647,False
2026-09-14,542.53,564.0,522.0,525.6,21090,False
2026-09-11,545.0,554.5,530.0,549.75,5973,False
2026-09-10,554.0,564.5,550.0,550.5,14097,False
2026-09-09,551.23,554.97,545.0,551.23,7169,False
2026-09-08,550.0,559.0,546.01,551.23,15585,False
2026-09-07,599.0,599.96,552.0,556.22,76053,False
2026-09-04,578.0,594.0,575.0,591.11,16010,False
2026-09-03,589.89,590.0,565.0,571.66,14772,False
2026-09-02,575.0,602.0,565.0,577.04,32900,False
2026-09-01,580.0,580.0,560.0,563.21,28370,False
2026-08-31,584.0,585.0,568.0,571.47,21236,False
2026-08-28,545.0,610.95,545.0,564.26,4762,False
2026-08-27,542.0,558.0,535.02,555.41,14038,False
2026-08-25,538.27,541.98,534.1,537.94,19242,False
2026-08-24,522.01,540.0,520.0,531.88,27373,False
2026-08-21,554.0,554.0,506.0,521.12,93970,False
2026-08-20,559.99,559.99,540.0,548.88,12477,False
2026-08-19,564.0,566.98,550.0,552.62,13850,False
2026-08-18,587.99,587.99,555.0,559.77,26553,False
2026-08-17,570.03,580.0,570.03,580.0,11439,False
2026-08-13,582.0,594.84,565.12,574.88,6749,False
2026-08-12,585.0,585.0,581.0,582.92,225,False
2026-08-11,589.0,590.0,585.0,585.0,1494,False
2026-08-10,581.71,599.0,581.51,590.01,1168,False
2026-08-07,585.0,595.0,579.5,581.24,3059,False
2026-08-06,585.0,585.0,581.5,585.0,6980,False
2026-08-05,579.99,588.89,579.99,580.52,7930,False
2026-08-04,582.0,595.0,561.02,569.98,6878,False
2026-08-03,585.0,591.0,575.0,582.69,8581,False
2026-07-31,585.0,585.0,571.05,584.32,29751,False
2026-07-30,580.1,585.0,580.1,585.0,289,False
2026-07-29,588.0,588.0,561.01,580.1,3880,False
2026-07-28,590.0,594.99,588.0,589.0,906,False
2026-07-27,590.0,591.0,585.55,590.0,8034,False
2026-07-24,593.9,593.9,531.15,588.73,3399,False
2026-07-23,594.99,594.99,582.0,582.28,13793,False
2026-07-22,589.99,589.99,583.0,584.0,8440,False
2026-07-21,590.0,598.0,583.01,584.74,29672,False
2026-07-20,594.95,594.95,586.0,590.0,9482,False
2026-07-17,605.99,605.99,585.02,590.0,26017,False
2026-07-16,608.5,608.5,595.0,596.04,37061,False
2026-07-15,604.99,604.99,596.0,598.0,31322,False
2026-07-14,597.01,605.99,590.0,595.0,3967,False
2026-07-13,601.0,609.0,594.0,601.22,2118,False
2026-07-10,610.0,610.0,604.0,604.9,12978,False
2026-07-09,614.9,614.9,591.0,597.52,18173,False
2026-07-08,613.0,619.9,608.0,609.21,34573,False
2026-07-07,620.0,620.0,610.15,612.75,3990,False
2026-07-06,615.02,619.99,615.0,615.56,2807,False
2026-07-03,633.0,633.0,610.0,614.6,13619,False
2026-07-02,630.0,630.0,616.0,617.65,23922,False
2026-07-01,641.01,642.0,621.5,625.01,59954,False
2026-06-30,639.89,650.0,635.01,645.24,67842,False
2026-06-29,640.0,650.0,625.7,641.52,38844,False
2026-06-24,628.0,650.0,620.0,635.98,17313,False
2026-06-23,628.89,630.0,620.0,621.42,6206,False
2026-06-22,634.99,634.99,619.11,620.06,1604,False
2026-06-19,628.99,645.0,615.0,616.52,102359,False
2026-06-18,626.0,630.0,616.05,620.0,73231,False
2026-06-17,630.0,630.0,619.5,621.97,107245,False
2026-06-16,620.0,634.7,615.0,623.87,19486,False
2026-06-15,623.0,633.0,611.0,619.34,993,False
2026-06-12,626.0,630.0,610.0,623.01,4283,False
2026-06-11,630.11,630.11,615.1,617.96,778,False
2026-06-10,620.0,620.0,614.98,615.11,825,False
2026-06-09,625.5,625.5,610.0,616.51,12218,False
2026-06-08,610.0,640.0,610.0,625.55,46331,False
2026-06-05,647.99,647.99,620.0,628.29,9953,False
2026-06-04,645.0,645.0,617.1,620.0,2161,False
2026-06-03,627.0,636.0,617.05,619.23,1217,False
2026-06-02,615.01,630.0,615.01,626.04,554,False
2026-06-01,640.41,661.0,621.0,622.05,1437,False
2026-05-29,654.99,654.99,601.01,640.41,34640,False
2026-05-25,606.0,618.0,604.0,604.65,9289,False
2026-05-22,610.0,610.0,591.0,606.82,7049,False
2026-05-21,605.0,612.0,599.5,600.0,6596,False
2026-05-20,614.7,614.7,588.1,600.32,3806,False
2026-05-19,597.02,609.97,596.0,596.62,5598,False
2026-05-18,615.0,619.8,595.0,595.27,6578,False
2026-05-15,615.0,620.0,600.02,607.8,5103,False
2026-05-14,629.0,629.0,615.0,615.97,8516,False
2026-05-13,640.0,640.0,622.0,622.71,1028,False
2026-05-12,643.03,643.03,620.0,621.41,6616,False
2026-05-11,649.0,649.0,636.0,643.03,76,False
2026-05-08,649.98,649.98,635.01,646.0,791,False
2026-05-07,645.4,650.0,637.11,647.22,6661,False
2026-05-06,649.94,650.0,630.0,645.4,5089,False
2026-05-05,640.0,642.0,621.01,629.99,7675,False
2026-05-04,660.0,664.64,635.11,642.01,6807,False
2026-04-30,623.83,670.0,582.0,656.95,15526,False
2026-04-29,665.16,669.99,611.2,623.83,12947,False
2026-04-28,730.0,730.0,660.0,665.16,40984,False
2026-04-27,649.85,726.75,635.0,697.72,100746,False
2026-04-24,633.0,685.0,612.0,660.68,6198,False
2026-04-23,612.0,649.99,612.0,635.59,1763,False
2026-04-22,602.7,660.0,602.7,632.45,2045,False
2026-04-21,659.0,659.99,617.0,629.75,7038,False
2026-04-20,647.5,647.5,615.0,620.99,7248,False
2026-04-17,650.0,710.63,645.01,649.65,13361,False
2026-04-16,634.0,650.0,605.0,646.03,14765,False
2026-04-15,639.5,639.5,630.0,631.8,1741,False
2026-04-14,625.0,629.99,620.0,627.16,3239,False
2026-04-13,620.0,631.0,604.0,604.39,6432,False
2026-04-10,649.98,649.98,627.0,640.0,6117,False
2026-04-09,646.0,646.0,620.1,640.32,4410,False
2026-04-08,605.0,648.0,605.0,647.67,165267,False
2026-04-07,598.0,598.04,589.0,590.06,4891,False
2026-04-06,589.99,599.98,572.03,599.43,249,False
2026-04-03,600.0,601.0,589.0,589.19,7901,False
2026-04-02,635.0,635.0,590.0,601.1,51931,False
2026-04-01,640.0,640.0,620.0,636.48,18459,False
2026-03-31,590.0,635.0,590.0,620.0,35204,False
2026-03-30,610.0,610.0,578.0,590.13,3618,False
2026-03-27,630.0,630.0,560.1,610.0,15217,False
2026-03-26,620.0,620.0,577.76,610.02,37529,False
2026-03-25,592.01,640.0,592.01,619.41,98034,False
2026-03-24,620.0,630.0,551.0,598.02,2824,False
2026-03-19,561.99,609.0,560.0,598.89,46610,False
2026-03-18,590.0,615.0,570.0,601.11,15709,False
2026-03-17,565.0,565.0,564.89,564.91,1163,False
2026-03-16,583.0,638.0,563.0,569.84,23897,False
2026-03-13,580.01,585.0,565.0,580.02,17134,False
2026-03-12,600.0,600.0,580.0,582.71,48816,False
2026-03-11,584.16,625.0,550.0,600.0,31970,False
2026-03-10,550.0,594.0,550.0,584.17,33984,False
2026-03-09,556.0,600.0,551.47,551.47,51745,False
2026-03-06,660.0,660.0,611.02,612.74,6657,False
2026-03-05,679.0,679.0,625.01,642.05,64525,False
2026-03-04,658.34,658.34,640.0,640.04,31189,False
2026-03-03,602.0,686.57,602.0,658.34,42000,False
2026-03-02,690.0,690.0,624.15,624.15,14903,False
2026-02-27,660.0,700.0,650.05,693.5,116334,False
2026-02-26,630.0,685.0,620.0,667.04,97686,False
2026-02-25,649.0,649.0,615.0,631.0,6408,False
2026-02-24,644.97,644.97,600.0,630.0,16101,False
2026-02-23,649.2,664.88,620.0,621.83,7164,False
2026-02-20,676.9,676.9,639.98,649.2,24889,False
2026-02-19,714.0,716.0,651.0,657.96,434070,False
2026-02-18,695.28,695.28,688.0,695.28,424672,False
2026-02-17,611.99,655.0,611.99,632.07,50834,False
2026-02-16,610.0,619.88,600.0,603.45,44124,False
2026-02-13,611.99,624.9,600.05,620.53,2796,False
2026-02-12,630.01,638.5,580.51,611.97,51023,False
2026-02-11,633.0,645.0,630.0,644.94,15610,False
2026-02-10,630.0,640.0,621.0,630.0,19325,False
2026-02-09,639.96,639.96,624.0,630.0,11795,False
2026-02-06,642.4,650.0,628.1,630.64,15590,False
2026-02-04,655.0,659.9,641.0,642.4,5791,False
2026-02-03,640.0,659.0,640.0,650.66,26144,False
2026-02-02,655.0,655.0,630.01,645.01,6238,False
2026-01-30,626.0,654.0,615.0,643.7,41533,False
2026-01-29,657.0,665.0,613.0,625.29,88218,False
2026-01-28,655.0,657.0,651.0,657.0,2543,False
2026-01-27,659.8,664.0,650.0,655.64,23926,False
2026-01-26,660.0,663.4,655.0,660.22,4496,False
2026-01-23,641.0,665.0,641.0,663.47,67053,False
2026-01-22,652.0,652.99,643.0,650.49,46722,False
2026-01-21,645.0,650.0,636.0,648.92,82019,False
2026-01-20,640.01,649.0,639.0,640.51,29532,False
2026-01-19,646.0,650.0,625.0,646.21,91740,False
2026-01-16,580.0,638.0,578.0,638.0,358449,False
2026-01-15,575.0,580.0,575.0,580.0,4699,False
2026-01-14,568.0,585.0,566.0,571.43,16111,False
2026-01-13,589.0,589.0,565.0,575.08,17639,False
2026-01-12,585.0,593.0,581.0,585.29,4684,False
2026-01-09,601.58,605.0,589.0,599.35,31734,False
2026-01-08,576.85,605.0,576.85,601.58,68903,False
2026-01-07,556.0,592.99,556.0,576.85,37854,False
2026-01-06,592.99,592.99,552.0,560.0,17557,False
2026-01-05,560.0,560.0,542.01,556.97,1999,False
2026-01-02,565.0,565.0,554.99,560.0,11435,False
2026-01-01,541.96,570.0,530.0,565.54,43174,False
2025-12-31,521.2,550.0,521.0,541.96,83602,False
2025-12-30,535.0,535.0,520.0,520.75,53425,False
2025-12-29,539.99,549.94,533.0,535.0,6385,False
2025-12-26,530.0,540.0,530.0,539.31,5837,False
2025-12-24,535.0,535.0,520.0,520.42,6918,False
2025-12-23,540.0,540.0,530.0,535.0,1006,False
2025-12-22,545.0,550.2,539.0,540.0,687,False
2025-12-19,546.0,546.0,526.0,535.0,1738,False
2025-12-18,555.0,555.0,540.0,540.07,540,False
2025-12-17,549.99,550.0,536.01,549.36,311,False
2025-12-16,545.1,550.0,544.0,545.83,109152,False
2025-12-15,535.0,560.0,525.0,549.12,43282,False
2025-12-12,543.9,550.0,530.0,537.09,130150,False
2025-12-11,530.0,544.0,530.0,530.03,1769,False
2025-12-10,539.0,550.0,532.0,539.47,915,False
2025-12-09,575.0,575.0,516.1,544.6,6236,False
2025-12-08,511.0,545.0,511.0,524.54,1391,False
2025-12-05,525.0,525.0,510.0,514.02,4973,False
2025-12-04,530.0,530.0,501.25,517.65,5510,False
2025-12-03,526.0,526.0,515.16,520.18,1857,False
2025-12-02,537.1,539.99,523.0,525.07,2410,False
2025-12-01,537.8,545.0,537.0,537.42,2485,False
2025-11-28,545.0,545.0,511.01,535.0,1273,False
2025-11-27,534.99,535.0,530.0,530.01,2196,False
2025-11-26,536.0,536.0,530.0,530.0,15834,False
2025-11-25,540.0,540.11,531.0,531.01,981,False
2025-11-24,539.69,542.0,525.0,540.1,5168,False
2025-11-21,529.0,531.0,525.01,530.03,1363,False
2025-11-20,546.0,548.0,530.0,530.49,16390,False
2025-11-19,537.0,549.0,535.0,545.0,33031,False
2025-11-18,534.0,539.0,533.0,535.03,1773,False
2025-11-17,535.99,540.0,528.0,530.0,2142,False
2025-11-14,539.84,539.84,525.0,526.32,6793,False
2025-11-13,540.0,541.0,530.0,531.02,4061,False
2025-11-12,542.0,542.0,525.0,530.13,4173,False
2025-11-11,550.0,550.0,535.0,535.14,4235,False
2025-11-10,561.0,561.0,547.0,550.03,1665,False
2025-11-07,558.99,589.98,540.0,540.0,10170,False
2025-11-06,559.01,565.0,540.0,542.65,13000,False
2025-11-05,579.8,579.81,565.0,565.15,21073,False
2025-11-04,561.0,599.0,561.0,579.89,20327,False
