date,open,high,low,close,volume,is_anomaly
2026-09-18,228.0,231.0,228.0,230.0,12936,False
2026-09-17,231.0,231.0,227.1,230.0,50977,False
2026-09-16,230.92,230.92,227.0,230.04,41343,False
2026-09-15,229.96,232.0,228.01,230.02,208567,False
2026-09-14,230.0,233.0,226.01,229.96,175628,False
2026-09-11,230.0,231.98,222.1,230.06,16389,False
2026-09-10,233.5,233.5,228.0,230.0,171099,False
2026-09-09,229.0,234.0,229.0,232.21,12127,False
2026-09-08,233.99,233.99,230.01,232.03,88187,False
2026-09-07,232.05,234.5,228.0,232.67,9749,False
2026-09-04,231.0,233.0,231.0,232.02,8469,False
2026-09-03,232.0,233.45,231.0,232.13,83523,False
2026-09-02,233.97,235.0,228.0,232.02,96437,False
2026-09-01,235.0,235.0,233.0,233.97,48994,False
2026-08-31,232.5,234.5,232.0,233.03,16265,False
2026-08-28,233.7,233.75,230.0,232.24,40837,False
2026-08-27,231.99,233.0,231.99,232.12,33317,False
2026-08-25,230.4,232.0,228.7,231.97,141366,False
2026-08-24,230.05,235.0,228.01,230.4,99581,False
2026-08-21,230.32,232.0,228.02,230.05,39078,False
2026-08-20,228.99,232.0,228.52,230.32,127201,False
2026-08-19,225.0,229.4,220.18,229.0,155233,False
2026-08-18,229.1,229.9,220.01,225.27,30149,False
2026-08-17,231.0,233.0,228.12,229.1,24842,False
2026-08-13,231.0,234.99,228.01,229.75,19982,False
2026-08-12,232.0,233.49,228.1,230.0,130225,False
2026-08-11,239.0,239.0,223.0,230.02,327752,False
2026-08-10,236.5,239.88,221.25,238.56,225228,False
2026-08-07,238.0,238.0,235.0,235.97,33588,False
2026-08-06,234.14,238.0,234.1,237.65,115452,False
2026-08-05,234.99,235.0,232.14,234.14,33305,False
2026-08-04,233.39,235.5,231.0,232.79,23230,False
2026-08-03,235.0,235.3,231.8,233.92,45357,False
2026-07-31,232.64,232.99,230.0,230.62,40193,False
2026-07-30,233.0,235.0,228.5,232.64,85664,False
2026-07-29,229.0,234.99,227.11,233.67,64107,False
2026-07-28,228.0,232.5,227.6,231.04,180306,False
2026-07-27,226.0,230.0,224.11,227.65,124609,False
2026-07-24,220.0,225.0,215.0,222.06,77882,False
2026-07-23,224.99,224.99,219.9,219.98,19009,False
2026-07-22,225.99,225.99,220.11,221.02,926332,False
2026-07-21,225.0,227.0,222.11,224.06,40112,False
2026-07-20,225.01,227.94,222.0,223.6,132864,False
2026-07-17,227.0,235.0,225.01,226.43,115890,False
2026-07-16,222.98,227.48,220.52,227.03,79078,False
2026-07-15,222.5,228.0,220.0,220.2,70448,False
2026-07-14,225.0,226.0,220.11,222.5,86612,False
2026-07-13,225.5,229.0,225.5,227.14,52721,False
2026-07-10,226.01,232.0,226.01,229.9,76273,False
2026-07-09,226.0,228.5,222.75,225.28,53797,False
2026-07-08,231.0,233.01,224.0,226.3,128986,False
2026-07-07,229.0,239.0,228.0,232.09,318010,False
2026-07-06,225.5,232.0,223.5,228.22,126052,False
2026-07-03,223.96,225.99,222.45,223.23,22788,False
2026-07-02,222.0,224.0,221.01,222.45,27593,False
2026-07-01,219.99,221.0,218.0,220.87,24973,False
2026-06-30,221.0,224.0,215.01,216.77,110462,False
2026-06-29,226.0,228.3,219.07,220.0,148600,False
2026-06-24,224.0,226.97,221.98,225.48,51433,False
2026-06-23,224.21,227.89,219.56,220.79,122652,False
2026-06-22,234.8,234.8,222.02,224.19,79932,False
2026-06-19,236.95,236.95,227.0,229.64,49056,False
2026-06-18,237.38,238.89,216.0,233.82,82132,False
2026-06-17,238.12,239.0,236.0,237.38,122225,False
2026-06-16,240.02,243.99,237.05,237.99,97878,False
2026-06-15,245.0,249.9,236.0,240.02,237658,False
2026-06-12,232.0,239.0,229.0,234.23,112410,False
2026-06-11,228.99,230.95,227.0,228.17,28256,False
