date,open,high,low,close,volume,is_anomaly
2026-09-18,437.0,445.0,437.0,441.0,19823,False
2026-09-17,435.0,438.99,430.0,434.18,26577,False
2026-09-16,439.9,439.9,433.0,434.1,19476,False
2026-09-15,439.99,440.0,436.0,437.24,19399,False
2026-09-14,447.99,447.99,438.0,439.21,26891,False
2026-09-11,445.0,450.0,444.0,448.3,22130,False
2026-09-10,458.16,458.16,445.0,449.92,22730,False
2026-09-09,469.9,470.0,455.0,458.15,43300,False
2026-09-08,471.9,471.9,467.5,469.75,15155,False
2026-09-07,475.0,477.2,470.06,471.9,4594,False
2026-09-04,477.16,477.16,474.0,475.79,3592,False
2026-09-03,479.0,480.0,476.0,477.16,11094,False
2026-09-02,483.47,483.47,477.0,479.63,11950,False
2026-09-01,483.99,486.94,483.0,483.47,16131,False
2026-08-31,485.5,487.0,483.0,483.99,8913,False
2026-08-28,489.87,489.9,482.02,485.01,9635,False
2026-08-27,493.0,493.0,482.02,485.19,7815,False
2026-08-25,487.0,487.0,485.0,485.41,6806,False
2026-08-24,490.0,498.9,470.02,486.8,40281,False
2026-08-21,501.7,503.89,498.02,502.56,24867,False
2026-08-20,500.0,503.0,498.02,499.33,14259,False
2026-08-19,502.99,502.99,500.0,500.62,18304,False
2026-08-18,502.64,502.64,498.01,500.36,27274,False
2026-08-17,501.88,504.0,499.32,499.85,30315,False
2026-08-13,501.64,504.0,501.01,501.88,6535,False
2026-08-12,499.0,505.0,497.01,501.53,19363,False
2026-08-11,500.52,501.98,499.59,499.66,17031,False
2026-08-10,502.0,502.99,500.0,500.52,13950,False
2026-08-07,499.54,502.95,499.38,501.7,10183,False
2026-08-06,500.0,501.0,497.25,499.54,18464,False
2026-08-05,498.99,502.88,497.02,499.94,25541,False
2026-08-04,503.0,503.0,498.3,498.64,7811,False
2026-08-03,505.0,505.0,498.0,498.13,29774,False
2026-07-31,497.7,499.86,495.0,497.26,11690,False
2026-07-30,499.4,499.4,495.02,497.7,6699,False
2026-07-29,502.98,502.98,498.0,499.47,6776,False
2026-07-28,509.0,509.0,491.0,501.06,18475,False
2026-07-27,502.95,513.97,500.0,503.74,25310,False
2026-07-24,497.01,499.94,490.07,498.48,13725,False
2026-07-23,494.5,513.97,490.01,497.02,50950,False
2026-07-22,497.0,499.7,492.0,493.33,17710,False
2026-07-21,498.74,500.0,495.03,497.01,16428,False
2026-07-20,486.0,495.99,486.0,492.26,12367,False
2026-07-17,498.0,501.0,495.0,496.3,10437,False
2026-07-16,490.01,502.97,490.01,499.87,18687,False
2026-07-15,489.0,496.99,488.05,492.57,8437,False
2026-07-14,499.0,499.0,488.0,489.47,22024,False
2026-07-13,491.05,501.5,491.05,499.47,15261,False
2026-07-10,501.0,504.0,497.0,501.54,9386,False
2026-07-09,488.0,500.79,488.0,499.24,20990,False
2026-07-08,509.0,509.0,488.0,497.76,49260,False
2026-07-07,510.6,514.2,510.0,510.66,22213,False
2026-07-06,515.0,516.8,508.0,510.2,45099,False
2026-07-03,491.01,524.0,491.01,509.82,54327,False
2026-07-02,489.9,504.0,489.0,498.83,29017,False
2026-07-01,494.98,494.98,485.01,490.16,14926,False
2026-06-30,478.0,499.0,478.0,489.96,32596,False
2026-06-29,477.04,483.41,477.0,480.43,38885,False
2026-06-24,471.0,478.0,471.0,477.04,17584,False
2026-06-23,475.0,476.0,471.0,475.48,15504,False
2026-06-22,471.01,475.0,471.01,472.03,23594,False
2026-06-19,473.46,476.49,468.0,470.73,34498,False
2026-06-18,475.0,477.89,471.19,473.46,34669,False
2026-06-17,475.01,477.99,471.11,474.17,27407,False
2026-06-16,474.97,480.0,473.07,474.61,49186,False
2026-06-15,462.5,480.0,462.5,474.44,98392,False
2026-06-12,450.22,460.0,446.25,456.6,24915,False
2026-06-11,452.99,452.99,445.13,450.21,6221,False
2026-06-10,452.0,455.0,446.51,450.04,21284,False
2026-06-09,445.75,452.0,445.75,451.89,7924,False
2026-06-08,443.5,446.94,442.0,445.75,8634,False
2026-06-05,446.0,450.98,445.0,446.63,13005,False
2026-06-04,443.0,446.0,440.11,444.93,27803,False
2026-06-03,442.59,446.97,440.0,442.96,16627,False
2026-06-02,439.02,446.98,439.02,445.41,28653,False
2026-06-01,457.12,457.5,437.0,439.02,188886,False
2026-05-29,450.01,459.0,450.01,457.0,36884,False
2026-05-25,452.02,459.8,452.02,456.89,20975,False
2026-05-22,450.1,456.8,450.1,452.95,8090,False
2026-05-21,447.0,456.99,447.0,452.33,7662,False
2026-05-20,447.01,450.0,440.0,445.03,24495,False
2026-05-19,448.0,449.0,444.5,444.92,7527,False
2026-05-18,465.55,465.55,444.0,444.91,19863,False
2026-05-15,458.0,465.0,457.0,458.22,10490,False
2026-05-14,463.0,465.75,460.5,461.31,4072,False
2026-05-13,463.97,463.97,458.0,463.68,4649,False
2026-05-12,465.98,468.9,450.0,460.85,6478,False
2026-05-11,464.81,465.0,460.0,461.56,5896,False
2026-05-08,469.0,469.49,460.01,464.76,18029,False
2026-05-07,462.0,472.09,452.06,469.38,38522,False
2026-05-06,446.8,475.0,444.5,461.98,32569,False
2026-05-05,429.0,445.0,429.0,444.45,6444,False
2026-05-04,443.01,450.0,441.0,441.54,13611,False
2026-04-30,446.0,446.96,440.0,441.74,12656,False
2026-04-29,440.85,450.0,440.85,448.39,11742,False
2026-04-28,449.51,453.68,440.0,440.85,29121,False
2026-04-27,458.0,461.99,454.5,454.86,29988,False
2026-04-24,460.0,463.99,449.02,459.57,28269,False
2026-04-23,477.1,477.1,464.0,465.39,27586,False
2026-04-22,485.0,488.0,481.05,487.1,25544,False
2026-04-21,482.01,489.69,482.01,485.67,56437,False
2026-04-20,485.0,486.0,470.0,480.79,40140,False
2026-04-17,486.0,488.5,480.0,487.99,30827,False
2026-04-16,463.75,479.0,463.75,474.91,62048,False
2026-04-15,450.04,468.5,450.04,463.75,59650,False
2026-04-14,446.22,457.64,446.22,449.5,50898,False
2026-04-13,450.0,451.99,441.12,447.14,13751,False
2026-04-10,461.98,464.0,456.2,462.03,20815,False
2026-04-09,462.0,462.0,450.0,459.43,25712,False
2026-04-08,450.0,465.9,441.0,463.47,60917,False
2026-04-07,422.99,425.0,413.02,424.26,10603,False
2026-04-06,423.73,430.0,410.01,423.06,13541,False
2026-04-03,419.98,429.99,413.1,423.78,7952,False
2026-04-02,423.59,425.99,410.11,421.49,10747,False
2026-04-01,410.01,450.87,410.01,425.37,20989,False
2026-03-31,415.0,424.0,399.51,409.88,71244,False
2026-03-30,440.0,444.79,401.0,413.02,31146,False
2026-03-27,445.0,446.0,442.0,443.54,8201,False
2026-03-26,452.0,452.3,445.0,445.82,19616,False
2026-03-25,441.0,454.3,441.0,452.89,15413,False
2026-03-24,449.8,449.8,435.01,440.53,7300,False
2026-03-19,435.74,435.74,430.0,434.95,8803,False
2026-03-18,435.24,438.74,435.24,436.05,8946,False
2026-03-17,439.9,439.9,433.0,435.36,6586,False
2026-03-16,430.0,438.1,430.0,432.0,6056,False
2026-03-13,439.0,444.44,439.0,440.02,8408,False
2026-03-12,445.0,447.93,437.5,442.01,7072,False
2026-03-11,439.43,454.89,437.0,441.36,39341,False
2026-03-10,429.98,454.99,386.0,439.43,14422,False
2026-03-09,419.99,457.95,417.0,423.68,18946,False
2026-03-06,465.0,465.0,450.0,450.6,21327,False
2026-03-05,450.0,470.0,450.0,466.69,29041,False
2026-03-04,445.0,454.5,440.0,452.94,25359,False
2026-03-03,444.68,475.0,439.0,442.14,61556,False
2026-03-02,451.0,470.0,444.34,444.68,111194,False
2026-02-27,488.0,494.99,470.0,493.71,17537,False
2026-02-26,477.24,495.0,475.0,486.57,18721,False
2026-02-25,480.0,480.0,475.0,477.24,10256,False
2026-02-24,470.0,480.0,461.0,474.32,19071,False
2026-02-23,485.0,499.9,461.0,474.98,20183,False
2026-02-20,503.99,503.99,472.0,492.92,17709,False
2026-02-19,503.02,504.97,466.6,496.4,7563,False
2026-02-18,504.99,505.0,502.0,503.02,11303,False
2026-02-17,501.0,505.97,499.0,500.81,19297,False
2026-02-16,506.1,506.1,500.0,500.69,26666,False
2026-02-13,507.0,509.9,500.52,506.06,27984,False
2026-02-12,510.0,514.74,504.0,507.03,18647,False
2026-02-11,502.0,515.99,502.0,509.65,24433,False
2026-02-10,509.0,511.9,500.0,501.97,33825,False
2026-02-09,512.5,514.99,508.0,509.86,12011,False
2026-02-06,515.0,516.01,509.08,510.28,14840,False
2026-02-04,518.0,520.0,513.0,515.72,12692,False
2026-02-03,514.1,518.9,512.0,517.97,10001,False
2026-02-02,517.1,519.0,510.0,514.05,40841,False
2026-01-30,516.0,521.48,515.0,516.9,53331,False
2026-01-29,524.39,524.39,517.0,518.67,43737,False
2026-01-28,523.99,524.5,521.01,524.39,34522,False
2026-01-27,523.1,524.0,520.2,523.83,31384,False
2026-01-26,525.0,525.0,523.0,523.29,47107,False
2026-01-23,522.01,525.99,522.01,524.64,15242,False
2026-01-22,526.75,526.75,520.15,524.13,27894,False
2026-01-21,523.1,527.03,519.8,520.84,72817,False
2026-01-20,525.0,528.23,523.0,524.99,65561,False
2026-01-19,527.9,528.25,524.73,525.1,48386,False
2026-01-16,525.0,528.99,524.02,526.83,21738,False
2026-01-15,527.0,527.0,520.0,523.18,37693,False
2026-01-14,528.5,528.5,522.14,526.3,19912,False
2026-01-13,526.0,527.94,522.01,524.65,35864,False
2026-01-12,527.01,529.2,525.0,526.08,39910,False
2026-01-09,528.26,530.0,527.5,528.61,28277,False
2026-01-08,532.49,532.49,525.6,528.26,77643,False
2026-01-07,533.4,534.0,527.0,528.36,693033,False
2026-01-06,532.11,534.0,527.0,528.35,134011,False
2026-01-05,530.0,538.99,527.01,530.0,111438,False
2026-01-02,534.5,534.5,528.22,530.0,73742,False
2026-01-01,525.2,540.0,525.2,533.57,36009,False
2025-12-31,532.0,533.0,524.0,524.69,48237,False
2025-12-30,530.6,533.4,529.0,529.79,129383,False
2025-12-29,531.01,542.0,529.26,529.95,106061,False
2025-12-26,528.11,531.0,528.0,530.47,8946,False
2025-12-24,532.8,532.8,527.0,528.11,71429,False
2025-12-23,532.15,533.6,527.0,528.59,22964,False
2025-12-22,527.0,535.75,526.87,532.15,258790,False
2025-12-19,540.03,543.98,522.75,526.86,102116,False
2025-12-18,534.73,546.95,531.75,539.98,16244,False
2025-12-17,538.27,538.27,531.75,535.36,17293,False
2025-12-16,543.74,547.99,537.51,538.27,29469,False
2025-12-15,536.0,545.02,536.0,538.96,16398,False
2025-12-12,545.0,547.8,544.0,545.02,9723,False
2025-12-11,552.98,552.98,494.38,544.3,23335,False
2025-12-10,549.17,553.0,548.0,549.31,22935,False
2025-12-09,552.0,552.0,548.0,549.17,15592,False
2025-12-08,548.25,553.0,547.0,549.13,13317,False
2025-12-05,549.0,554.89,545.5,551.53,41959,False
2025-12-04,552.0,552.0,545.11,548.61,12890,False
2025-12-03,564.0,564.0,550.0,553.0,37189,False
2025-12-02,550.0,576.89,550.0,563.58,80494,False
2025-12-01,515.99,550.0,513.0,535.46,40791,False
2025-11-28,520.0,524.99,512.0,516.08,55990,False
2025-11-27,524.02,533.5,518.51,520.15,45677,False
2025-11-26,532.0,532.0,521.62,523.99,17786,False
2025-11-25,545.92,545.92,528.0,531.63,20603,False
2025-11-24,548.0,549.95,544.0,545.92,8125,False
2025-11-21,548.08,554.99,547.0,547.67,10439,False
2025-11-20,547.11,551.0,545.11,548.07,15843,False
2025-11-19,548.93,552.95,545.0,547.11,11199,False
2025-11-18,553.99,553.99,544.0,548.81,12013,False
2025-11-17,553.9,558.99,546.01,549.15,42333,False
2025-11-14,558.61,562.99,552.5,553.81,15499,False
2025-11-13,558.5,569.67,557.0,558.2,31566,False
2025-11-12,567.5,567.5,550.03,558.09,11468,False
2025-11-11,564.4,569.0,556.0,556.76,10497,False
2025-11-10,557.0,569.75,553.0,564.49,9514,False
2025-11-07,550.0,559.0,545.0,556.09,8468,False
2025-11-06,564.0,573.89,548.9,549.93,51405,False
2025-11-05,572.95,572.95,564.0,564.84,17061,False
2025-11-04,580.0,580.0,572.11,572.81,8978,False
2025-11-03,570.02,585.0,570.02,576.95,11911,False
2025-10-31,568.88,583.89,568.88,574.25,15263,False
2025-10-30,575.7,590.0,568.69,569.2,25777,False
2025-10-29,581.13,585.55,568.1,575.71,17435,False
2025-10-28,594.0,595.0,579.66,581.13,11370,False
2025-10-27,600.0,602.0,594.5,594.74,10190,False
2025-10-24,606.19,609.0,599.0,601.21,12982,False
2025-10-23,616.9,616.9,604.6,606.19,12006,False
2025-10-22,624.05,626.35,616.5,617.74,42768,False
2025-10-21,624.95,626.0,618.0,624.17,18392,False
2025-10-20,625.0,629.85,616.0,616.23,38078,False
2025-10-17,620.0,627.99,619.02,622.2,16795,False
2025-10-16,635.0,637.0,615.52,620.96,28282,False
2025-10-15,609.0,639.0,609.0,628.01,29230,False
2025-10-14,615.0,619.89,604.95,605.04,59247,False
2025-10-13,620.0,620.0,601.09,604.94,35952,False
2025-10-10,630.0,632.44,620.0,623.13,21593,False
2025-10-09,645.0,649.0,635.0,635.31,15418,False
2025-10-08,646.0,651.0,643.75,644.21,12947,False
2025-10-07,650.0,654.0,645.75,646.3,10733,False
2025-10-06,655.42,656.0,644.0,645.74,23235,False
2025-10-03,659.0,664.99,655.0,655.4,48547,False
2025-10-02,654.0,660.0,650.0,659.95,84703,False
2025-10-01,665.0,665.0,654.0,654.5,13427,False
2025-09-30,669.49,669.5,656.01,657.79,23153,False
2025-09-29,676.0,676.0,651.01,664.92,36881,False
2025-09-26,658.85,677.0,650.01,668.67,63816,False
2025-09-25,647.13,680.0,621.0,652.8,81430,False
2025-09-24,631.01,687.61,631.01,647.13,216445,False
2025-09-23,570.6,625.1,570.6,625.1,125645,False
2025-09-22,568.71,572.9,566.01,568.27,29224,False
2025-09-19,571.0,575.0,566.01,568.71,15618,False
2025-09-18,570.0,570.0,565.01,569.03,4337,False
2025-09-17,571.84,579.0,568.0,568.5,18245,False
2025-09-16,573.0,573.0,567.0,571.84,9704,False
2025-09-15,568.0,572.0,565.0,569.75,9828,False
2025-09-12,574.49,574.49,568.0,570.01,5127,False
2025-09-11,573.0,577.5,570.0,570.33,11208,False
2025-09-10,575.0,575.0,570.9,572.48,11745,False
2025-09-09,580.0,582.0,573.02,574.84,9006,False
2025-09-08,578.0,583.0,575.0,577.94,11947,False
2025-09-05,574.5,578.0,573.0,575.53,13817,False
2025-09-04,575.24,578.0,566.0,573.18,6479,False
2025-09-03,577.0,577.99,565.0,575.24,5972,False
2025-09-02,580.0,580.0,574.08,574.77,13486,False
2025-09-01,565.01,585.0,565.01,574.08,22128,False
2025-08-29,565.0,593.85,560.01,576.25,36534,False
2025-08-28,567.0,570.0,563.01,566.44,12083,False
2025-08-27,580.0,583.0,562.1,566.09,23475,False
2025-08-26,553.33,583.98,553.33,574.1,25750,False
2025-08-25,550.0,556.15,548.0,553.33,8607,False
2025-08-22,543.1,550.0,543.1,546.93,4801,False
2025-08-21,548.75,550.0,535.1,543.1,12027,False
2025-08-20,542.0,555.0,542.0,543.31,18463,False
2025-08-19,534.7,568.23,528.0,541.95,30033,False
2025-08-18,526.03,530.5,526.03,530.11,10541,False
2025-08-15,530.0,534.24,526.03,526.4,9100,False
2025-08-13,519.95,535.0,519.95,526.53,13978,False
2025-08-12,519.89,520.4,515.0,518.95,26117,False
2025-08-11,522.0,522.0,502.3,517.77,12501,False
2025-08-08,516.99,529.37,511.18,518.31,13990,False
2025-08-07,529.99,529.99,502.03,519.49,18687,False
2025-08-06,532.24,535.0,530.0,532.98,17091,False
2025-08-05,535.0,535.78,530.01,532.24,14056,False
2025-08-04,529.0,540.0,500.0,532.2,18107,False
2025-08-01,535.0,539.0,527.75,530.31,14918,False
2025-07-31,517.45,550.0,517.45,527.5,57237,False
2025-07-30,495.0,525.02,490.01,517.44,47447,False
2025-07-29,474.99,499.0,470.0,489.14,34769,False
2025-07-28,465.99,470.0,463.0,468.39,11346,False
2025-07-25,462.75,465.0,459.0,464.4,6864,False
2025-07-24,463.97,463.99,461.05,462.71,8862,False
2025-07-23,459.9,462.8,458.0,460.93,30419,False
2025-07-22,457.15,459.0,455.01,457.85,11236,False
2025-07-21,457.58,459.0,450.03,457.15,14780,False
2025-07-18,460.01,463.0,455.0,457.58,24173,False
2025-07-17,460.01,465.0,460.0,460.32,18326,False
2025-07-16,462.0,466.0,460.0,460.88,39947,False
2025-07-15,470.0,470.0,450.0,461.51,60380,False
2025-07-14,441.0,477.0,441.0,461.78,60535,False
2025-07-11,419.99,446.0,419.99,436.23,19915,False
2025-07-10,414.0,418.0,413.0,417.88,4754,False
2025-07-09,412.76,415.0,412.5,414.62,9104,False
2025-07-08,411.99,415.0,409.0,412.76,14164,False
2025-07-07,410.0,413.99,408.25,410.05,11734,False
2025-07-04,410.06,411.0,408.0,409.4,10826,False
2025-07-03,413.9,413.9,407.0,409.86,3678,False
2025-07-02,409.79,410.5,407.01,409.08,5538,False
2025-07-01,405.5,414.99,405.5,409.73,14251,False
2025-06-30,405.9,410.0,405.0,405.5,5340,False
2025-06-27,404.73,409.0,403.75,405.56,5547,False
2025-06-26,407.0,408.0,404.01,404.73,3181,False
2025-06-25,406.0,409.0,404.51,405.09,4452,False
2025-06-24,399.0,422.99,399.0,405.04,21290,False
2025-06-23,397.0,399.0,394.6,396.74,16296,False
2025-06-20,401.46,403.0,397.99,398.06,9003,False
2025-06-19,400.0,403.99,400.0,401.46,4162,False
2025-06-18,402.06,404.0,395.0,399.26,6163,False
2025-06-17,405.0,405.0,401.7,402.06,12210,False
2025-06-16,402.98,407.95,401.0,404.5,19067,False
2025-06-13,405.0,412.0,390.51,406.1,10200,False
2025-06-12,408.0,447.35,406.1,412.46,38966,False
2025-06-11,404.11,407.1,400.0,406.68,21288,False
2025-06-10,398.1,402.8,398.1,401.76,10995,False
2025-06-05,399.9,402.0,396.0,399.96,11095,False
2025-06-04,401.9,401.99,396.0,399.83,6313,False
2025-06-03,400.0,402.0,395.0,399.9,7163,False
2025-06-02,400.0,403.99,396.67,399.23,24927,False
2025-05-30,400.01,403.9,400.0,401.84,6443,False
2025-05-29,404.9,405.0,400.0,401.83,4690,False
2025-05-27,403.0,403.0,399.13,401.37,9118,False
2025-05-26,405.99,406.0,400.11,401.76,4084,False
2025-05-23,402.24,407.2,398.0,403.08,11254,False
2025-05-22,405.0,405.0,385.0,402.24,12768,False
2025-05-21,405.0,405.97,403.0,403.91,3990,False
2025-05-20,408.0,408.0,401.0,402.69,8430,False
2025-05-19,403.84,408.0,402.0,403.3,9649,False
2025-05-16,404.52,410.0,403.0,403.84,10626,False
2025-05-15,408.85,408.85,402.0,404.52,7919,False
2025-05-14,401.0,405.0,401.0,402.75,15544,False
2025-05-13,419.0,420.0,400.0,403.28,56557,False
2025-05-12,427.0,427.0,410.0,417.34,40173,False
2025-05-09,371.11,405.0,371.11,388.65,12810,False
2025-05-08,400.0,409.99,363.38,383.2,17813,False
2025-05-07,384.0,408.0,384.0,403.75,15874,False
2025-05-06,411.0,411.0,407.8,408.21,7168,False
2025-05-05,407.0,413.99,402.0,407.76,8506,False
2025-05-02,390.0,408.89,390.0,406.54,15977,False
2025-04-30,395.0,408.0,370.0,393.15,34584,False
2025-04-29,415.0,415.0,391.0,403.1,15427,False
2025-04-28,422.0,424.5,414.02,417.25,15543,False
2025-04-25,421.0,427.0,415.0,420.4,9056,False
2025-04-24,432.0,432.0,389.32,421.27,24964,False
2025-04-23,427.0,436.0,422.0,432.58,25368,False
2025-04-22,427.0,431.44,425.0,429.67,32532,False
2025-04-21,420.0,429.98,415.01,424.63,43747,False
2025-04-18,405.01,417.0,401.0,414.91,23538,False
2025-04-17,399.9,404.99,399.89,402.06,18349,False
2025-04-16,400.0,402.95,390.0,398.07,23457,False
2025-04-15,398.96,401.0,396.01,399.97,8762,False
2025-04-14,395.0,399.0,391.0,398.0,6340,False
2025-04-11,396.0,396.0,390.0,394.12,4786,False
2025-04-10,390.0,397.0,390.0,396.27,8938,False
2025-04-09,390.0,392.9,382.02,389.07,6739,False
2025-04-08,392.05,396.0,390.0,393.25,7642,False
2025-04-07,390.0,394.95,370.0,392.05,36378,False
2025-04-04,389.99,402.0,389.99,395.28,53545,False
2025-04-03,384.0,388.5,381.0,387.95,10370,False
2025-03-27,383.0,384.5,380.01,384.0,3333,False
2025-03-26,383.0,383.0,381.01,382.42,6988,False
2025-03-25,381.49,381.5,375.01,380.94,4578,False
2025-03-24,382.0,383.0,381.0,381.7,8500,False
2025-03-21,385.47,386.0,375.01,380.6,11953,False
2025-03-20,384.9,386.1,382.51,385.1,12012,False
2025-03-19,378.0,386.09,375.0,382.34,23607,False
2025-03-18,377.0,378.75,375.01,378.4,9839,False
2025-03-17,379.68,379.69,375.0,376.32,5226,False
2025-03-14,378.0,380.0,373.9,377.69,15463,False
2025-03-13,370.01,377.99,370.01,376.49,14740,False
2025-03-12,369.9,385.0,367.5,371.45,29837,False
2025-03-11,368.0,369.98,365.01,367.95,4634,False
2025-03-10,369.0,371.0,365.05,370.35,71389,False
2025-03-07,365.0,367.4,364.0,365.01,22902,False
2025-03-06,364.0,366.62,360.1,365.5,8777,False
2025-03-05,362.35,364.89,362.0,364.0,23246,False
2025-03-04,363.3,364.5,359.03,363.75,11050,False
2025-03-03,364.5,364.51,360.0,363.26,17993,False
2025-02-28,361.98,365.47,359.0,364.28,7510,False
2025-02-27,365.01,368.0,360.0,362.08,15796,False
2025-02-26,369.84,371.99,365.01,368.02,19568,False
2025-02-25,369.0,371.99,363.0,368.43,31829,False
2025-02-24,368.0,370.0,364.0,364.32,18823,False
2025-02-21,370.1,372.0,365.0,367.33,33908,False
2025-02-20,368.0,375.0,362.52,369.93,92325,False
2025-02-19,354.0,361.61,351.6,358.21,45528,False
2025-02-18,346.98,355.09,346.98,352.81,33543,False
2025-02-17,351.0,351.0,346.52,346.98,14416,False
2025-02-14,357.44,360.9,349.01,350.33,21389,False
2025-02-13,356.52,357.5,354.0,355.0,13863,False
2025-02-12,356.88,357.75,356.0,356.52,11618,False
2025-02-11,357.0,359.0,355.51,356.88,18778,False
2025-02-10,358.0,358.9,355.0,356.62,14172,False
2025-02-07,357.0,361.0,351.1,355.91,7456,False
2025-02-06,360.0,361.99,354.0,358.43,19337,False
2025-02-04,353.0,385.0,351.01,356.04,21007,False
2025-02-03,353.0,358.97,350.0,352.35,10578,False
2025-01-31,358.0,361.49,351.0,353.08,21858,False
2025-01-30,353.1,361.0,350.3,357.14,4177,False
2025-01-29,361.9,361.9,350.0,354.77,10927,False
2025-01-28,356.26,361.24,355.01,358.17,9213,False
2025-01-27,360.09,364.94,356.0,358.48,4428,False
2025-01-24,365.0,365.5,360.0,360.09,28506,False
2025-01-23,365.0,365.0,355.01,361.75,17423,False
2025-01-22,363.0,367.0,357.0,361.88,29005,False
2025-01-21,360.64,367.65,360.0,363.46,38070,False
2025-01-20,346.98,360.0,345.5,358.17,27248,False
2025-01-17,340.01,346.99,340.0,345.81,14854,False
2025-01-16,340.99,346.93,335.0,340.66,7884,False
2025-01-15,343.12,346.99,331.0,343.96,7116,False
2025-01-14,349.0,349.89,345.0,345.36,4961,False
2025-01-13,349.9,351.88,343.0,345.92,18419,False
2025-01-10,349.92,349.95,343.0,347.07,13351,False
2025-01-09,344.64,351.85,340.0,348.15,16034,False
2025-01-08,356.0,357.33,340.0,344.64,27298,False
2025-01-07,358.5,359.9,348.02,356.15,35639,False
2025-01-06,363.52,370.0,357.5,358.52,23641,False
2025-01-03,366.01,371.91,350.01,363.13,42455,False
2025-01-02,371.0,373.97,360.01,367.63,71322,False
2025-01-01,359.0,371.0,359.0,367.87,65095,False
2024-12-31,344.0,374.0,328.05,358.72,96401,False
2024-12-30,349.99,350.0,337.52,343.12,33566,False
2024-12-27,312.14,345.11,312.14,336.71,13170,False
2024-12-26,334.25,342.95,325.0,331.1,24851,False
2024-12-24,355.0,355.86,340.0,342.21,30328,False
2024-12-23,368.0,368.0,348.0,349.79,72677,False
2024-12-20,342.47,349.99,323.0,339.85,26566,False
2024-12-19,360.0,360.0,319.0,323.46,40517,False
2024-12-18,358.57,365.0,336.0,342.75,29656,False
2024-12-17,377.31,381.99,350.0,358.57,52329,False
2024-12-16,388.99,388.99,362.18,377.31,29369,False
2024-12-13,385.62,389.96,355.0,380.81,26399,False
2024-12-12,386.05,393.99,385.0,385.62,22628,False
2024-12-11,380.5,389.0,380.5,385.23,30544,False
2024-12-10,396.19,405.0,385.0,385.96,83332,False
2024-12-09,418.98,418.98,366.1,396.19,44407,False
2024-12-06,443.95,459.0,400.0,404.01,82259,False
2024-12-05,386.0,417.7,386.0,417.7,60203,False
2024-12-04,359.85,383.0,351.0,379.73,26284,False
2024-12-03,342.8,353.43,340.01,350.61,27239,False
2024-12-02,330.0,348.89,325.01,342.74,30368,False
2024-11-29,318.0,330.0,318.0,324.73,15793,False
2024-11-28,309.5,329.88,309.5,320.91,26362,False
2024-11-27,298.5,319.0,298.5,309.72,8740,False
2024-11-26,302.09,308.0,295.01,299.28,6557,False
2024-11-25,300.0,308.0,300.0,305.29,11983,False
2024-11-22,297.0,311.99,296.0,306.01,57151,False
2024-11-21,296.34,300.0,296.34,299.01,10749,False
2024-11-20,300.0,300.0,295.0,296.34,5565,False
2024-11-19,297.0,301.99,296.5,299.94,20656,False
2024-11-18,298.84,298.84,296.0,297.81,5843,False
2024-11-15,300.0,303.0,290.01,296.39,6461,False
2024-11-14,298.05,302.97,298.0,300.19,14547,False
2024-11-13,297.3,302.99,297.3,300.12,7473,False
2024-11-12,301.55,303.0,295.0,300.51,30759,False
2024-11-11,301.0,302.99,300.0,301.44,4168,False
2024-11-08,303.0,306.0,299.0,300.26,31207,False
2024-11-07,303.2,303.49,300.0,300.31,4290,False
2024-11-06,300.0,301.5,296.2,300.44,18416,False
2024-11-05,302.0,302.0,295.0,299.88,30652,False
2024-11-04,296.0,302.0,294.0,299.11,28122,False
2024-11-01,294.55,296.0,288.0,294.26,10564,False
2024-10-31,301.5,302.82,299.0,299.61,27600,False
2024-10-30,295.75,300.0,294.6,298.89,73595,False
2024-10-29,294.56,299.5,290.5,295.75,32220,False
2024-10-28,298.0,302.0,288.1,294.56,67150,False
2024-10-25,285.0,307.75,283.7,295.87,134512,False
2024-10-24,282.9,283.0,275.5,281.92,40161,False
2024-10-23,278.0,282.0,255.06,279.62,80425,False
2024-10-22,279.9,289.75,270.05,274.27,22643,False
2024-10-21,259.2,276.99,259.2,276.22,16273,False
2024-10-18,258.0,260.0,251.5,258.78,31550,False
2024-10-17,257.0,260.5,256.0,256.68,4422,False
2024-10-16,248.39,260.0,247.0,256.39,7899,False
2024-10-15,244.0,249.0,244.0,248.39,9773,False
2024-10-14,245.8,248.0,242.0,243.13,12194,False
2024-10-11,245.98,246.95,242.0,246.37,1986,False
2024-10-10,248.22,249.1,244.0,245.99,5415,False
2024-10-09,243.55,248.0,243.5,247.12,23991,False
2024-10-08,245.0,245.0,241.0,243.84,4602,False
2024-10-07,240.96,244.99,240.96,241.16,4492,False
