date,open,high,low,close,volume,is_anomaly
2026-09-18,271.06,276.0,271.06,273.54,129583,False
2026-09-17,266.45,275.0,265.0,270.64,119607,False
2026-09-16,271.01,273.8,265.0,266.45,127732,False
2026-09-15,265.0,275.8,262.26,272.43,298944,False
2026-09-14,267.99,267.99,259.0,259.85,329545,False
2026-09-11,273.08,273.08,267.0,269.84,626774,False
2026-09-10,284.9,285.0,271.0,273.09,528144,False
2026-09-09,291.0,292.0,280.51,283.54,128832,False
2026-09-08,295.01,298.69,287.0,289.77,423815,False
2026-09-07,300.0,302.0,291.0,294.75,110962,False
2026-09-04,297.26,300.0,296.21,299.85,57368,False
2026-09-03,299.0,303.0,298.3,298.66,118119,False
2026-09-02,300.5,301.8,297.0,298.12,298945,False
2026-09-01,307.0,307.0,302.01,302.51,77564,False
2026-08-31,302.01,308.9,301.5,302.27,214359,False
2026-08-28,308.95,310.99,302.0,303.32,317745,False
2026-08-27,309.9,312.0,307.0,307.22,69073,False
2026-08-25,307.98,312.98,303.98,308.19,219624,False
2026-08-24,305.0,311.88,303.11,307.02,176659,False
2026-08-21,310.0,313.0,300.0,304.4,178452,False
2026-08-20,312.0,314.0,307.0,309.28,140515,False
2026-08-19,315.0,318.0,307.0,308.38,214715,False
2026-08-18,327.98,328.0,310.0,313.71,417755,False
2026-08-17,331.0,335.0,321.1,327.01,162331,False
2026-08-13,330.98,335.0,329.0,329.81,38052,False
2026-08-12,329.98,334.9,324.0,330.04,77274,False
2026-08-11,336.2,336.2,328.0,329.06,73904,False
2026-08-10,335.0,339.0,335.0,336.17,119614,False
2026-08-07,334.0,336.0,330.0,332.99,58922,False
2026-08-06,331.5,338.85,331.5,334.16,551243,False
2026-08-05,330.2,339.0,330.2,332.92,744643,False
2026-08-04,333.0,334.0,324.0,326.91,391548,False
2026-08-03,321.0,332.0,321.0,329.18,276464,False
2026-07-31,310.7,321.82,310.7,316.63,516783,False
2026-07-30,309.0,312.0,308.0,310.64,50998,False
2026-07-29,312.0,312.99,308.0,310.24,77353,False
2026-07-28,327.0,327.0,315.0,316.58,212091,False
2026-07-27,305.5,324.9,304.11,322.18,333904,False
2026-07-24,301.98,305.0,291.5,295.61,528231,False
2026-07-23,307.9,311.0,300.55,301.54,77237,False
2026-07-22,309.98,314.5,306.01,308.87,122226,False
2026-07-21,312.98,319.0,306.0,309.98,317643,False
2026-07-20,308.7,318.0,303.34,312.68,285632,False
2026-07-17,316.0,318.5,308.01,309.53,163901,False
2026-07-16,305.0,327.0,305.0,317.38,320388,False
2026-07-15,305.0,318.99,303.0,304.55,294100,False
2026-07-14,319.7,327.49,303.01,303.94,258766,False
2026-07-13,329.0,329.0,321.0,325.03,321818,False
2026-07-10,326.0,335.0,326.0,329.38,118742,False
2026-07-09,325.0,329.9,320.0,324.3,117064,False
2026-07-08,332.11,340.0,320.66,326.27,451270,False
2026-07-07,344.94,344.94,335.2,336.72,89510,False
2026-07-06,337.98,342.0,336.95,340.15,557876,False
2026-07-03,343.0,344.0,334.71,336.95,399687,False
2026-07-02,348.0,349.0,340.12,342.04,109743,False
2026-07-01,348.0,348.2,340.0,346.69,1488155,False
2026-06-30,340.0,350.0,335.5,345.93,410737,False
2026-06-29,340.01,347.74,332.16,338.73,465134,False
2026-06-24,323.53,350.0,321.0,339.33,915696,False
2026-06-23,322.5,326.0,318.12,323.53,160659,False
2026-06-22,326.02,329.0,311.5,320.29,399827,False
2026-06-19,333.83,335.0,324.1,325.77,178943,False
2026-06-18,328.0,336.0,328.0,333.83,855243,False
2026-06-17,329.9,329.9,319.1,326.93,567977,False
2026-06-16,320.0,340.0,315.0,325.25,2877271,False
2026-06-15,306.0,324.5,302.0,316.73,794343,False
2026-06-12,288.01,304.99,286.0,296.17,726023,False
2026-06-11,285.05,291.99,285.0,285.66,206191,False
2026-06-10,289.99,293.5,285.15,288.03,226114,False
2026-06-09,284.44,289.0,284.0,286.81,106588,False
2026-06-08,285.0,287.0,280.66,281.29,101110,False
2026-06-05,285.0,293.66,284.05,286.74,631460,False
2026-06-04,279.0,285.77,275.05,285.0,290257,False
2026-06-03,275.0,281.0,272.02,278.18,340012,False
2026-06-02,275.51,279.85,275.0,276.55,95973,False
2026-06-01,289.0,289.0,272.13,275.24,239246,False
2026-05-29,284.99,292.66,282.0,287.13,210542,False
2026-05-25,284.8,289.0,279.0,284.86,309585,False
2026-05-22,283.98,283.98,273.25,276.5,253304,False
2026-05-21,262.98,280.0,262.98,278.82,364237,False
2026-05-20,260.01,263.8,257.13,262.17,128852,False
2026-05-19,266.0,270.0,256.66,259.61,150686,False
2026-05-18,270.0,270.0,262.06,264.36,53818,False
2026-05-15,278.0,280.0,269.99,271.31,253100,False
2026-05-14,275.0,279.89,274.7,277.45,38678,False
2026-05-13,279.9,280.0,274.0,274.56,85673,False
2026-05-12,283.13,286.0,277.5,278.01,74783,False
2026-05-11,287.0,287.99,284.0,284.7,48242,False
2026-05-08,292.99,295.17,271.02,289.3,78071,False
2026-05-07,295.0,303.0,292.01,295.17,431253,False
2026-05-06,277.0,300.0,277.0,296.03,631345,False
2026-05-05,271.0,276.98,269.7,274.13,80036,False
2026-05-04,270.18,285.85,270.18,274.31,357001,False
2026-04-30,270.0,273.0,260.0,270.18,311155,False
2026-04-29,280.0,283.75,271.0,275.49,616199,False
2026-04-28,260.25,275.3,260.25,267.81,185563,False
2026-04-27,278.0,281.0,268.0,269.37,653348,False
2026-04-24,270.0,284.88,269.0,280.53,180042,False
2026-04-23,275.98,276.9,271.21,273.34,86298,False
2026-04-22,280.6,285.95,270.06,274.16,184735,False
2026-04-21,295.16,298.45,281.88,283.28,787654,False
2026-04-20,306.3,306.3,291.0,295.16,338059,False
2026-04-17,305.99,313.3,304.5,306.26,149964,False
2026-04-16,306.0,316.0,301.0,304.66,305723,False
2026-04-15,314.0,322.0,303.0,305.75,978246,False
2026-04-14,288.0,305.99,286.99,301.04,336945,False
2026-04-13,280.0,288.0,270.1,280.18,232681,False
2026-04-10,289.9,299.5,288.5,293.56,616313,False
2026-04-09,275.0,294.9,266.0,287.74,1353292,False
2026-04-08,268.09,268.09,263.0,268.09,349284,False
2026-04-07,243.0,245.5,240.0,243.72,305230,False
2026-04-06,248.0,248.0,237.1,246.39,367775,False
2026-04-03,241.11,254.0,241.11,242.93,108681,False
2026-04-02,253.1,259.0,247.0,252.45,224826,False
2026-04-01,247.01,268.27,247.01,260.13,433513,False
2026-03-31,241.01,250.0,241.01,243.88,237059,False
