date,open,high,low,close,volume,is_anomaly
2026-09-18,53.01,54.8,53.01,53.85,4414513,False
2026-09-17,52.89,53.4,52.0,53.09,2268092,False
2026-09-16,52.32,53.98,52.2,52.39,5435345,False
2026-09-15,51.99,52.9,51.66,52.79,4693142,False
2026-09-14,52.49,52.49,51.25,51.37,2113345,False
2026-09-11,51.11,53.2,50.51,52.74,3992988,False
2026-09-10,52.4,52.7,51.01,51.86,5714530,False
2026-09-09,53.6,53.82,52.5,52.63,3407490,False
2026-09-08,53.61,54.12,52.8,53.63,4441642,False
2026-09-07,54.49,54.49,53.45,53.61,2433100,False
2026-09-04,54.09,54.7,53.77,54.48,2136069,False
2026-09-03,53.35,54.55,53.35,54.08,3266681,False
2026-09-02,54.05,54.05,53.07,53.28,2895285,False
2026-09-01,55.5,55.9,54.1,54.27,4737174,False
2026-08-31,56.1,56.34,55.11,55.31,3107844,False
2026-08-28,57.0,57.15,56.27,56.34,2789427,False
2026-08-27,57.99,58.03,56.7,56.92,4399629,False
2026-08-25,57.01,57.9,56.26,57.71,6552795,False
2026-08-24,55.95,57.0,55.41,56.69,4729968,False
2026-08-21,55.7,55.74,54.6,55.37,2373631,False
2026-08-20,56.0,56.31,55.12,55.39,3472906,False
2026-08-19,55.26,56.37,55.25,55.74,3731135,False
2026-08-18,56.88,56.99,55.49,55.87,5998212,False
2026-08-17,57.67,57.98,56.49,56.88,3810710,False
2026-08-13,58.15,58.44,57.4,57.55,4181588,False
2026-08-12,58.1,58.33,56.93,58.06,10666919,False
2026-08-11,57.74,58.45,56.9,57.66,14539561,False
2026-08-10,57.99,58.8,57.5,57.97,14507652,False
2026-08-07,56.83,57.5,56.2,57.36,7737180,False
2026-08-06,56.8,57.2,56.21,56.88,10972704,False
2026-08-05,56.9,56.9,55.65,56.42,9241775,False
2026-08-04,56.13,56.34,55.0,55.14,3412197,False
2026-08-03,55.55,56.38,55.3,55.9,8098940,False
2026-07-31,54.89,55.2,54.0,54.18,4416962,False
2026-07-30,54.0,54.65,53.5,54.06,5734858,False
2026-07-29,55.25,55.5,54.5,54.68,4556605,False
2026-07-28,56.9,57.19,55.45,55.85,12014649,False
2026-07-27,53.5,56.91,53.5,56.47,15636323,False
2026-07-24,50.5,52.6,50.5,51.74,3652463,False
2026-07-23,52.7,53.75,50.91,51.25,6555564,False
2026-07-22,54.7,54.74,52.5,53.09,4416241,False
2026-07-21,54.0,55.15,54.0,54.7,7975952,False
2026-07-20,53.0,54.2,52.13,53.74,4344647,False
2026-07-17,54.5,55.05,53.16,53.52,8814154,False
2026-07-16,52.0,55.13,52.0,54.15,8522167,False
2026-07-15,51.02,52.49,51.02,51.88,4022921,False
2026-07-14,53.45,53.45,50.5,50.91,11411790,False
2026-07-13,55.0,55.19,54.0,54.22,4541931,False
2026-07-10,55.51,56.66,55.51,55.88,3833281,False
2026-07-09,55.7,56.55,55.0,55.47,7764296,False
2026-07-08,57.0,58.4,55.75,56.18,13898021,False
2026-07-07,58.6,58.9,57.56,57.75,7055634,False
2026-07-06,58.5,59.5,58.5,58.63,8657813,False
2026-07-03,58.88,58.99,57.81,58.66,2726186,False
2026-07-02,59.86,59.95,58.3,58.61,5563040,False
2026-07-01,57.9,59.5,57.55,59.28,10591055,False
2026-06-30,57.49,58.61,57.05,57.55,10224774,False
2026-06-29,58.25,59.9,52.52,56.19,18052948,False
2026-06-24,56.98,58.65,56.6,58.36,8448185,False
2026-06-23,56.51,57.5,56.3,56.75,5229399,False
2026-06-22,57.5,57.78,56.0,56.49,2411539,False
2026-06-19,58.15,58.45,56.6,56.9,4626461,False
2026-06-18,58.65,59.6,57.7,58.07,13565884,False
2026-06-17,57.75,59.4,56.8,58.47,13538842,False
2026-06-16,57.8,58.0,56.53,57.51,12075964,False
