date,open,high,low,close,volume,is_anomaly
2026-09-18,90.19,92.0,86.8,90.59,126525,False
2026-09-17,91.01,91.9,89.27,90.17,323249,False
2026-09-16,90.05,92.0,89.52,90.71,114211,False
2026-09-15,89.0,92.0,88.2,91.27,162444,False
2026-09-14,88.7,90.0,87.0,87.99,132780,False
2026-09-11,91.99,91.99,87.35,90.18,444758,False
2026-09-10,91.5,92.59,90.9,92.34,568632,False
2026-09-09,92.0,93.0,90.12,92.22,119348,False
2026-09-08,91.2,92.49,91.1,91.84,156996,False
2026-09-07,92.73,92.79,91.1,91.76,121869,False
2026-09-04,93.0,93.25,92.01,92.69,340137,False
2026-09-03,91.8,93.93,91.01,93.23,167242,False
2026-09-02,92.5,93.5,90.2,91.62,406207,False
2026-09-01,95.72,95.74,93.0,93.87,271715,False
2026-08-31,98.0,99.0,95.15,95.74,422175,False
2026-08-28,97.7,98.45,97.0,97.42,113038,False
2026-08-27,97.68,99.48,97.68,97.8,191828,False
2026-08-25,97.52,98.2,97.0,97.68,239702,False
2026-08-24,96.99,98.0,96.0,97.52,660485,False
2026-08-21,96.98,97.5,95.51,96.02,292021,False
2026-08-20,97.98,97.98,95.51,96.19,132357,False
2026-08-19,97.0,98.33,96.68,97.09,122134,False
2026-08-18,99.48,99.48,96.0,96.66,386167,False
2026-08-17,101.0,101.0,98.35,99.05,204625,False
2026-08-13,100.0,102.0,99.5,100.25,207780,False
2026-08-12,99.11,100.7,98.7,99.79,241291,False
2026-08-11,102.0,102.1,98.69,99.05,536209,False
2026-08-10,102.65,104.98,101.9,102.47,432216,False
2026-08-07,100.77,104.0,99.7,102.56,534279,False
2026-08-06,101.99,102.99,100.0,101.54,325474,False
2026-08-05,98.98,102.3,98.72,100.97,1093594,False
2026-08-04,98.08,98.96,96.0,96.7,116942,False
2026-08-03,98.5,99.99,97.61,98.08,534992,False
2026-07-31,93.0,97.5,93.0,96.63,477744,False
2026-07-30,94.61,95.49,91.0,93.21,375999,False
2026-07-29,97.0,97.0,94.9,95.07,246027,False
2026-07-28,99.97,99.97,97.16,98.46,364547,False
2026-07-27,94.0,98.99,94.0,98.63,1057018,False
2026-07-24,90.4,90.99,88.0,90.0,344260,False
2026-07-23,92.1,93.99,90.09,90.43,254322,False
2026-07-22,93.1,94.5,91.5,92.77,179796,False
2026-07-21,95.21,96.49,93.8,94.03,469293,False
2026-07-20,96.79,96.79,90.9,95.11,1435138,False
2026-07-17,100.5,100.6,96.5,97.28,270679,False
2026-07-16,97.5,101.8,97.5,100.14,639275,False
2026-07-15,95.01,99.99,95.01,97.54,356847,False
2026-07-14,96.5,97.5,94.0,96.72,942982,False
2026-07-13,99.89,102.0,98.82,100.18,560513,False
2026-07-10,101.0,102.99,101.0,101.46,402787,False
2026-07-09,97.51,101.3,97.51,100.15,440212,False
2026-07-08,103.02,103.02,97.51,99.96,1813027,False
2026-07-07,106.7,106.7,104.0,104.11,759711,False
2026-07-06,106.22,107.34,105.9,106.04,1084985,False
2026-07-03,107.0,107.0,105.5,106.14,181886,False
2026-07-02,107.9,109.19,106.01,106.59,901029,False
2026-07-01,106.98,108.7,106.2,107.12,1407350,False
2026-06-30,111.01,115.5,105.15,110.12,2876951,False
2026-06-29,105.0,116.61,104.12,109.99,1431645,False
2026-06-24,102.58,107.2,102.55,106.01,982854,False
2026-06-23,102.62,103.9,101.7,102.58,1412905,False
2026-06-22,104.26,105.8,101.9,103.02,1030880,False
2026-06-19,105.1,105.97,101.0,104.07,911159,False
2026-06-18,105.0,107.0,103.0,105.32,1218868,False
2026-06-17,104.0,107.5,101.32,104.6,1164034,False
2026-06-16,104.5,105.0,101.5,102.35,1712173,False
2026-06-15,100.0,104.57,100.0,103.49,3068060,False
2026-06-12,91.1,96.0,91.01,95.25,2006091,False
2026-06-11,90.0,91.01,89.4,90.26,1692066,False
2026-06-10,90.0,92.11,89.08,91.52,348648,False
2026-06-09,90.26,91.06,89.82,90.33,181361,False
2026-06-08,90.25,90.89,88.8,89.15,319463,False
2026-06-05,91.89,94.29,90.29,91.47,593319,False
2026-06-04,90.05,91.9,90.0,91.43,402938,False
2026-06-03,88.82,91.9,88.82,91.21,917483,False
2026-06-02,87.0,91.4,87.0,89.97,1204691,False
2026-06-01,90.8,90.95,85.0,86.86,624731,False
2026-05-29,88.06,92.05,88.06,91.02,1890234,False
2026-05-25,85.9,89.0,84.5,88.05,1692080,False
2026-05-22,85.0,85.22,82.4,83.23,227561,False
2026-05-21,83.0,85.5,82.1,84.46,747754,False
2026-05-20,79.79,82.26,78.52,81.43,255311,False
2026-05-19,80.97,81.94,78.12,79.2,218741,False
2026-05-18,80.01,81.06,78.01,79.47,583697,False
2026-05-15,81.99,82.5,80.35,80.98,360309,False
2026-05-14,83.0,83.84,81.5,82.06,173837,False
2026-05-13,83.42,84.5,82.0,82.3,310849,False
2026-05-12,86.17,87.8,82.83,83.43,371157,False
2026-05-11,87.7,87.8,86.0,86.54,191147,False
2026-05-08,87.88,90.0,86.1,88.06,942549,False
2026-05-07,87.0,90.2,85.81,89.34,1792737,False
2026-05-06,80.99,86.9,80.01,86.15,1806509,False
2026-05-05,78.4,79.22,76.5,79.0,404284,False
2026-05-04,82.01,83.5,77.0,78.4,381302,False
2026-04-30,83.0,84.0,78.06,81.1,1503727,False
2026-04-29,84.0,85.98,82.5,84.39,302772,False
2026-04-28,84.0,85.0,82.01,83.92,398604,False
2026-04-27,88.78,88.78,84.01,85.75,369131,False
2026-04-24,85.71,91.9,81.61,88.93,762499,False
2026-04-23,89.43,90.8,85.55,85.71,302655,False
2026-04-22,90.89,90.89,89.0,89.43,249153,False
2026-04-21,91.8,94.0,90.9,91.53,387055,False
2026-04-20,93.0,94.5,90.0,91.56,647027,False
2026-04-17,94.55,96.05,93.45,95.17,687974,False
2026-04-16,94.5,97.0,93.0,93.74,520431,False
2026-04-15,95.0,97.98,92.8,93.35,958058,False
2026-04-14,89.9,93.0,88.0,92.55,1105905,False
2026-04-13,89.0,89.01,85.0,86.71,575467,False
2026-04-10,92.9,94.0,91.1,93.31,1597189,False
2026-04-09,85.0,92.0,80.11,90.92,5194403,False
2026-04-08,84.28,84.28,82.0,84.28,1124130,False
2026-04-07,77.94,77.94,75.0,76.62,1280711,False
2026-04-06,76.99,79.5,74.0,78.11,2707944,False
2026-04-03,76.0,78.9,76.0,76.66,760232,False
2026-04-02,79.98,81.0,78.0,80.01,603769,False
2026-04-01,81.0,86.2,81.0,83.77,3912156,False
2026-03-31,76.9,81.49,76.5,79.81,2573008,False
2026-03-30,78.0,79.0,75.0,75.85,536778,False
2026-03-27,81.5,81.5,78.56,79.06,553165,False
2026-03-26,84.25,84.25,79.85,81.34,855522,False
2026-03-25,81.97,86.0,80.3,85.12,1303248,False
2026-03-24,86.05,87.84,79.65,80.05,1292553,False
2026-03-19,83.72,87.0,79.55,84.08,782462,False
2026-03-18,79.75,86.0,79.75,84.72,486542,False
2026-03-17,78.51,80.9,78.0,79.75,262344,False
2026-03-16,78.01,80.0,77.55,78.4,429855,False
2026-03-13,78.98,80.8,76.5,79.52,657256,False
2026-03-12,79.99,80.99,75.9,77.93,802133,False
2026-03-11,83.5,84.8,80.02,80.9,539398,False
2026-03-10,80.1,82.0,78.8,81.13,1133286,False
2026-03-09,75.34,76.98,75.34,75.34,515444,False
2026-03-06,85.0,85.0,82.16,83.71,174472,False
2026-03-05,84.2,86.9,84.2,85.81,428133,False
2026-03-04,89.84,89.84,84.51,85.83,407667,False
