date,open,high,low,close,volume,is_anomaly
2026-09-18,241.04,248.0,241.04,246.74,32811,False
2026-09-17,239.99,242.95,239.99,242.0,43316,False
2026-09-16,242.0,242.91,238.21,239.04,13861,False
2026-09-15,240.13,245.5,240.13,242.86,8816,False
2026-09-14,245.01,245.01,240.0,240.62,166621,False
2026-09-11,245.01,249.0,231.01,247.55,67891,False
2026-09-10,251.5,253.0,246.0,246.55,25755,False
2026-09-09,257.0,257.0,251.5,252.78,60015,False
2026-09-08,254.89,260.01,251.2,257.47,79105,False
2026-09-07,258.8,260.45,254.25,255.04,89325,False
2026-09-04,257.97,259.45,255.01,258.7,67755,False
2026-09-03,256.01,261.94,255.4,257.02,238868,False
2026-09-02,257.98,258.9,252.01,255.44,219226,False
2026-09-01,258.98,259.99,257.7,257.93,25138,False
2026-08-31,261.7,261.7,257.22,258.48,238609,False
2026-08-28,265.98,266.0,262.0,262.45,113876,False
2026-08-27,266.0,274.0,264.8,265.64,418398,False
2026-08-25,268.98,272.0,264.99,265.53,160492,False
2026-08-24,267.94,270.0,265.02,268.26,60166,False
2026-08-21,266.0,274.0,263.5,266.81,43286,False
2026-08-20,269.1,269.93,264.5,265.17,30954,False
2026-08-19,269.0,272.0,260.1,268.35,66496,False
2026-08-18,272.98,273.0,268.3,268.67,58258,False
2026-08-17,275.0,277.49,271.26,272.86,62537,False
2026-08-13,276.0,278.0,274.0,274.51,148032,False
2026-08-12,271.98,276.0,270.26,273.0,230922,False
2026-08-11,275.7,275.7,271.5,271.73,79399,False
2026-08-10,276.8,280.73,275.02,276.19,216203,False
2026-08-07,275.0,277.95,273.0,274.84,47357,False
2026-08-06,271.34,278.05,268.2,275.86,314347,False
2026-08-05,270.55,272.0,268.16,269.38,131737,False
2026-08-04,273.0,273.5,266.55,267.17,91874,False
2026-08-03,273.0,278.9,270.01,272.98,175294,False
2026-07-31,271.0,274.6,268.0,269.45,233441,False
2026-07-30,274.0,275.79,269.0,269.85,257299,False
2026-07-29,286.0,286.0,274.0,276.22,297524,False
2026-07-28,296.0,299.7,286.5,287.58,536031,False
2026-07-27,291.0,297.89,289.0,295.89,610339,False
2026-07-24,281.0,288.0,278.25,283.69,325277,False
2026-07-23,301.0,303.8,281.62,282.84,563798,False
2026-07-22,297.0,312.9,292.8,300.24,1377917,False
2026-07-21,298.9,304.0,295.52,297.1,847814,False
2026-07-20,274.95,302.0,274.3,296.62,1524066,False
2026-07-17,284.99,285.7,276.11,280.01,737171,False
2026-07-16,262.98,288.99,262.98,285.96,1281254,False
2026-07-15,262.0,266.9,259.99,262.85,167488,False
2026-07-14,266.05,266.9,253.0,257.01,166185,False
2026-07-13,266.0,272.5,266.0,269.54,268735,False
2026-07-10,272.0,281.99,271.0,272.59,211689,False
2026-07-09,265.16,278.87,265.16,271.84,82166,False
2026-07-08,277.0,279.4,266.1,272.69,254139,False
2026-07-07,288.49,288.49,277.01,280.55,400548,False
2026-07-06,285.0,290.8,283.95,286.21,294051,False
2026-07-03,286.0,288.0,281.2,284.56,127326,False
2026-07-02,280.0,284.9,280.0,283.57,196492,False
2026-07-01,283.1,285.0,276.0,280.46,199318,False
2026-06-30,272.2,296.98,269.22,283.37,264553,False
2026-06-29,271.8,274.0,269.5,270.04,57874,False
2026-06-24,270.98,275.89,269.0,273.85,326636,False
2026-06-23,279.74,279.74,268.78,270.0,305140,False
2026-06-22,278.5,282.0,273.78,274.71,194571,False
2026-06-19,284.75,285.0,270.0,277.85,114997,False
2026-06-18,286.0,290.9,283.31,284.69,135532,False
2026-06-17,289.88,289.88,283.0,285.02,192241,False
2026-06-16,293.0,296.0,286.49,287.77,569894,False
2026-06-15,286.0,299.0,284.11,292.3,637041,False
2026-06-12,270.01,280.5,270.01,278.98,193374,False
2026-06-11,268.0,271.75,265.0,267.58,82607,False
2026-06-10,267.0,273.49,265.0,269.32,53458,False
2026-06-09,270.0,272.99,267.1,268.71,88566,False
2026-06-08,270.01,274.5,261.01,267.47,154632,False
2026-06-05,277.0,282.0,270.02,274.58,158864,False
2026-06-04,264.5,279.89,262.11,275.46,122695,False
2026-06-03,264.0,267.8,262.39,266.06,30671,False
2026-06-02,266.9,272.9,264.5,267.78,48482,False
2026-06-01,273.0,273.0,261.0,262.28,70613,False
2026-05-29,279.85,279.85,270.11,273.47,112319,False
2026-05-25,282.5,282.5,274.53,275.99,156860,False
2026-05-22,268.05,273.49,262.0,270.92,242371,False
2026-05-21,250.0,268.0,250.0,264.84,457337,False
2026-05-20,244.92,249.87,241.71,248.78,86508,False
2026-05-19,245.0,253.98,240.0,242.18,80349,False
2026-05-18,250.0,253.99,240.06,243.12,140758,False
2026-05-15,258.0,259.98,251.53,253.7,134629,False
2026-05-14,266.9,266.99,257.5,260.16,65502,False
2026-05-13,265.32,269.98,262.0,262.95,97548,False
2026-05-12,275.0,277.0,264.1,265.32,89261,False
2026-05-11,277.0,281.0,269.0,273.02,410325,False
2026-05-08,270.0,289.51,268.0,278.38,2295390,False
2026-05-07,250.0,263.19,244.0,263.19,906831,False
2026-05-06,219.98,239.26,219.06,239.26,693843,False
2026-05-05,217.0,219.99,213.5,217.51,230896,False
2026-05-04,218.59,222.68,217.55,218.15,24955,False
2026-04-30,219.0,219.5,210.5,214.16,63191,False
2026-04-29,224.98,226.99,218.1,219.56,54309,False
2026-04-28,220.7,227.3,220.7,224.73,164906,False
2026-04-27,234.0,234.0,226.2,227.24,37865,False
2026-04-24,225.0,234.9,217.0,227.05,160421,False
2026-04-23,240.01,243.0,224.15,225.92,394155,False
2026-04-22,248.0,248.0,238.0,239.94,54051,False
2026-04-21,254.89,254.89,244.11,245.76,184079,False
2026-04-20,253.0,255.0,243.1,248.92,263531,False
2026-04-17,255.0,257.9,245.1,253.02,468431,False
2026-04-16,259.0,259.9,251.03,251.81,159644,False
2026-04-15,259.99,264.99,254.0,255.08,237010,False
2026-04-14,244.0,255.99,242.0,252.45,169469,False
2026-04-13,241.02,253.0,234.1,240.19,164461,False
2026-04-10,243.1,258.0,243.1,252.19,465638,False
2026-04-09,232.9,248.8,230.5,243.1,871175,False
2026-04-08,229.9,229.9,222.1,229.9,341356,False
2026-04-07,208.32,213.0,202.1,209.0,116271,False
2026-04-06,200.01,213.8,200.01,208.55,193267,False
2026-04-03,210.1,219.9,208.0,210.88,103624,False
2026-04-02,218.87,218.87,212.0,215.42,274202,False
2026-04-01,209.9,227.72,209.9,222.71,500160,False
2026-03-31,205.0,212.5,205.0,207.02,81125,False
2026-03-30,218.57,220.0,201.0,204.16,446809,False
2026-03-27,231.89,231.89,215.0,218.57,258598,False
2026-03-26,236.95,238.0,224.2,227.07,180604,False
2026-03-25,233.89,241.0,228.11,237.63,430599,False
2026-03-24,236.0,236.0,222.05,230.16,95016,False
2026-03-19,223.0,231.45,220.01,227.36,112183,False
2026-03-18,221.01,232.0,221.01,229.09,408606,False
2026-03-17,223.5,226.99,218.0,224.5,138069,False
2026-03-16,222.21,229.85,217.0,223.12,150563,False
2026-03-13,222.97,228.9,219.0,225.78,206542,False
2026-03-12,220.0,224.0,215.0,222.12,82742,False
2026-03-11,235.0,235.85,216.25,223.55,191005,False
2026-03-10,230.0,234.75,215.0,230.03,983438,False
2026-03-09,233.99,235.0,216.07,216.07,275890,False
2026-03-06,240.6,243.0,236.0,240.08,120378,False
2026-03-05,237.02,244.9,236.05,240.38,214583,False
2026-03-04,240.0,241.0,228.01,237.73,141666,False
2026-03-03,225.1,242.9,225.1,239.17,489707,False
2026-03-02,232.12,244.75,232.12,234.32,1531179,False
2026-02-27,246.0,275.0,242.0,257.91,617340,False
2026-02-26,232.51,252.89,232.5,250.47,896636,False
2026-02-25,248.0,255.0,231.5,237.94,469632,False
2026-02-24,264.01,267.0,239.0,249.97,893409,False
2026-02-23,273.02,276.01,260.0,263.01,446661,False
2026-02-20,275.0,279.0,271.0,274.7,333833,False
2026-02-19,289.89,290.02,272.01,276.11,1387600,False
2026-02-18,300.11,308.9,297.2,298.8,536933,False
2026-02-17,350.98,358.1,315.44,330.22,107408,False
2026-02-16,351.94,360.91,337.05,350.49,73925,False
2026-02-13,362.0,362.36,347.78,352.94,27596,False
2026-02-12,350.1,368.0,350.1,362.36,112698,False
