date,open,high,low,close,volume,is_anomaly
2026-09-18,21.72,23.0,21.72,22.76,1247520,False
2026-09-17,21.7,22.15,21.7,21.83,389739,False
2026-09-16,22.18,22.18,21.61,21.71,322284,False
2026-09-15,22.2,22.35,21.51,22.12,1050178,False
2026-09-14,22.01,22.38,21.0,21.15,358883,False
2026-09-11,22.0,22.34,21.01,22.02,539439,False
2026-09-10,22.23,22.5,22.0,22.16,672914,False
2026-09-09,22.79,22.79,22.2,22.4,266059,False
2026-09-08,22.34,22.95,22.02,22.62,909514,False
2026-09-07,22.2,22.5,22.0,22.33,968518,False
2026-09-04,22.5,22.54,22.02,22.49,424393,False
2026-09-03,22.01,22.95,21.92,22.54,1691836,False
2026-09-02,22.5,22.5,22.0,22.12,881668,False
2026-09-01,23.0,23.4,22.45,22.72,1046396,False
2026-08-31,23.75,23.8,22.78,22.89,2620341,False
2026-08-28,23.7,23.7,21.51,23.36,1452463,False
2026-08-27,24.01,24.45,23.4,23.67,3938073,False
2026-08-25,23.29,23.95,23.2,23.77,4007883,False
2026-08-24,21.99,23.25,21.87,22.93,3154214,False
2026-08-21,21.99,22.07,21.25,21.77,299272,False
2026-08-20,21.99,22.18,21.5,21.81,752259,False
2026-08-19,21.8,22.5,21.7,21.79,1261851,False
2026-08-18,22.42,22.59,21.5,21.8,1406815,False
2026-08-17,22.75,22.75,22.1,22.42,271813,False
2026-08-13,22.75,22.94,22.6,22.65,633191,False
2026-08-12,22.73,22.9,22.52,22.75,418026,False
2026-08-11,23.25,23.25,22.63,22.73,755391,False
2026-08-10,23.51,23.9,23.01,23.24,2019940,False
2026-08-07,22.99,23.7,22.52,23.47,4583905,False
2026-08-06,22.5,23.28,22.33,22.97,3005005,False
2026-08-05,22.1,22.95,22.1,22.5,3862768,False
2026-08-04,20.95,21.99,20.62,21.74,3472900,False
2026-08-03,20.5,20.91,20.42,20.81,1255230,False
2026-07-31,20.0,20.3,19.81,20.19,1212337,False
2026-07-30,20.31,20.99,19.68,19.94,1692021,False
2026-07-29,21.01,21.01,19.51,20.41,817084,False
2026-07-28,21.21,21.39,21.0,21.04,1003856,False
2026-07-27,20.29,21.64,20.29,21.38,2508567,False
2026-07-24,20.1,20.48,19.69,19.94,1119501,False
2026-07-23,20.78,20.89,20.05,20.08,488357,False
2026-07-22,21.21,21.21,20.4,20.74,413567,False
2026-07-21,20.75,21.55,20.6,21.3,1773296,False
2026-07-20,20.75,20.75,20.0,20.65,718317,False
2026-07-17,21.15,21.49,20.5,20.79,730001,False
2026-07-16,20.83,21.34,20.6,21.26,946806,False
2026-07-15,21.0,21.21,20.76,20.83,424958,False
2026-07-14,21.11,21.4,20.7,20.74,2286466,False
2026-07-13,22.01,22.3,21.55,21.73,919523,False
2026-07-10,22.15,22.7,22.15,22.4,741177,False
2026-07-09,22.0,22.35,21.81,22.13,1163617,False
2026-07-08,23.0,23.0,21.89,22.21,1633781,False
2026-07-07,23.34,23.45,23.02,23.13,1092410,False
2026-07-06,23.06,23.42,22.84,23.35,1691558,False
2026-07-03,23.05,23.29,22.72,23.01,1389214,False
2026-07-02,23.6,23.85,22.88,23.02,3882245,False
