date,open,high,low,close,volume,is_anomaly
2026-09-18,76.4,79.65,76.0,78.29,4806997,False
2026-09-17,76.03,77.0,74.83,75.58,2089209,False
2026-09-16,75.0,75.55,73.2,74.89,2663918,False
2026-09-15,77.51,78.5,74.6,75.44,1364864,False
2026-09-14,77.94,79.26,76.11,76.97,2494300,False
2026-09-11,78.01,81.47,76.1,79.12,6791674,False
2026-09-10,84.99,85.0,79.4,79.9,10280869,False
2026-09-09,81.1,84.89,80.52,83.7,25595045,False
2026-09-08,79.49,79.98,74.81,78.65,9667617,False
2026-09-07,83.0,83.97,78.51,79.04,16199426,False
2026-09-04,77.88,80.5,77.2,79.68,10583249,False
2026-09-03,75.9,79.5,74.8,77.61,14853376,False
2026-09-02,75.99,77.0,73.5,74.36,4386853,False
2026-09-01,76.25,77.98,75.99,76.47,4746329,False
2026-08-31,76.0,78.0,75.05,75.93,5298279,False
2026-08-28,75.65,79.0,75.09,76.65,13030340,False
2026-08-27,75.6,76.5,74.95,75.1,2153280,False
2026-08-25,76.5,76.5,74.01,75.19,2662335,False
2026-08-24,75.5,78.29,74.55,75.64,10153850,False
2026-08-21,73.0,74.61,71.5,73.34,2634571,False
2026-08-20,76.02,76.31,72.0,72.51,4351280,False
2026-08-19,75.69,77.2,74.1,75.82,2494113,False
2026-08-18,77.26,78.75,75.32,75.7,6407647,False
2026-08-17,79.25,79.8,76.5,77.26,7051163,False
2026-08-13,77.0,80.22,76.25,77.61,19608245,False
2026-08-12,73.55,77.6,72.25,74.25,24972760,False
2026-08-11,65.0,71.16,65.0,71.16,15572867,False
2026-08-10,65.0,65.39,64.51,64.69,712031,False
2026-08-07,65.2,65.2,64.01,64.85,973453,False
2026-08-06,64.9,65.8,64.7,65.69,2301204,False
2026-08-05,65.66,66.49,64.3,64.52,2266778,False
2026-08-04,65.95,65.95,63.91,64.06,1870242,False
2026-08-03,65.98,66.83,64.7,65.56,4576996,False
2026-07-31,64.4,64.8,63.3,63.68,2743150,False
2026-07-30,63.61,64.43,62.5,63.17,2708011,False
2026-07-29,65.5,65.72,64.2,64.43,2882661,False
2026-07-28,66.98,67.75,65.75,66.14,8510888,False
2026-07-27,63.25,65.75,62.9,65.75,3844365,False
2026-07-24,59.7,61.34,58.13,59.77,3737935,False
2026-07-23,65.1,65.1,60.0,60.67,2985241,False
2026-07-22,65.0,66.12,64.0,64.53,1883332,False
2026-07-21,66.49,67.8,65.0,65.29,6495634,False
2026-07-20,65.6,66.8,64.75,65.41,5308753,False
2026-07-17,67.0,69.8,65.1,67.63,9543691,False
2026-07-16,66.1,67.45,65.5,66.62,2993287,False
2026-07-15,65.1,67.8,64.61,65.9,4759555,False
2026-07-14,69.99,69.99,64.11,64.73,9264611,False
2026-07-13,72.0,73.65,70.0,71.14,5823894,False
2026-07-10,73.5,74.89,72.52,72.84,5132031,False
2026-07-09,70.49,76.48,69.5,73.21,17083919,False
2026-07-08,72.8,75.5,67.92,70.57,16241659,False
2026-07-07,70.01,75.25,70.01,74.2,20400496,False
2026-07-06,68.0,69.75,67.51,69.13,3310832,False
2026-07-03,68.01,69.11,67.02,68.04,1774265,False
2026-07-02,69.45,69.45,67.39,67.81,2616775,False
2026-07-01,66.0,69.0,66.0,68.47,6237100,False
2026-06-30,65.0,66.5,64.55,65.66,984184,False
2026-06-29,66.5,67.37,64.65,64.99,1580479,False
2026-06-24,66.9,67.21,66.43,66.61,1639380,False
2026-06-23,67.3,67.3,66.0,66.72,2611447,False
2026-06-22,68.0,68.34,66.3,66.49,2253115,False
2026-06-19,69.35,69.94,67.0,67.62,1950672,False
2026-06-18,68.62,70.3,68.51,69.25,3817569,False
2026-06-17,69.0,69.67,67.75,68.01,2620285,False
2026-06-16,71.0,71.5,68.0,68.69,3162187,False
2026-06-15,71.89,72.64,70.0,70.59,4972110,False
2026-06-12,69.51,70.75,68.61,69.16,5071777,False
2026-06-11,66.99,70.49,65.13,68.47,5157353,False
2026-06-10,68.98,70.7,67.0,67.36,4844927,False
2026-06-09,70.49,72.2,69.11,69.44,10057064,False
2026-06-08,67.0,72.0,66.01,69.34,22712353,False
2026-06-05,61.38,66.14,61.1,66.14,12973595,False
2026-06-04,58.35,60.9,57.51,60.13,3192473,False
2026-06-03,59.4,59.4,57.2,58.5,2331095,False
2026-06-02,57.89,60.87,57.8,59.08,9498390,False
2026-06-01,54.1,58.33,53.1,57.46,10433256,False
2026-05-29,54.05,54.55,53.0,53.89,998020,False
2026-05-25,53.0,53.69,52.52,52.98,1037184,False
2026-05-22,53.0,53.0,51.8,52.11,389625,False
2026-05-21,52.99,53.24,52.2,52.4,446636,False
2026-05-20,51.5,52.78,51.0,52.13,694242,False
2026-05-19,52.0,52.49,51.41,51.56,758156,False
2026-05-18,53.5,53.5,51.4,51.69,543306,False
2026-05-15,53.76,53.8,52.5,53.02,151951,False
2026-05-14,53.0,54.3,52.8,53.15,428989,False
2026-05-13,53.71,53.99,52.5,53.15,456237,False
2026-05-12,54.94,55.5,53.5,53.65,768923,False
2026-05-11,54.05,55.9,54.05,55.28,434894,False
2026-05-08,55.5,56.99,55.4,55.75,1499359,False
2026-05-07,55.98,57.7,55.05,56.6,5528794,False
