date,open,high,low,close,volume,is_anomaly
2026-09-18,107.29,109.2,107.0,107.7,1839573,False
2026-09-17,105.0,107.8,105.0,106.99,742236,False
2026-09-16,104.74,106.55,104.74,105.76,613993,False
2026-09-15,104.0,106.66,104.0,105.9,1048431,False
2026-09-14,105.95,105.95,102.5,103.36,1248693,False
2026-09-11,104.1,106.47,101.0,106.04,3107224,False
2026-09-10,108.35,108.35,103.52,104.23,1671286,False
2026-09-09,109.03,109.7,107.74,108.25,293026,False
2026-09-08,109.6,110.55,107.55,109.11,1903276,False
2026-09-07,108.66,110.97,107.5,110.33,2775641,False
2026-09-04,105.99,109.7,104.35,108.66,4481581,False
2026-09-03,104.97,107.5,104.97,106.09,2118082,False
2026-09-02,103.3,105.39,102.5,104.97,4325340,False
2026-09-01,105.53,106.34,101.42,104.21,5089991,False
2026-08-31,107.18,107.35,105.5,106.34,727216,False
2026-08-28,105.75,108.19,104.52,107.39,2843113,False
2026-08-27,104.1,106.49,103.01,105.91,3303031,False
2026-08-25,104.0,104.5,103.0,104.05,580527,False
2026-08-24,104.0,104.87,102.91,103.4,1125265,False
2026-08-21,105.2,105.2,100.0,103.81,3816437,False
2026-08-20,103.72,106.0,103.72,104.56,1176883,False
2026-08-19,104.08,106.19,103.6,105.1,3136392,False
2026-08-18,104.0,105.75,102.5,104.08,2782401,False
2026-08-17,105.05,105.55,104.0,104.8,502608,False
2026-08-13,105.93,106.89,104.31,104.59,2414371,False
2026-08-12,105.7,107.0,105.0,105.89,1152363,False
2026-08-11,106.7,107.98,106.12,107.56,2842815,False
2026-08-10,107.44,108.7,106.5,106.82,2715955,False
2026-08-07,107.89,109.2,106.0,107.21,2691327,False
2026-08-06,108.5,110.0,107.45,108.08,4434076,False
2026-08-05,107.79,108.9,105.0,108.29,5721802,False
2026-08-04,106.26,107.0,104.4,104.76,2660982,False
2026-08-03,107.5,109.0,106.05,106.98,4060305,False
2026-07-31,104.0,107.69,102.5,105.24,10174654,False
2026-07-30,103.1,104.8,102.74,103.07,1466790,False
2026-07-29,106.87,107.4,103.61,104.07,3050238,False
2026-07-28,108.26,110.0,106.45,106.9,4316199,False
2026-07-27,103.0,108.0,103.0,107.4,5265158,False
2026-07-24,100.97,102.48,97.56,99.95,3786368,False
2026-07-23,104.45,105.79,100.2,100.99,2202331,False
2026-07-22,105.69,106.8,102.66,104.31,2980843,False
2026-07-21,106.51,108.8,105.01,105.7,3121835,False
2026-07-20,103.5,107.04,102.68,106.03,2116468,False
2026-07-17,109.25,109.48,104.5,105.73,3288478,False
2026-07-16,106.5,111.98,106.26,108.86,5606362,False
2026-07-15,103.8,107.5,103.01,106.24,3096726,False
2026-07-14,110.0,110.0,101.51,102.86,6824954,False
2026-07-13,109.5,111.65,108.11,111.38,1578915,False
2026-07-10,108.7,112.44,108.7,111.85,4644863,False
2026-07-09,110.12,112.92,107.75,108.49,7178463,False
2026-07-08,113.5,114.5,108.0,112.34,5127789,False
2026-07-07,116.5,117.0,114.51,115.0,2618340,False
2026-07-06,117.75,117.9,114.48,116.11,6787521,False
2026-07-03,113.8,118.5,113.0,117.32,10984954,False
2026-07-02,114.99,117.4,112.2,113.68,11941873,False
2026-07-01,110.0,115.0,109.0,112.99,22929384,False
2026-06-30,107.88,112.04,107.55,110.23,11735387,False
2026-06-29,109.99,113.24,106.5,107.85,14704614,False
