date,open,high,low,close,volume,is_anomaly
2026-09-18,30.9,31.3,30.66,31.15,4956757,False
2026-09-17,30.23,31.1,30.02,30.65,11165645,False
2026-09-16,30.32,30.47,30.01,30.12,7319592,False
2026-09-15,31.0,31.2,30.61,30.68,6283546,False
2026-09-14,31.6,31.6,30.73,30.88,19657391,False
2026-09-11,31.0,31.81,30.25,31.72,12777073,False
2026-09-10,32.6,32.63,31.61,31.72,14861736,False
2026-09-09,34.9,35.03,34.15,34.23,19436730,False
2026-09-08,34.8,35.0,34.0,34.63,15503638,False
2026-09-07,35.25,35.44,34.78,34.84,16737592,False
2026-09-04,34.64,35.08,34.39,34.88,12688047,False
2026-09-03,34.15,34.68,34.0,34.39,16905115,False
2026-09-02,34.2,34.93,33.81,34.08,25400661,False
2026-09-01,35.19,35.19,34.34,34.43,22463823,False
2026-08-31,34.89,35.79,34.52,34.99,52289978,False
2026-08-28,32.55,35.44,32.32,34.97,91717447,False
2026-08-27,32.95,32.99,32.45,32.55,7929656,False
2026-08-25,32.98,33.1,32.8,32.9,5810862,False
2026-08-24,32.83,33.46,32.8,32.88,9510398,False
2026-08-21,33.57,33.68,32.55,32.83,16771129,False
2026-08-20,33.6,33.94,33.4,33.56,7259303,False
2026-08-19,33.7,34.15,33.5,33.57,13036626,False
2026-08-18,34.5,34.98,33.45,33.76,22545816,False
2026-08-17,34.88,34.89,34.48,34.52,6809647,False
2026-08-13,34.7,35.1,34.47,34.58,16204913,False
2026-08-12,34.12,34.8,34.06,34.4,18147542,False
2026-08-11,35.15,35.15,33.9,34.11,22518009,False
2026-08-10,36.45,36.6,34.8,35.28,61614086,False
2026-08-07,35.95,36.85,35.66,36.46,52334090,False
2026-08-06,35.01,36.38,35.01,36.0,66023844,False
2026-08-05,34.15,34.9,33.99,34.75,40114047,False
2026-08-04,34.0,34.09,33.65,33.7,6461743,False
2026-08-03,34.05,34.3,33.7,33.92,12954962,False
2026-07-31,33.8,33.9,33.38,33.49,7337381,False
2026-07-30,33.19,33.6,33.0,33.39,12438887,False
2026-07-29,33.52,33.78,33.25,33.35,8579133,False
2026-07-28,34.5,34.71,33.9,33.95,12724644,False
2026-07-27,33.98,34.73,33.71,34.61,34964351,False
2026-07-24,32.89,33.18,31.65,32.64,20591638,False
2026-07-23,33.99,33.99,32.81,32.98,17570823,False
2026-07-22,33.71,34.59,33.56,33.75,22944760,False
2026-07-21,34.0,34.71,33.96,34.03,20138916,False
2026-07-20,33.01,33.99,32.5,33.69,14202726,False
2026-07-17,34.19,34.37,33.61,33.68,12503494,False
2026-07-16,33.86,34.38,33.8,34.19,19011767,False
2026-07-15,33.05,34.1,33.05,33.72,24396355,False
2026-07-14,34.98,34.98,32.75,33.05,37179484,False
2026-07-13,35.31,35.65,35.05,35.29,8655180,False
2026-07-10,36.1,36.32,36.0,36.1,11557266,False
2026-07-09,35.52,36.25,35.52,35.96,25570461,False
2026-07-08,36.9,37.07,34.51,35.93,46341604,False
2026-07-07,37.35,38.08,37.15,37.37,60713301,False
2026-07-06,37.02,37.35,36.85,37.13,28228777,False
2026-07-03,36.77,37.05,36.55,36.85,16134088,False
2026-07-02,36.37,37.41,36.37,36.77,59305943,False
2026-07-01,35.25,36.59,35.15,36.31,77111046,False
2026-06-30,35.37,35.37,35.0,35.09,7774990,False
2026-06-29,35.11,35.59,34.95,35.04,23242667,False
2026-06-24,35.2,35.64,35.03,35.38,18657800,False
2026-06-23,35.2,35.4,34.95,35.12,10499260,False
2026-06-22,35.46,35.75,35.03,35.21,17004606,False
2026-06-19,36.05,36.29,34.9,35.2,34168331,False
2026-06-18,36.24,36.6,35.98,36.05,28865742,False
2026-06-17,36.52,36.61,35.95,36.12,33354875,False
2026-06-16,36.69,36.69,36.16,36.38,40078444,False
2026-06-15,35.75,36.0,35.1,35.73,38636119,False
2026-06-12,34.05,35.08,34.02,34.61,52924034,False
2026-06-11,33.3,33.8,33.2,33.68,10170624,False
2026-06-10,33.4,34.13,33.35,33.67,18236761,False
2026-06-09,33.56,33.99,33.55,33.6,6579196,False
2026-06-08,33.5,33.5,32.4,33.25,10017278,False
2026-06-05,34.5,34.5,33.72,33.79,15286456,False
2026-06-04,34.12,34.6,34.12,34.25,18971411,False
2026-06-03,33.95,34.15,33.7,33.99,10959410,False
2026-06-02,33.93,34.17,33.75,33.96,12168368,False
2026-06-01,34.63,34.65,33.9,34.0,20772586,False
2026-05-29,34.46,34.92,34.2,34.59,23894150,False
2026-05-25,34.95,34.95,34.21,34.53,27289910,False
2026-05-22,34.35,34.38,33.6,33.7,17225340,False
2026-05-21,34.5,34.5,33.94,34.13,29938595,False
2026-05-20,33.0,33.59,32.61,33.43,24570490,False
2026-05-19,33.75,33.8,32.81,32.93,19059335,False
2026-05-18,33.61,33.8,32.91,33.03,21799814,False
2026-05-15,33.88,34.25,33.3,33.94,36512598,False
2026-05-14,34.55,34.6,33.45,33.6,22447132,False
2026-05-13,34.97,35.2,34.2,34.32,19858345,False
2026-05-12,35.71,36.0,34.7,34.91,22931678,False
2026-05-11,35.51,36.11,35.31,35.53,21776836,False
2026-05-08,36.4,36.69,35.7,36.13,30899031,False
2026-05-07,37.0,37.22,35.85,36.73,86327198,False
2026-05-06,36.4,36.9,35.73,36.54,68046455,False
2026-05-05,34.01,35.3,33.65,35.06,45253274,False
2026-05-04,34.9,35.7,34.0,34.49,39635378,False
2026-04-30,33.88,34.3,32.0,33.79,68530034,False
2026-04-29,35.65,36.11,34.2,34.64,32985150,False
2026-04-28,34.93,36.2,34.55,35.5,59572852,False
2026-04-27,35.9,37.41,34.12,34.95,126624089,False
2026-04-24,34.0,36.78,32.8,36.17,112666903,False
2026-04-23,35.7,35.8,33.8,34.22,35136344,False
2026-04-22,37.01,37.01,35.8,35.93,51350431,False
2026-04-21,37.24,38.2,36.85,37.03,82480938,False
2026-04-20,36.4,37.6,35.4,36.6,120854860,False
2026-04-17,34.49,37.33,33.94,37.01,153717760,False
2026-04-16,34.0,34.97,33.75,33.94,38715831,False
2026-04-15,33.8,34.49,33.36,33.97,76132188,False
2026-04-14,29.6,31.67,29.6,31.66,87034026,False
2026-04-13,29.6,30.1,28.64,28.79,50050559,False
2026-04-10,28.33,30.87,28.33,30.87,61154777,False
2026-04-09,27.8,28.7,27.1,28.06,50636413,False
2026-04-08,27.73,27.73,27.52,27.73,24553745,False
2026-04-07,24.9,25.5,24.52,25.21,14305300,False
2026-04-06,24.51,25.3,24.5,25.03,16399123,False
2026-04-03,24.25,25.35,24.25,24.89,17064102,False
2026-04-02,25.49,25.49,24.69,25.19,16953514,False
2026-04-01,25.48,27.05,25.3,26.52,49505656,False
2026-03-31,24.03,25.2,24.03,24.73,21176541,False
2026-03-30,25.74,25.74,23.32,24.26,35921883,False
2026-03-27,26.0,26.05,25.51,25.77,14263860,False
2026-03-26,26.6,26.6,25.6,25.7,17078881,False
2026-03-25,26.15,26.83,26.05,26.64,20723432,False
2026-03-24,27.0,27.35,25.87,26.01,24517649,False
2026-03-19,26.0,26.15,25.25,25.88,22784791,False
2026-03-18,25.64,27.88,25.6,27.55,54733142,False
2026-03-17,26.63,27.11,25.31,25.79,32250568,False
2026-03-16,27.0,27.8,26.32,26.56,17492619,False
2026-03-13,27.5,27.9,26.87,27.26,16327842,False
2026-03-12,27.51,28.5,27.25,27.72,20604892,False
2026-03-11,27.5,28.84,27.3,27.97,37706784,False
2026-03-10,27.5,28.0,27.0,27.28,38630948,False
2026-03-09,28.18,28.18,25.45,25.45,33386862,False
2026-03-06,29.01,29.1,27.83,28.28,14603681,False
2026-03-05,27.85,29.49,27.8,29.21,30397862,False
2026-03-04,28.95,28.95,27.71,27.84,22149388,False
2026-03-03,28.1,29.5,27.26,28.64,28091733,False
2026-03-02,28.53,29.7,28.53,28.53,37016404,False
2026-02-27,31.1,32.4,30.0,31.7,30604655,False
2026-02-26,29.3,32.32,28.6,31.81,38659618,False
2026-02-25,30.7,30.94,29.34,29.52,25128535,False
2026-02-24,29.97,31.15,27.31,29.7,49139683,False
2026-02-23,33.2,33.2,29.74,30.19,26673106,False
2026-02-20,32.94,33.6,30.05,33.04,31618879,False
2026-02-19,35.88,35.88,32.2,32.77,28791603,False
2026-02-18,35.49,36.39,34.15,35.78,71110229,False
2026-02-17,33.1,35.45,30.02,34.12,79835860,False
2026-02-16,35.0,36.19,32.72,33.25,56166941,False
2026-02-13,37.66,37.66,35.76,36.36,28291492,False
2026-02-12,38.55,38.65,36.98,37.39,17012521,False
2026-02-11,38.92,39.1,38.15,38.48,18692655,False
2026-02-10,39.85,40.0,37.95,38.81,35696397,False
2026-02-09,40.7,40.7,38.98,39.7,52951732,False
2026-02-06,41.4,41.6,38.8,40.09,42620066,False
2026-02-04,40.26,41.19,40.04,40.9,32471485,False
2026-02-03,38.53,40.98,38.53,40.04,86293221,False
2026-02-02,39.0,39.2,37.85,38.5,29349033,False
2026-01-30,40.0,40.7,38.5,38.88,28310030,False
2026-01-29,41.5,41.53,39.17,39.53,31347331,False
2026-01-28,41.52,42.19,41.15,41.29,25209142,False
2026-01-27,41.98,42.39,41.38,41.51,35973081,False
2026-01-26,41.24,41.84,40.85,41.21,27011195,False
2026-01-23,41.0,42.0,40.71,41.33,20674440,False
2026-01-22,41.8,41.8,40.88,40.99,17783095,False
2026-01-21,42.55,42.75,41.62,41.73,20034906,False
2026-01-20,41.9,42.84,41.45,42.41,42362389,False
2026-01-19,41.2,42.1,41.0,41.73,19123850,False
2026-01-16,40.94,41.75,40.94,41.22,16220416,False
2026-01-15,41.55,42.05,40.4,40.69,29285135,False
2026-01-14,41.8,42.31,41.33,41.55,32904724,False
2026-01-13,41.02,42.15,40.35,41.65,73893155,False
2026-01-12,41.89,42.5,40.8,41.35,45605610,False
2026-01-09,42.9,43.0,41.63,41.94,36964385,False
2026-01-08,43.15,43.88,42.45,42.67,45444627,False
2026-01-07,43.25,43.69,42.6,42.95,54525966,False
2026-01-06,43.08,43.3,41.45,42.23,79909603,False
2026-01-05,42.8,44.17,42.6,43.09,95463191,False
2026-01-02,40.8,42.88,40.56,42.33,102545745,False
2026-01-01,38.95,40.64,38.66,40.34,55417664,False
2025-12-31,38.75,38.95,38.3,38.56,21161328,False
2025-12-30,39.0,39.91,38.55,38.71,36714253,False
2025-12-29,40.4,40.4,38.68,38.88,42299577,False
2025-12-26,39.15,41.3,39.1,40.06,78049661,False
2025-12-24,37.88,39.3,37.8,38.9,61349318,False
2025-12-23,38.0,38.3,37.53,37.88,25940132,False
2025-12-22,37.14,37.75,36.62,37.44,27293112,False
2025-12-19,37.5,37.6,36.8,37.0,15731855,False
2025-12-18,38.0,38.24,37.3,37.46,30565064,False
2025-12-17,37.75,38.75,37.55,37.86,90619311,False
2025-12-16,35.0,37.9,34.85,37.11,88665213,False
2025-12-15,35.5,35.84,34.92,35.39,26276398,False
2025-12-12,35.1,35.9,34.56,35.25,23121201,False
2025-12-11,36.04,36.05,34.71,34.96,23149959,False
2025-12-10,35.5,35.95,35.3,35.51,46885609,False
2025-12-09,34.7,35.4,34.55,34.96,36140725,False
2025-12-08,34.25,34.6,34.11,34.46,10310166,False
2025-12-05,35.0,35.0,34.1,34.19,17743556,False
2025-12-04,34.74,34.8,34.32,34.6,10149401,False
2025-12-03,34.34,34.6,33.96,34.43,22467789,False
2025-12-02,34.51,35.1,34.02,34.17,27780827,False
2025-12-01,34.0,35.1,33.62,34.42,34304208,False
2025-11-28,33.48,34.45,33.0,33.96,34171207,False
2025-11-27,33.21,33.54,32.9,33.33,15304481,False
2025-11-26,32.9,33.25,31.35,33.07,31797736,False
2025-11-25,33.55,33.7,32.73,32.87,11147100,False
2025-11-24,34.08,34.08,33.42,33.49,8271821,False
2025-11-21,33.5,34.46,33.2,33.96,28360246,False
2025-11-20,33.94,33.94,32.87,33.33,16958149,False
2025-11-19,34.21,34.3,33.5,33.69,17375582,False
2025-11-18,34.9,34.98,34.05,34.17,18527314,False
2025-11-17,35.49,35.74,34.69,34.8,22410289,False
2025-11-14,35.48,35.9,35.0,35.11,36996846,False
2025-11-13,35.51,35.94,34.79,35.3,40097096,False
2025-11-12,34.61,35.8,34.31,35.17,40531272,False
2025-11-11,36.0,36.25,34.55,34.72,45558123,False
2025-11-10,35.1,36.2,34.95,35.63,41410617,False
2025-11-07,34.48,35.4,34.11,34.95,31362671,False
2025-11-06,34.58,34.69,33.51,34.38,26424412,False
2025-11-05,34.85,35.15,34.23,34.3,24287639,False
2025-11-04,35.6,35.8,34.51,34.85,39053201,False
2025-11-03,35.89,36.9,35.0,35.51,81169325,False
2025-10-31,34.11,35.4,33.25,34.77,78458333,False
2025-10-30,37.75,37.75,33.37,33.5,84182148,False
2025-10-29,37.22,37.99,36.5,37.08,43969819,False
2025-10-28,37.39,38.95,37.02,37.16,60384844,False
2025-10-27,36.99,38.05,35.8,37.24,61772746,False
2025-10-24,39.21,39.25,36.0,37.0,62443871,False
2025-10-23,40.59,41.3,39.0,39.21,78951327,False
2025-10-22,40.23,41.3,38.75,40.59,118821990,False
2025-10-21,40.9,41.54,39.52,39.73,128917660,False
2025-10-20,37.24,39.41,37.1,39.41,184399246,False
2025-10-17,34.95,36.15,34.15,35.83,84164333,False
2025-10-16,35.68,35.99,34.59,34.78,45792377,False
2025-10-15,35.24,36.81,35.0,35.53,142130321,False
2025-10-14,32.92,34.96,32.7,34.63,100722438,False
2025-10-13,31.5,32.79,30.09,31.78,97205745,False
2025-10-10,33.15,33.65,31.85,32.07,90241087,False
2025-10-09,33.65,34.5,32.17,32.87,86407749,False
2025-10-08,35.74,35.99,33.32,33.63,88049557,False
2025-10-07,35.12,36.41,34.71,35.08,134742790,False
2025-10-06,33.06,34.99,31.61,34.46,131310593,False
2025-10-03,33.24,35.59,33.0,33.5,131821305,False
2025-10-02,30.05,32.78,29.9,32.78,148116348,False
2025-10-01,27.15,29.87,26.59,29.8,191997025,False
2025-09-30,26.75,27.75,26.51,27.15,94026621,False
2025-09-29,27.0,27.05,26.4,26.62,32583210,False
2025-09-26,26.85,27.5,26.52,26.82,57698699,False
2025-09-25,24.86,27.11,24.8,26.68,101942746,False
2025-09-24,25.55,25.6,24.71,24.89,32986036,False
2025-09-23,26.6,26.6,25.0,25.22,57279824,False
2025-09-22,26.24,28.39,25.65,25.98,126794196,False
2025-09-19,26.26,26.27,24.85,26.26,167285267,False
2025-09-18,22.5,23.88,22.5,23.88,62786413,False
2025-09-17,21.71,21.71,21.17,21.71,84069639,False
2025-09-16,18.67,19.89,18.5,19.74,112343078,False
2025-09-15,17.81,18.88,17.42,18.57,58227128,False
2025-09-12,18.3,18.3,17.6,17.81,39006257,False
2025-09-11,18.7,18.8,18.03,18.17,33724452,False
2025-09-10,18.97,19.25,18.25,18.68,72460270,False
2025-09-09,19.7,19.8,19.1,19.66,83886261,False
2025-09-08,20.0,20.06,19.56,19.65,71442268,False
2025-09-05,18.49,19.95,18.4,19.69,146093956,False
2025-09-04,17.38,18.48,17.36,18.36,99494831,False
2025-09-03,17.6,17.84,17.3,17.37,51572354,False
2025-09-02,17.24,18.2,16.91,17.58,174386202,False
2025-09-01,16.58,16.58,16.1,16.58,97697793,False
2025-08-29,14.39,15.69,13.61,15.07,128751215,False
2025-08-28,14.25,14.57,14.0,14.26,31924722,False
2025-08-27,14.7,14.7,14.2,14.23,22319350,False
2025-08-26,14.68,14.87,14.61,14.68,10217003,False
2025-08-25,14.6,14.89,14.25,14.71,21153368,False
2025-08-22,14.74,14.85,14.46,14.55,18917586,False
2025-08-21,14.98,15.0,14.25,14.62,52059518,False
2025-08-20,14.86,15.12,14.85,14.92,52299000,False
2025-08-19,14.47,14.98,14.44,14.76,46060189,False
2025-08-18,14.36,14.58,14.15,14.43,20008489,False
2025-08-15,14.27,14.55,14.25,14.32,13663632,False
2025-08-13,14.25,14.52,14.2,14.26,33751962,False
2025-08-12,14.17,14.37,14.0,14.17,33326486,False
2025-08-11,13.98,14.12,13.8,14.08,12827238,False
2025-08-08,14.21,14.21,13.8,13.92,21258633,False
2025-08-07,14.35,14.37,14.02,14.15,21887270,False
2025-08-06,13.83,14.3,13.71,14.24,67554764,False
2025-08-05,13.93,14.01,13.77,13.83,12308750,False
2025-08-04,13.85,14.2,13.66,13.9,30628274,False
2025-08-01,14.07,14.14,13.9,13.93,15744016,False
2025-07-31,13.95,14.36,13.71,14.06,82936839,False
2025-07-30,13.5,13.8,13.35,13.72,24809434,False
2025-07-29,13.6,13.9,13.35,13.47,31941017,False
2025-07-28,13.6,13.8,13.45,13.49,23774754,False
2025-07-25,13.7,14.0,13.47,13.6,50256609,False
2025-07-24,13.0,14.0,13.0,13.55,113028558,False
2025-07-23,13.0,13.16,12.85,13.0,16353450,False
