date,open,high,low,close,volume,is_anomaly
2026-09-18,92.99,94.29,92.7,93.65,203531,False
2026-09-17,92.62,93.09,92.01,92.99,193896,False
2026-09-16,90.1,92.5,90.0,92.04,509414,False
2026-09-15,91.5,91.98,90.1,90.7,303082,False
2026-09-14,91.31,92.08,90.5,90.96,355540,False
2026-09-11,91.1,92.0,88.16,91.31,1062876,False
2026-09-10,92.9,92.9,91.0,91.91,481534,False
2026-09-09,94.26,94.5,92.12,92.91,1347704,False
2026-09-08,94.2,94.85,94.0,94.26,548872,False
2026-09-07,94.48,94.9,94.05,94.2,206780,False
2026-09-04,94.9,95.05,94.1,94.48,294177,False
2026-09-03,94.05,95.24,94.0,94.25,288153,False
2026-09-02,95.45,95.45,89.4,94.21,504950,False
2026-09-01,96.1,96.77,95.26,95.46,402328,False
2026-08-31,96.42,97.1,95.9,96.1,321637,False
2026-08-28,97.29,98.0,96.01,96.42,547698,False
2026-08-27,98.0,98.0,96.7,96.96,223117,False
2026-08-25,96.8,97.04,96.35,96.9,382117,False
2026-08-24,97.0,97.21,95.8,96.56,518533,False
2026-08-21,96.0,96.9,95.75,96.07,399974,False
2026-08-20,97.06,97.59,95.0,95.85,696546,False
2026-08-19,97.6,97.6,96.91,97.06,694579,False
2026-08-18,99.58,99.7,97.58,98.43,615790,False
2026-08-17,99.98,99.98,99.05,99.58,326374,False
2026-08-13,100.8,100.8,99.0,99.27,436634,False
2026-08-12,99.48,100.11,99.0,99.56,917868,False
2026-08-11,100.02,100.02,98.1,98.99,404373,False
2026-08-10,100.65,101.0,99.9,99.95,614628,False
2026-08-07,100.56,100.9,99.25,100.4,599407,False
2026-08-06,102.99,103.53,100.2,100.55,4176097,False
2026-08-05,100.7,103.3,100.5,102.34,1497834,False
2026-08-04,101.47,101.47,100.0,100.14,289482,False
2026-08-03,101.9,101.99,100.4,100.69,497256,False
2026-07-31,100.01,101.68,99.0,100.36,569231,False
2026-07-30,100.0,100.95,99.6,99.82,238341,False
2026-07-29,101.0,101.0,99.05,100.29,553023,False
2026-07-28,102.0,102.0,99.1,100.96,1284747,False
2026-07-27,101.8,102.0,100.16,101.47,1205262,False
2026-07-24,98.0,100.1,96.62,98.68,743952,False
2026-07-23,100.0,100.0,98.5,98.98,591474,False
2026-07-22,99.15,100.46,99.15,100.1,262099,False
2026-07-21,99.9,103.99,99.2,100.46,1175038,False
2026-07-20,97.55,99.5,96.2,98.95,756001,False
2026-07-17,99.12,101.0,98.0,98.9,758621,False
2026-07-16,99.0,101.4,99.0,100.79,787661,False
2026-07-15,96.0,99.49,96.0,98.97,580804,False
2026-07-14,98.0,98.1,96.0,96.97,1139883,False
2026-07-13,99.5,100.5,98.52,99.73,911435,False
2026-07-10,101.35,102.79,101.1,101.63,589114,False
2026-07-09,100.0,102.0,98.15,101.32,1093449,False
2026-07-08,103.0,103.48,98.0,101.05,3284363,False
2026-07-07,104.5,105.9,103.6,103.85,2426845,False
2026-07-06,101.56,106.0,101.4,104.18,3920725,False
