date,open,high,low,close,volume,is_anomaly
2026-09-18,98.5,99.25,97.05,98.13,156036,False
2026-09-17,98.45,98.72,97.5,97.7,672252,False
2026-09-16,98.3,98.9,96.0,97.17,44664,False
2026-09-15,98.49,98.9,97.5,97.97,668866,False
2026-09-14,98.47,99.4,97.25,97.69,132374,False
2026-09-11,99.15,99.49,98.25,98.46,160134,False
2026-09-10,100.0,100.0,99.01,99.15,33110,False
2026-09-09,100.43,100.45,99.46,100.0,322377,False
2026-09-08,100.01,100.5,99.0,99.85,150107,False
2026-09-07,100.1,101.49,99.85,100.01,553186,False
2026-09-04,101.49,101.49,100.0,100.73,54526,False
2026-09-03,100.99,101.6,99.98,100.02,980586,False
2026-09-02,100.98,100.98,99.5,100.03,477638,False
2026-09-01,101.0,101.78,99.07,100.17,646048,False
2026-08-31,101.75,102.79,100.99,101.31,351849,False
2026-08-28,102.98,102.98,101.0,102.01,271867,False
2026-08-27,104.45,104.45,101.5,101.87,518265,False
2026-08-25,104.0,104.98,101.75,101.99,345895,False
2026-08-24,105.7,106.5,102.16,103.61,285091,False
2026-08-21,109.03,110.85,107.65,108.23,331375,False
2026-08-20,111.5,111.5,108.5,109.03,153306,False
2026-08-19,111.97,111.98,109.85,109.95,167577,False
2026-08-18,111.25,111.89,109.85,109.99,293250,False
2026-08-17,114.0,114.58,110.5,111.09,781003,False
2026-08-13,116.84,116.84,113.3,113.5,486099,False
2026-08-12,117.39,117.48,115.99,116.04,480839,False
2026-08-11,115.0,116.5,114.53,115.95,420374,False
2026-08-10,115.16,116.5,114.36,114.91,442862,False
2026-08-07,114.57,115.78,114.57,115.15,32048,False
2026-08-06,115.0,116.0,113.5,115.31,164385,False
2026-08-05,114.4,114.4,113.05,114.0,163042,False
2026-08-04,112.99,113.5,112.0,112.22,98636,False
2026-08-03,113.99,113.99,112.5,112.97,112479,False
2026-07-31,112.8,113.59,111.86,112.37,170573,False
2026-07-30,112.56,113.99,112.56,113.15,51010,False
2026-07-29,113.65,114.9,112.7,113.72,83070,False
2026-07-28,115.0,115.5,113.6,113.89,181819,False
2026-07-27,114.0,115.49,113.03,114.66,101257,False
2026-07-24,114.85,114.85,111.5,112.87,92901,False
2026-07-23,114.99,114.99,113.01,113.45,943448,False
2026-07-22,114.86,116.0,113.11,114.04,407251,False
2026-07-21,115.0,116.7,114.0,114.77,856781,False
2026-07-20,114.5,115.0,114.0,114.5,318161,False
2026-07-17,116.0,116.54,114.9,114.99,527613,False
2026-07-16,116.1,117.0,115.8,115.95,299491,False
2026-07-15,117.88,117.88,116.0,116.05,621659,False
2026-07-14,116.1,117.9,116.0,116.03,108858,False
2026-07-13,116.5,119.0,116.1,118.22,97126,False
2026-07-10,117.0,119.89,117.0,118.0,244190,False
2026-07-09,117.0,119.0,116.05,118.99,103657,False
2026-07-08,120.25,120.25,116.0,118.97,354229,False
2026-07-07,119.04,121.4,119.0,120.32,444168,False
2026-07-06,117.58,119.45,117.58,119.04,1016228,False
2026-07-03,118.0,118.89,116.75,117.11,806801,False
2026-07-02,119.0,119.9,116.6,117.45,832735,False
2026-07-01,116.09,119.5,116.0,118.9,1264702,False
2026-06-30,115.0,118.49,114.12,116.08,277451,False
2026-06-29,114.8,115.2,113.0,113.91,484713,False
2026-06-24,115.5,115.5,113.5,114.84,597223,False
2026-06-23,115.85,115.85,113.01,113.2,268483,False
2026-06-22,116.85,116.85,114.0,114.2,334301,False
2026-06-19,117.79,117.79,114.82,115.43,470377,False
2026-06-18,117.32,118.5,116.0,116.37,339643,False
2026-06-17,117.94,117.95,116.8,117.32,429703,False
2026-06-16,116.5,117.89,116.01,117.51,778199,False
2026-06-15,118.0,118.0,115.9,115.98,235067,False
2026-06-12,115.1,117.0,115.0,116.09,419003,False
2026-06-11,115.75,115.75,114.5,115.0,77100,False
2026-06-10,116.98,117.0,114.0,114.41,365941,False
2026-06-09,116.0,116.5,115.03,116.11,111686,False
2026-06-08,115.17,116.78,114.17,115.47,44285,False
2026-06-05,118.4,118.4,115.0,115.51,74529,False
