date,open,high,low,close,volume,is_anomaly
2026-09-18,543.61,554.0,543.61,552.75,664646,False
2026-09-17,545.0,548.1,542.5,543.86,267479,False
2026-09-16,543.2,548.0,540.01,541.71,410517,False
2026-09-15,564.88,564.88,541.4,543.02,1525266,False
2026-09-14,552.8,570.0,540.5,552.27,936384,False
2026-09-11,534.5,556.9,527.0,554.09,1203940,False
2026-09-10,553.35,555.0,531.0,536.21,1472281,False
2026-09-09,560.06,563.95,551.11,556.12,486009,False
2026-09-08,562.02,567.39,558.0,560.06,683029,False
2026-09-07,565.46,567.0,562.0,564.8,503642,False
2026-09-04,561.0,567.48,559.0,565.46,388918,False
2026-09-03,562.8,566.89,559.5,561.0,403198,False
2026-09-02,571.0,572.0,562.0,562.73,920644,False
2026-09-01,578.0,582.0,571.0,572.3,476661,False
2026-08-31,573.99,580.0,568.0,578.15,779420,False
2026-08-28,569.0,576.5,566.0,574.34,693845,False
2026-08-27,571.83,576.88,565.5,569.4,598894,False
2026-08-25,564.0,574.57,561.5,571.83,766444,False
2026-08-24,571.63,572.63,562.1,563.8,807579,False
2026-08-21,568.1,574.44,567.0,569.92,379873,False
2026-08-20,562.9,571.0,562.9,568.09,521627,False
2026-08-19,567.49,572.89,560.06,562.9,466878,False
2026-08-18,585.0,585.0,565.16,567.49,1395529,False
2026-08-17,590.0,593.5,585.0,587.28,780156,False
2026-08-13,592.0,594.95,586.15,587.9,682451,False
2026-08-12,599.5,602.5,588.5,591.13,1024694,False
2026-08-11,594.11,605.0,590.51,599.61,2412014,False
2026-08-10,589.0,595.0,588.0,593.54,881925,False
2026-08-07,587.93,592.97,583.7,586.84,1367419,False
2026-08-06,594.99,601.5,585.0,587.93,4052268,False
2026-08-05,577.85,593.65,577.0,590.64,2528945,False
2026-08-04,572.0,576.7,569.5,573.7,920265,False
2026-08-03,565.26,570.0,565.25,569.15,694696,False
2026-07-31,565.0,565.0,557.0,560.92,541184,False
2026-07-30,551.0,563.0,551.0,558.85,903940,False
2026-07-29,562.0,562.0,548.3,555.82,725700,False
2026-07-28,566.0,570.05,561.11,562.68,2208555,False
2026-07-27,560.0,566.32,549.0,563.8,2082728,False
2026-07-24,535.79,544.0,531.0,540.11,717473,False
2026-07-23,540.0,547.05,536.0,538.5,1529383,False
2026-07-22,543.0,549.22,538.01,539.49,533867,False
2026-07-21,543.11,550.1,541.76,542.37,633058,False
2026-07-20,539.79,542.0,535.0,540.0,669201,False
2026-07-17,547.0,552.05,539.4,540.94,884337,False
2026-07-16,539.26,552.0,539.26,547.51,1136450,False
2026-07-15,528.0,545.0,528.0,537.94,830639,False
2026-07-14,544.78,544.78,525.0,528.57,1762148,False
2026-07-13,550.0,553.0,546.0,547.08,949159,False
2026-07-10,548.0,560.0,548.0,557.7,1383382,False
2026-07-09,552.0,558.0,542.05,544.6,3260137,False
2026-07-08,563.86,568.47,546.0,557.07,1951528,False
2026-07-07,568.7,582.0,564.03,565.12,2377619,False
2026-07-06,555.94,572.0,555.94,566.77,1856345,False
2026-07-03,552.41,559.0,552.0,555.94,969134,False
2026-07-02,554.0,563.9,550.0,552.41,1916238,False
2026-07-01,515.1,559.89,515.1,553.45,3775484,False
2026-06-30,512.5,517.17,512.5,516.46,628601,False
2026-06-29,513.0,515.99,510.0,511.29,642943,False
2026-06-24,512.0,516.78,509.16,514.26,1044374,False
2026-06-23,515.0,515.0,509.06,511.24,1511977,False
2026-06-22,512.98,520.0,511.4,512.17,1455490,False
2026-06-19,515.0,517.69,508.71,512.98,1284857,False
2026-06-18,512.0,518.47,512.0,514.79,963452,False
2026-06-17,522.5,522.5,509.0,511.87,7613907,False
2026-06-16,515.16,521.98,512.0,520.35,1980632,False
2026-06-15,515.0,523.97,509.0,511.46,7259660,False
2026-06-12,504.9,512.0,503.5,510.21,1966348,False
2026-06-11,494.9,507.95,491.0,500.89,1840728,False
2026-06-10,488.0,498.8,486.11,495.89,1674545,False
2026-06-09,489.0,495.0,486.16,490.35,849815,False
2026-06-08,487.0,489.0,483.0,485.33,625423,False
2026-06-05,493.5,496.8,486.02,489.31,618768,False
2026-06-04,493.93,498.0,492.0,492.8,694518,False
2026-06-03,498.0,503.0,492.0,493.93,1814571,False
2026-06-02,482.0,502.5,482.0,498.11,2571769,False
2026-06-01,496.0,497.5,484.0,485.77,1289167,False
2026-05-29,490.2,494.0,485.0,493.37,1177147,False
2026-05-25,483.09,493.0,482.0,490.2,1104404,False
2026-05-22,485.0,485.0,478.0,479.56,1150369,False
