date,open,high,low,close,volume,is_anomaly
2026-09-18,168.99,171.76,168.15,169.3,1803362,False
2026-09-17,170.01,175.75,161.0,166.95,9238295,False
2026-09-16,178.97,178.97,168.75,169.12,19320925,False
2026-09-15,178.99,179.5,176.01,178.47,1009551,False
2026-09-14,180.45,180.94,176.5,177.35,1965679,False
2026-09-11,178.01,181.74,178.01,180.47,3142356,False
2026-09-10,181.13,181.59,179.65,180.24,1874090,False
2026-09-09,181.52,183.6,179.6,181.59,4414842,False
2026-09-08,183.7,184.01,180.56,181.42,1501590,False
2026-09-07,187.2,187.2,183.7,184.05,801180,False
2026-09-04,186.99,187.2,184.5,186.77,829326,False
2026-09-03,182.96,188.0,182.96,185.4,1726509,False
2026-09-02,184.5,184.8,182.25,182.96,2409115,False
2026-09-01,187.2,189.49,184.91,185.58,3656956,False
2026-08-31,189.05,189.8,186.0,187.08,2396780,False
2026-08-28,188.8,190.0,186.01,188.95,4227118,False
2026-08-27,202.25,203.0,187.0,188.8,10565813,False
2026-08-25,203.1,203.8,200.9,202.06,1258928,False
2026-08-24,203.25,204.5,202.0,202.26,1388652,False
2026-08-21,204.5,205.8,197.1,202.56,2506838,False
2026-08-20,204.7,206.9,203.3,204.26,1198786,False
2026-08-19,204.5,208.5,202.5,203.49,2097803,False
2026-08-18,204.0,210.0,200.5,205.43,6869517,False
2026-08-17,203.29,204.98,201.2,204.03,830780,False
2026-08-13,204.72,206.9,201.98,203.29,1305823,False
2026-08-12,203.0,207.9,202.61,205.06,2637945,False
2026-08-11,205.0,205.51,201.99,203.75,1494509,False
2026-08-10,206.99,207.9,205.01,206.04,1228689,False
2026-08-07,206.66,207.45,205.0,206.35,808432,False
2026-08-06,208.0,209.6,207.02,207.63,2674083,False
2026-08-05,206.0,208.25,205.11,206.88,3372317,False
2026-08-04,204.5,204.85,202.76,203.28,1199601,False
2026-08-03,205.99,206.2,203.03,204.44,1747062,False
2026-07-31,203.0,203.51,200.0,200.29,1813760,False
2026-07-30,201.51,203.45,199.04,200.26,1620541,False
2026-07-29,206.9,206.9,201.51,202.6,1612955,False
2026-07-28,208.6,209.6,205.1,207.46,2929573,False
2026-07-27,204.5,209.25,200.0,208.6,4558320,False
2026-07-24,196.0,197.5,190.9,193.18,4027908,False
2026-07-23,202.0,202.69,197.1,197.49,1459271,False
2026-07-22,203.05,203.99,200.96,201.61,1408519,False
2026-07-21,206.0,207.0,202.48,203.05,1207655,False
2026-07-20,202.1,204.74,200.0,203.53,3076470,False
2026-07-17,208.2,210.0,203.0,204.35,4391496,False
2026-07-16,205.54,210.25,205.19,208.79,4808595,False
2026-07-15,197.0,205.49,197.0,204.19,6220739,False
2026-07-14,202.99,202.99,195.06,195.83,5978437,False
2026-07-13,206.51,207.81,203.6,205.26,3803030,False
2026-07-10,210.0,212.95,209.6,210.57,4317787,False
2026-07-09,208.53,213.44,207.26,209.67,5289247,False
2026-07-08,215.59,216.98,205.5,211.65,9205436,False
2026-07-07,218.0,220.75,217.02,218.31,10380443,False
2026-07-06,209.49,218.5,208.8,217.48,9710372,False
2026-07-03,206.5,209.49,205.0,208.8,4001532,False
2026-07-02,206.01,210.74,205.5,206.04,7490697,False
2026-07-01,199.9,205.98,198.57,205.01,15996699,False
2026-06-30,199.97,203.5,196.99,198.5,4203307,False
2026-06-29,201.9,204.5,196.56,199.76,11283903,False
2026-06-24,200.0,202.92,199.01,201.73,6728453,False
2026-06-23,202.98,203.89,198.0,200.18,2559266,False
2026-06-22,205.0,205.99,195.0,203.0,4435417,False
2026-06-19,207.1,208.99,201.11,203.51,5125036,False
2026-06-18,208.3,208.5,206.0,207.47,3841979,False
2026-06-17,208.55,209.0,203.5,206.92,4972407,False
2026-06-16,201.1,208.9,199.5,206.61,13751332,False
2026-06-15,197.41,200.0,194.75,198.33,7929693,False
2026-06-12,186.94,193.75,185.42,190.17,6824707,False
2026-06-11,182.99,185.0,180.5,184.3,1974026,False
2026-06-10,184.5,186.5,183.01,183.62,1785733,False
2026-06-09,184.99,185.98,184.0,185.0,1795413,False
2026-06-08,183.0,183.0,180.0,181.29,2214488,False
2026-06-05,187.0,187.54,183.0,184.24,2496681,False
2026-06-04,186.0,187.9,186.0,186.48,1290359,False
2026-06-03,186.0,187.74,184.01,185.16,1460710,False
2026-06-02,189.0,190.99,186.02,187.69,2293829,False
2026-06-01,194.0,194.0,188.5,189.09,2529292,False
2026-05-29,197.01,200.5,192.8,194.27,8874378,False
2026-05-25,192.0,196.0,190.26,194.79,7491700,False
2026-05-22,187.5,191.48,184.6,185.53,5546913,False
2026-05-21,185.0,189.33,183.15,186.73,6814369,False
2026-05-20,177.5,181.7,175.5,180.36,3231385,False
2026-05-19,179.99,179.99,175.81,177.43,2539914,False
2026-05-18,177.9,177.9,173.0,175.09,4946488,False
2026-05-15,181.9,182.65,178.5,179.74,2783597,False
2026-05-14,182.3,183.79,180.03,180.95,2100996,False
2026-05-13,186.84,188.4,181.7,182.38,2301744,False
2026-05-12,189.88,192.4,185.9,186.73,3417030,False
2026-05-11,190.0,191.0,188.5,189.6,2404432,False
2026-05-08,192.0,194.0,189.05,192.56,3681373,False
2026-05-07,196.0,201.5,193.6,195.04,10234337,False
2026-05-06,181.0,193.73,180.82,193.54,10524050,False
2026-05-05,174.0,178.0,171.0,176.12,5254338,False
2026-05-04,179.0,185.0,174.0,175.79,4636730,False
2026-04-30,182.1,182.1,172.0,175.76,12160636,False
2026-04-29,202.5,205.0,183.25,185.97,15394967,False
2026-04-28,201.05,206.24,199.12,202.49,4377521,False
2026-04-27,215.0,215.5,203.33,205.73,7146199,False
2026-04-24,207.0,216.0,199.1,213.23,10242683,False
2026-04-23,208.5,211.0,205.05,205.91,4031712,False
