date,open,high,low,close,volume,is_anomaly
2026-09-18,13.28,13.3,12.9,13.13,146644,False
2026-09-17,13.05,13.2,12.9,13.05,227021,False
2026-09-16,13.49,13.49,12.82,12.91,355609,False
2026-09-15,13.2,13.2,12.8,13.0,255930,False
2026-09-14,13.68,13.68,12.84,13.01,198534,False
2026-09-11,13.7,13.89,12.99,13.0,561786,False
2026-09-10,13.51,13.69,13.2,13.23,745677,False
2026-09-09,13.55,13.9,13.49,13.51,474724,False
2026-09-08,13.84,13.84,13.35,13.5,372982,False
2026-09-07,13.89,13.89,13.45,13.7,77858,False
2026-09-04,13.9,13.9,13.4,13.74,341351,False
2026-09-03,13.5,13.78,13.36,13.69,538595,False
2026-09-02,13.0,13.69,13.0,13.5,324703,False
2026-09-01,13.7,13.7,13.46,13.61,377698,False
2026-08-31,14.0,14.0,13.64,13.66,227685,False
2026-08-28,13.88,14.1,13.62,13.8,303054,False
2026-08-27,13.95,14.18,13.61,13.66,72301,False
2026-08-25,13.99,14.18,13.75,13.94,368343,False
2026-08-24,14.14,14.14,13.61,13.74,472133,False
2026-08-21,14.29,14.4,13.05,13.96,406695,False
2026-08-20,14.98,14.98,14.02,14.18,957005,False
2026-08-19,15.52,15.68,14.6,14.71,985995,False
2026-08-18,14.6,15.7,14.39,15.4,4618070,False
2026-08-17,14.84,15.25,14.4,14.61,1013220,False
2026-08-13,15.09,15.44,14.81,15.06,1139646,False
2026-08-12,15.0,15.2,14.9,15.04,579006,False
2026-08-11,15.58,15.58,15.0,15.02,916410,False
2026-08-10,15.77,15.78,15.11,15.46,424896,False
2026-08-07,15.53,15.79,15.4,15.57,612064,False
2026-08-06,15.99,16.05,15.55,15.73,3276437,False
2026-08-05,15.35,16.57,15.0,16.13,23483908,False
2026-08-04,14.87,15.28,14.4,15.06,1993970,False
2026-08-03,15.3,15.6,14.55,14.77,1060082,False
2026-07-31,15.56,15.6,15.05,15.26,1086735,False
2026-07-30,16.19,16.19,15.15,15.35,1847858,False
2026-07-29,15.3,16.47,15.1,16.01,18512128,False
2026-07-28,13.8,14.97,13.3,14.97,12713578,False
2026-07-27,13.38,13.95,12.8,13.61,4624280,False
2026-07-24,13.63,13.63,12.75,13.19,641677,False
2026-07-23,13.6,13.99,13.3,13.38,1229131,False
2026-07-22,13.35,13.8,13.23,13.59,2534246,False
2026-07-21,13.5,13.8,13.24,13.36,442747,False
2026-07-20,13.1,13.37,13.02,13.22,302836,False
2026-07-17,13.93,13.93,13.25,13.4,564692,False
2026-07-16,14.25,14.44,13.79,13.87,2282336,False
2026-07-15,13.05,14.2,13.05,13.91,8224203,False
2026-07-14,13.0,13.37,12.57,13.07,4760068,False
2026-07-13,14.1,14.49,13.4,13.5,9888767,False
2026-07-10,14.3,15.03,14.06,14.78,17365127,False
2026-07-09,12.56,13.66,12.2,13.66,9060361,False
2026-07-08,12.99,13.5,11.8,12.42,17221304,False
2026-07-07,11.79,12.64,11.56,12.64,11696057,False
2026-07-06,10.56,11.62,10.56,11.49,7338574,False
2026-07-03,10.68,11.13,10.5,10.56,5851289,False
2026-07-02,9.99,10.7,9.85,10.43,2863242,False
2026-07-01,9.65,10.03,9.56,9.99,956977,False
2026-06-30,9.79,9.79,9.6,9.63,226397,False
2026-06-29,9.89,10.2,9.61,9.78,2389069,False
2026-06-24,9.8,9.97,9.05,9.77,7103854,False
2026-06-23,9.85,9.85,9.41,9.58,2034802,False
2026-06-22,9.89,9.93,9.74,9.75,824933,False
2026-06-19,9.75,9.83,9.41,9.79,516358,False
2026-06-18,9.78,9.78,9.67,9.75,560635,False
2026-06-17,9.7,9.72,9.56,9.6,373956,False
2026-06-16,9.74,9.78,9.65,9.66,366341,False
2026-06-15,9.87,9.87,9.52,9.64,640943,False
2026-06-12,9.82,9.84,9.62,9.66,334189,False
2026-06-11,9.6,9.8,9.55,9.64,220995,False
2026-06-10,9.8,9.9,9.64,9.69,1088283,False
2026-06-09,9.93,9.95,9.47,9.63,3813467,False
2026-06-08,9.51,9.98,9.51,9.93,129018,False
2026-06-05,9.9,10.11,9.8,9.92,367950,False
2026-06-04,9.83,10.0,9.7,9.81,198635,False
2026-06-03,9.74,9.97,9.68,9.72,486307,False
2026-06-02,9.99,9.99,9.66,9.8,147943,False
2026-06-01,9.85,9.94,9.65,9.8,278515,False
2026-05-29,9.95,10.18,9.63,9.79,253411,False
2026-05-25,9.75,10.09,9.7,9.95,123328,False
2026-05-22,9.9,10.0,9.61,9.73,200654,False
2026-05-21,10.34,10.34,9.62,9.84,838105,False
2026-05-20,10.13,10.42,9.91,10.06,779768,False
2026-05-19,9.95,10.14,9.65,10.0,284539,False
2026-05-18,10.25,10.25,9.51,9.57,379272,False
2026-05-15,10.38,10.4,9.91,10.32,90354,False
2026-05-14,10.07,10.34,9.93,10.2,82159,False
2026-05-13,10.44,10.44,9.91,10.03,142942,False
2026-05-12,10.33,10.78,10.25,10.27,1310541,False
2026-05-11,10.45,10.8,10.2,10.43,1541862,False
2026-05-08,10.24,10.6,9.71,10.25,1441932,False
2026-05-07,9.95,10.37,9.76,10.13,826474,False
2026-05-06,9.59,9.98,9.53,9.85,776810,False
2026-05-05,9.6,9.9,9.36,9.49,22574,False
2026-05-04,9.68,9.88,9.36,9.53,169476,False
2026-04-30,9.61,9.89,9.25,9.68,156330,False
2026-04-29,9.9,10.0,9.52,9.59,266048,False
2026-04-28,9.95,10.0,9.8,9.89,152375,False
2026-04-27,10.05,10.14,9.88,9.94,128545,False
2026-04-24,10.24,10.24,9.9,10.0,502754,False
2026-04-23,9.97,10.6,9.88,10.24,1951761,False
2026-04-22,10.1,10.28,9.65,9.93,191004,False
2026-04-21,10.3,10.42,9.9,9.98,477141,False
2026-04-20,10.29,10.77,9.89,10.06,915482,False
2026-04-17,10.35,10.65,10.1,10.2,1999412,False
2026-04-16,9.88,10.5,9.75,9.97,1362687,False
2026-04-15,10.15,10.49,9.92,10.11,337227,False
2026-04-14,9.98,9.99,9.8,9.92,52405,False
2026-04-13,9.69,10.1,9.43,9.79,91008,False
2026-04-10,10.29,10.29,9.28,9.92,879316,False
2026-04-09,9.92,10.16,9.53,9.81,546949,False
2026-04-08,9.9,9.97,9.2,9.92,1726583,False
2026-04-07,8.95,9.04,8.57,8.97,102198,False
2026-04-06,9.15,9.22,8.1,8.81,282240,False
2026-04-03,9.45,9.45,8.5,9.01,2263772,False
2026-04-02,8.98,9.44,8.72,8.88,998009,False
2026-04-01,9.97,9.97,8.9,8.97,3723342,False
2026-03-31,9.86,10.3,9.3,9.8,1505915,False
2026-03-30,9.7,10.0,9.14,9.39,1245861,False
2026-03-27,10.3,10.69,9.84,10.15,61398,False
2026-03-26,11.01,12.09,10.07,10.19,1718851,False
2026-03-25,11.8,11.9,10.92,10.99,599544,False
2026-03-24,11.6,11.6,11.05,11.3,16814,False
2026-03-19,11.2,11.2,10.7,10.97,17542,False
2026-03-18,11.4,11.4,11.0,11.28,58222,False
2026-03-17,11.0,11.2,11.0,11.2,38319,False
2026-03-16,11.25,11.25,10.82,10.84,2246,False
2026-03-13,10.73,11.0,10.7,10.89,27126,False
2026-03-12,10.84,11.48,10.11,10.97,162501,False
2026-03-11,11.0,11.35,10.65,10.88,40614,False
2026-03-10,10.8,11.39,10.75,11.09,670515,False
2026-03-09,11.23,12.14,10.52,10.52,632965,False
2026-03-06,12.15,12.23,11.39,11.69,494391,False
2026-03-05,11.98,12.15,11.35,11.93,357398,False
2026-03-04,12.19,12.19,11.11,11.35,18068,False
2026-03-03,11.13,11.99,11.13,11.9,69057,False
2026-03-02,12.05,12.89,11.91,11.91,503559,False
2026-02-27,12.61,13.41,12.61,13.23,325122,False
2026-02-26,12.5,13.2,12.5,13.01,1020247,False
2026-02-25,13.5,13.5,12.5,12.65,385877,False
2026-02-24,13.31,13.51,12.03,13.25,448379,False
2026-02-23,13.01,13.79,13.01,13.31,301231,False
2026-02-20,14.0,14.3,13.26,13.73,160920,False
2026-02-19,14.7,14.7,13.83,13.93,1114171,False
2026-02-18,14.25,14.8,14.02,14.53,4238843,False
2026-02-17,14.15,14.5,13.5,14.39,461402,False
2026-02-16,14.49,14.59,13.8,14.01,1118932,False
2026-02-13,14.49,14.55,14.38,14.46,122781,False
2026-02-12,15.0,15.0,14.3,14.35,233245,False
2026-02-11,15.1,15.19,14.75,14.85,653680,False
2026-02-10,14.75,15.31,14.51,14.93,3196184,False
2026-02-09,14.9,14.98,14.38,14.74,563097,False
2026-02-06,14.99,15.1,14.07,14.7,796801,False
2026-02-04,14.6,15.2,14.02,15.04,890033,False
2026-02-03,14.1,14.54,14.0,14.15,419661,False
2026-02-02,14.0,14.3,13.55,14.1,1045907,False
2026-01-30,14.29,14.3,13.8,13.97,119210,False
2026-01-29,14.5,14.5,13.7,14.05,2225551,False
2026-01-28,14.6,14.6,14.16,14.49,943502,False
2026-01-27,15.19,15.19,14.34,14.4,472025,False
