date,open,high,low,close,volume,is_anomaly
2026-09-18,61.5,61.5,59.96,60.75,267,False
2026-09-17,60.9,62.0,59.11,60.75,5243,False
2026-09-16,60.99,60.99,58.6,60.73,2413,False
2026-09-15,60.5,60.5,58.5,59.87,13318,False
2026-09-14,58.01,61.99,58.01,59.91,5566,False
2026-09-11,59.5,61.45,58.0,60.15,4831,False
2026-09-10,60.0,60.0,58.0,59.89,33501,False
2026-09-09,60.98,60.98,59.51,60.5,9679,False
2026-09-08,64.75,64.75,56.13,60.0,25455,False
2026-09-07,62.16,64.97,61.5,62.11,6181,False
2026-09-04,62.0,63.29,61.85,63.01,18638,False
2026-09-03,63.05,64.0,60.0,63.35,55282,False
2026-09-02,67.8,67.8,65.5,67.34,78307,False
2026-09-01,67.74,68.0,65.98,67.67,19947,False
2026-08-31,68.5,68.5,65.5,67.76,25020,False
2026-08-28,66.95,67.99,65.11,67.5,22902,False
2026-08-27,65.94,68.89,65.94,66.95,28710,False
2026-08-25,66.98,66.98,65.5,66.21,34542,False
2026-08-24,65.12,66.99,65.12,66.3,26970,False
2026-08-21,65.01,67.0,65.0,66.31,18978,False
2026-08-20,67.79,67.79,65.51,65.74,12733,False
2026-08-19,66.01,68.0,65.11,66.88,54773,False
2026-08-18,66.32,67.0,64.0,66.6,30360,False
2026-08-17,66.03,66.99,66.02,66.57,8624,False
2026-08-13,66.0,69.0,66.0,66.36,17281,False
2026-08-12,66.4,66.9,65.6,66.59,18685,False
2026-08-11,66.95,66.95,66.0,66.0,7887,False
2026-08-10,65.9,66.33,65.9,66.0,34403,False
2026-08-07,65.0,65.86,63.81,64.69,11172,False
2026-08-06,64.1,65.8,64.1,65.24,12708,False
2026-08-05,64.99,65.24,64.0,65.0,18589,False
2026-08-04,64.6,65.48,63.8,64.95,5935,False
2026-08-03,63.52,65.4,63.52,64.6,10898,False
2026-07-31,63.5,68.0,62.52,63.48,7903,False
2026-07-30,63.51,64.1,63.4,64.04,5193,False
2026-07-29,64.5,64.5,63.5,63.76,3611,False
2026-07-28,64.6,64.7,63.5,63.53,26406,False
2026-07-27,63.99,64.25,63.3,64.21,4322,False
2026-07-24,64.9,64.9,57.47,63.02,23117,False
2026-07-23,65.0,65.0,63.02,63.85,5990,False
2026-07-22,64.0,64.46,63.0,64.42,5073,False
2026-07-21,64.0,64.2,63.0,63.21,2810,False
2026-07-20,62.02,64.64,62.02,63.53,335,False
2026-07-17,64.1,64.8,63.5,63.53,9845,False
2026-07-16,64.1,65.0,63.5,64.31,4657,False
2026-07-15,64.95,65.0,63.02,64.01,24150,False
2026-07-14,65.0,65.95,60.02,62.56,29091,False
2026-07-13,65.0,66.84,65.0,65.7,7669,False
2026-07-10,67.0,67.2,65.51,66.74,5066,False
2026-07-09,66.5,67.48,65.0,66.99,445819,False
2026-07-08,67.0,67.0,65.5,66.0,48444,False
2026-07-07,67.49,67.49,66.0,67.0,25035,False
2026-07-06,65.5,67.29,65.5,67.03,88046,False
2026-07-03,67.2,67.2,64.25,66.06,3902,False
2026-07-02,66.89,67.0,65.0,66.17,15290,False
2026-07-01,65.5,66.7,65.0,65.86,16807,False
2026-06-30,65.93,67.38,63.05,65.52,19511,False
2026-06-29,66.01,66.6,65.9,65.93,8000,False
2026-06-24,66.1,67.49,65.75,66.45,39758,False
2026-06-23,68.0,68.0,66.0,67.31,1537,False
2026-06-22,67.0,67.0,65.05,66.4,13177,False
2026-06-19,67.99,68.0,65.4,66.43,15390,False
2026-06-18,69.5,69.5,65.5,66.71,13244,False
2026-06-17,67.75,72.0,66.5,66.78,31668,False
2026-06-16,66.9,67.99,65.35,66.96,21714,False
2026-06-15,65.18,67.0,64.0,65.13,23177,False
2026-06-12,67.74,67.74,60.1,65.18,12954,False
2026-06-11,65.01,66.0,65.01,65.4,2822,False
2026-06-10,65.99,66.5,64.25,65.7,9930,False
2026-06-09,65.99,66.0,65.02,65.99,9426,False
2026-06-08,65.25,66.5,64.0,64.99,14060,False
2026-06-05,66.94,67.8,65.5,66.99,47936,False
2026-06-04,68.0,68.0,66.51,66.94,56419,False
2026-06-03,69.0,69.0,66.51,67.95,25377,False
2026-06-02,63.5,70.05,63.05,68.76,439887,False
2026-06-01,64.38,66.5,62.57,64.4,71108,False
2026-05-29,63.99,68.0,63.13,64.38,125380,False
