date,open,high,low,close,volume,is_anomaly
2025-03-18,1.16,1.17,1.15,1.15,4550235,False
2025-03-17,1.16,1.17,1.15,1.17,16324496,False
2025-03-14,1.17,1.18,1.14,1.15,7007435,False
2025-03-13,1.16,1.18,1.14,1.17,5719764,False
2025-03-12,1.15,1.17,1.13,1.16,11057559,False
2025-03-11,1.18,1.2,1.14,1.15,14618427,False
2025-03-10,1.01,1.16,1.01,1.14,2491257,False
2025-03-07,1.12,1.16,1.11,1.14,6524729,False
2025-03-06,1.13,1.13,1.1,1.11,2378778,False
2025-03-05,1.13,1.13,1.1,1.11,1028295,False
2025-03-04,1.12,1.12,1.09,1.12,2882193,False
2025-03-03,1.13,1.13,1.1,1.1,631210,False
2025-02-28,1.11,1.14,1.05,1.11,3276612,False
2025-02-27,1.14,1.14,1.12,1.14,3108356,False
2025-02-26,1.13,1.14,1.1,1.13,8054547,False
2025-02-25,1.13,1.14,1.1,1.12,4631615,False
2025-02-24,1.1,1.12,1.07,1.11,2795550,False
2025-02-21,1.1,1.11,1.08,1.1,2352987,False
2025-02-20,1.1,1.11,1.08,1.09,1801031,False
2025-02-19,1.15,1.15,1.08,1.1,9351874,False
2025-02-18,1.09,1.13,1.07,1.12,8243307,False
2025-02-17,1.09,1.09,1.06,1.07,1141835,False
2025-02-14,1.07,1.07,1.05,1.07,2472514,False
2025-02-13,1.08,1.1,1.06,1.07,3020040,False
2025-02-12,1.06,1.09,1.05,1.07,2975543,False
2025-02-11,1.09,1.09,1.05,1.07,4161214,False
2025-02-10,1.08,1.1,1.06,1.07,6633706,False
2025-02-07,1.19,1.21,1.03,1.07,22233978,False
2025-02-06,1.04,1.21,1.03,1.19,119523297,False
2025-02-04,1.02,1.04,1.0,1.03,7267376,False
2025-02-03,1.0,1.02,1.0,1.01,955408,False
2025-01-31,0.99,1.02,0.97,1.0,3353903,False
2025-01-30,0.98,0.99,0.96,0.97,1896547,False
2025-01-29,1.0,1.03,0.97,0.97,1652364,False
2025-01-28,1.02,1.04,0.97,0.99,2718544,False
2025-01-27,1.01,1.01,0.99,0.99,1363166,False
2025-01-24,1.02,1.02,0.98,1.0,903256,False
2025-01-23,1.0,1.04,0.98,0.99,1917858,False
2025-01-22,1.04,1.04,1.0,1.0,462549,False
2025-01-21,1.02,1.04,0.99,1.01,5673122,False
2025-01-20,1.04,1.04,1.0,1.03,2905385,False
2025-01-17,1.03,1.05,1.0,1.02,1312409,False
2025-01-16,1.04,1.04,1.0,1.01,829661,False
2025-01-15,1.05,1.05,1.01,1.02,2848696,False
2025-01-14,1.01,1.07,0.99,1.05,7080574,False
2025-01-13,1.01,1.02,0.98,1.0,5437870,False
2025-01-10,1.0,1.02,0.98,0.99,2696872,False
2025-01-09,1.03,1.06,1.0,1.0,1383069,False
2025-01-08,1.05,1.06,1.01,1.01,3201889,False
2025-01-07,1.05,1.06,1.03,1.03,6262953,False
2025-01-06,1.05,1.05,1.03,1.03,2787486,False
