date,open,high,low,close,volume,is_anomaly
2026-08-19,210.0,215.0,209.0,213.69,4567270,False
2026-08-18,213.5,215.8,210.23,210.69,4345837,False
2026-08-17,218.0,218.0,213.5,214.25,1369599,False
2026-08-13,214.5,218.0,213.3,215.81,4224634,False
2026-08-12,213.0,214.5,210.6,213.66,4437372,False
2026-08-11,216.48,216.48,212.66,213.02,1991776,False
2026-08-10,219.0,221.5,216.5,217.01,4070281,False
2026-08-07,219.45,219.45,216.12,218.03,2396791,False
2026-08-06,220.0,221.55,217.6,220.19,5467323,False
2026-08-05,220.5,221.0,215.77,216.99,6052788,False
2026-08-04,216.0,216.45,210.75,212.03,2367445,False
2026-08-03,215.01,217.0,212.56,215.83,7240203,False
2026-07-31,210.0,211.5,206.3,207.31,4286791,False
2026-07-30,206.0,208.5,204.0,207.23,4797515,False
2026-07-29,211.77,211.77,207.39,207.89,6259316,False
2026-07-28,213.87,219.5,211.52,213.33,10664499,False
2026-07-27,206.0,214.7,204.51,213.87,8897542,False
2026-07-24,194.0,198.89,191.1,195.18,5852182,False
2026-07-23,203.02,206.1,195.11,196.67,4158482,False
2026-07-22,204.97,207.6,202.5,204.93,3767933,False
2026-07-21,211.5,213.85,205.8,206.51,4816956,False
2026-07-20,205.15,211.0,203.0,209.9,4608204,False
2026-07-17,213.99,213.99,207.01,207.87,2946544,False
2026-07-16,207.8,214.4,207.03,213.03,6210819,False
2026-07-15,205.02,209.4,205.02,206.8,3621115,False
2026-07-14,213.0,213.6,202.5,204.01,7776641,False
2026-07-13,220.0,220.0,216.0,217.3,4939129,False
2026-07-10,225.0,226.8,224.01,224.49,3300064,False
2026-07-09,221.0,224.5,220.5,223.3,6095348,False
2026-07-08,230.5,231.55,212.2,224.29,11186908,False
2026-07-07,234.0,235.5,232.02,233.26,3944836,False
2026-07-06,228.0,237.49,227.0,233.98,13357359,False
2026-07-03,227.5,228.27,225.16,226.9,2744306,False
2026-07-02,229.4,231.6,226.2,226.93,7031592,False
2026-07-01,224.85,228.75,222.51,227.14,8336417,False
2026-06-30,221.01,224.01,220.21,223.27,3511930,False
2026-06-29,221.0,224.5,219.2,220.06,4424442,False
2026-06-24,219.0,222.4,219.0,221.94,6039710,False
2026-06-23,218.3,220.6,215.81,218.62,4223372,False
2026-06-22,217.0,218.87,214.8,216.59,2121691,False
2026-06-19,219.0,220.2,212.0,215.29,4319271,False
2026-06-18,221.5,223.5,218.4,219.1,7324254,False
2026-06-17,219.0,221.4,216.01,219.77,6670714,False
2026-06-16,222.66,222.66,216.51,217.19,7680389,False
2026-06-15,224.9,224.9,215.14,221.05,14463033,False
2026-06-12,198.9,208.9,197.8,206.32,14121963,False
2026-06-11,192.0,194.9,191.2,194.1,2512358,False
2026-06-10,195.48,198.39,193.1,193.46,3192528,False
2026-06-09,197.0,198.9,195.4,195.91,2959351,False
2026-06-08,193.09,194.98,190.5,193.65,3253432,False
2026-06-05,198.7,200.9,196.25,197.2,3541626,False
2026-06-04,195.01,198.6,194.52,197.47,4896609,False
2026-06-03,193.55,196.2,191.31,192.97,3874914,False
2026-06-02,194.55,199.19,194.5,195.66,3867156,False
2026-06-01,202.0,202.0,193.01,193.88,5302191,False
2026-05-29,195.01,202.75,195.0,200.77,11702415,False
2026-05-25,190.25,193.85,187.98,193.33,8769852,False
2026-05-22,187.0,188.4,182.98,183.64,1901518,False
2026-05-21,185.89,188.66,185.89,186.39,5142869,False
2026-05-20,177.5,183.6,172.01,181.87,4319437,False
2026-05-19,176.0,178.5,175.52,176.43,1662023,False
2026-05-18,177.98,178.0,172.76,174.64,2764540,False
2026-05-15,179.99,181.0,176.0,179.03,3148050,False
2026-05-14,181.0,183.84,179.5,180.84,2736504,False
2026-05-13,181.0,183.0,179.76,180.08,2170769,False
2026-05-12,186.6,188.9,180.02,180.5,5333361,False
2026-05-11,185.0,188.53,185.0,186.62,2566857,False
2026-05-08,188.99,193.45,187.2,190.31,6992753,False
