date,open,high,low,close,volume,is_anomaly
2026-07-24,265.83,272.9,264.51,267.94,2335519,False
2026-07-23,274.11,275.5,266.03,267.43,1242773,False
2026-07-22,277.0,279.9,272.5,273.74,944522,False
2026-07-21,279.0,283.1,278.0,278.55,1794670,False
2026-07-20,274.0,277.9,272.61,276.71,1588706,False
2026-07-17,281.72,284.5,275.0,275.7,3326344,False
2026-07-16,273.88,283.0,272.0,281.72,3338797,False
2026-07-15,266.1,273.9,266.1,272.49,2568040,False
2026-07-14,274.03,275.0,263.6,265.45,4984992,False
2026-07-13,278.11,278.99,276.11,277.35,1068307,False
2026-07-10,280.51,284.0,280.02,280.7,1443332,False
2026-07-09,277.0,283.0,277.0,279.99,1464803,False
2026-07-08,289.2,290.4,280.0,281.89,3338473,False
2026-07-07,293.99,293.99,290.0,291.7,1103032,False
2026-07-06,293.0,295.45,292.52,293.83,2209674,False
2026-07-03,292.51,293.8,289.9,291.95,2100325,False
2026-07-02,294.08,297.0,291.5,292.51,3612176,False
2026-07-01,288.0,295.0,288.0,294.09,4794478,False
2026-06-30,284.0,289.55,284.0,287.72,2561945,False
2026-06-29,282.21,285.75,282.21,283.32,3490863,False
2026-06-24,280.7,281.5,278.75,281.07,1023741,False
2026-06-23,284.4,284.5,278.0,279.11,1694083,False
2026-06-22,285.0,285.6,281.0,281.81,961499,False
2026-06-19,288.0,290.9,280.1,281.71,4852576,False
2026-06-18,285.79,289.7,284.8,287.3,18746647,False
2026-06-17,285.0,286.0,277.85,284.51,21982639,False
2026-06-16,274.99,284.4,271.25,283.57,7052685,False
2026-06-15,274.0,274.0,266.87,273.76,3580890,False
2026-06-12,264.5,267.6,261.9,266.03,2743159,False
2026-06-11,256.25,262.39,256.0,259.19,1478663,False
2026-06-10,259.11,260.9,257.0,257.42,958869,False
2026-06-09,262.0,264.0,259.02,259.89,1130383,False
2026-06-08,261.0,263.5,257.8,259.0,1868102,False
2026-06-05,263.48,265.5,261.1,262.21,1384500,False
2026-06-04,262.1,263.88,261.0,262.3,755126,False
2026-06-03,262.5,267.7,260.1,261.22,1455785,False
2026-06-02,265.0,266.99,262.01,262.94,1022689,False
2026-06-01,276.5,277.0,261.13,263.74,3606159,False
2026-05-29,270.0,279.97,266.15,276.44,3671717,False
2026-05-25,268.0,269.99,263.0,267.67,1967029,False
2026-05-22,264.99,264.99,259.0,260.13,1426825,False
2026-05-21,259.74,264.0,258.0,261.96,3224506,False
2026-05-20,254.39,257.74,252.8,256.34,2040587,False
2026-05-19,258.01,264.4,250.26,252.9,22942570,False
2026-05-18,263.19,269.0,253.0,256.02,1906417,False
2026-05-15,269.3,270.9,262.0,263.19,1953764,False
2026-05-14,272.0,274.0,269.1,269.96,384082,False
2026-05-13,273.5,274.0,269.5,270.47,1526760,False
2026-05-12,278.2,279.0,272.0,272.79,827316,False
2026-05-11,278.0,279.0,275.9,276.34,653084,False
2026-05-08,283.0,283.8,278.12,279.5,1336327,False
2026-05-07,286.11,291.22,284.5,285.11,7418203,False
2026-05-06,277.5,284.9,277.5,284.32,4203959,False
2026-05-05,272.0,275.0,271.51,274.73,575772,False
2026-05-04,276.49,279.84,269.16,274.45,13599445,False
2026-04-30,275.0,277.95,269.0,274.02,1556503,False
2026-04-29,284.0,286.8,277.0,278.97,1420972,False
2026-04-28,280.51,285.5,279.0,284.57,1170035,False
2026-04-27,281.0,286.5,278.9,281.83,1759114,False
2026-04-24,279.0,283.35,276.0,281.51,1008323,False
2026-04-23,282.51,286.4,278.7,280.72,3446636,False
