date,open,high,low,close,volume,is_anomaly
2026-09-18,4.48,4.5,4.41,4.44,3081150,False
2026-09-17,4.49,4.5,4.4,4.43,1214338,False
2026-09-16,4.4,4.61,4.35,4.44,2887727,False
2026-09-15,4.47,4.5,4.35,4.37,1198876,False
2026-09-14,4.43,4.5,4.36,4.37,1824084,False
2026-09-11,4.45,4.5,4.31,4.43,4060941,False
2026-09-10,4.55,4.57,4.5,4.5,3331755,False
2026-09-09,4.65,4.65,4.5,4.56,1362250,False
2026-09-08,4.65,4.69,4.55,4.6,2884743,False
2026-09-07,4.75,4.75,4.57,4.64,3171377,False
2026-09-04,4.9,4.9,4.6,4.69,4270632,False
2026-09-03,4.55,4.95,4.51,4.78,10767104,False
2026-09-02,4.61,4.68,4.51,4.54,4813024,False
2026-09-01,4.67,4.74,4.6,4.64,3464188,False
2026-08-31,4.78,4.85,4.65,4.67,5510579,False
2026-08-28,4.87,4.94,4.75,4.78,5997946,False
2026-08-27,5.04,5.04,4.86,4.88,4814457,False
2026-08-25,4.92,4.97,4.86,4.89,3323475,False
2026-08-24,5.0,5.0,4.89,4.91,5600636,False
2026-08-21,5.03,5.05,4.9,4.93,5761935,False
2026-08-20,5.02,5.06,4.91,4.92,9232958,False
2026-08-19,5.01,5.08,4.95,5.02,8273782,False
2026-08-18,5.18,5.18,5.01,5.04,13341833,False
2026-08-17,5.14,5.25,5.04,5.13,27309942,False
2026-08-13,5.58,5.64,4.98,5.11,103802064,False
2026-08-12,5.68,5.7,5.55,5.57,13453313,False
2026-08-11,5.25,5.72,5.21,5.51,24832349,False
2026-08-10,5.37,5.37,5.22,5.24,2165597,False
2026-08-07,5.27,5.39,5.26,5.29,2304272,False
2026-08-06,5.35,5.4,5.27,5.31,4068274,False
2026-08-05,5.28,5.38,5.22,5.27,1510265,False
2026-08-04,5.42,5.42,5.22,5.24,1819747,False
2026-08-03,5.43,5.43,5.23,5.3,2977661,False
2026-07-31,5.13,5.48,5.08,5.3,8795813,False
2026-07-30,5.15,5.15,5.05,5.08,1542952,False
2026-07-29,5.24,5.24,5.11,5.15,1407646,False
2026-07-28,5.21,5.27,5.11,5.17,1907774,False
2026-07-27,5.15,5.25,5.15,5.21,2494217,False
2026-07-24,5.14,5.17,4.95,5.06,2414930,False
2026-07-23,5.22,5.22,5.08,5.09,4451190,False
2026-07-22,5.22,5.22,5.11,5.13,1245693,False
2026-07-21,5.25,5.25,5.16,5.21,2254597,False
2026-07-20,5.17,5.2,5.12,5.19,1523653,False
2026-07-17,5.28,5.28,5.18,5.2,1876550,False
2026-07-16,5.3,5.3,5.21,5.27,1788251,False
2026-07-15,5.2,5.3,5.2,5.25,3672356,False
2026-07-14,5.34,5.4,5.15,5.18,5230429,False
2026-07-13,5.34,5.45,5.34,5.38,2173010,False
2026-07-10,5.41,5.52,5.34,5.42,6856965,False
2026-07-09,5.39,5.48,5.35,5.41,3046531,False
2026-07-08,5.6,5.6,5.33,5.39,8409730,False
2026-07-07,5.61,5.69,5.58,5.6,3210728,False
2026-07-06,5.67,5.69,5.61,5.64,3224940,False
2026-07-03,5.77,5.83,5.64,5.67,6884074,False
2026-07-02,5.34,5.9,5.34,5.73,25810023,False
2026-07-01,5.41,5.44,5.34,5.39,2394075,False
2026-06-30,5.34,5.45,5.34,5.39,3950715,False
2026-06-29,5.37,5.46,5.3,5.32,4793477,False
2026-06-24,5.53,5.55,5.37,5.43,5129289,False
2026-06-23,5.5,5.62,5.48,5.49,4215847,False
2026-06-22,5.54,5.63,5.51,5.54,2456537,False
2026-06-19,5.66,5.69,5.51,5.53,4960605,False
2026-06-18,5.61,5.71,5.61,5.63,4034652,False
2026-06-17,5.71,5.76,5.6,5.64,4180782,False
2026-06-16,5.72,5.8,5.69,5.71,6703556,False
2026-06-15,5.79,5.87,5.64,5.71,5670782,False
2026-06-12,5.65,5.72,5.6,5.62,5611321,False
2026-06-11,5.61,5.66,5.55,5.58,4843935,False
2026-06-10,5.71,5.84,5.57,5.65,18936020,False
2026-06-09,5.66,5.83,5.61,5.68,8515476,False
2026-06-08,5.75,5.75,5.52,5.59,21042861,False
2026-06-05,6.09,6.17,5.79,5.83,26493657,False
2026-06-04,6.1,6.28,5.91,6.03,113092837,False
2026-06-03,5.28,5.89,5.28,5.77,23949474,False
2026-06-02,5.35,5.4,5.3,5.31,2523062,False
2026-06-01,5.4,5.44,5.33,5.36,2053005,False
2026-05-29,5.45,5.45,5.32,5.37,1858228,False
2026-05-25,5.39,5.45,5.36,5.41,1433729,False
2026-05-22,5.31,5.38,5.3,5.33,1646842,False
