date,open,high,low,close,volume,is_anomaly
2026-09-18,101.0,113.38,100.6,112.99,6322,False
2026-09-17,103.01,103.96,100.51,103.07,252,False
2026-09-16,103.2,108.0,103.2,103.61,1959,False
2026-09-15,102.11,109.0,102.11,107.58,120,False
2026-09-14,105.0,110.99,105.0,107.58,173,False
2026-09-11,99.99,111.99,99.99,107.58,651,False
2026-09-10,111.0,111.0,100.12,109.11,6760,False
2026-09-09,103.1,112.0,103.0,108.08,1546,False
2026-09-08,105.03,115.0,105.03,106.54,2089,False
2026-09-07,119.0,119.9,108.0,111.64,15054,False
2026-09-04,109.71,118.34,101.5,116.32,46500,False
2026-09-03,97.5,107.58,97.5,107.58,18931,False
2026-09-02,105.99,105.99,96.01,97.8,1361,False
2026-09-01,107.89,107.89,95.13,99.39,9123,False
2026-08-31,105.25,109.0,102.0,103.4,12898,False
2026-08-28,114.0,114.0,103.0,110.0,14764,False
2026-08-27,122.99,123.37,112.23,113.56,54762,False
2026-08-25,107.5,112.15,103.01,112.15,36546,False
2026-08-24,86.01,101.97,86.01,101.95,50218,False
2026-08-21,96.0,96.0,85.0,92.7,2580,False
2026-08-20,0.0,0.0,0.0,88.01,2,True
2026-08-19,90.0,90.0,87.03,88.01,2124,False
2026-08-18,88.59,88.59,88.59,88.59,5,False
2026-08-17,88.51,93.99,88.0,88.59,852,False
2026-08-13,88.03,94.0,88.01,88.5,1284,False
2026-08-12,89.0,89.0,88.01,88.01,375,False
2026-08-11,88.9,88.9,88.9,88.9,325,False
2026-08-10,90.0,95.99,88.01,88.9,4914,False
2026-08-07,90.0,92.0,88.0,90.0,2900,False
2026-08-06,88.11,90.0,88.0,89.99,3149,False
2026-08-05,88.0,91.97,88.0,91.11,136,False
2026-08-04,90.0,90.0,88.01,91.11,29,True
2026-08-03,94.95,94.95,88.02,91.11,346,False
2026-07-31,94.1,94.1,85.0,92.69,970,False
2026-07-30,91.0,91.0,91.0,90.01,6,True
2026-07-29,89.0,92.0,84.0,90.01,210,False
2026-07-28,90.0,91.99,90.0,90.01,291,False
2026-07-27,90.0,93.0,90.0,92.49,508,False
2026-07-24,95.88,95.88,89.0,89.02,2527,False
2026-07-23,89.02,89.02,87.0,89.02,132,False
2026-07-22,89.42,92.0,89.0,89.02,449,False
2026-07-21,90.0,96.99,88.0,89.42,3991,False
2026-07-17,97.99,97.99,89.02,95.7,5,False
2026-07-15,95.99,95.99,94.99,95.7,500,False
2026-07-14,90.1,93.98,89.01,93.98,2402,False
2026-07-13,96.51,96.51,96.51,96.51,219,False
2026-07-10,96.0,99.0,96.0,96.51,1266,False
2026-07-09,99.99,99.99,97.0,96.29,792,True
2026-07-08,102.0,103.99,94.6,96.29,6311,False
2026-07-07,99.01,102.85,99.01,101.67,1123,False
2026-07-06,100.0,104.0,99.0,102.8,7928,False
2026-07-03,100.0,100.0,96.51,99.0,1320,False
2026-07-02,103.0,103.0,98.0,99.29,559,False
2026-07-01,100.0,102.0,96.75,100.73,7284,False
2026-06-30,96.0,101.9,94.0,96.54,5897,False
2026-06-29,99.04,102.9,99.04,102.9,281,False
2026-06-24,99.98,101.0,93.01,100.18,7532,False
2026-06-23,101.2,101.2,95.1,96.0,1543,False
2026-06-22,99.04,101.94,93.01,100.61,394,False
2026-06-19,100.22,103.99,99.0,99.04,6553,False
2026-06-18,103.95,104.0,100.0,100.22,3010,False
2026-06-17,105.0,105.0,102.0,102.09,2984,False
2026-06-16,106.0,107.5,103.0,103.46,7788,False
2026-06-15,110.0,110.0,104.05,107.28,4097,False
2026-06-12,104.01,109.99,104.01,106.12,6266,False
2026-06-11,111.0,113.75,104.0,105.04,43957,False
2026-06-10,116.0,118.0,110.61,113.0,13904,False
2026-06-09,111.98,121.17,105.55,116.0,129372,False
2026-06-08,110.01,113.0,106.2,110.15,2236,False
2026-06-05,110.12,118.95,110.02,111.52,3822,False
2026-06-04,113.95,115.95,108.0,113.58,11880,False
2026-06-03,107.89,116.5,104.0,111.27,52074,False
2026-06-02,120.0,121.88,108.05,109.14,58419,False
2026-06-01,112.0,121.4,110.0,120.06,133068,False
2026-05-29,110.36,110.36,95.0,110.36,176560,False
2026-05-25,100.33,100.33,100.33,100.33,4639,False
2026-05-22,90.75,91.21,84.0,91.21,124068,False
2026-05-21,82.92,82.92,82.92,82.92,11608,False
2026-05-20,73.8,75.38,73.79,75.38,23700,False
2026-05-19,62.3,68.53,58.0,68.53,30918,False
2026-05-18,66.0,66.77,61.12,62.3,10079,False
2026-05-15,54.98,60.7,54.98,60.7,17428,False
2026-05-14,51.6,54.99,51.6,55.18,64,True
2026-05-13,55.2,55.24,51.51,55.18,1519,False
2026-05-12,51.75,55.49,51.51,55.4,192,False
2026-05-11,56.4,56.4,52.01,55.4,805,False
2026-05-08,52.01,56.0,52.01,55.48,1514,False
2026-05-07,52.25,54.25,52.25,54.49,2,True
2026-05-06,52.7,55.0,52.7,54.49,5027,False
2026-05-05,54.94,54.94,54.94,54.94,2000,False
2026-05-04,55.0,55.0,52.3,54.97,4961,False
2026-04-30,55.5,55.5,52.55,55.49,2111,False
2026-04-29,55.98,55.98,52.5,55.29,4566,False
2026-04-28,56.75,56.75,52.11,55.0,8194,False
2026-04-27,54.97,56.25,51.71,56.24,3370,False
2026-04-24,50.51,54.57,50.51,54.49,2014,False
2026-04-23,55.25,55.25,52.0,54.58,2952,False
2026-04-22,54.9,55.24,52.01,54.84,6081,False
2026-04-21,51.11,54.99,51.11,54.32,6954,False
2026-04-20,53.14,54.49,50.06,53.95,15357,False
2026-04-17,52.89,53.3,50.1,53.14,7965,False
2026-04-16,51.99,52.85,50.0,52.51,6505,False
2026-04-15,52.0,52.0,48.11,51.67,3706,False
2026-04-14,50.24,52.95,47.55,50.07,15426,False
2026-04-13,44.0,50.0,44.0,49.36,52069,False
2026-04-10,44.32,47.99,44.32,46.76,7226,False
2026-04-09,46.95,46.95,44.1,45.97,18197,False
2026-04-08,45.0,48.49,45.0,47.72,15595,False
2026-04-07,45.8,46.0,43.0,46.5,118,True
2026-04-06,46.0,46.95,44.0,46.5,11737,False
2026-04-03,48.85,48.85,42.75,45.95,52838,False
2026-04-02,47.47,48.0,44.44,46.02,24914,False
2026-04-01,50.3,52.95,48.0,49.0,25024,False
2026-03-31,51.5,51.5,51.0,50.66,25,True
2026-03-30,48.15,51.5,48.15,50.66,102,False
2026-03-27,53.0,53.0,49.1,50.66,13876,False
2026-03-26,54.5,54.54,54.5,54.53,2502,False
2026-03-25,51.2,54.94,51.2,52.1,3065,False
2026-03-24,59.9,59.9,53.96,54.01,33553,False
2026-03-19,59.95,59.95,56.99,59.95,5003,False
2026-03-18,58.7,58.7,58.7,54.95,1,True
2026-03-17,56.0,56.0,51.1,54.95,5034,False
2026-03-16,57.99,57.99,51.75,52.11,7276,False
2026-03-13,55.02,57.0,53.25,55.99,6626,False
2026-03-12,58.29,61.75,56.0,59.12,20791,False
2026-03-11,57.8,58.32,51.01,58.32,68571,False
2026-03-10,51.0,53.02,48.2,53.02,9291,False
2026-03-09,57.45,57.45,48.02,48.2,4019,False
2026-03-06,53.86,53.86,50.1,53.36,1012,False
2026-03-05,52.0,52.5,50.03,52.0,2564,False
2026-03-04,56.8,56.8,52.0,53.97,70,False
2026-03-03,50.21,56.9,50.21,53.97,6014,False
2026-03-02,50.21,53.0,50.21,55.79,8,True
2026-02-27,52.01,56.99,52.01,55.79,3866,False
2026-02-26,52.2,54.0,52.2,52.2,1002,False
2026-02-25,56.0,56.0,52.11,54.99,741,False
2026-02-24,53.01,56.0,52.0,54.99,3073,False
2026-02-23,56.0,56.01,56.0,56.01,1001,False
2026-02-20,58.0,58.0,54.0,57.98,1204,False
2026-02-19,53.51,56.0,53.51,55.99,627,False
2026-02-18,56.0,57.99,53.16,56.82,4918,False
2026-02-17,56.1,57.94,54.8,56.31,5048,False
2026-02-16,58.79,58.79,58.79,58.79,2000,False
2026-02-13,58.0,58.75,56.11,58.04,1539,False
2026-02-12,57.99,57.99,57.99,57.99,15,False
2026-02-11,58.7,58.7,57.99,57.99,596,False
2026-02-10,58.14,58.14,58.14,58.14,7703,False
2026-02-09,59.0,59.0,57.0,58.79,7804,False
2026-02-06,57.01,59.49,56.21,59.34,3316,False
2026-02-04,58.5,59.58,58.5,59.58,4067,False
2026-02-03,57.8,58.45,57.01,58.0,539,False
2026-02-02,58.6,58.6,57.01,57.5,2433,False
2026-01-30,57.03,58.6,57.03,59.48,4,True
