date,open,high,low,close,volume,is_anomaly
2026-09-18,161.8,164.85,160.1,162.5,81350,False
2026-09-17,160.5,163.0,159.08,160.13,432446,False
2026-09-16,160.0,163.5,157.0,158.44,439411,False
2026-09-15,159.89,162.4,156.0,159.3,161569,False
2026-09-14,160.69,163.48,155.11,156.09,197790,False
2026-09-11,162.02,164.0,158.5,160.29,200985,False
2026-09-10,164.66,164.7,161.56,163.61,76153,False
2026-09-09,166.94,166.94,164.09,164.86,24819,False
2026-09-08,167.1,168.9,163.8,165.83,212305,False
2026-09-07,167.99,173.9,166.15,167.02,405215,False
2026-09-04,168.0,169.45,165.02,166.15,184031,False
2026-09-03,168.69,170.0,166.0,167.21,187609,False
2026-09-02,168.52,169.0,165.66,168.49,42572,False
2026-09-01,172.2,172.2,169.05,169.28,24650,False
2026-08-31,171.0,173.79,169.8,170.2,21636,False
2026-08-28,172.84,174.99,171.0,171.33,11645,False
2026-08-27,173.44,175.79,172.0,172.84,65085,False
2026-08-25,174.95,177.0,171.22,173.25,239498,False
2026-08-24,178.98,178.99,174.1,174.95,157805,False
2026-08-21,166.01,181.01,166.0,177.63,3245531,False
2026-08-20,168.9,169.9,164.0,164.55,156219,False
2026-08-19,166.0,170.94,165.0,167.06,357055,False
2026-08-18,172.0,172.49,164.02,165.05,151008,False
2026-08-17,166.84,173.0,166.0,171.51,149918,False
2026-08-13,165.04,168.49,165.04,166.84,73636,False
2026-08-12,164.6,165.19,163.0,165.04,34469,False
2026-08-11,164.0,165.79,162.51,164.65,6549,False
2026-08-10,164.9,169.8,163.51,164.95,88401,False
2026-08-07,164.0,164.9,163.16,164.21,21186,False
2026-08-06,159.8,167.5,159.79,166.63,273359,False
2026-08-05,158.32,159.85,157.71,158.98,55569,False
2026-08-04,158.3,158.5,156.51,157.17,46585,False
2026-08-03,160.02,160.99,158.0,158.2,155328,False
2026-07-31,161.51,161.9,156.0,156.61,245062,False
2026-07-30,162.65,164.84,148.0,159.97,164483,False
2026-07-29,166.9,166.9,161.52,163.27,55898,False
2026-07-28,170.8,170.8,166.29,166.88,129656,False
2026-07-27,162.03,170.48,162.03,168.57,336338,False
2026-07-24,164.0,164.0,158.01,159.99,78505,False
2026-07-23,165.0,165.95,161.0,161.38,13377,False
2026-07-22,163.5,167.5,163.05,164.9,21996,False
2026-07-21,168.0,169.9,163.0,163.93,64280,False
2026-07-20,167.99,169.0,162.5,166.33,32618,False
2026-07-17,172.0,174.49,168.05,168.41,141263,False
2026-07-16,169.0,173.0,167.5,171.56,274057,False
2026-07-15,164.0,168.5,164.0,166.27,53704,False
2026-07-14,170.1,170.95,165.0,165.23,254574,False
2026-07-13,173.01,173.9,171.5,171.92,87070,False
2026-07-10,174.98,179.79,174.3,176.25,157240,False
2026-07-09,175.0,177.49,172.91,174.85,104748,False
2026-07-08,182.52,182.52,170.21,175.13,458186,False
2026-07-07,190.0,193.0,185.0,185.83,537887,False
2026-07-06,169.67,186.64,169.67,186.64,903962,False
2026-07-03,172.0,172.5,168.15,169.67,326458,False
2026-07-02,169.32,173.0,169.3,171.09,181445,False
2026-07-01,169.5,170.21,168.5,169.32,59395,False
2026-06-30,169.89,170.95,168.0,168.87,46442,False
2026-06-29,170.0,172.4,168.0,168.94,91774,False
2026-06-24,168.0,171.87,167.31,168.95,126639,False
2026-06-23,168.1,171.0,166.5,167.13,95205,False
2026-06-22,170.9,172.5,168.7,169.85,168913,False
2026-06-19,170.15,172.01,166.1,168.18,184547,False
2026-06-18,170.0,173.99,170.0,170.1,184381,False
2026-06-17,171.51,174.4,162.51,169.65,152761,False
2026-06-16,174.0,177.88,170.95,171.39,445528,False
2026-06-15,170.25,177.9,168.02,173.41,518499,False
2026-06-12,165.0,170.0,163.1,167.22,519239,False
2026-06-11,166.0,166.49,163.0,163.27,120308,False
2026-06-10,158.01,168.9,158.01,166.63,1305805,False
2026-06-09,157.0,158.1,156.0,157.72,45572,False
2026-06-08,154.01,157.0,153.24,154.61,67059,False
2026-06-05,158.4,161.0,156.88,157.27,109148,False
2026-06-04,158.0,158.45,156.5,157.2,165552,False
2026-06-03,158.0,158.4,156.32,157.69,57775,False
2026-06-02,162.4,162.98,155.22,159.33,98024,False
2026-06-01,158.01,164.9,158.0,161.61,552896,False
2026-05-29,159.0,160.0,157.55,158.31,323447,False
2026-05-25,160.0,160.8,155.0,158.0,272388,False
2026-05-22,162.0,162.47,156.0,156.76,31880,False
2026-05-21,159.23,160.0,157.8,159.51,34885,False
2026-05-20,157.0,157.0,155.01,156.94,38584,False
2026-05-19,158.0,158.0,156.0,156.6,36270,False
2026-05-18,159.6,159.6,155.66,156.0,35447,False
2026-05-15,162.99,162.99,159.5,160.35,64379,False
2026-05-14,163.05,166.0,160.11,161.11,67545,False
2026-05-13,155.05,165.98,155.05,162.99,332631,False
2026-05-12,159.03,161.88,158.0,158.39,65011,False
2026-05-11,159.0,161.7,156.0,161.04,45852,False
2026-05-08,163.15,164.0,158.0,159.2,74572,False
2026-05-07,164.9,165.87,163.0,164.01,72340,False
2026-05-06,167.98,167.98,158.0,163.37,93957,False
