date,open,high,low,close,volume,is_anomaly
2026-09-18,7.99,8.25,7.81,8.0,373057,False
2026-09-17,7.63,7.89,7.51,7.78,566882,False
2026-09-16,7.77,7.8,7.5,7.51,532795,False
2026-09-15,7.89,7.89,7.57,7.69,149037,False
2026-09-14,7.75,7.95,7.61,7.69,239922,False
2026-09-11,7.66,7.99,7.25,7.81,671108,False
2026-09-10,8.28,8.28,7.83,7.87,322164,False
2026-09-09,8.3,8.37,8.07,8.12,358844,False
2026-09-08,8.32,8.4,8.2,8.29,326284,False
2026-09-07,8.35,8.63,8.35,8.42,245447,False
2026-09-04,8.52,8.67,8.43,8.48,290097,False
2026-09-03,8.27,8.72,8.25,8.52,542662,False
2026-09-02,8.26,8.47,8.25,8.27,180072,False
2026-09-01,8.45,8.45,8.26,8.31,209068,False
2026-08-31,8.5,8.55,8.3,8.32,414227,False
2026-08-28,8.74,8.74,8.4,8.42,442934,False
2026-08-27,8.74,8.83,8.53,8.59,234647,False
2026-08-25,8.75,8.83,8.66,8.74,316212,False
2026-08-24,8.72,8.84,8.51,8.69,199405,False
2026-08-21,8.78,8.93,8.65,8.71,351529,False
2026-08-20,8.75,9.0,8.75,8.77,330792,False
2026-08-19,8.92,9.05,8.8,8.82,570273,False
2026-08-18,9.17,9.17,8.85,8.93,331692,False
2026-08-17,9.16,9.29,9.0,9.04,934935,False
2026-08-13,9.11,9.36,9.11,9.16,658646,False
2026-08-12,9.15,9.6,9.0,9.19,2771600,False
2026-08-11,9.0,9.39,8.9,9.16,1253814,False
2026-08-10,9.3,9.4,8.36,8.97,1553505,False
2026-08-07,9.32,9.44,9.25,9.28,770341,False
2026-08-06,9.2,9.85,9.2,9.42,5723365,False
2026-08-05,8.96,9.2,8.8,9.11,1889157,False
2026-08-04,8.8,8.9,8.75,8.8,425211,False
2026-08-03,8.89,8.91,8.75,8.83,1073616,False
2026-07-31,8.85,8.89,8.72,8.76,428472,False
2026-07-30,8.69,8.89,8.69,8.75,464546,False
2026-07-29,8.73,8.9,8.6,8.74,614584,False
2026-07-28,9.1,9.1,8.71,8.82,1304681,False
2026-07-27,9.2,9.2,9.0,9.01,1608968,False
2026-07-24,8.61,9.45,8.51,8.93,4244850,False
2026-07-23,8.98,8.98,8.5,8.69,2085505,False
2026-07-22,8.93,8.93,8.7,8.77,547738,False
2026-07-21,9.18,9.18,8.81,8.93,1281742,False
2026-07-20,9.01,9.09,8.69,8.85,2462788,False
2026-07-17,9.3,9.47,9.08,9.13,6764415,False
2026-07-16,10.25,10.54,9.07,9.34,35220476,False
2026-07-15,8.79,9.79,8.56,9.79,10715238,False
2026-07-14,9.04,9.28,8.65,8.79,901780,False
2026-07-13,8.7,9.3,8.67,9.14,2953382,False
2026-07-10,9.37,9.7,8.9,8.96,10015180,False
2026-07-09,9.05,9.28,8.92,9.17,868993,False
2026-07-08,9.46,9.8,8.9,9.11,5638105,False
2026-07-07,8.88,9.7,8.66,9.7,8681175,False
2026-07-06,8.65,8.83,8.52,8.7,444559,False
2026-07-03,8.89,8.89,8.61,8.65,356569,False
2026-07-02,8.56,8.89,8.56,8.76,280678,False
2026-07-01,8.7,8.75,8.54,8.67,231543,False
2026-06-30,8.7,8.8,8.41,8.63,374774,False
2026-06-29,8.52,8.84,8.51,8.53,265492,False
2026-06-24,8.97,8.98,8.49,8.65,1901678,False
2026-06-23,9.0,9.25,8.64,8.8,1585701,False
2026-06-22,9.0,9.1,8.36,8.94,711608,False
2026-06-19,9.12,9.39,8.85,8.91,1345307,False
2026-06-18,8.79,9.19,8.79,9.05,1109160,False
2026-06-17,8.97,8.97,8.66,8.8,687796,False
2026-06-16,9.02,9.02,8.72,8.83,679523,False
2026-06-15,8.85,9.14,8.66,8.92,1746005,False
2026-06-12,8.68,8.9,8.56,8.59,658767,False
2026-06-11,8.9,8.9,8.55,8.68,1420544,False
2026-06-10,8.79,9.27,8.6,8.8,6064799,False
2026-06-09,8.33,8.78,8.3,8.6,2209833,False
2026-06-08,8.38,8.47,8.25,8.27,324288,False
2026-06-05,8.24,8.49,8.17,8.38,587056,False
2026-06-04,8.25,8.4,8.18,8.24,409464,False
2026-06-03,8.16,8.3,8.12,8.18,297787,False
2026-06-02,8.19,8.28,8.12,8.16,368364,False
2026-06-01,8.35,8.46,8.16,8.19,116874,False
2026-05-29,8.32,8.49,8.02,8.23,639049,False
2026-05-25,8.12,8.17,8.05,8.12,1188011,False
2026-05-22,8.01,8.09,7.95,8.01,234841,False
2026-05-21,8.11,8.24,8.0,8.09,507677,False
2026-05-20,8.05,8.13,7.98,8.06,243375,False
2026-05-19,8.25,8.25,7.93,8.12,389748,False
2026-05-18,8.33,8.47,8.01,8.02,400822,False
2026-05-15,8.42,8.49,8.13,8.22,326591,False
2026-05-14,8.39,8.77,8.12,8.38,3178388,False
2026-05-13,8.2,8.44,8.1,8.21,990375,False
2026-05-12,8.61,9.2,8.1,8.2,10932630,False
2026-05-11,7.9,8.87,7.89,8.53,5714759,False
2026-05-08,7.91,8.01,7.81,7.94,900065,False
2026-05-07,7.99,8.2,7.97,8.0,903929,False
2026-05-06,7.71,8.2,7.71,7.98,1144260,False
2026-05-05,7.43,8.4,7.41,7.73,4312734,False
2026-05-04,7.77,7.93,7.56,7.65,283945,False
2026-04-30,7.92,7.92,7.41,7.53,552917,False
2026-04-29,7.99,8.04,7.72,7.75,452619,False
2026-04-28,7.99,8.13,7.86,7.9,1086205,False
2026-04-27,8.17,8.35,8.08,8.13,1397898,False
2026-04-24,8.07,8.2,8.03,8.11,777285,False
2026-04-23,8.36,8.58,8.12,8.25,1962669,False
2026-04-22,8.08,8.7,7.87,8.26,4413430,False
2026-04-21,8.19,8.3,8.03,8.08,1205442,False
2026-04-20,8.08,8.6,7.8,8.19,2606074,False
2026-04-17,8.12,8.36,8.02,8.17,1403644,False
2026-04-16,8.12,8.2,7.85,8.13,810583,False
2026-04-15,8.02,8.17,7.97,8.0,1135397,False
2026-04-14,7.88,8.25,7.66,7.93,4162105,False
2026-04-13,7.85,7.87,7.6,7.66,651534,False
2026-04-10,8.0,8.38,7.85,8.03,1863022,False
2026-04-09,8.1,8.1,7.72,7.94,589158,False
2026-04-08,7.99,8.29,7.76,8.21,2186664,False
2026-04-07,7.44,7.44,7.25,7.4,139523,False
2026-04-06,7.21,7.35,7.1,7.31,207106,False
2026-04-03,7.15,7.35,7.0,7.18,498249,False
2026-04-02,7.42,7.42,7.01,7.24,410900,False
2026-04-01,7.29,7.69,7.29,7.53,1697964,False
2026-03-31,7.0,7.23,7.0,7.1,1317230,False
2026-03-30,8.1,8.1,7.04,7.13,7166501,False
2026-03-27,9.4,9.89,8.01,8.04,12223874,False
2026-03-26,8.6,9.01,8.25,9.01,2187153,False
2026-03-25,7.24,8.01,6.91,8.01,2460574,False
2026-03-24,7.3,7.3,6.99,7.01,93071,False
2026-03-19,6.82,7.5,6.66,7.04,1634822,False
2026-03-18,6.7,6.9,6.51,6.83,158951,False
2026-03-17,6.79,6.94,6.6,6.7,89462,False
2026-03-16,6.82,6.82,6.5,6.57,291479,False
2026-03-13,6.74,7.0,6.3,6.82,831246,False
2026-03-12,6.6,6.79,6.51,6.55,124824,False
2026-03-11,6.89,6.89,6.6,6.69,147915,False
2026-03-10,6.98,6.98,6.13,6.52,3123998,False
2026-03-09,6.21,6.9,5.75,6.05,631407,False
2026-03-06,7.09,7.09,6.62,6.72,142847,False
2026-03-05,6.6,7.0,6.6,6.95,290646,False
2026-03-04,6.6,6.83,6.3,6.55,554426,False
2026-03-03,6.62,6.8,6.37,6.6,326736,False
2026-03-02,6.76,7.5,6.68,6.68,1233057,False
2026-02-27,7.79,7.79,7.49,7.68,245341,False
2026-02-26,7.84,7.99,7.06,7.9,187577,False
2026-02-25,8.39,8.39,7.5,7.71,941124,False
2026-02-24,7.32,8.34,7.0,8.11,1840521,False
2026-02-23,7.9,7.9,7.2,7.34,259041,False
2026-02-20,8.1,8.1,7.2,7.58,842220,False
2026-02-19,8.6,8.9,7.95,8.03,392907,False
2026-02-18,8.47,8.78,8.32,8.6,689801,False
2026-02-17,9.0,9.16,8.22,8.47,1454008,False
2026-02-16,9.19,9.25,8.81,9.0,1285697,False
2026-02-13,9.21,9.27,8.99,9.09,711603,False
2026-02-12,9.33,9.47,9.07,9.21,339262,False
2026-02-11,9.51,9.54,9.29,9.33,596427,False
2026-02-10,9.61,9.8,9.4,9.51,465662,False
2026-02-09,9.88,9.89,9.6,9.61,186384,False
2026-02-06,9.7,9.78,9.53,9.63,289189,False
2026-02-04,9.64,9.88,9.6,9.65,329732,False
