date,open,high,low,close,volume,is_anomaly
2026-09-18,68.0,69.4,68.0,68.5,904101,False
2026-09-17,67.89,68.81,67.51,67.97,1349791,False
2026-09-16,69.85,69.85,67.5,67.89,902994,False
2026-09-15,70.0,73.24,69.21,69.86,2605928,False
2026-09-14,72.01,73.01,68.52,69.27,741520,False
2026-09-11,70.0,73.5,70.0,72.92,762361,False
2026-09-10,74.89,75.19,71.0,71.93,533031,False
2026-09-09,74.8,75.39,74.2,75.08,259514,False
2026-09-08,76.95,76.95,73.85,74.6,552960,False
2026-09-07,77.0,77.45,76.43,76.5,178191,False
2026-09-04,78.0,78.0,77.02,77.43,162721,False
2026-09-03,77.98,78.9,77.4,77.61,520122,False
2026-09-02,78.0,78.31,77.05,77.48,224270,False
2026-09-01,79.0,79.47,78.0,78.31,188159,False
2026-08-31,77.5,81.14,77.5,78.76,1064389,False
2026-08-28,78.98,79.95,77.51,77.85,324834,False
2026-08-27,79.0,79.9,78.18,78.36,416629,False
2026-08-25,78.75,79.0,78.2,78.83,270623,False
2026-08-24,77.88,79.79,77.85,78.53,374433,False
2026-08-21,79.0,79.1,77.01,77.88,594431,False
2026-08-20,79.5,79.75,78.3,78.49,212778,False
2026-08-19,79.0,80.39,78.89,79.0,664465,False
2026-08-18,80.95,80.95,79.01,79.38,535602,False
2026-08-17,81.06,81.35,80.0,80.83,601716,False
2026-08-13,81.01,81.81,80.01,80.39,551092,False
2026-08-12,81.0,81.85,80.51,81.0,621685,False
2026-08-11,82.94,82.94,80.82,81.01,491184,False
2026-08-10,83.21,83.99,81.21,82.83,655657,False
2026-08-07,83.05,83.5,82.11,83.14,365123,False
2026-08-06,82.37,83.2,81.01,82.95,615983,False
2026-08-05,82.5,82.6,81.8,81.97,250148,False
2026-08-04,82.0,82.49,81.01,81.48,168715,False
2026-08-03,83.0,83.01,81.51,81.92,577190,False
2026-07-31,82.0,82.0,80.52,80.97,245093,False
2026-07-30,80.01,80.99,79.49,80.35,424694,False
2026-07-29,82.0,82.0,80.56,81.04,525997,False
2026-07-28,83.8,84.4,82.8,83.04,898557,False
2026-07-27,81.5,83.3,80.59,82.79,1621661,False
2026-07-24,77.0,80.0,76.0,78.05,505356,False
2026-07-23,79.39,80.2,77.43,78.05,480984,False
2026-07-22,79.78,80.45,78.51,79.39,474307,False
2026-07-21,83.0,83.06,79.22,79.8,1300250,False
2026-07-20,81.0,81.7,80.19,81.45,251947,False
2026-07-17,83.29,83.88,81.78,82.15,424432,False
2026-07-16,82.21,83.98,82.0,83.42,820056,False
2026-07-15,81.73,84.0,81.5,82.17,720735,False
2026-07-14,84.0,84.0,80.65,81.25,1519564,False
2026-07-13,86.0,87.0,84.15,85.96,1112950,False
2026-07-10,89.4,90.5,88.5,88.96,748397,False
2026-07-09,87.0,89.0,85.5,88.73,1281336,False
2026-07-08,90.2,91.4,83.51,87.39,3895107,False
2026-07-07,91.0,94.25,91.0,92.56,4012284,False
2026-07-06,89.06,92.37,89.05,90.88,2507818,False
2026-07-03,89.89,89.89,88.53,88.96,855175,False
2026-07-02,89.2,92.0,88.41,89.84,4129237,False
2026-07-01,88.0,89.85,87.52,88.35,2287765,False
2026-06-30,87.0,87.9,86.52,87.61,1909251,False
2026-06-29,86.0,88.98,85.05,86.81,2409260,False
2026-06-24,84.42,86.9,84.0,86.49,1280819,False
2026-06-23,84.21,85.0,83.52,84.21,548343,False
2026-06-22,84.5,85.7,84.2,84.46,713002,False
2026-06-19,85.05,85.85,82.75,84.18,779877,False
2026-06-18,85.5,86.95,84.0,85.05,1088757,False
2026-06-17,86.7,87.4,84.0,84.72,1702745,False
2026-06-16,87.6,88.6,86.5,86.68,2372010,False
2026-06-15,89.99,89.99,85.0,87.23,3092328,False
2026-06-12,81.49,84.49,80.02,82.88,3907280,False
2026-06-11,79.0,80.2,78.51,79.97,1702919,False
2026-06-10,77.6,81.81,76.5,80.5,5295534,False
2026-06-09,77.5,78.0,77.0,77.61,858195,False
2026-06-08,76.0,76.75,75.1,76.0,408870,False
2026-06-05,75.9,78.9,75.72,77.52,2027407,False
2026-06-04,74.31,75.81,74.31,75.44,357423,False
2026-06-03,75.0,75.35,74.01,74.6,451150,False
2026-06-02,74.42,76.0,74.42,75.64,789758,False
2026-06-01,76.05,76.48,74.01,74.42,1049672,False
2026-05-29,76.5,79.07,75.68,76.56,2098961,False
2026-05-25,75.62,77.0,74.6,75.68,1408102,False
2026-05-22,73.82,74.58,72.61,73.05,786639,False
2026-05-21,73.0,73.78,72.51,73.14,477344,False
2026-05-20,70.01,71.87,70.01,71.53,217907,False
2026-05-19,71.0,71.88,70.0,70.47,175282,False
2026-05-18,71.97,71.97,69.95,70.11,438160,False
2026-05-15,71.1,72.65,71.01,72.13,483539,False
2026-05-14,72.52,73.0,71.01,71.49,376861,False
2026-05-13,74.78,74.78,72.01,72.42,693855,False
2026-05-12,76.49,76.49,73.44,73.83,554331,False
2026-05-11,75.5,75.84,74.5,75.52,356560,False
2026-05-08,76.0,77.0,75.0,76.23,517021,False
2026-05-07,76.01,78.7,75.3,77.47,1867409,False
2026-05-06,72.18,77.0,72.18,76.03,1778855,False
2026-05-05,69.0,71.0,68.55,70.36,300752,False
2026-05-04,74.0,74.0,69.4,70.74,576683,False
2026-04-30,71.0,71.0,67.0,70.0,1820049,False
2026-04-29,75.75,76.97,70.9,72.22,1265776,False
2026-04-28,74.1,76.5,73.0,75.96,919029,False
2026-04-27,76.38,77.38,75.0,76.93,622196,False
2026-04-24,74.51,77.55,72.06,76.39,1246370,False
2026-04-23,77.79,78.0,75.01,75.71,1055924,False
2026-04-22,81.0,82.0,77.8,78.1,1358313,False
2026-04-21,81.01,82.4,81.01,81.3,811575,False
2026-04-20,82.0,83.99,77.25,80.81,1598652,False
2026-04-17,80.62,84.49,80.61,83.21,2560081,False
2026-04-16,77.0,80.05,77.0,79.87,2016729,False
2026-04-15,76.0,77.9,75.95,76.09,1483496,False
2026-04-14,72.5,74.5,72.25,73.71,2087877,False
2026-04-13,71.0,72.49,69.81,70.04,3152397,False
2026-04-10,71.48,76.48,71.48,75.69,2440523,False
2026-04-09,69.7,72.85,67.01,71.46,3085372,False
2026-04-08,68.13,68.13,67.1,68.13,1423762,False
2026-04-07,61.01,62.35,61.0,61.94,528398,False
2026-04-06,60.98,63.0,60.11,61.98,1332624,False
