date,open,high,low,close,volume,is_anomaly
2026-09-18,63.98,65.59,62.01,63.48,107,False
2026-09-17,64.35,64.35,61.15,63.48,333,False
2026-09-16,60.02,63.48,60.0,63.48,2625,False
2026-09-15,60.26,63.99,60.26,63.08,1338,False
2026-09-14,62.0,62.5,62.0,62.5,15095,False
2026-09-11,61.5,62.0,61.5,62.0,7130,False
2026-09-10,0.0,0.0,0.0,62.0,100,True
2026-09-09,57.11,62.0,57.11,62.0,4601,False
2026-09-08,61.99,62.99,61.89,62.0,16902,False
2026-09-07,61.0,62.5,60.0,61.0,2107,False
2026-09-04,62.97,62.97,59.56,61.98,2,False
2026-09-02,61.0,61.0,61.0,61.98,10,True
2026-09-01,60.01,66.99,58.36,61.98,43151,False
2026-08-31,61.1,61.8,60.61,61.98,144,True
2026-08-28,61.55,61.55,61.55,61.98,20,True
2026-08-27,61.0,63.0,61.0,61.98,99,False
2026-08-25,60.62,60.62,60.62,61.98,31,True
2026-08-24,62.0,63.9,61.9,61.98,647,False
2026-08-21,61.82,63.88,61.82,61.99,16,False
2026-08-20,62.0,62.0,61.0,61.99,565,False
2026-08-19,62.5,62.5,62.5,64.0,2,True
2026-08-17,65.93,65.93,62.0,64.0,21,False
2026-08-13,62.35,64.0,62.35,64.0,2332,False
2026-08-12,66.0,68.12,62.25,62.96,10,False
2026-08-10,61.3,62.07,61.3,62.96,277,True
2026-08-07,64.01,69.99,59.46,62.96,1497,False
2026-08-06,66.0,67.14,62.8,66.06,2192,False
2026-08-05,63.0,66.7,61.0,61.22,961,False
2026-08-04,63.0,63.0,62.0,65.0,11,True
2026-08-03,67.49,67.49,61.18,65.0,267,False
2026-07-31,64.0,64.0,64.0,65.0,1,True
2026-07-30,64.01,64.01,64.0,65.0,57,True
2026-07-29,65.0,65.0,61.2,65.0,19,False
2026-07-28,69.97,69.97,65.0,65.0,449,False
2026-07-27,69.99,69.99,63.01,65.0,35,False
2026-07-24,60.66,65.94,60.66,65.0,494,False
2026-07-23,61.65,61.65,61.5,61.51,1000,False
2026-07-22,62.0,67.56,62.0,62.06,3,False
2026-07-21,67.84,67.84,61.99,62.06,628,False
2026-07-20,62.0,62.0,58.01,63.0,200,True
2026-07-17,67.0,68.99,63.0,63.0,5385,False
2026-07-16,64.0,70.0,63.45,69.99,1916,False
2026-07-15,67.8,67.99,65.04,67.95,11590,False
2026-07-13,61.01,61.01,61.01,61.81,1,True
2026-07-10,62.01,62.1,61.3,61.81,954,False
2026-07-09,62.0,65.99,61.31,61.25,8,True
2026-07-08,62.63,63.0,61.25,61.25,2020,False
2026-07-07,67.49,67.49,61.06,64.42,2010,False
2026-07-06,65.79,65.79,62.11,62.67,926,False
2026-07-03,62.0,62.0,60.0,65.0,18,True
2026-07-02,67.89,67.89,65.0,65.0,220,False
2026-07-01,68.89,68.89,63.0,65.0,2023,False
2026-06-30,66.0,67.89,63.0,66.97,506,False
2026-06-29,62.0,65.49,62.0,65.49,1149,False
