date,open,high,low,close,volume,is_anomaly
2026-09-18,639.98,639.98,600.02,621.69,247,False
2026-09-17,660.0,660.0,605.0,621.7,11832,False
2026-09-16,666.0,679.98,655.0,670.81,2532,False
2026-09-15,661.0,668.0,650.02,652.9,93,False
2026-09-14,664.0,669.0,661.0,662.23,651,False
2026-09-11,650.02,683.0,650.02,669.06,1836,False
2026-09-10,705.0,780.0,655.0,660.03,20135,False
2026-09-09,674.0,736.09,656.02,725.39,41492,False
2026-09-08,653.0,683.98,652.0,669.17,684,False
2026-09-07,676.0,684.0,676.0,677.0,418,False
2026-09-04,688.0,690.0,659.99,674.53,1887,False
2026-09-03,663.75,714.98,657.0,690.18,8264,False
2026-09-02,645.5,675.0,641.0,649.98,1172,False
2026-09-01,670.0,680.0,660.0,669.25,183,False
2026-08-31,679.95,679.95,655.0,678.58,107,False
2026-08-28,648.0,724.0,645.01,686.45,2195,False
2026-08-27,659.0,675.0,641.0,663.81,2053,False
2026-08-25,660.01,660.01,631.05,659.99,32,False
2026-08-24,665.0,685.0,593.73,659.99,5963,False
2026-08-21,649.0,660.99,645.0,659.7,976,False
2026-08-20,640.0,640.01,633.0,634.15,128,False
2026-08-19,644.0,644.0,639.99,640.01,543,False
2026-08-18,601.1,644.8,601.1,644.0,778,False
2026-08-17,645.0,654.74,620.01,629.79,50825,False
2026-08-13,642.0,659.95,639.99,640.72,3420,False
2026-08-12,660.0,660.0,635.0,635.29,2548,False
2026-08-11,659.0,666.0,658.0,660.1,2441,False
2026-08-10,640.0,698.0,640.0,658.08,9228,False
2026-08-07,619.0,663.02,609.0,649.64,12721,False
2026-08-06,619.96,619.96,600.0,617.35,1264,False
2026-08-05,605.0,613.5,599.0,609.87,2828,False
2026-08-04,618.95,620.0,607.1,613.81,3215,False
2026-08-03,669.95,700.0,600.0,605.31,22390,False
2026-07-31,685.0,699.95,650.0,657.71,6809,False
2026-07-30,690.0,714.0,671.0,684.16,2452,False
2026-07-29,720.01,735.0,690.0,695.64,17014,False
2026-07-28,761.0,765.01,750.0,750.0,1794,False
2026-07-27,780.0,780.0,742.0,756.41,1887,False
2026-07-24,727.99,828.0,727.99,775.51,1896,False
2026-07-23,765.0,795.0,725.02,752.73,1785,False
2026-07-22,784.0,784.0,741.01,759.63,1259,False
2026-07-21,828.0,828.0,760.0,784.0,4140,False
2026-07-20,761.0,800.0,760.01,786.13,159,False
2026-07-17,800.01,820.0,800.0,800.0,2160,False
2026-07-16,815.0,824.99,800.0,800.61,1749,False
2026-07-15,775.01,844.0,775.01,833.42,1525,False
2026-07-14,800.0,840.0,800.0,831.01,5593,False
2026-07-13,850.0,850.0,800.04,826.01,7515,False
2026-07-10,864.0,864.99,835.01,838.89,528,False
2026-07-09,811.0,848.99,811.0,835.02,2083,False
2026-07-08,830.0,875.0,830.0,832.18,851,False
2026-07-07,856.0,869.0,846.12,853.64,2020,False
2026-07-06,840.0,875.0,840.0,864.91,1872,False
2026-07-03,840.0,870.0,831.01,869.69,2517,False
2026-07-02,861.1,874.1,860.0,869.0,2655,False
2026-07-01,801.1,890.0,801.1,853.46,3499,False
2026-06-30,880.0,895.0,860.0,875.08,3120,False
2026-06-29,917.81,917.81,872.0,879.58,3468,False
2026-06-24,950.0,988.99,875.05,917.81,18573,False
2026-06-23,929.0,984.0,900.0,945.75,28761,False
2026-06-22,937.01,937.01,865.0,894.78,15339,False
2026-06-19,851.83,851.83,851.83,851.83,1713,False
2026-06-18,728.98,774.39,728.98,774.39,2710,False
2026-06-17,629.98,703.99,621.0,703.99,9984,False
2026-06-16,619.98,640.0,619.98,639.99,3230,False
2026-06-15,628.99,628.99,613.0,620.04,1415,False
2026-06-12,617.0,650.0,610.0,629.0,1731,False
2026-06-11,608.99,619.0,605.0,611.0,5485,False
2026-06-10,560.0,608.0,560.0,607.89,1013,False
2026-06-09,635.0,635.0,600.0,603.68,117,False
2026-06-08,600.0,600.0,590.02,598.41,133,False
2026-06-05,598.95,600.0,596.98,599.56,245,False
