date,open,high,low,close,volume,is_anomaly
2026-09-04,550.0,551.0,547.0,548.11,269874,False
2026-09-03,548.01,551.0,548.0,548.68,269105,False
2026-09-02,549.03,551.0,545.5,548.7,423668,False
2026-09-01,552.7,554.5,550.0,552.45,279593,False
2026-08-31,549.0,555.0,546.0,552.7,568749,False
2026-08-28,550.0,552.11,547.02,550.03,479275,False
2026-08-27,548.0,552.0,547.8,549.81,522096,False
2026-08-25,545.26,550.2,545.01,547.74,635125,False
2026-08-24,547.0,550.5,543.5,544.83,619873,False
2026-08-21,545.95,546.74,542.0,544.24,372619,False
2026-08-20,543.0,548.0,540.9,543.53,741134,False
2026-08-19,548.0,550.0,541.07,542.89,595755,False
2026-08-18,552.96,552.96,544.5,545.72,928671,False
2026-08-17,561.99,561.99,550.0,552.96,799265,False
2026-08-13,555.99,562.88,554.0,557.16,1242968,False
2026-08-12,554.5,556.49,552.51,553.74,727150,False
2026-08-11,559.99,561.0,553.0,554.31,1062699,False
2026-08-10,570.0,570.01,563.0,563.51,937927,False
2026-08-07,582.0,585.0,580.0,583.48,1463399,False
2026-08-06,579.0,584.99,578.5,583.75,1591095,False
2026-08-05,574.74,579.2,574.0,578.5,1509453,False
2026-08-04,572.99,574.55,570.1,571.13,833385,False
2026-08-03,570.16,574.1,569.1,572.84,1332730,False
2026-07-31,566.99,571.0,564.89,565.38,1105927,False
2026-07-30,559.99,568.05,559.0,565.07,2381799,False
2026-07-29,547.71,564.0,547.0,558.73,4987103,False
2026-07-28,548.17,554.9,547.0,547.71,878650,False
2026-07-27,545.0,549.9,540.01,548.17,1173860,False
2026-07-24,534.89,539.65,529.0,533.52,704777,False
2026-07-23,543.91,546.98,533.0,535.13,987188,False
2026-07-22,549.0,557.4,541.51,543.91,973892,False
2026-07-21,553.22,556.0,549.51,550.21,684161,False
2026-07-20,549.5,553.49,543.5,551.43,867773,False
2026-07-17,551.28,561.45,550.11,551.96,2327318,False
2026-07-16,548.0,555.0,547.2,551.28,1872699,False
2026-07-15,543.22,550.0,541.65,546.8,1135813,False
2026-07-14,553.01,553.01,540.09,543.22,2613575,False
2026-07-13,559.0,560.85,553.0,556.15,1247556,False
2026-07-10,562.0,567.39,561.0,561.9,792472,False
2026-07-09,558.0,564.98,555.0,561.81,1565920,False
2026-07-08,569.0,573.5,557.01,562.47,2143597,False
2026-07-07,581.48,581.48,575.0,575.18,1423943,False
2026-07-06,578.0,582.74,576.73,580.41,1223473,False
2026-07-03,572.4,578.5,571.66,576.72,1340806,False
2026-07-02,573.0,580.99,570.15,572.28,1941762,False
2026-07-01,573.48,575.0,567.0,572.17,2106457,False
2026-06-30,553.0,598.0,553.0,573.48,1169014,False
2026-06-29,558.5,558.6,550.0,552.53,1422560,False
2026-06-24,555.64,562.0,554.0,558.68,1279546,False
2026-06-23,561.0,561.5,553.9,555.64,1284790,False
2026-06-22,562.01,564.0,556.65,557.94,823983,False
2026-06-19,568.0,571.0,552.05,560.74,1967496,False
2026-06-18,564.95,574.79,564.2,567.93,1866573,False
2026-06-17,568.89,568.99,562.0,563.96,1785672,False
2026-06-16,565.1,569.9,565.1,566.89,2589640,False
2026-06-15,565.0,567.0,556.4,563.61,2239550,False
2026-06-12,557.99,559.0,552.51,556.45,1130158,False
2026-06-11,551.02,553.58,550.11,551.47,780428,False
2026-06-10,552.99,557.75,552.0,553.58,476441,False
2026-06-09,559.0,562.9,554.0,554.86,880385,False
2026-06-08,553.0,556.4,550.11,554.2,955351,False
