date,open,high,low,close,volume,is_anomaly
2026-09-18,46.01,47.8,46.0,46.51,58532,False
2026-09-17,49.3,49.3,46.51,47.27,137418,False
2026-09-16,49.18,50.5,47.3,48.98,410526,False
2026-09-15,45.2,49.18,45.0,49.18,1082867,False
2026-09-14,41.69,45.86,41.69,44.71,288543,False
2026-09-11,41.05,42.9,40.41,41.69,40116,False
2026-09-10,41.91,43.55,41.9,42.03,23592,False
2026-09-09,42.75,43.55,42.75,43.05,10908,False
2026-09-08,43.06,44.0,42.0,42.35,106295,False
2026-09-07,44.4,44.4,43.01,43.17,34713,False
2026-09-04,44.15,45.2,43.75,43.94,74995,False
2026-09-03,44.65,45.39,44.65,45.0,12811,False
2026-09-02,45.35,45.35,44.4,44.65,47223,False
2026-09-01,45.56,45.57,44.51,45.35,63482,False
2026-08-31,45.83,46.5,45.01,45.56,26397,False
2026-08-28,45.95,46.15,44.21,45.83,29337,False
2026-08-27,46.89,46.89,42.5,45.32,49752,False
2026-08-25,46.88,46.88,45.55,45.68,38812,False
2026-08-24,45.8,46.9,45.8,46.16,34170,False
2026-08-21,47.24,47.24,45.5,45.75,101888,False
2026-08-20,45.9,47.5,45.9,46.21,102032,False
2026-08-19,46.91,47.47,46.05,46.08,75136,False
2026-08-18,48.08,48.09,46.91,47.04,236404,False
2026-08-17,46.6,49.25,46.57,47.19,554121,False
2026-08-13,45.67,46.98,45.67,46.56,41794,False
2026-08-12,45.3,47.0,45.3,45.91,27678,False
2026-08-11,47.2,47.2,45.3,45.91,44626,False
2026-08-10,44.98,48.45,44.98,46.91,286714,False
2026-08-07,44.91,45.1,44.06,45.07,52567,False
2026-08-06,44.9,44.9,44.5,44.89,25700,False
2026-08-05,45.5,45.5,44.4,44.52,78438,False
2026-08-04,44.0,45.0,44.0,44.3,63564,False
2026-08-03,46.85,46.85,44.1,44.85,89511,False
2026-07-31,44.6,45.45,42.66,43.61,301505,False
2026-07-30,45.04,45.8,43.1,44.62,184285,False
2026-07-29,46.88,47.86,45.82,46.07,153059,False
2026-07-28,47.95,48.49,47.15,47.66,83144,False
2026-07-27,46.26,47.94,46.26,47.66,135850,False
2026-07-24,45.51,46.9,45.51,45.96,77666,False
2026-07-23,46.6,47.9,45.09,46.03,68185,False
2026-07-22,47.51,47.89,46.5,47.0,46145,False
2026-07-21,47.01,49.25,47.01,47.51,56374,False
2026-07-20,47.5,47.99,46.15,47.39,165952,False
2026-07-17,48.52,50.0,48.1,48.65,101920,False
2026-07-16,49.44,50.0,48.5,49.47,64853,False
2026-07-15,47.4,49.46,47.4,48.56,92775,False
2026-07-14,50.5,50.5,48.0,48.15,205669,False
2026-07-13,50.0,51.67,50.0,50.9,203492,False
2026-07-10,51.0,54.0,49.51,51.06,254373,False
2026-07-09,50.0,51.25,49.15,50.82,102413,False
2026-07-08,52.5,52.8,47.59,50.98,273220,False
2026-07-07,54.04,54.4,52.52,52.88,151013,False
2026-07-06,52.5,54.5,52.3,54.04,380064,False
2026-07-03,52.99,52.99,51.62,52.22,124256,False
2026-07-02,52.94,53.53,51.4,52.05,287287,False
2026-07-01,51.7,52.36,51.05,52.14,218289,False
2026-06-30,50.41,51.99,50.41,51.45,224700,False
2026-06-29,52.0,52.0,50.31,50.49,308229,False
2026-06-24,53.39,54.49,52.0,52.22,392128,False
2026-06-23,52.49,53.89,50.1,52.74,614440,False
2026-06-22,59.86,59.91,52.39,52.81,1470330,False
2026-06-19,54.74,58.21,53.85,58.21,1469988,False
2026-06-18,48.5,52.92,48.5,52.92,1288835,False
2026-06-17,48.3,48.8,47.71,48.11,221266,False
2026-06-16,47.4,49.49,47.1,48.26,532786,False
2026-06-15,48.2,48.2,46.98,47.4,321747,False
2026-06-12,47.5,48.39,46.52,46.98,140572,False
2026-06-11,47.0,47.5,45.65,46.83,190677,False
2026-06-10,46.76,48.99,46.21,47.47,473915,False
2026-06-09,47.4,47.4,45.89,46.43,139568,False
2026-06-08,46.39,46.39,43.15,45.88,99262,False
2026-06-05,46.6,47.0,46.02,46.39,114977,False
2026-06-04,47.34,47.4,46.51,46.78,170286,False
2026-06-03,46.3,47.8,46.01,46.41,245845,False
2026-06-02,46.7,48.0,46.02,46.74,191800,False
2026-06-01,47.0,47.77,46.78,46.89,138743,False
2026-05-29,46.9,47.5,46.61,47.19,97819,False
2026-05-25,48.4,48.4,46.63,47.03,104186,False
2026-05-22,47.75,47.75,46.0,46.33,68182,False
2026-05-21,46.45,47.85,45.81,47.13,95164,False
2026-05-20,46.8,46.8,45.0,45.92,32896,False
2026-05-19,46.89,46.89,44.5,45.96,64952,False
2026-05-18,46.5,47.35,45.5,46.19,39790,False
2026-05-15,46.85,47.45,46.05,46.53,30706,False
2026-05-14,46.95,47.0,46.0,46.37,21956,False
2026-05-13,47.85,47.85,46.0,46.57,39315,False
2026-05-12,48.5,48.5,46.5,47.28,68714,False
2026-05-11,48.4,48.4,47.2,47.55,42881,False
2026-05-08,48.49,49.0,47.45,47.97,98464,False
2026-05-07,49.0,49.6,47.51,48.51,113774,False
2026-05-06,48.5,48.5,46.5,47.96,138126,False
2026-05-05,47.0,48.0,46.15,46.89,43713,False
2026-05-04,48.96,49.0,47.25,47.43,145654,False
2026-04-30,47.0,50.25,44.58,48.96,187481,False
2026-04-29,49.35,49.55,47.03,47.41,378277,False
2026-04-28,49.6,49.6,48.5,48.54,104542,False
2026-04-27,50.77,50.77,48.15,49.16,132720,False
2026-04-24,47.03,50.25,47.0,49.03,280548,False
2026-04-23,49.15,49.15,47.98,48.28,114642,False
2026-04-22,50.0,50.0,48.34,49.14,87154,False
2026-04-21,49.5,50.89,49.5,50.11,265717,False
2026-04-20,51.5,52.4,48.0,50.49,447110,False
2026-04-17,52.0,52.65,51.0,51.79,194714,False
2026-04-16,51.81,52.35,50.17,50.93,284537,False
2026-04-15,50.3,53.35,50.3,51.77,456404,False
2026-04-14,47.87,51.0,47.87,50.25,406442,False
2026-04-13,49.99,49.99,46.05,46.54,348397,False
2026-04-10,50.0,52.0,49.8,51.12,325052,False
2026-04-09,52.5,52.5,49.1,49.81,192385,False
2026-04-08,51.1,51.11,48.25,51.11,1134238,False
2026-04-07,47.64,47.64,44.5,46.46,277238,False
2026-04-06,46.4,46.98,45.2,46.57,103065,False
2026-04-03,45.45,48.0,44.82,46.42,102797,False
2026-04-02,47.0,47.2,46.0,46.38,129885,False
2026-04-01,46.05,49.9,46.05,47.72,216209,False
2026-03-31,44.01,46.99,44.01,45.75,104082,False
2026-03-30,51.95,51.95,46.52,46.54,934551,False
2026-03-27,50.22,51.85,50.22,51.69,97437,False
2026-03-26,51.18,51.75,50.15,51.16,81658,False
2026-03-25,51.48,51.7,50.55,51.23,87492,False
2026-03-24,52.01,52.45,50.1,50.45,103770,False
2026-03-19,51.8,51.8,49.0,50.51,142491,False
2026-03-18,50.1,52.8,50.1,52.01,180944,False
2026-03-17,53.06,53.89,49.5,51.76,266022,False
2026-03-16,52.0,54.98,50.01,52.45,289108,False
2026-03-13,46.51,53.57,46.51,52.41,420265,False
2026-03-12,45.61,49.74,44.12,48.83,484069,False
2026-03-11,44.99,46.7,44.31,45.22,294837,False
2026-03-10,42.51,44.0,42.51,44.0,236619,False
2026-03-09,40.8,41.5,38.68,40.0,181187,False
2026-03-06,45.3,45.5,42.6,42.98,316917,False
2026-03-05,44.31,49.49,42.55,45.66,849494,False
2026-03-04,47.16,50.0,46.0,47.08,231457,False
2026-03-03,43.6,47.58,43.0,47.14,283855,False
2026-03-02,47.7,51.0,47.7,47.7,431873,False
2026-02-27,53.0,54.45,51.99,53.0,188840,False
2026-02-26,52.0,54.5,49.5,53.72,168388,False
2026-02-25,53.58,53.99,51.57,51.85,150058,False
2026-02-24,55.0,55.0,51.5,52.6,792889,False
2026-02-23,58.03,61.3,55.0,55.5,176765,False
2026-02-20,59.01,62.99,56.1,58.85,659133,False
2026-02-19,66.89,66.89,59.67,60.84,196103,False
2026-02-18,64.51,66.99,64.51,66.3,258213,False
2026-02-17,65.0,67.0,62.11,64.74,366225,False
2026-02-16,69.5,69.5,64.0,64.75,447164,False
2026-02-13,69.5,69.5,67.0,68.35,153509,False
2026-02-12,71.5,72.59,67.0,69.19,178982,False
2026-02-11,70.51,73.0,70.4,70.47,95228,False
2026-02-10,71.5,72.0,70.1,70.79,137864,False
2026-02-09,73.0,74.9,71.01,71.47,484308,False
2026-02-06,75.0,75.0,72.0,72.68,319446,False
2026-02-04,74.11,77.0,73.2,73.89,602382,False
2026-02-03,69.75,77.12,69.75,74.78,1527813,False
2026-02-02,71.39,71.39,68.5,70.11,348365,False
2026-01-30,74.5,74.98,69.85,70.84,722708,False
