date,open,high,low,close,volume,is_anomaly
2026-09-18,147.22,149.0,146.97,147.28,222672,False
2026-09-17,146.76,148.35,146.07,146.97,168300,False
2026-09-16,148.14,148.14,146.0,146.72,204392,False
2026-09-15,144.0,150.0,144.0,148.14,316171,False
2026-09-14,150.0,152.0,140.0,143.16,1195050,False
2026-09-11,147.0,151.85,142.0,150.02,713494,False
2026-09-10,152.99,152.99,147.99,149.09,288957,False
2026-09-09,153.0,153.88,152.41,152.64,226503,False
2026-09-08,153.0,153.5,151.5,153.0,234491,False
2026-09-07,153.99,153.99,151.1,152.83,135501,False
2026-09-04,153.99,154.99,151.08,153.55,100515,False
2026-09-03,152.33,156.0,151.8,152.78,346489,False
2026-09-02,155.0,155.0,152.0,152.33,691592,False
2026-09-01,156.98,157.4,154.0,155.14,3518930,False
2026-08-31,156.0,157.0,154.4,155.01,1695746,False
2026-08-28,157.7,159.0,156.01,156.7,254422,False
2026-08-27,157.5,159.5,156.2,157.01,558820,False
2026-08-25,157.6,160.0,155.8,157.25,742436,False
2026-08-24,160.5,160.55,156.9,158.07,639360,False
2026-08-21,156.14,160.44,156.14,159.49,1616746,False
2026-08-20,160.0,160.0,152.0,156.15,1950462,False
2026-08-19,160.0,166.5,160.0,161.25,1625320,False
2026-08-18,164.89,165.0,158.5,159.59,1111199,False
2026-08-17,166.9,167.0,164.02,164.89,1017761,False
2026-08-13,165.0,166.2,163.9,165.18,745903,False
2026-08-12,165.2,165.94,164.01,164.61,389585,False
2026-08-11,164.06,165.5,163.5,164.27,688731,False
2026-08-10,165.9,165.9,163.5,164.5,494669,False
2026-08-07,166.5,166.5,162.55,163.68,1057531,False
2026-08-06,166.66,169.01,165.0,166.36,748590,False
2026-08-05,160.0,167.0,159.5,165.63,1851995,False
2026-08-04,157.98,158.0,156.5,157.46,678063,False
2026-08-03,157.49,158.49,155.5,157.35,687368,False
2026-07-31,155.1,157.69,154.91,155.03,270058,False
2026-07-30,154.0,156.0,152.96,155.22,373613,False
2026-07-29,157.0,157.0,153.99,154.63,373470,False
2026-07-28,158.5,159.0,155.03,157.21,395476,False
2026-07-27,156.0,159.3,153.02,158.13,650858,False
2026-07-24,151.0,152.8,147.0,150.39,323374,False
2026-07-23,155.49,156.94,149.5,150.87,1543022,False
2026-07-22,155.0,157.0,153.95,155.49,538047,False
2026-07-21,156.51,159.95,154.5,156.18,1358608,False
2026-07-20,156.0,157.99,154.0,156.39,909533,False
2026-07-17,162.0,162.1,156.73,157.68,1270298,False
2026-07-16,154.0,165.0,154.0,162.64,2944419,False
2026-07-15,152.0,157.49,152.0,154.07,649965,False
2026-07-14,155.01,155.85,150.17,152.02,1473665,False
2026-07-13,160.01,160.8,157.25,158.01,1389608,False
2026-07-10,163.0,165.5,162.0,162.88,829192,False
2026-07-09,154.12,164.0,154.12,163.22,1828937,False
2026-07-08,163.01,163.98,152.7,158.56,1770654,False
2026-07-07,166.01,166.94,163.8,164.66,582998,False
2026-07-06,164.0,166.5,163.8,165.92,886590,False
2026-07-03,163.0,164.39,161.5,163.76,1475017,False
2026-07-02,163.0,165.2,162.02,164.38,1582313,False
2026-07-01,165.3,167.89,160.0,161.12,3152778,False
2026-06-30,163.05,166.5,161.5,165.3,1270504,False
2026-06-29,161.4,164.0,160.77,163.05,1016989,False
2026-06-24,161.0,163.5,160.22,163.11,718348,False
2026-06-23,162.01,163.74,160.5,161.01,1816081,False
2026-06-22,162.52,164.8,160.77,162.26,787725,False
2026-06-19,167.5,168.0,158.0,161.88,2927042,False
2026-06-18,165.45,169.5,159.16,167.47,5569652,False
2026-06-17,148.0,162.8,147.0,162.47,6148664,False
2026-06-16,144.8,149.01,143.5,148.0,1331348,False
2026-06-15,145.0,145.19,142.0,144.79,968159,False
2026-06-12,141.0,143.0,140.0,141.76,529886,False
2026-06-11,140.49,141.99,138.41,139.0,704500,False
2026-06-10,140.0,142.0,139.99,140.69,255837,False
2026-06-09,142.0,144.0,140.99,141.2,470434,False
2026-06-08,140.01,141.25,138.6,141.04,453233,False
2026-06-05,141.95,142.95,141.16,141.61,212632,False
2026-06-04,141.34,143.0,140.15,141.85,679331,False
2026-06-03,140.0,142.9,139.07,141.34,865955,False
2026-06-02,140.25,142.95,139.03,141.23,559805,False
2026-06-01,142.0,146.0,138.5,139.66,2260736,False
2026-05-29,139.5,142.1,139.11,141.05,1227196,False
2026-05-25,141.0,141.0,139.01,139.85,869920,False
2026-05-22,138.0,138.0,135.12,136.39,304252,False
2026-05-21,132.0,137.0,132.0,136.77,520062,False
2026-05-20,130.0,131.85,129.5,131.03,290289,False
2026-05-19,132.0,134.0,127.51,129.2,490617,False
2026-05-18,134.0,134.5,129.1,130.81,400598,False
2026-05-15,135.99,136.99,133.7,134.59,339951,False
2026-05-14,136.64,136.65,134.0,136.13,397087,False
2026-05-13,137.13,138.0,134.9,135.62,291367,False
2026-05-12,138.0,138.44,136.9,137.13,220422,False
2026-05-11,136.8,139.0,136.25,137.48,327169,False
2026-05-08,138.9,139.39,136.95,137.43,391282,False
2026-05-07,141.99,142.5,139.99,140.81,750600,False
2026-05-06,134.0,141.02,134.0,140.41,1310911,False
2026-05-05,130.1,134.0,130.1,132.74,284296,False
2026-05-04,131.01,136.0,130.01,132.69,714614,False
2026-04-30,134.3,134.3,124.1,130.29,1628415,False
2026-04-29,136.23,137.9,134.0,134.59,261943,False
2026-04-28,135.19,136.99,134.51,136.23,885046,False
2026-04-27,138.0,139.98,135.0,135.98,1544088,False
2026-04-24,138.0,143.25,130.1,140.21,1815003,False
2026-04-23,140.25,141.48,138.6,138.98,586210,False
2026-04-22,140.99,142.5,136.12,141.55,1130691,False
2026-04-21,141.01,142.44,140.0,140.07,839857,False
2026-04-20,142.0,143.2,138.09,140.09,2164312,False
2026-04-17,143.9,146.24,141.0,143.49,4781480,False
2026-04-16,142.69,144.73,140.06,142.47,2481302,False
2026-04-15,149.0,150.49,141.5,142.69,5813015,False
2026-04-14,140.0,145.0,140.0,144.34,906480,False
2026-04-13,140.05,141.0,135.5,137.06,1305786,False
2026-04-10,146.0,152.0,144.51,145.16,2309545,False
2026-04-09,139.9,147.01,135.0,143.92,2252565,False
2026-04-08,138.85,138.85,132.65,138.85,4856281,False
2026-04-07,126.0,126.75,125.0,126.23,490083,False
2026-04-06,123.4,129.1,120.16,126.98,963358,False
2026-04-03,124.05,126.98,120.0,123.48,537283,False
2026-04-02,125.0,129.5,123.61,127.56,1051792,False
2026-04-01,125.49,132.99,125.49,129.18,3072790,False
2026-03-31,127.0,130.0,120.55,123.6,928999,False
2026-03-30,131.5,132.0,121.61,126.74,2245267,False
2026-03-27,131.66,135.9,130.12,134.02,787080,False
2026-03-26,134.88,136.8,131.0,131.66,1298411,False
2026-03-25,132.0,137.6,130.9,135.13,1459939,False
2026-03-24,134.5,136.0,129.01,130.67,1098965,False
2026-03-19,129.0,134.75,125.0,131.37,1286380,False
2026-03-18,124.97,135.0,123.55,130.26,931044,False
2026-03-17,125.3,127.75,121.1,123.44,831794,False
2026-03-16,131.06,132.95,123.81,124.62,1141190,False
