date,open,high,low,close,volume,is_anomaly
2024-12-20,80.51,90.44,80.51,88.94,7646849,False
2024-12-19,86.4,91.99,80.0,82.3,5511059,False
2024-12-18,91.5,94.54,83.11,86.43,1900833,False
2024-12-17,95.5,97.75,90.0,91.59,2887258,False
2024-12-16,95.44,100.95,94.0,96.26,3622198,False
2024-12-13,92.0,95.5,91.6,93.41,5939544,False
2024-12-12,81.2,90.22,81.2,89.91,6704382,False
2024-12-11,82.5,83.9,81.11,82.02,1553385,False
2024-12-10,80.8,85.0,79.27,81.89,6428431,False
2024-12-09,81.8,82.75,79.05,80.25,1915194,False
2024-12-06,81.86,82.74,81.0,81.43,1652845,False
2024-12-05,79.95,83.5,79.25,81.86,5310980,False
2024-12-04,78.85,80.0,78.01,78.72,814526,False
2024-12-03,77.55,80.2,77.0,78.58,2262872,False
2024-12-02,76.21,78.25,76.1,77.44,2174358,False
2024-11-29,76.0,77.48,74.2,76.21,1400785,False
2024-11-28,77.9,78.78,74.15,75.6,2985279,False
2024-11-27,73.4,75.75,71.03,75.71,3420132,False
2024-11-26,72.49,73.49,68.02,68.86,2966011,False
2024-11-25,75.0,75.8,72.3,72.87,2350489,False
2024-11-22,78.1,79.98,74.03,74.43,6192668,False
2024-11-21,69.0,75.47,68.5,75.47,9030982,False
2024-11-20,66.2,69.24,66.2,68.61,4107630,False
2024-11-19,66.15,66.95,66.15,66.53,1722830,False
2024-11-18,64.47,66.66,63.95,66.1,3613908,False
2024-11-15,63.4,65.29,63.4,64.38,1149354,False
2024-11-14,64.55,65.4,63.0,64.03,725284,False
2024-11-13,65.01,65.48,64.63,64.8,759294,False
2024-11-12,64.51,66.11,64.51,65.42,1134967,False
2024-11-11,66.8,66.8,64.59,65.41,1236216,False
2024-11-08,66.28,66.77,64.5,66.22,1497445,False
2024-11-07,66.5,66.8,65.5,65.89,1736455,False
2024-11-06,66.1,67.7,65.88,66.1,1744243,False
2024-11-05,66.3,67.5,65.52,67.02,3046266,False
2024-11-04,66.45,67.2,65.9,66.54,2114731,False
2024-11-01,65.55,66.74,65.25,66.26,1141526,False
2024-10-31,67.24,67.24,65.1,65.53,1278929,False
2024-10-30,67.84,68.4,65.52,66.29,4809890,False
2024-10-29,64.5,68.2,64.4,66.86,7806611,False
2024-10-28,65.02,65.6,60.6,64.27,7147189,False
2024-10-25,62.1,65.4,61.8,64.15,9020430,False
2024-10-24,58.24,63.53,57.96,61.6,12810902,False
2024-10-23,55.95,60.25,55.4,57.75,8755943,False
2024-10-22,57.4,57.4,55.7,55.93,612579,False
2024-10-21,56.5,57.15,56.01,57.04,980675,False
2024-10-18,57.01,57.2,56.0,56.08,512838,False
2024-10-17,57.35,57.65,56.9,56.98,1156020,False
2024-10-16,57.0,57.4,56.5,57.06,1838048,False
2024-10-15,56.39,56.85,55.4,56.56,2102468,False
2024-10-14,54.6,56.89,54.5,55.95,3977364,False
2024-10-11,55.47,55.95,53.6,54.59,1871160,False
2024-10-10,54.95,55.7,54.2,55.47,5166131,False
2024-10-09,54.9,55.7,54.45,54.63,1878290,False
2024-10-08,53.25,55.5,53.25,55.0,7616918,False
2024-10-07,51.9,54.0,51.7,53.1,3514939,False
2024-10-04,52.83,53.84,51.6,51.96,3811124,False
2024-10-03,50.01,53.26,49.75,52.83,15264220,False
2024-10-02,49.88,50.2,49.32,49.85,4822726,False
2024-10-01,50.12,50.4,49.31,49.94,6141451,False
2024-09-30,48.85,50.98,48.26,50.12,9372036,False
2024-09-27,46.98,48.7,46.51,48.43,4523883,False
2024-09-26,48.89,48.89,46.56,46.86,4465850,False
2024-09-25,48.49,49.34,47.51,47.9,4743187,False
2024-09-24,46.06,48.66,46.05,48.44,14969153,False
2024-09-23,44.2,46.5,43.51,45.88,17235243,False
2024-09-20,49.25,49.8,43.25,44.36,28625529,False
2024-09-19,46.15,48.99,46.15,48.04,16403148,False
2024-09-18,45.6,46.74,45.6,46.0,4179185,False
2024-09-16,46.4,46.4,45.16,45.99,1734345,False
2024-09-13,46.45,46.8,45.65,45.93,2992305,False
2024-09-12,45.49,46.35,45.15,46.07,3197003,False
2024-09-11,45.65,46.0,45.4,45.49,2210851,False
2024-09-10,46.48,46.5,45.5,45.84,6422013,False
2024-09-09,46.8,47.4,45.95,46.06,3209812,False
