date,open,high,low,close,volume,is_anomaly
2026-09-18,1130.0,1139.45,1126.0,1130.99,16156,False
2026-09-17,1137.51,1149.9,1120.0,1125.32,3713,False
2026-09-16,1143.1,1158.9,1130.0,1137.0,7979,False
2026-09-15,1181.0,1186.0,1176.0,1178.1,55763,False
2026-09-14,1179.0,1181.0,1170.0,1177.35,2616,False
2026-09-11,1171.11,1179.0,1121.11,1177.64,5462,False
2026-09-10,1190.0,1190.0,1160.0,1172.27,10070,False
2026-09-09,1190.5,1198.89,1173.0,1189.22,13164,False
2026-09-08,1198.88,1198.88,1180.0,1189.97,5634,False
2026-09-07,1190.0,1206.0,1189.1,1190.05,24837,False
2026-09-04,1209.89,1209.89,1189.01,1194.78,4753,False
2026-09-03,1195.0,1200.0,1180.0,1194.5,1687,False
2026-09-02,1195.0,1200.0,1180.0,1184.73,10871,False
2026-09-01,1182.0,1215.0,1182.0,1199.71,5336,False
2026-08-31,1223.99,1223.99,1180.0,1198.02,11986,False
2026-08-28,1224.98,1224.98,1215.0,1216.3,4467,False
2026-08-27,1225.0,1225.1,1212.0,1213.23,8291,False
2026-08-25,1218.0,1218.5,1214.0,1215.05,4917,False
2026-08-24,1217.5,1224.98,1215.0,1216.3,22315,False
2026-08-21,1225.0,1225.0,1213.0,1215.3,6093,False
2026-08-20,1220.0,1230.0,1210.0,1224.69,7181,False
2026-08-19,1230.01,1230.01,1217.2,1218.81,11316,False
2026-08-18,1235.0,1239.8,1225.0,1228.47,11326,False
2026-08-17,1230.02,1240.0,1225.01,1234.93,9257,False
2026-08-13,1238.28,1238.29,1228.5,1230.0,4666,False
2026-08-12,1238.4,1239.99,1230.0,1230.8,4405,False
2026-08-11,1240.0,1240.0,1220.0,1234.19,11023,False
2026-08-10,1243.0,1248.0,1233.13,1234.95,4107,False
2026-08-07,1239.98,1240.49,1233.32,1234.55,2805,False
2026-08-06,1233.37,1247.0,1229.0,1239.97,5813,False
2026-08-05,1244.0,1250.0,1230.0,1233.37,20656,False
2026-08-04,1239.0,1250.0,1220.0,1234.82,14029,False
2026-08-03,1245.0,1253.0,1225.0,1226.86,10976,False
2026-07-31,1222.16,1242.0,1222.16,1239.25,1679,False
2026-07-30,1231.0,1237.99,1221.0,1233.81,1685,False
2026-07-29,1253.99,1254.0,1228.0,1230.54,9180,False
2026-07-28,1259.77,1259.77,1243.03,1249.76,1769,False
2026-07-27,1234.0,1270.0,1230.0,1243.07,7453,False
2026-07-24,1207.0,1237.1,1207.0,1229.65,2163,False
2026-07-23,1230.35,1244.93,1216.0,1229.02,1853,False
2026-07-22,1232.0,1240.0,1205.0,1230.35,2609,False
2026-07-21,1240.0,1244.99,1232.0,1234.45,2011,False
2026-07-20,1236.0,1239.99,1203.81,1233.22,13330,False
2026-07-17,1248.99,1248.99,1230.0,1234.51,2428,False
2026-07-16,1244.0,1257.38,1237.11,1247.91,3233,False
2026-07-15,1233.97,1239.8,1225.1,1237.39,2513,False
2026-07-14,1250.0,1250.0,1230.0,1239.17,5741,False
2026-07-13,1250.01,1260.0,1233.13,1253.4,5673,False
2026-07-10,1247.0,1293.38,1247.0,1255.96,1723,False
2026-07-09,1230.0,1257.8,1230.0,1247.61,3363,False
2026-07-08,1245.0,1254.8,1232.0,1246.89,9303,False
2026-07-07,1265.0,1274.98,1240.0,1245.37,11633,False
2026-07-06,1263.0,1270.0,1260.0,1268.72,5532,False
2026-07-03,1260.0,1270.1,1251.0,1263.91,3016,False
2026-07-02,1261.0,1268.99,1256.1,1258.42,10847,False
2026-07-01,1244.53,1268.0,1240.0,1262.27,8637,False
2026-06-30,1243.81,1252.0,1238.06,1244.52,8504,False
2026-06-29,1260.0,1260.0,1213.81,1244.83,7775,False
2026-06-24,1284.0,1284.0,1252.0,1259.53,21647,False
2026-06-23,1258.0,1296.0,1258.0,1280.06,33409,False
2026-06-22,1209.08,1267.0,1200.11,1254.11,12029,False
2026-06-19,1210.0,1220.0,1190.0,1209.08,13908,False
2026-06-18,1189.99,1209.91,1185.0,1208.32,4724,False
2026-06-17,1185.0,1192.0,1180.01,1183.08,6950,False
2026-06-16,1175.99,1189.99,1170.0,1184.8,21818,False
2026-06-15,1174.0,1185.0,1168.2,1170.08,4456,False
2026-06-12,1173.99,1175.0,1160.0,1164.09,5142,False
2026-06-11,1155.0,1170.0,1155.0,1161.47,832,False
2026-06-10,1163.0,1175.0,1154.0,1165.05,3018,False
2026-06-09,1169.0,1175.0,1150.01,1159.95,31609,False
2026-06-08,1162.0,1162.0,1120.0,1156.26,3398,False
2026-06-05,1164.4,1189.9,1160.0,1162.75,25011,False
2026-06-04,1152.01,1165.0,1150.0,1164.4,1231,False
2026-06-03,1145.0,1165.0,1144.0,1151.91,16409,False
2026-06-02,1135.0,1151.8,1135.0,1150.17,11043,False
2026-06-01,1131.62,1150.0,1121.01,1148.37,11504,False
2026-05-29,1129.74,1140.0,1103.81,1131.62,8428,False
2026-05-25,1138.0,1150.0,1115.0,1121.06,26324,False
2026-05-22,1155.0,1155.0,1111.53,1137.23,12148,False
2026-05-21,1095.21,1118.79,1095.0,1117.46,13335,False
2026-05-20,1128.38,1128.38,1095.0,1099.16,3938,False
2026-05-19,1104.98,1149.0,1086.05,1095.13,11036,False
2026-05-18,1099.8,1110.0,1090.0,1099.43,12405,False
2026-05-15,1120.0,1199.0,1090.0,1095.45,63236,False
2026-05-14,1109.98,1115.0,1092.11,1111.13,5825,False
2026-05-13,1087.25,1110.0,1086.75,1103.29,9653,False
2026-05-12,1092.0,1092.99,1084.5,1087.13,2736,False
2026-05-11,1098.0,1098.0,1088.65,1092.55,2281,False
2026-05-08,1100.0,1100.0,1090.0,1098.44,5551,False
2026-05-07,1108.94,1108.94,1060.0,1092.92,4779,False
2026-05-06,1099.48,1118.0,1080.0,1083.25,8282,False
2026-05-05,1100.0,1100.0,1052.2,1090.35,3864,False
2026-05-04,1109.99,1110.0,1090.0,1095.98,3311,False
2026-04-30,1109.99,1110.0,1090.0,1098.39,2305,False
2026-04-29,1104.05,1119.0,1104.0,1112.54,2231,False
2026-04-28,1117.8,1128.0,1101.0,1103.3,5627,False
2026-04-27,1138.95,1138.95,1115.0,1117.08,2476,False
2026-04-24,1139.89,1139.89,1115.21,1121.21,2762,False
2026-04-23,1121.51,1147.95,1121.51,1124.0,2960,False
2026-04-22,1136.96,1140.0,1118.0,1134.48,3400,False
2026-04-21,1123.01,1150.0,1115.0,1125.33,3830,False
2026-04-20,1123.01,1139.99,1123.01,1130.61,8702,False
2026-04-17,1150.0,1158.0,1131.0,1145.28,4285,False
2026-04-16,1111.01,1187.0,1110.0,1145.0,12527,False
2026-04-15,1112.0,1125.0,1100.0,1114.58,4571,False
2026-04-14,1099.0,1111.11,1094.0,1108.68,3136,False
2026-04-13,1087.0,1104.3,1087.0,1090.26,3598,False
2026-04-10,1117.0,1126.98,1101.58,1109.86,5293,False
2026-04-09,1120.0,1123.0,1101.0,1113.68,6897,False
2026-04-08,1130.0,1130.0,1080.01,1116.53,9117,False
2026-04-07,1075.65,1088.89,1064.0,1070.2,1632,False
2026-04-06,1075.0,1077.0,1060.65,1075.65,3412,False
2026-04-03,1063.0,1079.89,1055.01,1068.65,2844,False
2026-04-02,1080.0,1080.0,1065.0,1073.81,2575,False
2026-04-01,1068.99,1133.0,1053.56,1082.2,5058,False
2026-03-31,1065.0,1069.9,1053.1,1057.92,3799,False
2026-03-30,1077.01,1077.01,1051.01,1059.92,2433,False
2026-03-27,1063.74,1085.0,1052.0,1077.02,6813,False
2026-03-26,1079.0,1079.0,1050.55,1063.83,6530,False
2026-03-25,1097.71,1109.88,1059.05,1074.08,22362,False
2026-03-24,1115.01,1122.99,1050.0,1097.71,7258,False
2026-03-19,1124.23,1124.23,1101.0,1110.54,4417,False
