date,open,high,low,close,volume,is_anomaly
2026-09-18,14.53,14.85,14.53,14.78,1772833,False
2026-09-17,14.4,14.69,14.4,14.54,1137594,False
2026-09-16,14.53,14.7,14.3,14.38,981836,False
2026-09-15,14.74,14.84,14.5,14.52,1311858,False
2026-09-14,14.75,14.75,14.44,14.47,953501,False
2026-09-11,14.6,14.9,14.2,14.76,1955264,False
2026-09-10,15.0,15.05,14.6,14.67,1372802,False
2026-09-09,14.76,15.3,14.75,15.0,1650052,False
2026-09-08,15.05,15.2,14.56,14.83,1697604,False
2026-09-07,15.29,15.3,14.91,15.0,2672549,False
2026-09-04,15.38,15.38,15.0,15.29,1411770,False
2026-09-03,15.1,15.38,15.08,15.31,1013496,False
2026-09-02,15.41,15.48,15.08,15.18,2152625,False
2026-09-01,15.65,15.7,15.46,15.5,1372635,False
2026-08-31,15.7,15.75,15.55,15.61,2585073,False
2026-08-28,16.0,16.0,15.7,15.73,1898030,False
2026-08-27,15.9,16.06,15.74,15.9,3080769,False
2026-08-25,16.05,16.12,15.62,15.75,7015701,False
2026-08-24,16.15,16.3,16.0,16.02,1865822,False
2026-08-21,16.1,16.4,15.97,16.11,1635307,False
2026-08-20,16.08,16.29,16.01,16.14,2051641,False
2026-08-19,16.12,16.3,16.04,16.08,2249311,False
2026-08-18,16.04,16.3,16.04,16.12,1654474,False
2026-08-17,16.57,16.57,16.17,16.32,5683049,False
2026-08-13,16.31,16.55,16.24,16.5,3838070,False
2026-08-12,16.2,16.45,16.19,16.23,1443000,False
2026-08-11,16.5,16.5,16.15,16.2,1506817,False
2026-08-10,16.58,16.69,16.4,16.42,2560388,False
2026-08-07,16.51,16.7,16.4,16.58,2415023,False
2026-08-06,16.58,16.7,16.4,16.51,2955187,False
2026-08-05,16.35,16.54,16.21,16.41,4193718,False
2026-08-04,16.12,16.33,16.0,16.1,2738961,False
2026-08-03,16.35,16.35,16.04,16.08,1780704,False
2026-07-31,16.08,16.35,15.98,16.07,2264106,False
2026-07-30,16.05,16.2,16.0,16.07,1665685,False
2026-07-29,16.18,16.25,16.01,16.07,2533419,False
2026-07-28,16.6,16.6,16.02,16.21,4098518,False
2026-07-27,16.85,17.1,16.77,16.85,3947163,False
2026-07-24,16.0,16.8,15.75,16.49,2606180,False
2026-07-23,16.61,16.65,16.09,16.18,1195966,False
2026-07-22,16.42,16.75,16.42,16.52,978780,False
2026-07-21,16.48,16.9,16.48,16.69,1488735,False
2026-07-20,16.5,16.55,16.21,16.46,3469625,False
2026-07-17,16.87,16.9,16.61,16.68,1126120,False
2026-07-16,16.69,16.96,16.57,16.84,1737601,False
2026-07-15,16.55,16.95,16.55,16.69,2227363,False
2026-07-14,17.01,17.17,16.5,16.56,5346796,False
2026-07-13,17.4,17.46,17.21,17.28,2749799,False
2026-07-10,17.69,17.74,17.5,17.58,2658247,False
2026-07-09,17.32,17.7,17.25,17.48,4829237,False
2026-07-08,17.8,17.99,17.3,17.53,6596244,False
2026-07-07,18.12,18.2,17.85,17.89,4260808,False
2026-07-06,18.15,18.28,18.05,18.1,4553416,False
2026-07-03,18.12,18.48,18.07,18.12,14872942,False
2026-07-02,17.95,18.08,17.79,17.94,4777405,False
2026-07-01,17.8,18.0,17.78,17.85,3717659,False
2026-06-30,17.73,17.95,17.7,17.88,3894050,False
2026-06-29,17.8,17.87,17.61,17.68,3812949,False
2026-06-24,17.99,18.24,17.8,17.84,7540010,False
2026-06-23,18.07,18.16,17.7,17.88,5018173,False
2026-06-22,18.13,18.35,18.03,18.06,3429755,False
2026-06-19,18.37,18.58,18.09,18.13,8658398,False
2026-06-18,18.4,18.73,18.31,18.37,13687216,False
2026-06-17,18.1,18.47,18.05,18.3,11306178,False
2026-06-16,18.15,18.21,18.0,18.06,5429759,False
2026-06-15,18.26,18.39,17.9,18.03,11437212,False
2026-06-12,18.26,18.4,18.0,18.05,4575552,False
2026-06-11,17.75,18.18,17.6,18.01,7056213,False
2026-06-10,17.6,17.95,17.55,17.72,1650193,False
2026-06-09,17.71,17.93,17.71,17.8,1655312,False
2026-06-08,17.75,17.75,17.4,17.61,2124834,False
2026-06-05,18.1,18.2,17.78,17.84,2937344,False
2026-06-04,18.0,18.19,18.0,18.03,3331116,False
2026-06-03,18.1,18.1,17.8,17.95,3248907,False
2026-06-02,18.12,18.57,18.09,18.15,11390231,False
2026-06-01,18.05,18.76,17.89,18.23,18742145,False
2026-05-29,18.0,18.17,17.75,18.03,3751259,False
2026-05-25,18.03,18.18,17.81,17.99,4252744,False
2026-05-22,17.7,18.18,17.5,17.69,6873080,False
2026-05-21,17.7,17.84,17.4,17.59,3669424,False
2026-05-20,17.28,17.45,17.04,17.36,2006560,False
2026-05-19,17.11,17.56,17.11,17.19,2089977,False
2026-05-18,17.6,17.6,17.01,17.06,3205230,False
2026-05-15,17.8,17.86,17.6,17.71,2005939,False
