date,open,high,low,close,volume,is_anomaly
2026-05-18,700.0,700.0,700.0,700.0,9,False
2026-05-15,700.0,700.0,700.0,700.0,328,False
2026-05-13,714.0,714.0,700.0,713.44,52,False
2026-05-12,700.0,711.99,700.0,700.0,379,False
2026-05-11,749.0,749.0,700.0,713.68,266,False
2026-05-08,700.03,725.0,700.0,700.02,40336,False
2026-05-07,700.08,719.99,700.0,700.01,723,False
2026-05-06,709.99,710.0,700.0,700.0,10308,False
2026-05-05,700.01,701.07,700.0,700.0,8710,False
2026-05-04,700.01,712.0,700.01,709.02,415,False
2026-04-30,700.0,721.0,700.0,716.27,104,False
2026-04-29,700.25,724.49,700.0,716.27,1470,False
2026-04-28,727.0,727.0,700.0,700.01,10005,False
2026-04-27,734.99,735.0,715.01,727.67,73,False
2026-04-24,732.52,768.98,704.0,727.67,537,False
2026-04-23,727.01,739.9,727.01,732.52,433,False
2026-04-22,725.0,795.0,721.93,727.58,750,False
2026-04-21,701.99,821.34,701.0,747.09,7383,False
2026-04-20,730.01,750.0,700.0,746.67,153,False
2026-04-17,700.0,770.0,700.0,733.41,76,False
2026-04-16,700.0,709.97,700.0,700.0,99,False
2026-04-15,700.0,713.96,700.0,700.0,194,False
2026-04-14,700.0,700.0,700.0,700.0,16,False
2026-04-13,700.0,700.0,700.0,700.0,45,False
2026-04-10,700.01,700.11,700.0,700.0,19,False
2026-04-09,703.0,770.17,700.0,700.0,699,False
2026-04-08,700.0,730.0,700.0,700.15,268,False
2026-04-07,700.0,701.99,700.0,700.0,16,False
2026-04-06,700.0,702.0,700.0,700.0,9,False
2026-04-03,700.0,702.78,700.0,700.0,257,False
2026-04-02,700.0,702.96,700.0,700.0,66629,False
2026-04-01,700.0,702.99,700.0,700.0,2887,False
2026-03-31,700.0,715.0,700.0,700.0,160,False
2026-03-30,700.0,725.0,700.0,700.0,457,False
2026-03-27,700.0,700.96,700.0,700.0,1105174,False
2026-03-26,700.0,700.89,700.0,700.0,85980,False
2026-03-25,705.0,705.0,700.0,700.0,3491,False
2026-03-24,700.0,709.97,700.0,700.14,95199,False
2026-03-19,700.0,700.05,700.0,700.0,219537,False
2026-03-18,700.0,700.7,700.0,700.0,179486,False
2026-03-17,700.0,700.98,700.0,700.0,90315,False
2026-03-16,700.0,701.0,700.0,700.0,180831,False
2026-03-13,700.0,701.1,700.0,700.01,19269,False
2026-03-12,700.0,701.0,700.0,700.0,329374,False
2026-02-26,700.0,700.0,700.0,700.0,1,False
2026-02-25,0.0,0.0,0.0,700.0,26487,True
2026-02-20,700.0,700.0,700.0,700.0,1,False
2026-02-19,700.0,700.0,700.0,700.0,1,False
2026-02-17,700.0,700.0,700.0,700.0,25,False
2026-02-16,700.0,700.0,700.0,700.0,20,False
2026-02-13,700.0,700.0,700.0,700.0,56,False
2026-02-12,700.0,700.0,700.0,700.0,227,False
2026-02-11,700.0,700.0,700.0,700.0,7,False
2026-02-10,700.0,700.0,700.0,700.0,92,False
2026-02-09,700.0,700.0,700.0,700.0,8044,False
2026-02-06,574.99,617.02,561.01,617.02,35087,False
2026-02-04,570.0,579.0,550.11,560.93,7659,False
2026-02-03,571.01,580.0,555.0,560.28,35106,False
2026-02-02,610.0,617.84,539.32,571.93,32611,False
2026-01-30,599.24,599.24,581.0,599.24,108362,False
2026-01-29,544.76,544.76,544.76,544.76,1187,False
2026-01-28,495.24,495.24,495.24,495.24,1033,False
2026-01-27,450.22,450.22,450.22,450.22,6157,False
2026-01-26,432.0,434.0,405.1,409.29,1409,False
2026-01-23,405.0,427.9,405.0,414.05,3233,False
2026-01-22,413.9,427.99,413.9,420.19,708,False
2026-01-21,434.0,434.0,410.11,413.73,1127,False
2026-01-20,432.97,432.98,418.0,429.29,539,False
2026-01-19,434.99,434.99,406.15,433.63,137,False
2026-01-16,431.99,431.99,410.15,429.97,376,False
2026-01-15,438.99,439.0,421.0,427.91,1268,False
2026-01-14,438.17,459.79,415.0,432.72,1383,False
2026-01-13,464.99,464.99,428.03,438.16,834,False
2026-01-12,451.78,459.99,423.0,453.32,1986,False
2026-01-09,442.0,479.0,405.16,451.74,2985,False
2026-01-08,433.0,450.0,432.01,441.17,1471,False
2026-01-07,439.0,445.0,431.01,432.72,309,False
2026-01-06,450.0,450.0,435.0,439.0,604,False
2026-01-05,440.01,459.99,410.0,446.02,2200,False
2026-01-02,450.0,454.0,430.0,440.47,1106,False
2026-01-01,433.78,444.0,412.05,438.22,3181,False
2025-12-31,425.01,444.9,425.01,433.79,7735,False
2025-12-30,410.54,433.6,395.0,422.39,10117,False
2025-12-29,424.0,424.0,391.1,410.54,8923,False
2025-12-26,429.55,429.94,407.1,414.93,829,False
2025-12-24,444.0,444.0,402.1,408.46,294,False
2025-12-23,414.9,418.4,399.95,415.44,4868,False
2025-12-22,406.5,412.0,398.65,407.58,8539,False
2025-12-19,416.0,416.0,390.0,399.47,2579,False
2025-12-18,405.24,439.99,403.0,404.12,2965,False
2025-12-17,409.97,409.97,397.01,401.75,2543,False
2025-12-16,409.98,409.98,397.0,399.57,4374,False
2025-12-15,409.99,429.99,388.0,402.69,4934,False
2025-12-12,389.89,409.0,385.5,396.72,9265,False
2025-12-11,411.99,411.99,390.0,390.84,1914,False
2025-12-10,429.99,429.99,354.11,398.69,5952,False
2025-12-09,392.98,397.98,388.0,393.3,3096,False
2025-12-08,378.0,395.0,375.0,392.98,14023,False
2025-12-05,365.99,384.0,365.0,377.57,7199,False
2025-12-04,365.0,398.0,353.0,359.51,2092,False
2025-12-03,366.0,367.0,351.01,362.5,1440,False
2025-12-02,357.98,364.98,351.02,359.99,6994,False
2025-12-01,365.0,368.6,350.51,354.69,6027,False
2025-11-28,357.0,383.63,331.02,369.17,8320,False
2025-11-27,358.0,358.0,338.0,348.75,16418,False
2025-11-26,338.95,363.35,311.0,358.73,53161,False
2025-11-25,344.01,347.45,323.99,330.32,15510,False
2025-11-24,331.96,348.0,331.96,343.8,2818,False
2025-11-21,330.02,345.0,330.02,339.96,7692,False
2025-11-20,330.0,338.95,325.02,335.76,2448,False
2025-11-19,336.0,342.98,320.99,333.02,22212,False
2025-11-18,335.0,364.82,328.34,331.37,106994,False
2025-11-17,364.82,364.82,364.82,364.82,7764,False
2025-11-14,405.35,405.35,405.35,405.35,1758,False
2025-11-13,450.39,450.39,450.39,450.39,11470,False
2025-11-12,500.01,529.0,482.0,500.43,2820,False
2025-11-11,529.88,529.9,502.01,519.51,3727,False
2025-11-10,535.0,535.0,517.75,518.23,583,False
2025-11-07,529.84,544.0,510.01,515.34,598,False
2025-11-06,543.0,543.0,515.02,530.54,670,False
2025-11-05,526.25,543.98,520.05,528.88,8443,False
2025-11-04,540.0,540.0,524.0,526.26,2778,False
2025-11-03,504.97,534.9,493.1,531.69,23804,False
2025-10-31,499.98,499.99,487.5,491.22,3006,False
2025-10-30,490.0,490.01,468.0,489.89,6989,False
2025-10-29,480.03,489.99,453.18,476.02,3488,False
2025-10-28,474.03,519.54,470.01,487.92,44482,False
2025-10-27,490.0,490.0,471.18,472.31,2238,False
2025-10-24,488.0,493.0,460.0,480.63,8763,False
2025-10-23,510.95,510.97,489.0,492.09,12182,False
2025-10-22,530.18,562.0,490.0,510.94,58334,False
2025-10-21,560.0,564.49,525.0,530.18,12989,False
2025-10-20,595.0,598.98,560.0,562.99,20781,False
2025-10-17,665.63,665.63,550.0,580.54,138569,False
