date,open,high,low,close,volume,is_anomaly
2026-09-18,1801.0,1801.0,1800.0,1800.0,13,False
2026-09-17,1817.9,1817.9,1817.9,1811.14,1,True
2026-09-16,1812.1,1812.1,1811.14,1811.14,8,False
2026-09-15,1815.5,1818.0,1800.1,1811.14,18,False
2026-09-14,1823.0,1823.0,1800.08,1817.66,25,False
2026-09-11,1839.0,1897.99,1810.0,1822.33,7,False
2026-09-10,1810.0,1811.0,1810.0,1822.33,5,True
2026-09-09,1801.0,1839.0,1800.0,1822.33,13,False
2026-09-08,1830.0,1849.0,1807.0,1822.33,123,False
2026-09-07,1888.0,1888.0,1830.0,1834.81,31,False
2026-09-04,1864.0,1864.0,1855.0,1858.85,62,False
2026-09-03,1896.25,1896.25,1894.45,1864.0,10,True
2026-09-02,1856.0,1887.99,1856.0,1864.0,3,False
2026-09-01,1915.0,1915.0,1858.0,1864.0,13,False
2026-08-31,1866.0,1915.0,1866.0,1864.0,9,True
2026-08-28,1919.0,1919.0,1864.0,1864.0,41,False
2026-08-27,1943.99,1943.99,1854.0,1899.49,98,False
2026-08-25,1800.01,1945.0,1800.01,1868.0,100,False
2026-08-24,1863.0,1887.4,1831.01,1862.17,13,False
2026-08-21,1890.0,1890.0,1851.0,1862.17,5,False
2026-08-20,1877.0,1878.99,1860.11,1862.17,5,False
2026-08-19,1810.0,1889.99,1810.0,1862.17,10,False
2026-08-18,1861.94,1899.97,1832.2,1862.17,31,False
2026-08-17,1903.1,1903.1,1861.58,1861.94,34,False
2026-08-13,1915.9,1915.9,1856.0,1903.33,13,False
2026-08-12,1932.5,1933.0,1801.0,1903.33,182,False
2026-08-11,1855.0,1930.0,1855.0,1935.91,9,True
2026-08-10,1935.0,1935.0,1935.0,1935.91,2,True
2026-08-07,1928.0,1949.3,1928.0,1935.91,29,False
2026-08-06,1915.03,1978.8,1850.0,1902.06,105,False
2026-08-05,1922.0,1922.0,1810.0,1915.4,56,False
2026-08-04,1930.0,1930.0,1920.01,1920.16,7,False
2026-08-03,1931.13,1931.13,1906.1,1920.16,23,False
2026-07-31,1927.0,1927.0,1927.0,1931.13,2,True
2026-07-30,1939.0,1940.0,1927.1,1931.13,21,False
2026-07-29,1905.51,1940.0,1905.51,1941.07,2,True
2026-07-28,1935.0,1945.0,1906.1,1941.07,27,False
2026-07-27,1902.52,1934.0,1902.51,1933.22,49,False
2026-07-24,1936.0,1936.0,1929.99,1900.11,8,True
2026-07-23,1935.0,1935.0,1900.0,1900.11,810,False
2026-07-22,1930.0,1930.01,1900.0,1900.0,122,False
2026-07-21,1913.0,1930.01,1913.0,1936.95,8,True
2026-07-20,1967.0,1967.0,1967.0,1936.95,4,True
2026-07-17,1956.9,1980.0,1905.0,1936.95,225,False
2026-07-16,1980.0,1980.0,1933.0,1933.87,318,False
2026-07-15,1933.0,2030.0,1915.0,1993.61,558,False
2026-07-14,1903.0,1939.9,1902.0,1936.79,556,False
2026-07-13,1903.0,1944.0,1900.0,1917.62,48,False
2026-07-10,1919.21,1949.0,1919.19,1931.82,52,False
2026-07-09,1910.11,1949.0,1910.11,1927.76,44,False
2026-07-08,1931.01,1950.5,1905.0,1914.41,38,False
2026-07-07,1951.51,1951.51,1951.51,1951.8,1,True
2026-07-06,1952.0,1952.0,1950.0,1951.8,351,False
2026-07-03,1953.0,1955.0,1927.0,1927.0,131,False
2026-07-02,1950.0,1953.0,1925.0,1925.01,81,False
2026-07-01,1921.0,1958.0,1921.0,1932.0,607,False
2026-06-30,1920.0,1955.0,1915.0,1949.55,34,False
2026-06-29,1931.0,1958.0,1930.0,1932.52,28,False
2026-06-24,1957.99,1958.0,1928.0,1958.0,140,False
2026-06-23,1958.0,1958.0,1925.01,1951.19,76,False
2026-06-22,1958.58,1959.0,1926.01,1929.3,7576,False
2026-06-19,1958.88,1958.88,1932.0,1956.79,26,False
2026-06-18,1948.0,1959.0,1930.01,1956.5,147,False
2026-06-17,1925.0,1953.0,1925.0,1945.0,46,False
2026-06-16,1944.0,1950.0,1910.0,1948.98,88,False
2026-06-15,1925.1,1959.9,1925.1,1948.16,159,False
2026-06-12,1929.0,1930.0,1928.0,1928.75,46,False
2026-06-11,1935.0,1935.0,1922.0,1925.36,26,False
2026-06-10,1948.0,1960.0,1900.0,1917.39,190,False
2026-06-09,1918.3,1918.3,1918.3,1918.3,1,False
2026-06-08,1969.0,1969.0,1746.0,1918.3,167,False
2026-06-05,1968.0,1970.0,1933.0,1940.0,70,False
2026-06-04,1920.01,1920.01,1920.01,1920.01,16,False
2026-06-03,1915.01,1979.0,1915.01,1962.08,9,False
2026-06-02,1856.0,1988.0,1856.0,1962.08,75,False
2026-06-01,1985.0,1985.0,1955.0,1960.89,37,False
2026-05-29,1940.0,1990.0,1919.0,1956.0,34,False
2026-05-25,1968.08,1988.0,1950.0,1969.15,190,False
2026-05-22,2000.0,2000.0,1895.0,1968.08,62,False
2026-05-21,1928.0,1928.0,1895.0,1919.29,26,False
2026-05-19,2078.45,2078.45,1876.0,1930.0,106,False
2026-05-18,1841.0,1950.0,1840.0,1889.5,16,False
2026-05-15,1911.0,1911.0,1875.0,1881.6,23,False
2026-05-14,1914.0,1915.0,1830.0,1901.78,75,False
2026-05-13,1951.0,1951.0,1877.0,1911.31,69,False
2026-05-12,1915.0,1915.0,1914.0,1910.29,32,True
2026-05-11,1936.99,1936.99,1906.0,1910.29,64,False
2026-05-08,1870.0,1917.0,1855.0,1899.22,132,False
2026-05-07,1907.0,1907.0,1892.0,1903.22,82,False
2026-05-06,1900.21,1900.21,1875.0,1899.39,93,False
2026-05-05,1899.0,1909.0,1899.0,1900.21,62,False
2026-05-04,1901.0,1944.0,1896.0,1897.33,50,False
2026-04-30,1904.76,1988.0,1880.0,1887.1,72,False
2026-04-29,1900.0,1910.0,1900.0,1904.76,21,False
2026-04-28,1893.93,1939.0,1885.0,1891.11,330,False
2026-04-27,1905.0,1908.0,1890.0,1893.1,119,False
2026-04-24,1919.0,1919.0,1900.0,1906.33,63,False
2026-04-23,1899.0,1910.0,1889.0,1905.0,55,False
2026-04-22,1900.0,1900.0,1880.0,1899.17,306,False
2026-04-21,1919.0,1919.0,1899.0,1900.89,67,False
2026-04-20,1930.0,1930.0,1820.0,1871.48,403,False
2026-04-17,1915.0,1915.0,1880.0,1880.0,17,False
2026-04-16,1861.0,1905.0,1860.0,1891.87,80,False
2026-04-15,1888.88,1944.0,1888.88,1900.1,162,False
2026-04-14,1897.0,1920.0,1825.01,1888.75,305,False
2026-04-13,1899.0,1899.0,1899.0,1894.12,13,True
2026-04-09,1912.0,1917.0,1875.0,1894.12,394,False
2026-04-08,1920.0,1934.0,1835.0,1933.18,231,False
2026-04-06,1920.0,1920.0,1918.0,1919.93,30,False
2026-04-03,1930.0,1934.0,1861.1,1922.72,70,False
2026-04-02,0.0,0.0,0.0,1949.43,1,True
2026-04-01,1893.0,1939.0,1893.0,1949.43,7,True
2026-03-31,1934.0,1934.0,1934.0,1949.43,2,True
2026-03-30,1820.0,1940.0,1820.0,1955.61,4,True
2026-03-27,1871.01,1871.01,1871.0,1955.61,2,True
2026-03-25,1955.0,1964.0,1955.0,1955.61,59,False
2026-03-24,1990.0,1990.0,1901.0,1919.7,2,False
2026-03-19,1901.0,1918.88,1900.7,1919.7,13,True
2026-03-18,1855.0,1966.66,1853.0,1919.7,59,False
2026-03-17,1989.0,1989.0,1850.0,1879.97,27,False
2026-03-16,1831.0,1940.0,1825.0,1918.37,90,False
2026-03-13,1966.0,1966.0,1965.0,1973.69,11,True
2026-03-12,1910.0,2035.0,1910.0,1973.69,370,False
2026-03-11,1939.0,1950.0,1840.0,1850.06,7344,False
2026-03-10,1780.5,1833.0,1780.0,1783.35,253,False
2026-03-09,1735.01,1799.99,1730.0,1780.33,95,False
2026-03-06,1940.0,1940.0,1800.0,1800.0,104,False
2026-03-05,1900.0,1900.0,1800.0,1801.22,253,False
2026-03-04,1920.0,1920.0,1826.0,1874.93,38,False
2026-03-03,1899.0,1899.99,1800.0,1813.75,103,False
2026-03-02,1900.0,1900.0,1725.01,1900.0,9,False
2026-02-27,1917.0,1920.01,1900.0,1900.0,378,False
2026-02-26,1980.0,1980.0,1913.0,1913.97,9,False
2026-02-25,1980.0,1980.0,1913.95,1913.97,26,False
2026-02-24,1920.0,1929.0,1910.0,1913.95,33,False
2026-02-23,1956.0,1970.0,1931.0,1947.43,32,False
2026-02-20,1983.99,1984.0,1952.0,1954.64,21,False
2026-02-19,1950.01,1950.01,1950.01,1950.01,1,False
2026-02-17,1999.0,2000.0,1999.0,1950.01,12,True
2026-02-16,1977.0,1977.0,1950.01,1950.01,69,False
2026-02-13,1943.02,1997.0,1943.01,1977.32,11,False
2026-02-11,2171.0,2171.0,1971.0,1977.32,28,False
2026-02-10,1972.0,2005.0,1971.1,1974.42,13,False
2026-02-09,1971.1,1971.12,1970.0,1970.14,37,False
2026-02-06,1999.9,1999.9,1910.0,1952.92,116,False
2026-02-04,1999.8,1999.8,1962.1,1999.73,22,False
2026-02-03,1994.99,1999.0,1994.97,1969.0,12,True
2026-02-02,1966.0,1969.0,1966.0,1969.0,28,False
2026-01-29,2000.0,2000.0,1960.01,1969.23,14,False
2026-01-27,1976.0,1999.99,1975.0,1997.64,81,False
2026-01-26,1927.3,2019.0,1927.3,2014.86,128,False
2026-01-23,1994.0,2020.4,1920.01,1993.33,28,False
2026-01-21,1862.02,2039.0,1862.02,2014.45,54,False
2026-01-20,2039.8,2039.8,2017.0,2020.04,44,False
2026-01-19,2020.0,2043.99,2015.0,2016.0,50,False
2026-01-16,2034.0,2034.0,1975.2,2013.85,53,False
2026-01-15,2034.9,2034.9,1931.0,1989.74,29,False
2026-01-14,1905.04,1997.9,1905.01,1981.6,141,False
2026-01-13,2083.0,2083.0,1831.0,2004.35,170,False
2026-01-12,2003.03,2064.99,2003.03,2031.66,38,False
2026-01-09,2005.2,2050.0,2005.2,2021.92,24,False
2026-01-08,2029.0,2059.99,2029.0,2029.97,139,False
2026-01-07,2027.0,2069.0,2027.0,2028.96,44,False
2026-01-06,2027.01,2075.0,1980.1,2025.0,118,False
2026-01-05,2014.0,2049.9,1926.0,2026.62,134,False
2026-01-02,2000.0,2085.0,2000.0,2072.4,80,False
2026-01-01,1980.03,2049.99,1980.0,2049.6,185,False
2025-12-31,2162.54,2162.54,2005.0,2008.7,196,False
2025-12-30,2000.25,2139.0,2000.0,2002.35,823,False
2025-12-29,2049.01,2115.0,1902.0,2100.0,7981,False
2025-12-26,1906.0,2000.0,1881.0,1984.69,1085,False
2025-12-23,1922.0,1990.0,1888.0,1921.93,57,False
2025-12-22,1926.0,1982.0,1926.0,1929.75,24,False
2025-12-19,1930.02,1933.01,1925.0,1930.6,528,False
2025-12-17,1930.0,1979.93,1930.0,1935.1,85,False
2025-12-16,1936.0,1983.83,1936.0,1983.83,22,False
2025-12-15,1975.0,1984.9,1941.0,1983.99,129,False
2025-12-12,1975.0,1975.0,1975.0,1975.0,250,False
2025-12-11,1969.0,1969.0,1969.0,1969.2,10,True
