date,open,high,low,close,volume,is_anomaly
2026-09-18,7489.9,7500.0,7401.0,7488.88,166,False
2026-09-17,7499.59,7523.11,7451.01,7490.0,130,False
2026-09-16,7487.11,7525.0,7417.1,7499.59,184,False
2026-09-15,7362.1,7500.0,7360.0,7493.65,96,False
2026-09-14,7360.12,7518.0,7360.12,7508.75,221,False
2026-09-11,7424.99,7449.0,7351.0,7424.22,210,False
2026-09-10,7431.67,7472.0,7400.0,7426.59,192,False
2026-09-09,7522.99,7526.98,7200.0,7431.67,261,False
2026-09-08,7500.0,7525.0,7451.22,7498.75,250,False
2026-09-07,7505.33,7505.33,7480.0,7500.09,162,False
2026-09-04,7479.11,7539.0,7479.11,7505.33,146,False
2026-09-03,7535.0,7540.0,7501.68,7513.37,63,False
2026-09-02,7549.99,7558.0,7500.0,7539.9,390,False
2026-09-01,7457.12,7574.99,7457.12,7532.76,200,False
2026-08-31,7520.99,7600.0,7350.0,7473.54,493,False
2026-08-28,7529.95,7538.98,7400.0,7520.99,316,False
2026-08-27,7503.33,7548.1,7503.33,7529.95,78,False
2026-08-25,7518.89,7550.0,7450.0,7503.33,67,False
2026-08-24,7520.0,7522.0,7481.12,7518.89,176,False
2026-08-21,7465.01,7542.84,7465.01,7520.0,80,False
2026-08-20,7470.0,7550.0,7470.0,7483.49,223,False
2026-08-19,7540.0,7579.84,7300.0,7475.2,567,False
2026-08-18,7520.15,7550.0,7500.0,7512.31,505,False
2026-08-17,7560.0,7575.0,7540.01,7540.65,273,False
2026-08-13,7521.0,7599.98,7492.0,7560.28,520,False
2026-08-12,7500.0,7645.89,7492.0,7520.11,484,False
2026-08-11,7580.01,7617.98,7490.03,7522.64,636,False
2026-08-10,7639.99,7650.0,7545.01,7552.79,390,False
2026-08-07,7600.0,7645.0,7599.0,7599.87,171,False
2026-08-06,7664.94,7664.94,7556.15,7598.58,335,False
2026-08-05,7699.94,7699.94,7550.0,7577.68,482,False
2026-08-04,7749.0,7749.0,7550.0,7589.91,863,False
2026-08-03,7913.37,7950.0,7750.0,7771.24,2415,False
2026-07-31,7848.5,7998.9,7800.0,7913.37,351,False
2026-07-30,7800.0,7850.0,7751.0,7821.88,143,False
2026-07-29,7822.98,7830.0,7660.0,7822.14,140,False
2026-07-28,7811.0,7849.99,7750.5,7823.13,163,False
2026-07-27,7799.95,7849.98,7770.0,7810.07,246,False
2026-07-24,7738.94,7800.0,7630.0,7752.21,243,False
2026-07-23,7688.13,7744.3,7645.0,7719.66,174,False
2026-07-22,7652.0,7694.98,7651.95,7688.13,126,False
2026-07-21,7656.95,7656.95,7635.0,7651.92,77,False
2026-07-20,7684.75,7684.75,7500.0,7579.23,175,False
2026-07-17,7620.0,7690.0,7426.26,7617.23,90,False
2026-07-16,7617.5,7700.0,7617.5,7657.58,120,False
2026-07-15,7566.0,7638.0,7500.0,7617.5,86,False
2026-07-14,7559.11,7648.95,7559.11,7564.11,157,False
2026-07-13,7620.0,7800.0,7100.01,7614.59,990,False
2026-07-10,7630.0,7645.0,7582.01,7627.68,71,False
2026-07-09,7569.67,7625.0,7568.0,7597.15,116,False
2026-07-08,7674.95,7674.95,7550.0,7569.67,323,False
2026-07-07,7689.0,7850.0,7500.0,7565.55,2407,False
2026-07-06,7697.5,7780.0,7600.01,7688.85,1307,False
2026-07-03,7704.11,7849.95,7640.0,7699.43,173,False
2026-07-02,7780.0,7782.0,7678.0,7695.72,381,False
2026-07-01,7663.48,7699.9,7611.25,7678.79,172,False
2026-06-30,7611.16,7689.98,7600.0,7663.49,143,False
2026-06-29,7622.26,7650.0,7621.1,7639.18,163,False
2026-06-24,7689.0,7690.0,7620.0,7649.62,904,False
2026-06-23,7699.99,7700.0,7555.02,7615.96,271,False
2026-06-22,7785.0,7785.0,7105.0,7632.7,872,False
2026-06-19,7780.0,7789.0,7705.01,7780.0,439,False
2026-06-18,7750.0,7799.9,7735.0,7780.46,241,False
2026-06-17,7773.75,7800.0,7651.0,7734.15,241,False
2026-06-16,7750.0,7780.0,7500.85,7748.78,620,False
2026-06-15,7793.0,7793.0,7700.11,7743.0,343,False
2026-06-12,7635.0,7729.95,7635.0,7700.0,195,False
2026-06-11,7699.99,7699.99,7628.15,7696.22,162,False
2026-06-10,7685.0,7750.0,7625.0,7703.28,561,False
2026-06-09,7669.74,7800.0,7600.0,7660.26,317,False
2026-06-08,7651.16,7719.9,7651.16,7660.04,117,False
2026-06-05,7710.0,7750.0,7700.0,7730.19,119,False
2026-06-04,7758.89,7759.87,7702.0,7734.17,84,False
2026-06-03,7758.98,7774.0,7500.0,7726.48,440,False
2026-06-02,7645.0,7726.0,7640.0,7702.0,209,False
2026-06-01,7750.5,7750.5,7555.0,7645.71,288,False
2026-05-29,7541.11,7750.0,7541.11,7677.51,175,False
2026-05-25,7550.0,7700.0,7550.0,7657.86,431,False
2026-05-22,7591.04,7690.0,7500.01,7599.03,203,False
2026-05-21,7669.95,7669.95,7560.0,7586.27,526,False
2026-05-20,7738.0,7738.0,7550.0,7554.52,447,False
2026-05-19,7623.98,7623.98,7528.0,7600.0,1200,False
2026-05-18,7559.99,7639.99,7460.17,7523.17,972,False
2026-05-15,7587.74,7599.99,7510.0,7584.95,113,False
2026-05-14,7568.0,7600.0,7561.0,7587.75,119,False
2026-05-13,7648.88,7650.0,7552.0,7563.04,296,False
2026-05-12,7731.58,7740.0,7511.01,7615.76,243,False
2026-05-11,7501.06,7990.0,7460.0,7731.58,1840,False
2026-05-08,7545.0,7545.0,7410.0,7501.06,304,False
2026-05-07,7547.99,7548.0,7500.2,7515.0,195,False
2026-05-06,7455.0,7520.0,7455.0,7500.43,181,False
2026-05-05,7350.01,7569.0,7350.0,7462.3,1956,False
2026-05-04,7508.0,7509.0,7400.03,7470.52,1418,False
2026-04-30,7449.99,7500.0,7365.0,7488.55,1353,False
2026-04-29,7310.0,7580.0,7310.0,7451.0,538,False
2026-04-28,7460.0,7550.0,7411.0,7492.31,375,False
2026-04-27,7450.5,7551.0,7300.0,7475.47,237,False
2026-04-24,7500.0,7520.22,7411.05,7519.65,582,False
2026-04-23,7443.9,7488.45,7360.0,7416.05,496,False
2026-04-22,7600.0,7600.0,7000.0,7374.65,547,False
2026-04-21,7497.0,7497.0,7351.51,7442.09,363,False
2026-04-20,7497.3,7506.0,7400.0,7455.91,429,False
2026-04-17,7500.14,7590.0,7301.51,7497.3,636,False
2026-04-16,7441.0,7483.8,7431.01,7480.74,338,False
2026-04-15,7448.0,7549.9,7420.0,7441.99,347,False
2026-04-14,7467.9,7467.9,7375.0,7416.28,253,False
2026-04-13,7430.0,7496.97,7250.0,7355.77,5741,False
2026-04-10,7674.94,7674.94,7415.0,7503.54,535,False
2026-04-09,7600.0,7700.0,7490.0,7495.37,9040,False
2026-04-08,7700.0,7790.0,7550.01,7699.95,4004,False
2026-04-07,7767.94,7767.94,7520.0,7554.63,1316,False
2026-04-06,7651.0,7800.0,7591.0,7601.39,738,False
2026-04-03,7649.98,7850.0,7649.0,7677.46,198,False
2026-04-02,7690.0,7700.0,7340.02,7696.0,296,False
2026-04-01,7712.41,7800.0,7650.01,7697.29,987,False
2026-03-31,7532.62,7737.95,7532.62,7712.4,115,False
2026-03-30,7755.0,7755.0,7499.0,7532.62,714,False
2026-03-27,7749.03,7890.0,7635.0,7742.38,123,False
2026-03-26,7725.0,7799.95,7650.0,7748.0,484,False
2026-03-25,7750.0,7789.98,7650.0,7700.0,1479,False
2026-03-24,8000.0,8000.0,7600.0,7700.0,1382,False
2026-03-19,7885.0,7900.0,7820.5,7887.17,122,False
2026-03-18,7820.01,7919.0,7800.0,7899.0,70,False
2026-03-17,7899.9,7925.0,7803.0,7892.0,197,False
2026-03-16,7798.5,7980.0,7770.05,7781.36,217,False
2026-03-13,7821.88,8100.0,7750.0,7799.67,427,False
2026-03-12,7820.0,7850.0,7750.0,7821.88,57,False
2026-03-11,7875.0,8000.0,7700.01,7814.28,163,False
2026-03-10,7851.16,8000.0,7500.0,7899.29,132,False
2026-03-09,7800.0,7800.0,7400.0,7713.65,196,False
2026-03-06,7785.0,8189.0,7750.0,7770.19,438,False
2026-03-05,7771.01,7994.95,7771.01,7830.4,83,False
2026-03-04,8000.0,8000.0,7715.0,7800.0,109,False
2026-03-03,8200.0,8200.0,7667.2,7796.18,211,False
2026-03-02,7250.0,8000.0,7250.0,7667.2,253,False
2026-02-27,7999.0,7999.0,7960.0,7998.89,50,False
2026-02-26,7979.5,7980.0,7801.0,7903.0,506,False
2026-02-25,8027.0,8027.0,7900.01,7979.5,80,False
2026-02-24,7900.05,8044.9,7800.0,7904.29,210,False
2026-02-23,8089.99,8090.0,7962.0,7996.45,119,False
2026-02-20,8000.0,8100.0,7960.01,8046.98,396,False
2026-02-19,7980.0,8036.0,7900.0,7952.26,73,False
2026-02-18,7990.0,8080.0,7950.0,7999.56,933,False
2026-02-17,8050.0,8050.0,7905.02,7966.5,79,False
2026-02-16,8050.0,8050.0,7930.01,7955.26,318,False
2026-02-13,8079.8,8079.8,7905.0,8013.14,78,False
2026-02-12,8097.09,8100.0,7950.0,8012.5,227,False
2026-02-11,8050.01,8176.0,8050.01,8097.09,82,False
2026-02-10,8400.0,8400.0,8000.0,8178.65,456,False
2026-02-09,7935.0,8638.0,7854.0,8265.26,1744,False
2026-02-06,7914.0,7949.0,7850.0,7852.73,407,False
2026-02-04,7800.0,7949.9,7800.0,7906.13,325,False
2026-02-03,7774.41,7848.0,7774.41,7830.74,95,False
2026-02-02,7885.05,7919.0,7201.02,7774.41,362,False
2026-01-30,7970.0,7970.0,7864.03,7883.79,118,False
2026-01-29,7900.0,7978.02,7800.0,7857.86,311,False
2026-01-28,7950.0,8000.0,7811.0,7905.39,310,False
2026-01-27,7970.64,8000.0,7871.0,7900.83,196,False
2026-01-26,7770.0,8000.0,7770.0,7970.64,479,False
2026-01-23,7990.0,8000.0,7710.0,7764.52,1139,False
2026-01-22,7925.0,8000.0,7901.0,7988.79,329,False
2026-01-21,7911.0,8000.0,7910.01,7925.0,210,False
2026-01-20,8048.0,8048.0,7919.01,7988.51,486,False
2026-01-19,8067.48,8067.48,7900.0,7996.47,146,False
2026-01-16,7966.0,8020.0,7199.08,7952.25,891,False
2026-01-15,7950.0,8000.0,7950.0,7998.98,314,False
2026-01-14,7906.0,8000.0,7906.0,7950.0,127,False
2026-01-13,8018.05,8018.05,7965.0,7990.0,667,False
2026-01-12,8005.0,8015.0,7953.0,7999.99,207,False
2026-01-09,8008.98,8015.0,7970.0,8000.96,133,False
2026-01-08,8020.0,8020.0,7950.0,7981.09,393,False
2026-01-07,8030.0,8030.0,7950.0,8014.85,164,False
2026-01-06,8021.43,8039.0,7983.0,7998.12,508,False
2026-01-05,7982.0,8040.0,7982.0,8021.43,69,False
2026-01-02,7998.99,8075.0,7953.0,8010.16,765,False
2026-01-01,7953.11,8000.0,7953.11,7998.75,407,False
2025-12-31,7951.0,7999.99,7925.0,7952.62,605,False
2025-12-30,7985.0,8038.9,7943.0,7948.59,355,False
