date,open,high,low,close,volume,is_anomaly
2026-09-18,32.49,33.48,32.05,32.65,968494,False
2026-09-17,31.55,32.5,31.35,32.11,1176851,False
2026-09-16,31.7,31.7,31.05,31.36,509312,False
2026-09-15,31.65,32.74,31.52,31.71,831965,False
2026-09-14,32.7,32.85,31.16,31.46,1087903,False
2026-09-11,32.1,33.25,31.0,33.05,1402149,False
2026-09-10,34.0,34.07,32.3,32.53,1674672,False
2026-09-09,34.1,34.6,33.9,34.03,501269,False
2026-09-08,34.15,34.98,33.71,34.25,1988313,False
2026-09-07,35.6,35.6,33.85,33.99,1266593,False
2026-09-04,36.49,36.65,35.1,35.49,2869097,False
2026-09-03,34.47,36.93,34.1,36.08,6745014,False
2026-09-02,34.15,34.49,33.26,34.09,3404678,False
2026-09-01,35.12,35.8,34.35,34.57,3152219,False
2026-08-31,37.29,37.48,35.3,35.69,3982276,False
2026-08-28,38.25,38.98,37.2,37.51,2996986,False
2026-08-27,38.59,39.4,38.0,38.16,5277047,False
2026-08-25,38.4,39.0,37.57,37.98,2536133,False
2026-08-24,38.8,39.5,37.96,38.2,3721154,False
2026-08-21,38.43,40.11,38.2,38.44,6322002,False
2026-08-20,40.46,40.84,37.81,38.14,6444974,False
2026-08-19,40.78,41.66,39.0,40.04,9477754,False
2026-08-18,40.75,44.0,40.15,40.78,27575212,False
2026-08-17,37.25,40.19,36.5,40.19,10883043,False
2026-08-13,37.0,37.29,36.25,36.54,1602647,False
2026-08-12,37.8,37.8,36.7,36.99,3460897,False
2026-08-11,36.06,38.8,36.0,37.27,17603120,False
2026-08-10,34.95,36.49,34.15,35.97,6129155,False
2026-08-07,34.29,35.0,33.5,34.69,1682012,False
2026-08-06,34.1,34.69,33.97,34.29,1233591,False
2026-08-05,34.5,34.7,33.7,33.97,789809,False
2026-08-04,34.87,34.87,33.82,33.91,726394,False
2026-08-03,34.0,35.6,33.39,34.36,3454550,False
2026-07-31,33.6,34.0,32.9,33.09,906127,False
2026-07-30,33.5,34.7,33.4,33.56,986855,False
2026-07-29,32.33,35.86,32.0,34.09,9457043,False
2026-07-28,33.3,34.44,32.5,32.88,2810615,False
2026-07-27,30.6,32.66,30.5,32.66,2211165,False
2026-07-24,30.02,30.8,29.13,29.69,720603,False
2026-07-23,31.0,31.0,30.02,30.16,325747,False
2026-07-22,31.15,31.15,30.5,30.61,397569,False
2026-07-21,31.95,31.95,30.95,31.12,537626,False
2026-07-20,31.1,31.28,30.5,31.01,382536,False
2026-07-17,32.26,32.47,31.01,31.5,703391,False
2026-07-16,31.35,32.74,31.17,32.04,857537,False
2026-07-15,31.2,31.8,31.0,31.1,666802,False
2026-07-14,32.56,32.96,30.51,30.91,1687594,False
2026-07-13,33.25,33.48,33.0,33.15,453156,False
2026-07-10,33.55,33.99,33.55,33.7,816546,False
2026-07-09,32.53,33.89,32.5,33.41,640195,False
2026-07-08,34.8,34.88,32.65,33.31,1536753,False
2026-07-07,35.45,35.57,34.9,35.05,880841,False
2026-07-06,35.76,35.83,35.2,35.4,1135859,False
2026-07-03,35.7,36.08,35.3,35.45,1858250,False
2026-07-02,35.6,35.7,35.31,35.54,1076143,False
2026-07-01,35.9,35.9,35.46,35.59,1442730,False
2026-06-30,35.45,36.07,35.4,35.77,829610,False
2026-06-29,35.51,36.37,35.3,35.44,1066553,False
2026-06-24,35.54,36.9,35.02,36.02,5228508,False
2026-06-23,35.5,35.79,35.0,35.15,1782851,False
2026-06-22,36.45,36.55,35.15,35.28,2787353,False
2026-06-19,36.25,37.29,34.97,35.59,8230908,False
2026-06-18,34.99,36.15,34.5,35.78,3175507,False
2026-06-17,34.55,34.99,34.3,34.68,1248156,False
2026-06-16,35.0,35.59,34.38,34.48,3155078,False
2026-06-15,36.49,36.49,34.75,34.98,2557136,False
2026-06-12,36.0,36.8,35.25,35.42,3686003,False
2026-06-11,34.56,38.02,34.47,35.78,13973465,False
2026-06-10,33.78,35.25,33.5,34.56,3025804,False
2026-06-09,33.85,34.29,33.51,33.78,560731,False
2026-06-08,33.5,33.7,32.6,33.45,786336,False
2026-06-05,34.49,34.8,33.7,33.9,1013944,False
2026-06-04,34.7,34.85,34.0,34.12,1087719,False
2026-06-03,34.49,35.2,34.0,34.32,841016,False
2026-06-02,34.75,35.6,34.4,34.62,1040333,False
2026-06-01,35.06,35.39,34.55,34.73,1183712,False
2026-05-29,35.16,35.5,34.14,35.02,811666,False
2026-05-25,36.16,36.19,35.26,35.43,718571,False
2026-05-22,35.88,36.4,35.05,35.29,1526737,False
2026-05-21,35.99,36.4,35.42,35.54,1329979,False
2026-05-20,36.49,36.99,35.7,35.93,6212299,False
2026-05-19,33.5,35.17,32.6,35.17,3044404,False
2026-05-18,33.7,34.0,31.5,31.97,829153,False
2026-05-15,35.0,35.0,33.63,33.97,948211,False
2026-05-14,34.6,35.4,34.15,34.49,827435,False
2026-05-13,34.51,34.92,33.91,34.45,750938,False
2026-05-12,36.5,36.7,34.44,34.51,1484287,False
2026-05-11,33.8,36.99,33.5,36.06,3183258,False
2026-05-08,34.88,35.3,34.05,34.66,842761,False
2026-05-07,35.9,36.0,34.35,35.18,2020615,False
2026-05-06,34.18,35.3,34.0,34.83,2018686,False
2026-05-05,33.85,33.9,32.52,33.48,1013548,False
2026-05-04,32.3,34.41,32.3,32.95,2454789,False
2026-04-30,33.69,33.69,31.03,31.75,3744807,False
2026-04-29,35.75,36.7,33.4,34.48,1555359,False
2026-04-28,36.75,38.3,35.7,35.95,4246038,False
2026-04-27,37.01,39.25,36.55,37.62,10808531,False
2026-04-24,31.82,35.93,30.75,35.93,2558983,False
2026-04-23,34.3,34.3,32.16,32.66,1520889,False
2026-04-22,34.7,35.25,34.0,34.12,787474,False
2026-04-21,36.02,37.74,34.81,35.11,4992112,False
2026-04-20,35.99,37.9,34.0,35.68,3812786,False
2026-04-17,35.04,38.0,35.04,37.78,7328999,False
2026-04-16,32.88,34.75,32.5,34.75,5340438,False
2026-04-15,31.0,31.59,30.5,31.59,1766630,False
2026-04-14,26.5,28.72,26.5,28.72,1819791,False
2026-04-13,25.5,26.74,25.5,26.11,890937,False
2026-04-10,26.67,27.5,26.67,27.16,910305,False
2026-04-09,27.01,27.21,26.21,26.54,618068,False
2026-04-08,26.5,27.09,26.5,27.09,1053576,False
2026-04-07,24.01,24.88,24.0,24.63,188013,False
2026-04-06,24.05,24.4,23.6,24.22,290664,False
2026-04-03,23.5,24.0,23.13,23.96,258699,False
2026-04-02,24.34,24.35,23.52,24.22,233030,False
2026-04-01,24.0,25.25,24.0,24.68,680690,False
2026-03-31,23.97,24.11,23.2,23.64,249006,False
2026-03-30,25.02,25.02,23.0,23.54,499515,False
2026-03-27,26.48,26.48,25.0,25.07,550528,False
2026-03-26,27.09,27.09,26.0,26.06,699008,False
2026-03-25,26.5,27.27,26.0,27.1,790824,False
2026-03-24,26.5,27.34,26.4,26.45,312670,False
2026-03-19,25.8,26.1,25.22,26.04,275365,False
2026-03-18,25.85,26.47,25.61,25.91,409095,False
2026-03-17,26.49,26.49,25.2,25.72,205786,False
2026-03-16,26.79,26.92,25.9,25.94,281622,False
2026-03-13,26.7,27.0,26.12,26.5,252888,False
2026-03-12,26.64,27.24,26.05,26.69,288410,False
2026-03-11,26.67,28.0,26.1,26.65,511161,False
2026-03-10,26.98,27.0,25.5,26.7,1153155,False
2026-03-09,26.5,26.5,24.83,24.83,719876,False
2026-03-06,28.12,28.4,27.27,27.59,536015,False
2026-03-05,27.01,28.49,26.84,28.08,940544,False
2026-03-04,25.01,26.98,24.5,26.83,942388,False
2026-03-03,24.25,25.8,24.21,25.06,1255717,False
2026-03-02,26.88,27.39,26.88,26.88,896606,False
2026-02-27,32.0,32.0,29.42,29.87,948725,False
2026-02-26,29.55,31.85,28.6,31.39,1555996,False
2026-02-25,29.1,29.7,29.0,29.16,467059,False
2026-02-24,29.95,29.95,28.0,28.95,1474017,False
2026-02-23,32.99,32.99,29.46,30.13,1199905,False
2026-02-20,34.0,34.55,30.9,32.73,2536006,False
2026-02-19,38.25,38.25,34.25,34.33,1270884,False
2026-02-18,37.38,38.68,37.1,38.05,871758,False
2026-02-17,37.0,37.85,37.0,37.08,966626,False
2026-02-16,38.6,38.85,37.0,37.34,2133753,False
2026-02-13,38.92,39.59,38.35,38.5,3690327,False
2026-02-12,40.72,40.8,38.74,39.1,2351344,False
2026-02-11,38.97,42.4,38.3,40.85,13912431,False
2026-02-10,39.21,39.69,38.51,38.75,980901,False
2026-02-09,40.39,40.71,38.9,39.21,3145779,False
2026-02-06,42.66,44.0,39.95,40.39,18390172,False
2026-02-04,38.5,41.97,38.4,41.97,10275949,False
2026-02-03,37.65,38.44,37.64,38.15,432573,False
2026-02-02,37.55,37.88,37.4,37.64,325185,False
2026-01-30,37.99,38.2,37.0,37.6,657645,False
2026-01-29,38.5,38.7,37.53,37.71,836136,False
2026-01-28,38.4,38.45,38.02,38.1,516363,False
2026-01-27,38.83,38.83,38.2,38.3,517976,False
