date,open,high,low,close,volume,is_anomaly
2026-09-18,21.26,22.48,21.26,22.32,2064411,False
2026-09-17,21.19,21.55,21.19,21.31,901428,False
2026-09-16,21.3,21.45,21.11,21.19,394145,False
2026-09-15,21.21,21.6,21.1,21.45,833423,False
2026-09-14,21.5,21.99,20.89,21.07,1197171,False
2026-09-11,21.49,22.0,20.7,21.78,861735,False
2026-09-10,22.2,22.2,21.55,21.6,554945,False
2026-09-09,22.48,22.48,22.03,22.12,295508,False
2026-09-08,22.52,22.57,21.96,22.4,1324489,False
2026-09-07,22.82,23.08,22.01,22.3,868625,False
2026-09-04,23.14,23.14,22.55,22.87,568033,False
2026-09-03,22.57,23.2,22.57,22.87,1157357,False
2026-09-02,22.9,23.35,22.51,22.57,1255524,False
2026-09-01,23.63,23.69,23.15,23.25,928781,False
2026-08-31,23.45,23.72,23.25,23.52,1022537,False
2026-08-28,24.48,24.48,22.95,23.63,3919626,False
2026-08-27,24.4,24.7,24.2,24.26,1802827,False
2026-08-25,23.96,24.5,23.8,24.37,2410944,False
2026-08-24,23.45,23.97,23.2,23.8,1850081,False
2026-08-21,23.78,23.78,23.1,23.18,1194981,False
2026-08-20,23.9,23.94,23.15,23.62,594341,False
2026-08-19,24.18,24.18,23.51,23.73,812679,False
2026-08-18,24.49,24.69,23.9,24.02,2245756,False
2026-08-17,24.51,24.6,24.01,24.33,2191148,False
2026-08-13,24.98,25.14,24.5,24.51,1837413,False
2026-08-12,24.13,25.38,24.13,24.71,7255314,False
2026-08-11,23.81,24.3,23.81,24.13,1380056,False
2026-08-10,24.1,24.34,24.0,24.21,1389992,False
2026-08-07,24.24,24.24,23.84,24.1,1146127,False
2026-08-06,23.4,24.2,23.4,24.1,4151131,False
2026-08-05,23.35,23.6,23.2,23.4,1294662,False
2026-08-04,23.3,23.34,22.99,23.07,1412527,False
2026-08-03,23.49,23.5,23.14,23.19,1197778,False
2026-07-31,23.69,23.69,22.96,23.05,1431851,False
2026-07-30,23.12,23.5,23.0,23.33,1879473,False
2026-07-29,22.79,23.64,22.5,23.27,5113232,False
2026-07-28,22.79,23.2,22.45,22.82,2017031,False
2026-07-27,22.95,22.95,22.0,22.67,1781363,False
2026-07-24,21.39,21.6,20.95,21.43,2541621,False
2026-07-23,22.77,22.77,21.62,21.74,2123508,False
2026-07-22,22.8,22.8,22.41,22.56,737021,False
2026-07-21,22.98,23.01,22.65,22.72,766126,False
2026-07-20,22.66,22.79,22.25,22.59,1430517,False
2026-07-17,23.19,23.19,22.75,22.8,1520337,False
2026-07-16,22.91,23.39,22.91,23.06,2352636,False
2026-07-15,23.0,23.5,22.81,22.87,2293654,False
2026-07-14,23.99,23.99,22.76,22.85,2881594,False
2026-07-13,24.5,24.5,24.11,24.24,1965156,False
2026-07-10,25.0,25.2,24.68,24.73,2499249,False
2026-07-09,24.75,25.2,24.1,24.8,3669997,False
2026-07-08,25.51,25.98,24.05,24.86,4701540,False
2026-07-07,25.72,26.17,25.7,25.86,2472700,False
2026-07-06,25.8,26.1,25.45,25.79,3443606,False
2026-07-03,26.1,26.1,25.57,25.72,1647729,False
2026-07-02,26.2,26.38,25.75,25.89,5453172,False
2026-07-01,25.03,26.25,25.03,25.89,8843244,False
2026-06-30,24.99,25.35,24.85,25.11,2924434,False
2026-06-29,25.35,25.5,24.81,24.87,2985437,False
2026-06-24,25.01,25.43,25.01,25.3,3785743,False
2026-06-23,26.0,26.0,25.02,25.12,5237516,False
2026-06-22,26.11,26.29,25.65,25.72,3382592,False
2026-06-19,26.62,26.79,25.72,25.84,5129768,False
2026-06-18,26.62,27.29,26.51,26.6,10933656,False
2026-06-17,26.6,27.37,26.57,26.74,22719584,False
2026-06-16,25.5,26.6,25.25,26.25,16155238,False
2026-06-15,25.25,25.9,25.0,25.42,5477122,False
2026-06-12,25.05,25.05,24.6,24.64,1908305,False
2026-06-11,24.71,24.89,24.23,24.7,1345364,False
2026-06-10,24.25,25.24,24.03,24.71,6072501,False
2026-06-09,24.34,24.65,24.33,24.55,1438482,False
2026-06-08,24.05,24.28,23.95,24.2,1711332,False
2026-06-05,24.41,24.92,24.4,24.51,3117126,False
2026-06-04,24.6,24.95,24.32,24.54,2863625,False
2026-06-03,24.99,25.2,24.4,24.53,6068109,False
2026-06-02,24.17,25.6,24.01,25.0,14079735,False
2026-06-01,24.08,24.28,23.85,24.1,2034124,False
2026-05-29,24.25,24.38,23.87,24.08,2999568,False
2026-05-25,24.35,24.41,24.1,24.25,1884978,False
2026-05-22,24.25,24.28,23.81,23.95,1572548,False
2026-05-21,24.03,24.32,23.9,24.12,4392082,False
2026-05-20,23.89,23.93,23.53,23.69,2396926,False
2026-05-19,23.99,24.4,23.74,23.83,1280841,False
2026-05-18,24.78,24.9,23.7,23.82,2617797,False
2026-05-15,24.95,25.14,24.65,24.78,1055522,False
2026-05-14,25.2,25.8,24.9,24.99,4690977,False
2026-05-13,24.51,25.3,24.18,25.13,5578161,False
2026-05-12,25.55,26.0,24.7,24.82,4307308,False
2026-05-11,24.5,26.15,24.5,25.51,6238404,False
2026-05-08,24.99,25.4,24.65,25.02,3490422,False
2026-05-07,25.25,25.5,24.75,25.13,4137253,False
2026-05-06,24.25,25.24,24.16,25.1,5962722,False
2026-05-05,23.5,23.9,22.81,23.76,2930332,False
2026-05-04,24.15,24.89,23.4,23.69,5600248,False
2026-04-30,23.72,23.89,22.6,23.56,4277634,False
2026-04-29,26.19,26.35,23.9,24.25,9462581,False
2026-04-28,24.65,27.12,24.65,26.13,14456716,False
2026-04-27,25.0,25.6,25.0,25.24,2943519,False
2026-04-24,24.85,25.49,24.0,25.12,3705899,False
2026-04-23,25.35,25.6,24.91,25.19,1904258,False
2026-04-22,25.5,25.7,25.05,25.37,2380011,False
2026-04-21,25.74,26.15,25.4,25.5,4059858,False
2026-04-20,25.51,26.45,24.8,25.74,6770794,False
2026-04-17,26.3,26.79,26.15,26.47,6804065,False
2026-04-16,25.49,26.63,25.1,26.07,10888543,False
2026-04-15,25.15,25.94,24.9,25.14,11498605,False
2026-04-14,23.6,24.68,23.5,24.46,7510104,False
2026-04-13,23.6,23.9,22.9,23.1,4511857,False
2026-04-10,23.61,24.83,23.61,24.64,6283530,False
2026-04-09,23.99,24.0,23.25,23.5,4532712,False
2026-04-08,23.99,23.99,23.6,23.99,5380195,False
2026-04-07,21.25,22.0,20.8,21.81,3028000,False
2026-04-06,20.96,21.67,20.51,21.31,4072501,False
2026-04-03,19.55,21.48,19.55,20.77,3895286,False
2026-04-02,20.82,21.1,20.45,20.8,3963216,False
2026-04-01,21.01,22.1,20.65,21.64,6042167,False
2026-03-31,20.6,21.3,20.0,20.15,5509878,False
2026-03-30,21.8,21.8,19.87,20.65,3558451,False
2026-03-27,22.4,22.65,21.6,21.71,3188251,False
2026-03-26,22.66,23.18,22.1,22.24,2819765,False
2026-03-25,22.97,23.63,22.65,23.22,4784169,False
2026-03-24,22.51,23.0,22.11,22.64,7134655,False
2026-03-19,22.21,22.21,21.43,21.93,1331489,False
2026-03-18,21.29,22.7,21.12,22.51,1680825,False
2026-03-17,21.14,21.84,20.61,21.32,961277,False
2026-03-16,21.75,22.17,20.85,21.22,1895577,False
2026-03-13,21.81,22.48,21.8,22.03,1184459,False
2026-03-12,22.4,22.79,21.79,22.31,2711452,False
2026-03-11,22.15,23.25,22.1,22.66,2924602,False
2026-03-10,21.88,22.51,21.65,22.46,3721349,False
2026-03-09,21.07,21.09,20.46,20.46,3922039,False
2026-03-06,23.66,23.66,22.16,22.73,2424394,False
2026-03-05,21.75,23.86,21.75,23.66,4808740,False
2026-03-04,21.49,21.9,20.7,21.69,2534665,False
2026-03-03,19.77,21.69,19.77,21.45,4836286,False
2026-03-02,21.59,22.1,21.59,21.59,3961619,False
2026-02-27,24.45,24.69,23.11,23.99,4548195,False
2026-02-26,24.12,25.72,23.25,25.4,6645774,False
2026-02-25,24.94,24.94,23.81,24.12,2502870,False
2026-02-24,23.89,25.24,23.0,24.3,5541872,False
2026-02-23,26.25,26.41,23.51,24.04,4784534,False
2026-02-20,26.89,27.2,24.68,25.97,8746103,False
2026-02-19,29.81,29.95,26.68,26.95,4824815,False
2026-02-18,29.1,29.88,29.01,29.64,3186617,False
2026-02-17,28.5,29.18,27.85,28.79,6934043,False
2026-02-16,30.07,30.25,28.0,28.34,6414123,False
2026-02-13,30.5,30.6,29.73,29.98,4891899,False
2026-02-12,31.29,31.5,30.0,30.43,4866376,False
2026-02-11,32.22,32.49,31.03,31.21,6552822,False
2026-02-10,32.4,32.7,31.85,32.01,5154191,False
2026-02-09,33.5,33.6,32.0,32.31,4287442,False
2026-02-06,34.0,34.05,33.0,33.2,2533784,False
2026-02-04,34.0,34.25,33.77,33.93,3005607,False
2026-02-03,33.5,34.13,33.42,33.78,6181042,False
2026-02-02,32.8,33.63,32.71,33.45,4324658,False
2026-01-30,32.65,33.51,32.4,32.71,6675335,False
2026-01-29,33.99,33.99,32.33,32.63,8029503,False
2026-01-28,34.5,34.58,33.68,33.78,3423404,False
2026-01-27,34.05,34.75,34.0,34.15,5252449,False
2026-01-26,34.47,34.7,33.69,34.3,10284297,False
2026-01-23,34.8,35.08,34.11,34.46,4903841,False
2026-01-22,34.95,35.36,34.75,34.77,7105999,False
2026-01-21,36.25,37.0,34.67,34.86,22085154,False
2026-01-20,33.99,36.8,33.99,36.17,58610874,False
2026-01-19,33.7,34.64,33.25,33.58,14046859,False
2026-01-16,32.7,33.56,32.6,33.45,7566252,False
2026-01-15,32.9,33.14,32.01,32.27,4964617,False
2026-01-14,34.15,34.28,32.5,32.74,6774491,False
2026-01-13,33.5,34.4,33.2,34.16,8898371,False
2026-01-12,33.8,34.45,33.27,33.5,8420206,False
2026-01-09,34.07,34.55,33.22,33.74,11432888,False
2026-01-08,32.8,35.39,32.48,33.98,54056214,False
2026-01-07,31.9,32.89,31.87,32.49,12791539,False
2026-01-06,32.08,32.6,31.82,31.96,7574726,False
2026-01-05,31.92,32.65,31.75,32.08,7441414,False
2026-01-02,32.5,32.9,31.91,32.04,6165535,False
2026-01-01,31.65,32.8,31.65,32.28,10000035,False
2025-12-31,32.06,32.19,31.5,31.58,3825058,False
2025-12-30,31.39,32.0,31.01,31.84,4973672,False
2025-12-29,31.2,31.5,31.1,31.16,2161019,False
2025-12-26,30.88,31.12,30.7,30.93,3534917,False
2025-12-24,31.15,31.4,30.77,30.88,2455860,False
2025-12-23,31.44,31.44,31.0,31.02,3220830,False
2025-12-22,31.75,31.79,31.13,31.24,2667862,False
2025-12-19,32.13,32.3,31.53,31.59,5621845,False
2025-12-18,32.35,32.6,32.05,32.13,7721431,False
2025-12-17,31.22,32.15,31.05,31.87,7918167,False
2025-12-16,31.83,31.93,30.95,31.11,5442661,False
2025-12-15,31.9,31.93,31.54,31.65,1908454,False
2025-12-12,31.96,31.99,31.68,31.75,1863093,False
2025-12-11,32.03,32.39,31.6,31.72,2933819,False
2025-12-10,31.98,32.56,31.9,32.03,7207195,False
2025-12-09,31.99,32.31,31.79,31.84,7258382,False
2025-12-08,31.65,32.3,31.5,31.83,7102489,False
2025-12-05,32.0,32.2,31.48,31.65,3274062,False
2025-12-04,31.51,31.98,31.51,31.69,1204302,False
2025-12-03,32.02,32.25,31.59,31.66,3303338,False
2025-12-02,32.25,32.35,31.9,32.02,3503221,False
2025-12-01,32.25,32.65,32.07,32.24,5725703,False
2025-11-28,32.69,33.0,32.11,32.26,6529202,False
2025-11-27,31.51,32.74,31.4,32.51,11003246,False
2025-11-26,31.7,31.89,30.56,31.65,4619855,False
2025-11-25,31.7,32.61,31.55,31.73,5660591,False
2025-11-24,32.0,32.21,31.59,31.66,3846553,False
2025-11-21,32.69,32.75,31.89,32.0,5738724,False
2025-11-20,33.35,33.35,32.28,32.56,4309568,False
2025-11-19,33.8,34.2,32.36,32.83,11133776,False
2025-11-18,33.75,34.51,33.41,33.8,18561832,False
2025-11-17,32.5,33.8,32.35,33.47,21847624,False
2025-11-14,32.22,32.85,32.0,32.21,7498626,False
2025-11-13,32.49,32.73,31.95,32.18,9419479,False
2025-11-12,31.62,32.4,31.31,31.91,14091279,False
2025-11-11,32.3,32.55,30.5,30.81,11521171,False
2025-11-10,32.29,33.07,32.06,32.39,12146995,False
2025-11-07,32.0,32.5,31.8,31.87,4636573,False
