date,open,high,low,close,volume,is_anomaly
2026-07-30,301.01,304.0,298.72,301.3,790541,False
2026-07-29,305.89,305.89,301.01,303.25,825069,False
2026-07-28,309.01,309.8,305.31,306.84,1258488,False
2026-07-27,300.0,309.02,298.01,308.18,2468837,False
2026-07-24,294.7,295.97,290.0,292.0,962250,False
2026-07-23,300.0,302.0,295.0,295.49,1013311,False
2026-07-22,302.0,304.9,298.26,299.82,1036160,False
2026-07-21,304.21,306.99,301.82,302.35,1120887,False
2026-07-20,302.0,304.31,298.5,302.42,1259422,False
2026-07-17,309.95,310.0,302.52,304.39,1129733,False
2026-07-16,303.8,311.55,303.35,309.26,3474550,False
2026-07-15,298.67,304.9,298.3,303.32,1718114,False
2026-07-14,305.56,307.44,297.01,298.04,2264948,False
2026-07-13,311.79,315.0,307.99,310.93,829063,False
2026-07-10,310.0,316.0,309.1,313.78,1734514,False
2026-07-09,307.5,311.3,305.5,308.89,1460624,False
2026-07-08,316.98,316.98,305.12,309.21,5640262,False
2026-07-07,320.0,324.25,316.2,318.59,5898513,False
2026-07-06,308.44,319.25,307.0,318.15,5426927,False
2026-07-03,307.0,309.0,304.1,305.91,2774599,False
2026-07-02,308.15,312.39,305.0,305.64,4199255,False
2026-07-01,293.0,309.1,292.8,307.45,6871016,False
2026-06-30,289.94,298.7,283.05,292.21,3443555,False
2026-06-29,294.1,300.0,287.0,290.19,2321623,False
2026-06-24,293.94,297.85,292.99,294.1,1880768,False
2026-06-23,294.95,296.5,291.51,292.99,782629,False
2026-06-22,301.0,301.75,292.0,294.98,1456823,False
2026-06-19,304.42,305.0,294.0,298.4,2326748,False
2026-06-18,303.5,307.3,303.5,304.42,2638687,False
2026-06-17,304.51,307.4,302.0,303.34,8452258,False
2026-06-16,296.0,303.13,296.0,302.5,7031174,False
2026-06-15,292.06,297.47,288.9,295.98,2375251,False
2026-06-12,289.01,292.38,281.66,288.35,1074597,False
2026-06-11,281.0,284.48,278.02,283.92,410092,False
2026-06-10,284.69,285.75,281.0,281.57,371589,False
2026-06-09,284.9,286.48,282.5,284.81,683303,False
