date,open,high,low,close,volume,is_anomaly
2026-08-05,220.8,222.99,220.2,221.52,2905566,False
2026-08-04,221.0,221.0,218.05,218.48,1221884,False
2026-08-03,221.0,221.5,219.01,219.89,3069009,False
2026-07-31,217.8,219.36,216.51,217.12,942884,False
2026-07-30,218.0,219.2,216.5,217.22,2041608,False
2026-07-29,222.05,222.05,218.8,219.33,1670307,False
2026-07-28,225.88,226.3,222.5,223.01,2574581,False
2026-07-27,219.89,225.0,219.0,224.39,6642856,False
2026-07-24,214.1,215.49,211.98,213.97,2604852,False
2026-07-23,217.0,218.9,213.89,214.18,2350959,False
2026-07-22,219.38,219.88,216.11,217.08,1838524,False
2026-07-21,221.01,223.35,219.0,219.38,1746495,False
2026-07-20,216.0,219.88,215.11,218.94,1993485,False
2026-07-17,221.0,224.5,217.3,218.11,3865020,False
2026-07-16,218.5,221.9,217.6,221.53,3687903,False
2026-07-15,216.12,220.9,216.12,217.52,1876385,False
2026-07-14,220.12,221.89,215.26,216.43,5244923,False
2026-07-13,224.51,225.5,222.02,222.78,2457720,False
2026-07-10,229.0,229.65,226.1,227.05,1671414,False
2026-07-09,224.4,228.6,224.4,226.93,2504096,False
2026-07-08,230.0,232.51,223.13,227.41,7063718,False
2026-07-07,236.0,236.6,233.0,233.44,1848387,False
2026-07-06,234.0,236.8,234.0,235.65,3740322,False
2026-07-03,233.55,234.0,231.8,233.61,2328480,False
2026-07-02,233.99,235.9,231.5,232.55,4097518,False
2026-07-01,234.94,235.7,232.25,233.14,2962891,False
2026-06-30,228.99,235.0,228.05,233.45,5812755,False
2026-06-29,231.5,232.75,226.96,227.45,3825028,False
2026-06-24,232.63,233.0,230.49,231.41,3198012,False
2026-06-23,232.97,234.24,231.1,231.81,3438583,False
2026-06-22,234.49,234.9,228.8,231.98,4049122,False
2026-06-19,234.49,238.75,230.4,231.3,13325239,False
2026-06-18,226.95,234.3,226.95,233.45,9542272,False
2026-06-17,231.1,232.85,225.11,226.35,10435153,False
2026-06-16,229.0,235.0,227.0,230.11,7678902,False
2026-06-15,228.0,230.89,225.0,228.76,10737010,False
2026-06-12,214.95,222.0,214.48,219.59,5743151,False
2026-06-11,212.0,215.9,212.0,212.48,1491851,False
2026-06-10,214.0,214.7,213.0,213.46,1060969,False
2026-06-09,213.3,215.4,213.3,214.95,1176116,False
2026-06-08,211.51,213.0,210.6,211.85,1420530,False
2026-06-05,215.97,217.5,213.5,214.12,2263682,False
2026-06-04,214.3,216.0,214.25,215.4,1185541,False
2026-06-03,215.0,217.4,213.45,214.38,1537009,False
2026-06-02,215.0,217.1,215.0,215.95,1255341,False
2026-06-01,220.9,220.9,214.5,214.95,3331075,False
2026-05-29,218.0,222.0,217.5,221.26,3968035,False
2026-05-25,218.85,221.0,215.91,219.5,3362653,False
2026-05-22,217.0,218.49,214.74,215.42,2866128,False
2026-05-21,211.12,216.98,211.12,215.99,5649761,False
2026-05-20,207.01,210.0,206.63,209.68,3104740,False
