date,open,high,low,close,volume,is_anomaly
2026-09-18,25.4,25.5,24.33,24.36,58091,False
2026-09-17,25.05,25.8,24.02,24.68,1120531,False
2026-09-16,24.77,25.2,24.05,25.05,477884,False
2026-09-15,24.45,25.0,23.65,24.77,900966,False
2026-09-14,24.4,24.5,23.4,24.37,136317,False
2026-09-11,24.1,24.7,22.2,24.42,332030,False
2026-09-10,25.2,25.45,23.71,24.16,348397,False
2026-09-09,24.5,25.5,23.16,25.21,2662313,False
2026-09-08,23.3,24.48,22.82,23.72,2699795,False
2026-09-07,20.7,22.25,20.2,22.25,997538,False
2026-09-04,19.93,20.65,17.81,20.23,374195,False
2026-09-03,20.0,20.5,19.41,19.75,57806,False
2026-09-02,19.99,20.0,19.5,19.88,45532,False
2026-09-01,20.24,20.24,19.76,19.98,104596,False
2026-08-31,20.6,20.6,19.7,19.91,180923,False
2026-08-28,20.98,20.98,20.0,20.38,548561,False
2026-08-27,20.49,20.95,20.05,20.75,247327,False
2026-08-25,20.37,20.5,19.0,20.23,344002,False
2026-08-24,20.5,21.7,20.0,20.37,419190,False
2026-08-21,20.1,21.98,19.75,20.5,312385,False
2026-08-20,20.02,20.48,19.5,20.07,89549,False
2026-08-19,20.98,20.98,20.0,20.36,119243,False
2026-08-18,20.69,21.06,20.51,20.67,34007,False
2026-08-17,20.99,21.0,20.04,20.34,92738,False
2026-08-13,21.0,21.2,20.93,20.99,9033,False
2026-08-12,21.05,21.45,21.0,21.14,144798,False
2026-08-11,21.03,21.1,20.9,20.99,17886,False
2026-08-10,21.24,21.5,21.01,21.03,30255,False
2026-08-07,21.2,21.2,21.0,21.04,30873,False
2026-08-06,21.2,21.25,21.0,21.1,18767,False
2026-08-05,21.49,21.5,21.0,21.05,48679,False
2026-08-04,21.0,21.39,21.0,21.01,15287,False
2026-08-03,21.59,21.59,20.9,21.24,32499,False
2026-07-31,20.88,21.74,20.35,21.03,105513,False
2026-07-30,21.9,21.9,20.7,20.88,433761,False
2026-07-29,22.0,22.1,21.8,22.0,51176,False
2026-07-28,22.16,22.49,21.61,22.04,201584,False
