date,open,high,low,close,volume,is_anomaly
2026-09-18,155.51,159.0,155.51,159.0,331,False
2026-09-17,155.5,159.15,155.5,159.15,623,False
2026-09-16,154.01,158.0,154.0,157.43,1824,False
2026-09-15,157.0,157.55,155.5,155.75,586,False
2026-09-14,155.11,158.0,155.0,155.59,5016,False
2026-09-11,168.99,168.99,155.06,155.07,1328,False
2026-09-10,161.99,161.99,155.0,155.0,2138,False
2026-09-09,160.99,160.99,157.01,159.72,473,False
2026-09-08,156.01,160.5,156.01,160.0,4317,False
2026-09-07,155.51,159.9,155.51,158.09,2929,False
2026-09-04,159.99,160.5,158.1,158.69,2154,False
2026-09-03,158.02,161.0,158.0,158.07,1061,False
2026-09-02,169.5,169.5,158.0,158.02,17307,False
2026-09-01,159.07,162.0,158.01,158.3,6759,False
2026-08-31,160.02,168.0,157.0,159.42,19237,False
2026-08-28,165.02,174.5,165.02,172.15,6362,False
2026-08-27,165.0,172.0,164.0,169.36,3767,False
2026-08-25,174.94,174.95,163.2,165.18,14822,False
2026-08-24,171.0,175.0,168.77,170.48,52587,False
2026-08-21,175.99,176.0,162.52,168.52,67435,False
2026-08-20,170.12,185.5,170.12,174.29,40036,False
2026-08-19,169.0,178.99,167.5,177.64,68817,False
2026-08-18,163.0,173.99,158.0,168.72,40732,False
2026-08-17,160.0,163.0,157.5,162.0,14393,False
2026-08-13,156.0,161.12,155.0,160.44,27780,False
2026-08-12,156.0,157.5,153.05,154.94,175,False
2026-08-11,163.99,164.0,152.53,156.0,2147,False
2026-08-10,150.01,156.0,150.01,153.6,65,False
2026-08-07,156.97,156.97,152.54,153.6,12,False
2026-08-06,156.99,156.99,152.5,153.6,927,False
2026-08-05,155.0,157.0,152.51,154.42,235,False
2026-08-04,154.0,154.99,153.0,153.49,10,False
2026-08-03,154.99,154.99,154.98,153.49,637,True
2026-07-31,152.5,164.0,152.01,153.49,1035,False
2026-07-30,152.2,154.98,150.0,151.1,258,False
2026-07-29,154.5,154.5,153.0,154.66,67,True
2026-07-28,154.99,154.99,152.01,154.66,49,False
2026-07-27,154.95,154.95,152.02,154.66,63,False
2026-07-24,154.99,154.99,154.98,154.66,31,True
2026-07-23,154.99,154.99,151.0,154.66,113,False
2026-07-22,154.98,154.98,151.5,154.66,1636,False
2026-07-21,152.0,154.99,151.0,152.88,2907,False
2026-07-20,162.98,162.98,150.04,151.0,8568,False
2026-07-17,152.01,156.99,152.01,156.0,852,False
2026-07-16,154.25,156.0,152.0,155.25,9646,False
2026-07-15,162.0,162.0,155.0,156.89,5025,False
2026-07-14,155.01,157.95,154.01,155.0,2944,False
2026-07-13,159.0,160.0,155.0,156.1,4867,False
2026-07-10,159.99,159.99,159.0,156.65,23,True
2026-07-09,156.75,156.75,155.5,156.65,230,False
2026-07-08,159.8,159.8,155.0,155.56,5581,False
2026-07-07,157.5,160.0,156.17,157.88,2315,False
2026-07-06,157.0,158.98,154.01,155.03,2888,False
2026-07-03,156.0,159.87,155.25,157.38,1515,False
2026-07-02,159.87,159.87,155.05,159.49,3960,False
2026-07-01,155.0,157.5,155.0,157.5,2530,False
2026-06-30,157.0,158.0,156.0,156.0,706,False
