date,open,high,low,close,volume,is_anomaly
2026-09-18,47.86,48.09,41.09,48.09,67663,False
2026-09-17,38.25,43.95,37.9,43.72,47955,False
2026-09-16,39.85,43.39,39.74,39.95,105410,False
2026-09-15,48.0,49.88,44.16,44.16,76880,False
2026-09-14,53.0,53.0,45.55,49.07,134673,False
2026-09-11,53.0,53.0,45.52,50.61,298990,False
2026-09-10,52.45,55.0,46.76,50.58,74532,False
2026-09-09,51.0,52.45,44.56,51.51,115834,False
2026-09-08,50.0,51.0,47.77,49.51,78581,False
2026-09-07,47.65,47.65,39.08,46.98,103936,False
2026-09-04,40.5,43.7,38.2,43.42,99455,False
2026-09-03,40.7,40.7,38.12,39.73,127926,False
2026-09-02,39.74,39.74,35.2,38.98,130927,False
2026-09-01,37.9,37.99,36.05,37.82,224054,False
2026-08-31,32.0,35.49,30.0,35.2,335821,False
2026-08-28,31.98,32.44,28.1,32.26,164179,False
2026-08-27,28.0,30.38,26.11,29.49,316532,False
2026-08-25,27.52,30.7,27.01,27.62,15706,False
2026-08-24,28.5,30.17,27.3,28.01,32562,False
2026-08-21,26.21,27.93,25.26,27.43,217584,False
2026-08-20,27.96,27.96,25.0,25.39,25604,False
2026-08-19,24.99,27.6,24.44,26.91,139499,False
2026-08-18,23.0,25.38,22.6,25.1,413651,False
2026-08-17,23.7,23.7,22.51,23.07,16203,False
2026-08-13,23.51,24.2,22.75,23.77,42909,False
2026-08-12,27.39,27.39,23.82,23.82,280055,False
2026-08-11,26.99,26.99,24.01,26.47,127524,False
2026-08-10,24.75,26.86,24.1,26.37,151650,False
2026-08-07,24.79,24.79,23.0,24.42,149711,False
2026-08-06,23.44,25.21,21.73,22.54,239621,False
2026-08-05,21.14,22.95,20.4,22.92,228197,False
2026-08-04,20.22,21.17,20.22,20.86,2457,False
2026-08-03,22.0,22.0,20.1,20.52,25425,False
2026-07-31,21.79,22.39,19.94,21.87,255529,False
2026-07-30,21.34,21.34,20.2,20.35,4411,False
2026-07-29,21.99,21.99,20.36,20.96,51016,False
2026-07-28,19.98,21.7,19.69,21.66,534142,False
2026-07-27,18.75,19.73,18.48,19.73,43261,False
2026-07-24,18.44,18.44,17.75,17.94,20471,False
2026-07-23,18.01,18.99,17.75,17.9,6645,False
2026-07-22,18.5,18.5,18.04,18.1,2042,False
2026-07-21,18.39,18.39,17.71,18.1,29871,False
2026-07-20,18.39,18.39,18.05,18.1,2822,False
2026-07-17,19.1,19.19,17.51,18.01,44685,False
2026-07-16,18.72,19.17,18.72,18.99,10006,False
2026-07-15,19.39,19.39,18.71,18.75,22225,False
2026-07-14,19.61,20.0,19.0,19.02,36953,False
2026-07-13,20.21,20.69,19.95,20.0,63495,False
2026-07-10,22.19,24.09,20.49,20.85,1011764,False
2026-07-09,19.91,21.9,19.76,21.9,170244,False
2026-07-08,20.99,20.99,19.75,19.91,53411,False
2026-07-07,20.26,21.65,20.2,20.91,246167,False
2026-07-06,19.09,19.68,18.08,19.68,140611,False
2026-07-03,18.75,18.99,17.01,17.89,15396,False
2026-07-02,18.74,18.98,18.28,18.48,11593,False
2026-07-01,18.86,18.86,18.45,18.52,19335,False
2026-06-30,18.7,18.98,18.3,18.42,5996,False
2026-06-29,19.09,19.09,18.4,18.5,32173,False
2026-06-24,18.93,18.98,18.67,18.91,1863,False
2026-06-23,19.0,19.29,18.51,18.66,4558,False
2026-06-22,18.61,19.29,18.61,18.99,40185,False
2026-06-19,19.79,19.79,18.61,18.71,28785,False
2026-06-18,20.19,20.19,19.01,19.22,35751,False
2026-06-17,19.59,21.35,19.5,19.97,215940,False
2026-06-16,17.99,19.54,17.99,19.41,178200,False
2026-06-15,18.1,18.28,17.01,17.76,59024,False
2026-06-12,18.14,18.34,17.91,18.0,14401,False
2026-06-11,18.5,18.8,17.9,18.03,51301,False
2026-06-10,19.07,19.09,18.62,18.67,28485,False
2026-06-09,18.5,19.07,18.5,18.99,15029,False
2026-06-08,18.89,18.92,18.01,18.5,13215,False
2026-06-05,19.29,19.39,17.77,18.69,53423,False
2026-06-04,19.25,19.25,18.82,19.07,17754,False
2026-06-03,19.3,19.69,18.81,19.01,19815,False
2026-06-02,19.09,19.49,18.64,19.3,37309,False
2026-06-01,19.07,19.24,18.51,18.8,36351,False
2026-05-29,19.56,19.99,18.31,18.7,74659,False
2026-05-25,22.2,23.3,19.46,19.56,574476,False
2026-05-22,20.81,21.64,20.46,21.62,182470,False
2026-05-21,18.74,19.67,18.74,19.67,138327,False
2026-05-20,20.39,20.39,17.51,17.88,29418,False
2026-05-19,18.99,20.4,18.2,18.99,6038,False
2026-05-18,19.99,19.99,18.9,19.26,10877,False
2026-05-15,20.47,20.59,19.5,19.53,89472,False
2026-05-14,20.59,21.0,20.05,20.12,32930,False
2026-05-13,20.97,23.07,19.8,20.41,387583,False
2026-05-12,23.25,23.25,20.97,20.97,218451,False
2026-05-11,25.69,25.88,23.09,23.3,329709,False
2026-05-08,23.49,25.73,23.49,25.66,145465,False
2026-05-07,21.36,23.39,21.36,23.39,159232,False
2026-05-06,19.59,21.26,19.59,21.26,69861,False
2026-05-05,20.11,20.11,19.01,19.33,15853,False
2026-05-04,21.53,21.53,19.3,20.26,23118,False
2026-04-30,20.5,21.58,20.0,21.11,60493,False
2026-04-29,18.85,20.35,18.31,20.35,113537,False
2026-04-28,19.03,19.03,18.4,18.5,12861,False
2026-04-27,19.51,19.51,18.61,18.95,54297,False
2026-04-24,19.79,19.98,19.11,19.5,12210,False
2026-04-23,20.39,20.49,19.11,19.7,15017,False
2026-04-22,20.65,20.65,19.91,20.01,9196,False
2026-04-21,20.79,20.79,20.13,20.5,25605,False
2026-04-20,22.09,22.09,20.25,20.58,27503,False
2026-04-17,23.34,23.34,21.41,21.71,219401,False
2026-04-16,22.0,23.74,21.31,23.03,504082,False
2026-04-15,21.49,22.22,21.49,21.58,82830,False
2026-04-14,22.48,22.85,20.35,21.16,139627,False
2026-04-13,23.81,24.0,21.84,22.03,216471,False
2026-04-10,23.01,26.28,23.0,24.27,107626,False
2026-04-09,24.31,25.7,23.87,23.89,750580,False
2026-04-08,28.5,32.42,26.52,26.52,714119,False
2026-04-07,33.99,33.99,29.47,29.47,239322,False
2026-04-06,34.05,35.9,32.74,32.74,101300,False
2026-04-03,40.95,40.95,35.88,36.38,389418,False
2026-04-02,39.99,42.49,38.0,39.87,65022,False
2026-04-01,36.0,39.26,35.95,38.67,159754,False
2026-03-31,33.21,36.54,33.0,35.69,105493,False
2026-03-30,33.48,33.48,32.5,33.22,12038,False
2026-03-27,30.01,33.9,30.01,33.89,61583,False
2026-03-26,33.1,33.1,31.0,31.06,14845,False
2026-03-25,31.02,34.12,28.11,32.86,201978,False
2026-03-24,32.89,32.9,29.61,31.02,112917,False
2026-03-19,37.8,38.49,32.43,32.9,150192,False
2026-03-18,33.24,36.81,32.0,36.03,110406,False
2026-03-17,32.11,33.95,30.01,33.46,13292,False
2026-03-16,30.51,33.0,28.89,32.11,29463,False
2026-03-13,31.25,33.49,30.8,32.1,185084,False
2026-03-12,33.95,34.99,31.66,34.22,178487,False
2026-03-11,35.5,36.9,33.07,35.18,196607,False
2026-03-10,36.0,36.9,34.5,36.74,139467,False
2026-03-09,35.0,38.57,32.0,34.52,46452,False
2026-03-06,34.25,35.99,31.0,35.06,148636,False
2026-03-05,30.99,33.52,30.5,33.44,203546,False
2026-03-04,28.5,30.59,26.14,30.47,309311,False
2026-03-03,29.0,29.0,25.5,27.81,39341,False
2026-03-02,29.0,29.0,25.2,28.15,15908,False
2026-02-27,26.85,28.39,24.5,27.38,58277,False
2026-02-26,26.0,26.89,24.61,25.93,67238,False
2026-02-25,29.85,29.85,24.68,27.34,168225,False
2026-02-24,26.5,29.05,25.0,27.42,66328,False
2026-02-23,26.4,27.99,25.0,26.41,13280,False
2026-02-20,27.0,27.0,24.5,25.97,37732,False
2026-02-19,26.0,26.95,22.75,26.26,30879,False
2026-02-18,21.41,26.05,21.31,24.99,291802,False
2026-02-17,23.2,24.25,22.5,23.68,39028,False
2026-02-16,20.02,23.49,20.02,22.71,56629,False
2026-02-13,22.37,22.48,20.01,21.35,78435,False
2026-02-12,20.99,21.95,19.21,21.76,106833,False
2026-02-11,18.99,20.5,17.5,20.34,311385,False
2026-02-10,18.0,18.7,16.66,18.64,271360,False
2026-02-09,14.12,17.02,14.12,17.0,254606,False
2026-02-06,15.32,16.75,14.52,15.47,173629,False
2026-02-04,14.15,15.31,13.15,15.31,308600,False
2026-02-03,14.99,14.99,13.62,13.92,14691,False
2026-02-02,12.98,14.86,12.56,14.65,83329,False
2026-01-30,13.51,14.4,13.03,13.51,134411,False
2026-01-29,14.87,14.87,13.5,13.5,116286,False
2026-01-28,13.99,14.91,13.14,14.87,133247,False
2026-01-27,14.3,14.3,13.05,13.55,7927,False
2026-01-26,14.0,14.28,13.54,13.54,9344,False
2026-01-23,14.64,14.64,13.76,14.01,2803,False
2026-01-22,14.19,14.49,14.0,14.1,32479,False
2026-01-21,16.25,16.25,14.0,14.11,171282,False
2026-01-20,14.79,15.39,13.48,15.39,567883,False
2026-01-19,13.0,13.99,12.73,13.99,159579,False
2026-01-16,13.49,13.5,12.09,12.72,21433,False
2026-01-15,13.73,13.73,11.77,12.93,25940,False
2026-01-14,13.01,13.45,12.9,13.05,68649,False
2026-01-13,12.65,13.45,12.0,12.98,138868,False
2026-01-12,11.81,12.67,11.81,12.66,293018,False
2026-01-09,11.75,11.75,11.51,11.52,414,False
2026-01-08,11.55,11.7,11.32,11.52,4579,False
2026-01-07,11.55,11.55,11.3,11.55,7848,False
2026-01-06,11.73,11.94,11.36,11.43,11583,False
2026-01-05,11.23,12.25,11.23,11.46,15596,False
2026-01-02,11.58,12.25,11.47,11.94,112106,False
2026-01-01,11.37,11.64,11.37,11.61,34332,False
2025-12-31,11.23,11.89,11.0,11.03,10927,False
2025-12-30,10.71,11.45,10.7,11.11,8984,False
2025-12-29,11.52,11.53,10.8,10.96,19746,False
2025-12-26,11.87,11.87,11.09,11.41,3790,False
2025-12-24,11.84,11.84,11.02,11.04,14319,False
2025-12-23,11.5,11.6,11.4,11.56,893,False
2025-12-22,11.3,11.88,11.3,11.44,9086,False
2025-12-19,12.15,12.15,11.57,11.9,17873,False
2025-12-18,12.47,12.47,11.91,11.93,35267,False
2025-12-17,12.01,12.4,12.0,12.16,30719,False
2025-12-16,12.49,12.51,12.05,12.19,63791,False
2025-12-15,11.97,12.91,11.88,12.2,262408,False
2025-12-12,11.6,11.8,11.5,11.74,37999,False
2025-12-11,11.35,12.35,10.71,11.87,221006,False
2025-12-10,11.58,11.7,11.16,11.44,17603,False
2025-12-09,11.48,11.84,11.4,11.48,19627,False
2025-12-08,11.05,11.38,11.0,11.2,25296,False
2025-12-05,11.48,11.55,11.48,11.55,11813,False
2025-12-04,11.48,11.5,11.48,11.5,3015,False
2025-12-03,11.48,11.85,11.1,11.1,25928,False
2025-12-02,11.22,11.44,11.22,11.4,11168,False
2025-12-01,11.01,11.94,11.0,11.33,49482,False
2025-11-28,11.39,11.47,10.56,11.11,34386,False
2025-11-27,11.47,11.48,10.79,10.91,11709,False
2025-11-26,11.25,12.19,10.66,11.0,90092,False
2025-11-25,11.9,12.29,11.6,11.84,4925,False
2025-11-24,12.49,12.59,11.85,11.87,22775,False
2025-11-21,12.5,13.45,12.0,12.08,125277,False
2025-11-20,11.88,13.44,11.88,12.59,86197,False
2025-11-19,13.67,13.67,12.36,12.62,370861,False
2025-11-18,15.0,15.1,13.73,13.73,327582,False
2025-11-17,17.0,17.0,15.25,15.25,113078,False
2025-11-14,17.32,17.33,15.1,16.94,59521,False
2025-11-13,14.7,15.75,14.7,15.75,175802,False
2025-11-11,15.6,15.6,15.31,15.76,455,True
2025-11-10,16.0,16.0,15.1,15.76,2005,False
2025-11-07,16.4,16.44,15.08,15.69,4240,False
2025-11-06,15.94,17.25,15.11,16.2,46942,False
2025-11-05,15.25,15.98,14.08,15.75,20348,False
2025-11-04,16.6,16.6,15.04,15.2,224242,False
2025-11-03,16.45,16.45,14.25,16.1,169580,False
2025-10-31,15.0,16.0,15.0,15.83,16917,False
2025-10-30,15.88,15.88,15.0,15.46,5510,False
2025-10-29,15.12,15.69,15.11,15.6,8467,False
2025-10-28,16.0,16.3,15.4,15.8,25037,False
2025-10-27,15.97,15.97,14.8,15.63,16541,False
2025-10-24,15.5,16.6,14.6,15.97,38728,False
2025-10-23,15.4,16.89,15.0,15.51,31648,False
2025-10-22,15.5,16.0,15.3,15.48,17234,False
2025-10-21,17.46,17.76,15.3,15.83,127912,False
2025-10-20,15.65,17.48,15.11,16.42,195896,False
2025-10-17,14.0,15.94,13.9,15.89,186724,False
2025-10-16,13.35,14.72,13.0,14.49,276443,False
2025-10-15,13.0,13.8,12.76,13.38,107812,False
2025-10-14,15.75,15.75,13.28,13.41,329164,False
2025-10-13,14.8,15.9,13.57,14.75,484757,False
2025-10-10,14.38,14.63,12.13,14.63,206710,False
2025-10-09,12.75,13.3,12.59,13.3,283533,False
2025-10-08,11.0,12.09,11.0,12.09,319879,False
2025-10-07,10.99,11.5,10.5,10.99,178341,False
2025-10-06,11.18,12.25,10.45,10.75,20661,False
2025-10-03,9.64,11.35,9.64,11.29,5122,False
2025-10-02,11.19,11.23,10.53,10.56,7437,False
2025-10-01,11.24,11.24,10.37,10.54,5355,False
2025-09-30,11.3,11.3,10.2,10.75,3984,False
2025-09-29,11.3,11.7,10.53,10.69,4671,False
2025-09-26,11.49,11.49,10.55,11.12,6284,False
2025-09-25,12.0,12.0,10.78,11.45,13071,False
2025-09-24,12.49,12.49,10.6,11.28,60836,False
2025-09-23,11.13,11.79,11.07,11.51,72529,False
2025-09-22,11.4,12.23,10.99,11.58,109441,False
2025-09-19,11.38,11.9,10.76,11.38,123957,False
2025-09-18,11.99,11.99,10.5,10.93,159004,False
2025-09-17,10.5,11.17,10.11,11.02,527448,False
2025-09-16,10.83,10.85,10.04,10.15,14883,False
2025-09-15,10.75,10.75,10.75,10.11,107,True
2025-09-12,10.09,10.99,10.0,10.11,3650,False
2025-09-11,10.15,10.15,9.9,10.1,512,False
2025-09-10,10.45,10.45,9.6,10.24,28056,False
2025-09-09,10.29,10.3,9.61,10.29,624,False
