date,open,high,low,close,volume,is_anomaly
2026-09-18,12.78,12.9,12.64,12.84,95603,False
2026-09-17,12.68,13.56,12.25,12.78,290528,False
2026-09-16,12.5,12.5,12.3,12.33,15128,False
2026-09-15,12.5,12.63,12.35,12.5,132657,False
2026-09-14,12.73,12.85,12.31,12.46,86696,False
2026-09-11,12.99,12.99,12.51,12.73,89279,False
2026-09-10,13.23,13.23,12.7,12.72,86797,False
2026-09-09,12.9,13.18,12.7,12.87,57315,False
2026-09-08,13.45,13.45,12.9,12.92,86723,False
2026-09-07,13.47,13.47,13.17,13.2,58400,False
2026-09-04,13.75,13.75,13.1,13.22,51454,False
2026-09-03,13.2,13.5,13.2,13.39,162885,False
2026-09-02,13.01,13.5,12.8,13.3,172163,False
2026-09-01,14.0,14.24,12.81,13.19,945076,False
2026-08-31,14.01,14.29,13.51,14.0,156115,False
2026-08-28,14.07,14.5,13.9,13.96,223243,False
2026-08-27,14.38,14.38,13.9,13.97,73553,False
2026-08-25,14.44,14.44,13.75,14.0,56424,False
2026-08-24,14.2,14.5,14.02,14.11,100156,False
2026-08-21,14.2,14.4,13.9,14.14,44998,False
2026-08-20,14.27,14.3,13.86,14.04,36093,False
2026-08-19,14.2,14.5,14.0,14.1,184548,False
2026-08-18,14.83,14.83,14.16,14.27,290101,False
2026-08-17,14.1,14.59,14.1,14.3,37549,False
2026-08-13,14.49,14.79,14.41,14.47,106491,False
2026-08-12,14.5,14.8,14.41,14.49,60386,False
2026-08-11,14.5,14.99,14.32,14.67,318053,False
2026-08-10,14.5,14.77,14.35,14.49,52191,False
2026-08-07,14.4,14.67,14.25,14.56,151246,False
2026-08-06,14.6,14.6,14.29,14.45,116068,False
2026-08-05,14.4,14.6,14.25,14.38,84122,False
2026-08-04,14.15,14.54,14.15,14.35,53791,False
2026-08-03,14.89,14.9,14.4,14.57,286879,False
2026-07-31,14.37,14.5,14.07,14.38,167346,False
2026-07-30,14.38,14.45,14.0,14.25,131312,False
2026-07-29,14.21,14.55,14.0,14.38,211455,False
2026-07-28,14.25,14.5,14.09,14.46,119122,False
2026-07-27,14.2,14.25,13.81,14.16,95414,False
2026-07-24,13.85,14.19,13.51,13.79,86081,False
2026-07-23,14.5,14.5,13.75,13.87,218731,False
2026-07-22,14.51,14.74,14.2,14.39,89411,False
2026-07-21,14.52,14.95,14.41,14.47,199983,False
2026-07-20,14.31,14.63,13.5,14.46,212612,False
2026-07-17,14.69,14.79,14.2,14.43,48529,False
2026-07-16,14.77,14.9,14.61,14.69,53500,False
2026-07-15,15.09,15.09,14.4,14.77,111080,False
2026-07-14,14.9,14.9,14.05,14.25,271345,False
2026-07-13,15.21,15.21,14.96,15.05,451430,False
2026-07-10,15.33,15.35,15.01,15.16,92348,False
2026-07-09,15.05,15.29,14.9,15.17,232023,False
2026-07-08,15.4,15.69,14.91,15.05,391743,False
2026-07-07,15.51,15.77,15.32,15.42,218628,False
2026-07-06,15.6,15.8,15.41,15.58,510612,False
2026-07-03,15.52,15.9,15.48,15.5,892805,False
2026-07-02,16.0,16.0,15.3,15.52,1458094,False
2026-07-01,15.41,16.4,15.4,15.94,5199055,False
2026-06-30,15.01,15.6,15.01,15.46,559980,False
2026-06-29,15.49,15.7,15.2,15.33,743630,False
2026-06-24,15.84,15.93,15.21,15.49,1262568,False
2026-06-23,15.07,16.22,14.6,15.6,3628030,False
2026-06-22,15.01,15.1,14.71,14.8,415035,False
2026-06-19,15.01,15.27,14.8,14.93,872747,False
2026-06-18,15.1,15.48,14.81,15.01,1748689,False
2026-06-17,14.91,15.25,14.8,14.9,1096496,False
2026-06-16,14.99,15.51,14.67,14.92,1965475,False
2026-06-15,15.7,15.96,14.8,14.98,1643556,False
2026-06-12,16.79,17.24,15.25,15.42,3407793,False
2026-06-11,16.85,17.85,16.32,16.75,4693922,False
2026-06-10,16.66,17.49,16.1,16.59,3989388,False
2026-06-09,19.49,19.8,16.53,17.34,12449597,False
2026-06-08,17.0,18.37,16.91,18.37,19802746,False
2026-06-05,16.3,16.7,16.02,16.7,11790948,False
2026-06-04,13.98,15.18,13.74,15.18,7004000,False
2026-06-03,14.26,14.75,13.44,13.8,1997523,False
2026-06-02,14.5,15.22,14.16,14.48,4610170,False
2026-06-01,13.25,14.09,11.84,13.84,1788678,False
2026-05-29,13.0,13.24,13.0,13.16,219896,False
2026-05-25,13.01,13.17,12.9,12.97,86630,False
2026-05-22,12.9,12.99,12.7,12.93,146897,False
2026-05-21,12.9,13.0,12.8,12.89,108363,False
2026-05-20,12.73,12.91,12.52,12.81,47265,False
2026-05-19,12.7,13.0,12.51,12.65,52220,False
2026-05-18,12.6,12.9,11.76,12.7,124659,False
2026-05-15,13.1,13.19,12.8,13.0,34730,False
2026-05-14,13.18,13.2,12.92,13.0,117263,False
2026-05-13,13.16,13.16,12.96,13.04,282040,False
2026-05-12,13.17,13.17,12.95,13.01,125270,False
2026-05-11,12.91,13.3,12.63,12.98,131056,False
2026-05-08,13.18,13.2,13.0,13.07,406669,False
2026-05-07,13.1,13.3,13.0,13.08,234560,False
2026-05-06,13.1,13.39,13.05,13.12,185418,False
2026-05-05,13.0,13.29,13.0,13.07,243210,False
2026-05-04,13.0,13.29,13.0,13.11,149962,False
2026-04-30,12.5,13.17,12.5,12.99,341580,False
2026-04-29,13.3,13.38,12.51,12.83,280201,False
2026-04-28,13.06,13.28,13.06,13.2,189962,False
2026-04-27,13.48,13.48,12.81,13.31,166111,False
2026-04-24,13.02,13.4,13.02,13.37,98245,False
2026-04-23,13.28,13.28,13.01,13.16,170970,False
2026-04-22,13.6,13.6,13.21,13.28,326377,False
2026-04-21,14.6,14.82,13.52,14.6,1811751,False
2026-04-20,14.5,14.95,14.3,14.59,1269962,False
2026-04-17,14.5,14.8,14.31,14.76,1383499,False
2026-04-16,14.6,14.75,14.2,14.35,766846,False
2026-04-15,14.49,14.9,14.11,14.5,1824944,False
2026-04-14,14.04,14.46,14.04,14.24,1437221,False
2026-04-13,13.49,14.46,13.49,14.03,3500449,False
2026-04-10,13.5,14.5,13.5,13.82,5625783,False
2026-04-09,12.3,13.18,11.95,13.18,5235557,False
2026-04-08,12.22,12.22,11.1,11.98,633161,False
2026-04-07,11.24,11.35,11.11,11.26,77519,False
2026-04-06,11.08,11.48,11.05,11.24,53300,False
2026-04-03,10.9,11.49,10.9,11.07,157896,False
2026-04-02,11.03,11.43,11.03,11.36,160960,False
2026-04-01,11.0,11.81,11.0,11.44,397166,False
2026-03-31,11.1,11.19,10.73,10.92,21101,False
2026-03-30,11.25,11.4,10.5,10.85,316962,False
2026-03-27,11.32,11.5,11.01,11.23,21503,False
2026-03-26,11.65,11.65,11.29,11.3,129429,False
2026-03-25,11.48,11.68,11.25,11.65,331881,False
2026-03-24,11.74,11.75,11.2,11.32,196985,False
2026-03-19,11.59,11.65,11.26,11.46,65703,False
2026-03-18,11.5,11.69,11.4,11.6,67723,False
2026-03-17,11.5,11.7,11.25,11.34,33492,False
2026-03-16,11.3,11.6,11.25,11.32,139152,False
2026-03-13,11.33,11.6,11.15,11.39,80804,False
2026-03-12,11.48,11.68,11.14,11.54,107169,False
2026-03-11,11.71,11.99,11.41,11.48,242636,False
2026-03-10,11.25,12.0,11.25,11.69,280122,False
2026-03-09,11.0,11.0,10.25,10.91,520876,False
2026-03-06,11.16,11.3,11.03,11.15,208130,False
2026-03-05,11.45,11.95,11.0,11.13,1784085,False
2026-03-04,11.8,11.99,10.51,11.02,735146,False
2026-03-03,12.59,13.93,11.5,11.61,4279058,False
2026-03-02,13.0,13.85,12.59,12.66,1206174,False
2026-02-27,13.25,14.48,13.01,13.99,4794607,False
2026-02-26,13.1,13.35,12.92,13.17,584529,False
2026-02-25,13.44,13.48,12.85,13.01,961900,False
2026-02-24,13.71,13.9,12.56,13.22,913288,False
2026-02-23,14.05,14.2,13.4,13.55,1787281,False
2026-02-20,14.14,14.35,13.51,14.05,1033192,False
2026-02-19,15.5,15.56,13.9,14.02,7931695,False
2026-02-18,14.2,15.58,14.0,15.08,12101732,False
2026-02-17,14.12,14.5,13.8,14.16,1910221,False
2026-02-16,14.96,14.96,14.13,14.31,2553301,False
2026-02-13,15.15,15.15,14.5,14.87,1391294,False
2026-02-12,16.45,16.45,14.8,15.06,4900105,False
2026-02-11,16.94,16.94,16.03,16.33,19617514,False
2026-02-10,15.4,15.4,15.4,15.4,385175,False
