date,open,high,low,close,volume,is_anomaly
2026-09-18,51.21,54.47,51.0,51.01,5082,False
2026-09-17,55.0,55.0,50.7,51.45,3657,False
2026-09-16,52.44,54.5,45.25,53.64,69832,False
2026-09-15,55.49,55.49,47.31,49.83,15438,False
2026-09-14,58.0,58.0,52.01,52.4,9299,False
2026-09-11,56.0,58.3,48.21,55.85,17679,False
2026-09-10,52.0,56.87,51.0,53.0,10999,False
2026-09-09,58.0,58.0,53.0,53.93,5168,False
2026-09-08,55.2,57.91,52.0,55.05,6870,False
2026-09-07,57.5,57.5,55.0,56.12,4507,False
2026-09-04,59.62,59.62,55.5,55.82,3279,False
2026-09-03,58.87,58.88,55.62,57.23,490,False
2026-09-02,59.49,59.49,55.5,57.49,7501,False
2026-09-01,55.96,58.0,55.96,57.0,6039,False
2026-08-31,62.6,62.6,54.01,55.96,11073,False
2026-08-28,56.0,58.22,51.87,56.96,49617,False
2026-08-27,53.89,53.89,50.91,52.93,11389,False
2026-08-25,52.22,53.95,51.75,52.62,4874,False
2026-08-24,55.74,59.0,50.37,52.22,24462,False
2026-08-21,55.21,59.8,52.6,55.74,11043,False
2026-08-20,59.99,61.0,56.35,57.55,17081,False
2026-08-19,62.99,62.99,57.5,57.54,7512,False
2026-08-18,59.26,62.99,58.0,58.39,7356,False
2026-08-17,61.0,62.99,58.0,61.52,18490,False
2026-08-13,60.88,62.75,60.0,60.24,26291,False
2026-08-12,63.97,63.97,61.0,61.52,24046,False
2026-08-11,67.5,70.99,62.36,62.84,249558,False
2026-08-10,68.2,71.24,65.15,69.18,156945,False
2026-08-07,66.0,70.98,60.1,65.67,57992,False
2026-08-06,59.99,66.0,56.0,64.78,337797,False
2026-08-05,66.9,66.9,59.0,60.94,436648,False
2026-08-04,68.01,73.9,64.37,64.81,297988,False
2026-08-03,77.0,77.99,70.15,71.52,23826,False
2026-07-31,79.0,79.0,73.01,74.81,25055,False
2026-07-30,81.0,84.0,76.0,77.24,48477,False
2026-07-29,65.06,79.52,65.06,79.08,704681,False
2026-07-28,75.0,75.0,72.29,72.29,51144,False
2026-07-27,90.55,97.4,80.32,80.32,363527,False
2026-07-24,87.45,90.25,83.0,89.24,368119,False
2026-07-23,79.99,82.68,70.01,82.31,1199775,False
2026-07-22,69.0,77.11,65.0,75.16,272476,False
2026-07-21,69.0,70.49,65.5,70.1,426859,False
2026-07-20,64.08,64.08,64.0,64.08,237238,False
2026-07-17,49.0,59.35,48.56,58.25,491439,False
2026-07-16,55.5,59.79,51.11,53.95,165268,False
2026-07-15,54.74,54.74,54.73,54.74,69492,False
2026-07-14,47.5,49.76,45.0,49.76,513547,False
2026-07-13,41.2,45.46,41.1,45.24,1691735,False
2026-07-10,40.0,41.33,38.81,41.33,104872,False
2026-07-09,34.15,37.57,31.86,37.57,611730,False
2026-07-08,34.99,35.29,32.53,34.15,82516,False
2026-07-07,32.91,36.0,32.62,34.9,57919,False
2026-07-06,35.5,35.96,32.08,34.98,282026,False
2026-07-03,31.5,34.16,30.05,33.64,2009344,False
2026-07-02,31.7,32.7,27.18,31.05,489995,False
2026-07-01,28.0,30.22,28.0,30.2,849577,False
2026-06-30,28.16,28.2,26.63,27.47,39935,False
2026-06-29,25.45,28.16,25.45,28.16,868745,False
2026-06-24,29.45,29.45,25.5,25.6,190902,False
2026-06-23,27.19,27.19,22.61,27.04,2045056,False
2026-06-22,24.72,24.72,24.72,24.72,184733,False
2026-06-19,22.53,22.95,22.0,22.47,192767,False
2026-06-18,25.9,26.0,22.57,22.63,445401,False
2026-06-17,25.1,26.0,25.0,25.08,16343,False
2026-06-16,25.0,25.98,25.0,25.98,8012,False
2026-06-15,26.0,26.0,24.11,25.95,27405,False
2026-06-12,25.01,26.0,24.53,25.02,14504,False
2026-06-11,25.05,26.0,25.02,25.93,328020,False
2026-06-10,25.99,26.0,24.2,25.76,210230,False
2026-06-09,25.96,27.3,24.13,25.02,8858,False
2026-06-08,25.01,25.99,24.0,24.96,17491,False
2026-06-05,25.01,26.0,23.65,25.88,65718,False
2026-06-04,25.49,26.0,25.1,25.99,115025,False
2026-06-03,22.6,24.88,22.6,24.76,39021,False
2026-06-02,24.0,24.47,22.21,22.62,22633,False
2026-06-01,25.49,25.49,23.5,23.76,16316,False
2026-05-29,25.98,25.98,23.25,24.93,42044,False
2026-05-25,25.71,26.0,25.11,25.67,3454,False
2026-05-22,26.0,26.0,25.51,25.71,108359,False
2026-05-21,25.3,26.71,25.0,25.88,6582,False
