date,open,high,low,close,volume,is_anomaly
2026-09-18,33.99,34.98,33.84,34.89,7314,False
2026-09-17,34.0,35.25,33.61,34.61,49642,False
2026-09-16,33.52,34.4,33.5,33.87,43505,False
2026-09-15,33.25,34.49,33.25,34.34,89857,False
2026-09-14,34.06,35.0,33.01,33.6,71609,False
2026-09-11,32.55,35.0,32.55,34.59,80350,False
2026-09-10,36.79,36.79,34.1,34.9,71966,False
2026-09-09,36.48,36.94,36.0,36.35,60368,False
2026-09-08,37.0,37.25,36.0,36.13,85845,False
2026-09-07,37.49,37.49,36.61,36.83,169542,False
2026-09-04,37.4,37.65,37.0,37.22,146822,False
2026-09-03,37.48,37.5,37.03,37.33,218580,False
2026-09-02,37.0,37.5,36.54,37.34,112764,False
2026-09-01,37.02,37.8,37.01,37.58,86877,False
2026-08-31,37.0,38.05,36.5,37.18,391825,False
2026-08-28,36.98,37.25,36.6,37.09,109714,False
2026-08-27,37.0,37.45,36.01,36.86,65727,False
2026-08-25,37.98,37.98,36.5,36.75,255146,False
2026-08-24,37.48,38.11,37.0,37.59,263633,False
2026-08-21,36.51,37.44,36.26,36.91,96135,False
2026-08-20,37.0,37.0,36.27,36.83,50214,False
2026-08-19,37.49,37.99,36.5,36.95,270910,False
2026-08-18,38.0,38.19,36.7,36.94,376753,False
2026-08-17,38.5,38.5,37.8,38.0,214562,False
2026-08-13,39.5,40.4,37.85,38.05,583700,False
2026-08-12,38.7,40.75,38.7,39.29,2009904,False
2026-08-11,37.55,38.89,37.45,38.31,1414967,False
2026-08-10,37.53,37.97,37.27,37.43,122338,False
2026-08-07,38.5,38.74,37.44,37.53,243237,False
2026-08-06,37.85,38.5,37.56,38.04,503892,False
2026-08-05,37.75,37.99,37.05,37.5,189038,False
2026-08-04,37.24,38.0,36.82,37.0,317623,False
2026-08-03,37.15,37.5,36.8,36.99,388754,False
2026-07-31,36.39,37.7,36.3,36.5,625778,False
2026-07-30,36.5,36.5,35.25,35.7,172100,False
2026-07-29,36.43,36.7,36.0,36.25,244865,False
2026-07-28,35.79,37.25,35.6,36.76,1017826,False
2026-07-27,34.99,36.0,34.5,35.35,891269,False
2026-07-24,34.7,35.65,33.76,34.12,210578,False
2026-07-23,35.94,36.0,34.49,34.59,84203,False
2026-07-22,35.5,36.9,35.1,35.62,361301,False
2026-07-21,35.98,36.99,35.7,35.94,188537,False
2026-07-20,34.75,35.98,34.75,35.48,151320,False
2026-07-17,36.3,36.99,34.95,35.24,302612,False
2026-07-16,36.0,37.47,36.0,36.66,287515,False
2026-07-15,36.0,36.75,35.88,36.28,320635,False
2026-07-14,37.5,37.8,35.22,35.6,287087,False
2026-07-13,39.0,39.0,38.0,38.18,210877,False
2026-07-10,38.9,40.0,38.05,39.58,441000,False
2026-07-09,38.05,39.9,38.0,38.56,409353,False
2026-07-08,40.9,40.9,38.01,38.51,1072154,False
2026-07-07,41.97,41.97,41.0,41.07,274382,False
2026-07-06,42.25,42.7,41.5,41.67,480465,False
2026-07-03,41.72,43.5,41.01,42.0,1412489,False
2026-07-02,41.53,41.9,40.9,41.09,478662,False
2026-07-01,41.0,42.35,41.0,41.23,1116102,False
2026-06-30,39.41,40.75,39.0,40.58,1225487,False
2026-06-29,39.99,41.02,39.05,39.32,888317,False
2026-06-24,39.8,42.25,39.31,40.34,1319711,False
2026-06-23,41.8,42.0,39.0,39.95,768406,False
2026-06-22,43.4,44.4,41.36,41.89,873457,False
2026-06-19,45.51,45.9,42.85,43.69,2120003,False
2026-06-18,44.0,47.87,44.0,45.16,5996099,False
2026-06-17,41.88,44.98,41.0,43.52,3814949,False
2026-06-16,41.97,42.24,40.85,41.41,1340623,False
2026-06-15,40.51,42.22,40.25,41.4,1842641,False
2026-06-12,38.6,40.4,38.3,39.56,1515556,False
2026-06-11,37.01,39.2,37.01,37.72,876059,False
2026-06-10,38.01,39.05,37.5,37.64,446274,False
2026-06-09,39.01,39.7,38.25,38.69,572670,False
2026-06-08,37.98,39.5,36.17,38.71,1774195,False
2026-06-05,39.51,41.44,38.51,38.95,2359169,False
2026-06-04,36.5,38.87,36.5,38.87,5744161,False
2026-06-03,32.46,35.34,32.03,35.34,1984815,False
2026-06-02,32.5,32.5,32.0,32.13,59377,False
2026-06-01,32.16,33.1,32.01,32.11,101030,False
2026-05-29,32.98,32.99,32.08,32.9,80040,False
2026-05-25,31.86,32.99,31.8,32.06,614589,False
2026-05-22,33.4,33.4,31.76,31.86,228022,False
2026-05-21,32.23,33.5,32.23,33.19,105918,False
2026-05-20,34.49,34.49,32.0,32.81,180567,False
2026-05-19,33.95,34.7,33.11,33.85,49455,False
2026-05-18,34.86,34.86,32.0,33.04,53011,False
2026-05-15,34.02,34.7,34.02,34.34,7951,False
2026-05-14,34.97,34.97,34.02,34.16,35400,False
2026-05-13,34.55,34.92,34.21,34.23,8576,False
2026-05-12,35.0,35.2,34.4,34.55,28319,False
2026-05-11,33.77,35.0,33.77,34.74,91578,False
2026-05-08,34.01,34.6,34.0,34.45,82919,False
2026-05-07,34.0,35.0,33.75,34.41,218211,False
2026-05-06,33.75,34.9,32.52,34.29,334753,False
2026-05-05,31.99,33.0,31.5,33.0,41381,False
2026-05-04,32.1,33.0,31.5,31.99,107990,False
2026-04-30,32.75,32.96,30.03,31.48,85045,False
2026-04-29,34.55,34.97,33.0,33.03,72028,False
2026-04-28,34.03,34.9,34.03,34.17,104595,False
2026-04-27,34.41,35.5,34.03,34.39,142793,False
2026-04-24,35.19,35.5,34.01,34.88,340783,False
2026-04-23,36.1,36.8,35.26,35.56,137424,False
2026-04-22,37.0,37.0,36.0,36.01,97958,False
2026-04-21,36.51,37.54,36.42,36.54,233701,False
2026-04-20,37.0,37.85,35.75,36.91,595851,False
2026-04-17,36.48,38.1,36.05,37.17,837152,False
