date,open,high,low,close,volume,is_anomaly
2026-03-11,42.97,42.97,40.02,41.91,25129,False
2026-03-10,39.01,41.72,39.01,40.6,15775,False
2026-03-09,37.86,38.98,37.85,37.97,16402,False
2026-03-06,43.1,43.3,41.31,42.05,8964,False
2026-03-05,36.52,42.44,36.11,42.44,87248,False
2026-03-04,40.0,41.43,38.16,38.58,9999,False
2026-03-03,38.51,41.82,35.03,38.12,6035,False
2026-03-02,40.5,40.5,38.03,38.14,3900,False
2026-02-27,44.47,44.98,42.25,42.26,4722,False
2026-02-26,41.51,44.5,40.66,42.24,14764,False
2026-02-25,45.0,45.47,42.04,42.6,6056,False
2026-02-24,44.0,44.99,41.1,42.92,8208,False
2026-02-23,47.0,48.99,44.01,44.07,15462,False
2026-02-20,47.5,47.5,43.1,47.0,103582,False
2026-02-19,46.48,47.89,46.0,47.5,109227,False
2026-02-18,45.99,47.0,45.5,46.69,23509,False
2026-02-17,46.0,46.0,44.5,45.08,21078,False
2026-02-16,45.95,47.0,44.02,46.02,37831,False
2026-02-13,45.45,45.99,44.79,45.51,14753,False
2026-02-12,43.99,45.45,43.76,45.0,14292,False
2026-02-11,44.49,44.49,42.2,43.96,18286,False
2026-02-10,42.2,44.45,41.55,43.14,21572,False
2026-02-09,44.01,45.95,42.5,42.92,31787,False
2026-02-06,45.9,45.99,44.5,44.88,6936,False
2026-02-04,45.9,46.0,44.05,45.2,12288,False
2026-02-03,44.61,45.95,41.01,44.27,13981,False
2026-02-02,45.0,45.96,44.5,45.36,18263,False
2026-01-30,45.52,46.44,44.8,45.0,28054,False
2026-01-29,46.0,47.76,45.52,46.05,41804,False
2026-01-28,47.0,47.4,46.0,46.55,20114,False
2026-01-27,46.0,47.49,46.0,47.0,22091,False
2026-01-26,47.8,47.8,46.5,47.02,73050,False
2026-01-23,47.7,47.95,42.71,46.99,31138,False
2026-01-22,47.99,47.99,47.02,47.29,10304,False
2026-01-21,47.5,47.99,47.2,47.33,34021,False
2026-01-20,48.5,48.5,47.45,47.5,27486,False
2026-01-19,48.65,48.65,47.05,47.82,16468,False
2026-01-16,47.06,48.89,47.06,47.8,25368,False
2026-01-15,48.9,48.9,47.11,47.55,31845,False
2026-01-14,49.0,49.0,48.0,48.13,77494,False
2026-01-13,48.26,49.75,48.26,49.0,83369,False
2026-01-12,48.7,49.8,48.26,49.01,53373,False
2026-01-09,49.85,49.85,48.56,49.21,34461,False
2026-01-08,49.8,49.85,49.11,49.45,60816,False
2026-01-07,49.9,49.9,48.2,49.5,53278,False
2026-01-06,50.0,50.0,48.5,49.34,50587,False
2026-01-05,49.49,49.5,48.95,49.24,205838,False
2026-01-02,50.78,50.9,49.0,49.2,106348,False
2026-01-01,51.95,51.95,50.0,50.59,177570,False
2025-12-31,51.6,51.89,50.15,51.48,28312,False
2025-12-30,50.0,52.78,50.0,51.69,117131,False
2025-12-29,49.91,50.96,49.01,49.75,81650,False
2025-12-26,50.99,51.0,49.8,50.43,36967,False
2025-12-24,51.99,51.99,50.02,50.89,42904,False
2025-12-23,51.05,52.59,51.0,51.49,25916,False
2025-12-22,50.12,52.85,50.01,52.04,440469,False
2025-12-19,48.72,51.49,47.48,50.36,863921,False
2025-12-18,50.1,50.1,47.2,48.72,263480,False
2025-12-17,56.0,56.0,50.25,50.25,955971,False
2025-12-16,59.25,59.25,55.25,55.83,1091764,False
2025-12-15,53.51,54.2,53.45,53.86,20466,False
2025-12-12,53.1,53.9,52.7,53.46,33085,False
2025-12-11,55.0,55.45,52.51,53.49,70466,False
2025-12-10,54.5,56.5,54.0,54.96,178807,False
2025-12-09,51.8,54.45,50.21,53.55,298054,False
2025-12-08,49.2,52.0,48.56,51.76,154168,False
2025-12-05,50.8,51.0,48.01,49.47,91838,False
2025-12-04,49.9,50.8,49.9,50.5,32207,False
2025-12-03,49.6,50.8,48.1,49.62,102348,False
2025-12-02,49.5,49.5,48.5,49.43,98104,False
