date,open,high,low,close,volume,is_anomaly
2026-09-18,47.47,47.47,46.16,47.0,9822,False
2026-09-17,47.75,47.75,46.0,46.08,8936,False
2026-09-16,46.0,46.5,46.0,46.01,9576,False
2026-09-15,46.01,46.75,46.0,46.73,8018,False
2026-09-14,47.8,47.8,45.02,46.03,8847,False
2026-09-11,47.8,48.98,46.0,46.1,40862,False
2026-09-10,47.99,47.99,46.22,46.94,17956,False
2026-09-09,48.0,48.0,46.88,47.18,10256,False
2026-09-08,48.85,48.85,46.5,46.94,68673,False
2026-09-07,49.49,52.0,47.0,48.8,42735,False
2026-09-04,49.0,49.48,47.62,48.0,72432,False
2026-09-03,49.0,49.0,47.51,48.5,14475,False
2026-09-02,50.5,50.5,48.0,48.02,65778,False
2026-09-01,50.4,50.99,49.8,49.94,50327,False
2026-08-31,53.3,53.3,50.5,50.79,83596,False
2026-08-28,55.0,57.39,51.51,52.11,407570,False
2026-08-27,53.99,55.75,53.61,54.41,45079,False
2026-08-25,53.9,53.9,53.0,53.04,11226,False
2026-08-24,54.99,54.99,52.66,53.31,31094,False
2026-08-21,55.4,55.4,53.07,53.96,14301,False
2026-08-20,55.0,55.0,54.3,54.33,7068,False
2026-08-19,54.89,55.0,53.71,54.53,10469,False
2026-08-18,54.89,54.89,54.0,54.22,30706,False
2026-08-17,54.5,55.5,54.49,54.52,7191,False
2026-08-13,54.9,56.89,54.5,54.75,12994,False
2026-08-12,56.98,56.98,55.01,55.09,19994,False
2026-08-11,54.39,57.5,54.12,56.0,89143,False
2026-08-10,54.49,54.5,53.7,53.79,20240,False
2026-08-07,53.95,53.95,53.62,53.74,15156,False
2026-08-06,53.95,53.95,52.5,52.77,12467,False
2026-08-05,52.3,53.95,52.3,53.02,20137,False
2026-08-04,53.99,53.99,52.5,52.97,14893,False
2026-08-03,53.0,53.0,52.45,52.52,24013,False
2026-07-31,54.99,54.99,52.0,52.58,43758,False
2026-07-30,53.87,54.0,53.06,53.5,1802,False
2026-07-29,53.01,54.0,53.0,53.88,4989,False
2026-07-28,54.0,54.0,52.51,53.43,44273,False
2026-07-27,53.94,54.5,53.0,53.49,78118,False
2026-07-24,52.0,53.0,51.1,52.77,76809,False
2026-07-23,54.0,54.0,51.55,52.59,34401,False
2026-07-22,56.59,56.95,52.1,53.6,132112,False
2026-07-21,56.99,56.99,55.1,56.0,42768,False
2026-07-20,56.03,56.94,55.22,55.75,19222,False
2026-07-17,58.68,58.68,56.0,56.06,20812,False
2026-07-16,57.21,57.9,53.0,57.0,15298,False
2026-07-15,58.0,58.0,57.2,57.21,8875,False
2026-07-14,59.0,59.0,56.57,56.89,33654,False
2026-07-13,57.01,59.9,57.0,59.0,42452,False
2026-07-10,58.69,59.74,58.55,59.12,102660,False
2026-07-09,58.7,58.99,58.15,58.71,53670,False
2026-07-08,58.49,59.5,57.36,58.73,257452,False
2026-07-07,57.91,59.55,57.9,58.91,106953,False
2026-07-06,57.98,58.48,57.01,57.85,59882,False
2026-07-03,57.42,57.98,56.5,57.07,320650,False
2026-07-02,57.95,57.95,57.0,57.42,53253,False
2026-07-01,56.25,58.0,55.5,57.82,457732,False
2026-06-30,55.0,56.3,55.0,55.27,45779,False
2026-06-29,55.98,56.7,55.0,55.1,220710,False
2026-06-24,56.8,56.8,54.51,55.42,424781,False
2026-06-23,55.34,55.97,55.0,55.01,258061,False
2026-06-22,55.71,56.95,55.11,55.33,107493,False
2026-06-19,55.79,56.99,55.5,55.67,49151,False
2026-06-18,57.5,57.99,55.5,55.79,213479,False
2026-06-17,58.0,58.0,57.1,57.46,36712,False
2026-06-16,56.21,58.0,56.21,57.52,34669,False
2026-06-15,57.89,57.89,56.4,56.65,79522,False
2026-06-12,56.99,57.9,55.8,56.13,53895,False
2026-06-11,57.49,57.99,55.01,56.61,66217,False
2026-06-10,60.49,60.49,57.11,57.45,147537,False
2026-06-09,60.59,61.5,60.11,60.63,65226,False
2026-06-08,60.5,62.49,59.91,60.43,146393,False
2026-06-05,609.88,629.99,600.0,624.83,31505,False
2026-06-04,601.0,609.0,601.0,604.96,13742,False
2026-06-03,605.41,618.0,600.0,603.59,10115,False
2026-06-02,613.99,613.99,603.0,605.4,26276,False
2026-06-01,590.12,619.98,590.11,607.84,38870,False
2026-05-29,595.0,597.0,587.0,590.01,25149,False
2026-05-25,560.0,586.94,541.01,584.23,61356,False
2026-05-22,506.0,549.99,500.11,533.58,11618,False
2026-05-21,491.06,509.99,475.0,506.4,6965,False
2026-05-20,499.99,500.01,490.01,495.99,2298,False
2026-05-19,493.18,509.99,491.02,495.61,4012,False
2026-05-18,508.8,508.8,491.0,493.17,6104,False
2026-05-15,513.0,513.0,508.0,509.14,246,False
2026-05-14,508.05,514.0,501.02,507.29,2642,False
2026-05-13,508.01,514.0,508.0,508.0,2472,False
2026-05-12,514.95,516.0,509.0,509.98,3618,False
2026-05-11,520.01,524.0,509.15,513.36,30628,False
2026-05-08,526.0,526.0,521.0,523.66,9430,False
2026-05-07,525.0,528.88,515.0,522.34,12970,False
2026-05-06,518.99,530.0,518.0,522.22,13648,False
2026-05-05,509.0,510.0,505.01,509.9,3193,False
2026-05-04,510.02,514.99,495.0,510.1,11430,False
2026-04-30,520.0,529.0,503.0,509.04,3619,False
2026-04-29,547.99,547.99,501.12,520.79,12107,False
2026-04-28,530.05,554.94,530.05,537.57,6047,False
2026-04-27,540.0,544.99,490.0,537.38,10860,False
2026-04-24,541.0,547.9,537.0,541.31,3797,False
2026-04-23,540.01,544.97,530.01,543.17,4361,False
2026-04-22,546.0,551.0,545.0,547.11,9016,False
2026-04-21,537.11,559.0,537.11,550.36,14086,False
2026-04-20,540.0,545.9,537.0,540.7,12217,False
2026-04-17,544.99,544.99,536.1,542.61,5859,False
2026-04-16,541.0,544.47,536.01,539.62,9394,False
2026-04-15,539.01,544.47,534.05,534.64,7403,False
2026-04-14,538.45,538.46,528.0,532.21,10513,False
2026-04-13,534.21,543.0,525.0,526.95,4774,False
2026-04-10,541.06,544.5,534.0,538.5,4373,False
2026-04-09,545.0,554.0,536.0,539.61,6622,False
2026-04-08,541.0,554.47,525.01,547.33,9228,False
2026-04-07,530.0,530.0,515.0,518.04,8376,False
2026-04-06,525.76,526.0,515.0,521.34,5916,False
2026-04-03,515.01,529.0,515.0,525.76,3352,False
2026-04-02,534.99,534.99,526.23,532.99,1853,False
2026-04-01,532.01,541.11,530.12,537.75,6943,False
2026-03-31,527.01,538.47,520.0,522.65,3502,False
2026-03-30,561.0,561.0,522.15,526.37,9623,False
2026-03-27,561.26,566.99,552.0,560.17,848,False
2026-03-26,574.0,574.0,559.0,561.26,7026,False
2026-03-25,580.0,596.0,561.01,569.13,8968,False
2026-03-24,584.0,587.0,577.0,583.13,10785,False
2026-03-19,577.36,581.5,570.0,579.6,8486,False
2026-03-18,586.25,595.0,575.0,584.83,24385,False
2026-03-17,565.52,600.0,536.24,586.24,22929,False
2026-03-16,611.99,649.0,588.0,595.82,883,False
2026-03-13,639.97,639.97,576.01,601.36,40,False
2026-03-12,546.02,640.0,546.02,601.36,1612,False
2026-03-11,607.99,610.0,595.6,599.95,2051,False
2026-03-10,558.48,605.0,558.48,595.6,996,False
2026-03-09,650.0,650.0,540.0,557.8,6909,False
2026-03-06,604.99,620.0,600.0,600.0,4601,False
2026-03-05,550.0,604.92,549.0,603.17,6088,False
2026-03-04,565.48,575.47,502.01,549.93,3943,False
2026-03-03,548.29,580.0,543.01,552.24,1447,False
2026-03-02,551.01,600.0,548.8,548.8,2398,False
2026-02-27,610.0,610.02,600.51,609.78,185,False
2026-02-26,637.99,637.99,609.0,621.74,781,False
2026-02-25,620.02,638.0,619.0,619.12,3862,False
2026-02-24,648.47,648.47,625.0,640.17,1064,False
2026-02-23,650.0,678.47,630.51,639.56,968,False
2026-02-20,665.01,685.0,650.51,653.86,5088,False
2026-02-19,699.48,705.0,643.1,668.89,6550,False
2026-02-18,644.0,654.0,643.01,643.01,1089,False
2026-02-17,658.0,658.0,631.22,638.94,1095,False
2026-02-16,640.13,670.0,640.0,654.16,9572,False
2026-02-13,669.0,669.0,632.05,640.13,1887,False
2026-02-12,649.99,649.99,640.0,645.27,2805,False
2026-02-11,640.01,649.99,640.0,643.03,1149,False
2026-02-10,641.29,658.02,641.29,647.07,479,False
2026-02-09,636.0,655.0,636.0,641.29,1025,False
2026-02-06,640.01,657.0,640.01,646.34,1839,False
2026-02-04,649.15,649.15,642.11,647.3,316,False
2026-02-03,649.99,649.99,640.01,641.08,1451,False
2026-02-02,640.01,649.95,640.0,646.66,1901,False
2026-01-30,653.99,653.99,640.0,640.93,4478,False
2026-01-29,640.52,663.47,640.52,647.41,2088,False
2026-01-28,652.0,663.47,650.0,656.08,1897,False
2026-01-27,624.0,665.0,624.0,657.93,2423,False
2026-01-26,659.47,676.97,651.51,651.71,12298,False
2026-01-23,666.99,666.99,642.11,651.39,1188,False
2026-01-22,654.0,668.0,642.0,654.83,12390,False
2026-01-21,668.47,673.47,659.03,662.28,11729,False
2026-01-20,668.39,676.9,660.0,663.0,7865,False
2026-01-19,661.05,682.2,651.0,668.39,2164,False
2026-01-16,652.01,681.75,651.0,667.22,8205,False
2026-01-15,684.0,686.18,660.0,665.36,822,False
2026-01-14,675.02,688.0,670.1,672.73,1836,False
2026-01-13,690.0,690.0,676.01,677.83,4245,False
2026-01-12,694.98,694.98,675.0,680.49,1916,False
2026-01-09,686.05,700.0,686.03,686.59,3071,False
2026-01-08,703.99,703.99,688.0,691.35,6018,False
2026-01-07,703.99,704.0,688.0,692.33,4321,False
2026-01-06,687.01,703.0,677.0,697.16,9958,False
2026-01-05,690.63,692.0,672.01,686.33,7747,False
2026-01-02,694.0,694.0,680.01,687.76,2522,False
2026-01-01,683.99,691.0,680.0,683.2,9621,False
2025-12-31,680.68,684.0,660.0,676.55,13438,False
2025-12-30,690.5,698.89,679.02,680.68,3487,False
2025-12-29,678.0,710.0,675.51,685.99,8508,False
2025-12-26,689.94,689.94,676.5,678.59,8653,False
2025-12-24,709.99,709.99,684.0,685.71,7357,False
2025-12-23,726.96,730.0,693.0,702.34,12016,False
2025-12-22,690.02,736.0,690.0,717.89,44315,False
2025-12-19,646.0,695.95,625.0,689.07,149677,False
2025-12-18,695.0,695.0,650.0,652.99,25613,False
