date,open,high,low,close,volume,is_anomaly
2026-09-18,33.0,34.56,30.11,33.5,63114,False
2026-09-17,31.9,31.9,30.1,31.42,3087,False
2026-09-16,29.7,31.7,29.65,30.34,1289,False
2026-09-15,32.99,32.99,29.91,30.78,10083,False
2026-09-14,30.78,33.0,29.55,30.82,7518,False
2026-09-11,34.0,34.0,29.5,30.78,3558,False
2026-09-10,32.0,32.74,31.0,31.48,31906,False
2026-09-09,31.51,32.0,29.19,29.79,31361,False
2026-09-08,34.6,34.87,32.0,32.15,18059,False
2026-09-07,31.98,33.91,28.99,33.71,90698,False
2026-09-04,30.5,33.9,30.3,30.83,6937,False
2026-09-03,34.0,34.0,30.31,32.07,20558,False
2026-09-02,36.0,37.69,31.86,32.22,89797,False
2026-09-01,34.5,35.29,33.5,35.29,119223,False
2026-08-31,29.1,32.08,29.0,32.08,38254,False
2026-08-28,30.5,30.75,29.0,29.16,4628,False
2026-08-27,31.9,31.9,29.4,29.65,9241,False
2026-08-25,31.89,31.89,29.21,31.4,656,False
2026-08-24,31.9,31.9,30.21,30.34,1000,False
2026-08-21,30.39,31.9,29.21,30.9,2497,False
2026-08-20,31.89,31.89,29.5,30.39,2218,False
2026-08-19,32.74,32.74,29.45,29.73,1536,False
2026-08-18,32.89,32.89,31.4,31.99,294,False
2026-08-17,32.0,32.9,31.81,31.99,2814,False
2026-08-13,32.9,32.9,31.8,32.35,415,False
2026-08-12,32.9,33.4,32.06,32.35,2771,False
2026-08-11,35.0,35.0,31.6,32.11,19569,False
2026-08-10,32.89,35.0,32.4,34.23,8588,False
2026-08-07,32.9,32.9,31.51,32.3,1189,False
2026-08-06,33.49,33.49,31.16,32.36,2273,False
2026-08-05,32.95,32.99,32.23,32.76,3533,False
2026-08-04,32.4,32.4,31.81,32.04,2352,False
2026-08-03,31.8,32.5,31.8,32.04,373,False
2026-07-31,32.7,32.7,31.71,32.04,2876,False
2026-07-30,32.75,32.75,31.6,31.93,1838,False
2026-07-29,32.99,33.0,31.32,31.61,15899,False
2026-07-28,33.0,33.5,32.45,32.91,4193,False
2026-07-27,33.11,34.5,31.16,33.0,28276,False
2026-07-24,36.0,36.0,33.11,33.54,10767,False
2026-07-23,37.5,38.5,35.51,36.35,80884,False
2026-07-22,35.89,35.93,34.16,35.93,82652,False
2026-07-21,32.5,32.66,29.11,32.66,10035,False
2026-07-20,32.5,32.95,29.0,29.69,3875,False
2026-07-17,33.9,33.9,31.16,31.82,1626,False
2026-07-16,33.9,34.48,33.2,33.48,5606,False
2026-07-15,33.9,33.9,33.0,33.0,2364,False
2026-07-14,32.21,35.0,32.21,33.5,3673,False
2026-07-13,34.9,36.5,34.51,34.89,1461,False
2026-07-10,34.47,35.0,34.01,34.62,12911,False
2026-07-09,34.9,35.16,34.0,34.47,5149,False
2026-07-08,35.1,35.78,33.16,34.02,5399,False
2026-07-07,35.9,35.9,34.51,35.1,5812,False
2026-07-06,35.5,35.9,35.0,35.29,3237,False
2026-07-03,36.92,36.92,33.23,35.22,18182,False
2026-07-02,37.5,37.5,36.16,36.92,3159,False
2026-07-01,36.11,36.7,35.05,36.61,5829,False
2026-06-30,37.0,37.0,36.1,36.1,3503,False
2026-06-29,37.2,37.2,35.16,37.0,2984,False
2026-06-24,37.14,37.25,36.51,37.15,5303,False
2026-06-23,37.12,37.49,36.0,37.14,7648,False
2026-06-22,37.03,38.28,37.0,37.12,10913,False
2026-06-19,37.01,38.5,37.01,37.12,7950,False
2026-06-18,39.0,39.0,36.5,37.49,25147,False
2026-06-17,37.04,38.0,37.0,37.47,9259,False
2026-06-16,38.0,38.0,37.11,37.18,14301,False
2026-06-15,37.02,37.9,36.51,37.5,14467,False
2026-06-12,37.5,38.85,37.0,37.42,18125,False
2026-06-11,37.77,37.99,37.0,37.63,5363,False
2026-06-10,38.0,38.55,37.7,37.91,9246,False
2026-06-09,38.87,38.87,37.2,38.18,12317,False
2026-06-08,39.9,39.9,36.9,37.15,44336,False
2026-06-05,47.0,47.0,40.49,40.49,355107,False
2026-06-04,42.51,45.29,42.51,44.99,12948,False
2026-06-03,44.49,46.97,41.0,44.3,40487,False
2026-06-02,42.12,45.4,41.22,43.97,29291,False
2026-06-01,43.5,46.88,41.01,44.92,51808,False
2026-05-29,45.05,46.5,43.58,43.66,142361,False
2026-05-25,53.99,53.99,48.4,48.42,128284,False
2026-05-22,60.6,61.33,50.18,53.78,174628,False
2026-05-21,55.75,55.75,55.0,55.75,17204,False
2026-05-20,46.61,50.68,46.61,50.68,16572,False
2026-05-19,43.7,46.77,39.27,46.07,42755,False
2026-05-18,39.11,45.34,37.1,42.52,134833,False
2026-05-15,44.0,47.78,39.1,41.22,45252,False
2026-05-14,43.8,43.8,40.02,43.44,83229,False
2026-05-13,36.9,39.95,36.0,39.82,213918,False
2026-05-12,37.8,37.8,34.01,36.32,18268,False
2026-05-11,36.7,38.0,33.42,35.07,13145,False
2026-05-08,39.0,39.73,35.1,36.48,10947,False
2026-05-07,37.0,38.94,33.41,36.12,71618,False
2026-05-06,36.05,39.99,34.95,35.4,165292,False
2026-05-05,35.5,40.98,33.63,38.83,132908,False
2026-05-04,38.17,44.97,37.35,37.37,148208,False
2026-04-30,37.2,42.9,36.16,41.5,63505,False
2026-04-29,39.49,40.0,33.5,39.91,228890,False
2026-04-28,34.74,36.36,32.01,36.36,89219,False
2026-04-27,35.0,35.0,31.85,33.05,22910,False
2026-04-24,38.0,39.0,34.37,35.06,13341,False
2026-04-23,34.82,38.0,34.0,36.99,30199,False
2026-04-22,40.5,40.5,34.47,34.81,47821,False
2026-04-21,38.3,38.3,38.3,38.3,7831,False
2026-04-20,42.56,44.49,42.56,42.56,51853,False
2026-04-17,47.29,52.99,47.29,47.29,61115,False
2026-04-16,58.0,58.0,52.54,52.54,57287,False
2026-04-15,55.5,58.44,50.5,58.38,156609,False
2026-04-14,51.0,55.51,50.5,53.13,11405,False
2026-04-13,43.55,51.45,43.5,50.46,140201,False
2026-04-10,49.0,50.84,42.0,47.03,215911,False
2026-04-09,42.0,46.22,40.5,46.22,35753,False
2026-04-08,42.5,44.0,40.1,42.02,81611,False
2026-04-07,39.1,42.85,38.65,40.74,99490,False
2026-04-06,40.65,42.95,37.1,40.76,188276,False
2026-04-03,39.7,42.14,36.5,40.65,146430,False
2026-04-02,36.0,40.75,33.5,38.31,14623,False
2026-04-01,39.0,41.99,36.06,37.08,49797,False
2026-03-31,36.01,39.26,35.55,38.41,122259,False
2026-03-30,33.1,35.77,29.27,35.69,15639,False
2026-03-27,30.22,33.18,27.15,32.52,22320,False
2026-03-26,30.1,30.25,28.0,30.16,17546,False
2026-03-25,27.5,27.5,27.45,27.5,10528,False
2026-03-24,25.0,25.0,25.0,25.0,1907,False
2026-03-19,22.73,22.73,22.73,22.73,2167,False
2026-03-18,20.68,20.68,20.68,20.66,229,True
2026-03-17,18.8,18.8,18.8,18.8,1762,False
2026-03-16,17.93,17.93,17.93,17.09,24,True
2026-03-13,16.4,16.4,16.26,16.3,500,False
2026-03-12,18.0,19.25,18.0,18.07,571,False
2026-03-11,19.75,19.75,19.75,19.0,5,True
2026-03-10,17.15,19.0,17.15,19.0,3320,False
2026-03-09,17.2,18.0,17.06,18.96,278,True
2026-03-06,20.0,20.48,18.0,18.96,309,False
2026-03-05,20.68,22.28,18.61,18.96,2848,False
2026-03-04,20.8,21.9,20.68,20.68,2673,False
2026-03-03,23.01,23.01,22.9,22.98,1370,False
2026-03-02,22.95,22.95,22.9,25.44,236,True
2026-02-27,25.7,27.0,25.0,25.44,1218,False
2026-02-26,26.8,28.19,25.99,25.73,70,True
2026-02-25,26.99,29.69,24.51,25.73,1362,False
2026-02-24,26.03,28.4,24.39,26.99,4289,False
2026-02-23,30.0,30.0,27.01,27.1,703,False
2026-02-20,32.0,34.09,28.01,29.92,6028,False
2026-02-19,32.98,32.98,30.0,31.0,4846,False
2026-02-18,30.5,30.89,30.5,30.89,9008,False
2026-02-17,26.5,28.08,26.5,28.08,5881,False
2026-02-16,29.89,29.89,25.41,25.53,3426,False
2026-02-13,31.0,31.0,26.36,28.23,2176,False
2026-02-12,28.95,29.0,28.9,29.0,3585,False
2026-02-11,32.5,32.5,28.5,31.41,141,False
2026-02-10,31.99,31.99,30.89,31.41,293,False
2026-02-09,31.5,31.5,28.2,31.41,8192,False
2026-02-06,34.2,34.2,29.5,29.86,3461,False
2026-02-04,32.5,32.5,29.16,32.0,4565,False
2026-02-03,33.77,33.77,30.48,31.5,7039,False
2026-02-02,33.98,36.9,30.4,31.0,1984,False
2026-01-30,34.5,34.5,30.66,33.62,72,False
2026-01-29,34.46,37.9,31.3,33.62,2916,False
2026-01-28,30.16,35.4,30.16,34.46,7072,False
2026-01-27,34.99,35.0,31.0,32.18,9174,False
2026-01-26,32.2,33.89,29.55,33.89,15559,False
