date,open,high,low,close,volume,is_anomaly
2026-09-18,1.07,1.11,1.07,1.1,5811159,False
2026-09-17,1.08,1.11,1.06,1.07,8501639,False
2026-09-16,1.11,1.12,1.08,1.08,7606989,False
2026-09-15,1.14,1.14,1.09,1.1,9051641,False
2026-09-14,1.13,1.15,1.09,1.09,19533993,False
2026-09-11,1.14,1.14,1.11,1.13,12869381,False
2026-09-10,1.16,1.18,1.13,1.14,13605271,False
2026-09-09,1.18,1.18,1.15,1.15,6060175,False
2026-09-08,1.18,1.19,1.15,1.17,12201872,False
2026-09-07,1.18,1.22,1.17,1.18,15590669,False
2026-09-04,1.17,1.24,1.16,1.18,25990490,False
2026-09-03,1.17,1.19,1.16,1.16,13109918,False
2026-09-02,1.18,1.19,1.16,1.17,14247674,False
2026-09-01,1.18,1.21,1.17,1.19,15117069,False
2026-08-31,1.2,1.21,1.18,1.18,13911743,False
2026-08-28,1.24,1.25,1.19,1.2,23862516,False
2026-08-27,1.31,1.37,1.22,1.24,86073221,False
2026-08-25,1.17,1.32,1.16,1.3,79300774,False
2026-08-24,1.17,1.19,1.16,1.17,9379695,False
2026-08-21,1.2,1.2,1.17,1.17,8561175,False
2026-08-20,1.18,1.24,1.17,1.17,25115970,False
2026-08-19,1.17,1.18,1.16,1.17,8298301,False
2026-08-18,1.18,1.19,1.15,1.16,25394046,False
2026-08-17,1.2,1.21,1.18,1.18,9795056,False
2026-08-13,1.22,1.22,1.2,1.2,6894160,False
2026-08-12,1.21,1.23,1.21,1.21,7520115,False
2026-08-11,1.2,1.23,1.19,1.21,17189172,False
2026-08-10,1.2,1.22,1.2,1.2,9929470,False
2026-08-07,1.21,1.21,1.19,1.2,9738105,False
2026-08-06,1.2,1.22,1.19,1.2,10279388,False
2026-08-05,1.25,1.25,1.19,1.2,19418438,False
2026-08-04,1.21,1.25,1.19,1.2,9033392,False
2026-08-03,1.23,1.27,1.2,1.21,9536808,False
2026-07-31,1.21,1.28,1.21,1.22,31454195,False
2026-07-30,1.2,1.22,1.19,1.2,8639440,False
2026-07-29,1.2,1.21,1.19,1.2,6115362,False
2026-07-28,1.24,1.24,1.2,1.21,5853694,False
2026-07-27,1.21,1.25,1.2,1.23,14948550,False
2026-07-24,1.2,1.23,1.18,1.21,8074773,False
2026-07-23,1.21,1.22,1.18,1.19,11953988,False
2026-07-22,1.25,1.26,1.2,1.21,15812309,False
2026-07-21,1.23,1.27,1.19,1.23,26326813,False
2026-07-20,1.22,1.24,1.19,1.22,13125536,False
2026-07-17,1.25,1.25,1.2,1.21,5810862,False
2026-07-16,1.23,1.25,1.21,1.23,10050980,False
2026-07-15,1.23,1.25,1.21,1.22,15342440,False
2026-07-14,1.24,1.24,1.2,1.2,26144115,False
2026-07-13,1.24,1.35,1.22,1.26,64233518,False
2026-07-10,1.26,1.28,1.24,1.25,12208693,False
2026-07-09,1.28,1.31,1.22,1.24,32708138,False
2026-07-08,1.22,1.35,1.21,1.27,42465659,False
2026-07-07,1.24,1.26,1.23,1.24,9937280,False
2026-07-06,1.26,1.27,1.24,1.24,14056187,False
2026-07-03,1.26,1.3,1.24,1.26,25865871,False
2026-07-02,1.25,1.29,1.22,1.26,17364319,False
2026-07-01,1.27,1.28,1.24,1.26,11674537,False
2026-06-30,1.27,1.27,1.24,1.25,13574990,False
2026-06-29,1.26,1.27,1.23,1.24,17421751,False
2026-06-24,1.25,1.3,1.23,1.25,15610051,False
2026-06-23,1.3,1.32,1.23,1.25,30725462,False
2026-06-22,1.31,1.32,1.28,1.29,11175546,False
2026-06-19,1.32,1.35,1.29,1.31,18470292,False
2026-06-18,1.3,1.36,1.3,1.32,18038404,False
2026-06-17,1.34,1.35,1.31,1.32,12773868,False
2026-06-16,1.41,1.41,1.32,1.34,17163626,False
2026-06-15,1.38,1.39,1.32,1.35,19429356,False
2026-06-12,1.4,1.43,1.32,1.33,28855016,False
2026-06-11,1.31,1.45,1.29,1.35,118360814,False
2026-06-10,1.3,1.33,1.28,1.31,12549657,False
2026-06-09,1.3,1.33,1.29,1.3,13726863,False
2026-06-08,1.28,1.39,1.26,1.31,16176687,False
2026-06-05,1.32,1.33,1.29,1.3,7252599,False
2026-06-04,1.31,1.33,1.28,1.3,8715917,False
2026-06-03,1.32,1.32,1.28,1.29,9822359,False
2026-06-02,1.3,1.34,1.3,1.32,6852192,False
2026-06-01,1.32,1.34,1.3,1.31,6064607,False
2026-05-29,1.31,1.35,1.31,1.32,10869398,False
2026-05-25,1.35,1.35,1.3,1.31,25566304,False
2026-05-22,1.38,1.38,1.3,1.31,7804748,False
2026-05-21,1.37,1.39,1.34,1.35,12002013,False
2026-05-20,1.31,1.35,1.27,1.33,9134529,False
2026-05-19,1.34,1.37,1.28,1.3,14848188,False
2026-05-18,1.39,1.39,1.31,1.32,13096459,False
2026-05-15,1.4,1.4,1.36,1.38,14608344,False
2026-05-14,1.44,1.44,1.37,1.38,14625985,False
2026-05-13,1.4,1.44,1.38,1.4,10622835,False
2026-05-12,1.45,1.47,1.39,1.4,14326371,False
2026-05-11,1.42,1.5,1.4,1.44,19026334,False
2026-05-08,1.46,1.51,1.42,1.44,12904306,False
2026-05-07,1.45,1.55,1.41,1.47,65965072,False
2026-05-06,1.44,1.46,1.41,1.44,25577917,False
2026-05-05,1.38,1.44,1.37,1.39,7954760,False
2026-05-04,1.41,1.46,1.4,1.41,9480298,False
2026-04-30,1.36,1.47,1.31,1.4,28873904,False
2026-04-29,1.45,1.47,1.37,1.38,53576295,False
2026-04-28,1.5,1.51,1.4,1.44,59594350,False
2026-04-27,1.51,1.55,1.45,1.47,38850242,False
2026-04-24,1.73,1.74,1.49,1.51,128291548,False
2026-04-23,1.39,1.74,1.37,1.7,286823348,False
2026-04-22,1.38,1.47,1.35,1.38,34293463,False
2026-04-21,1.43,1.43,1.36,1.38,28006993,False
2026-04-20,1.45,1.45,1.31,1.39,38950231,False
2026-04-17,1.42,1.47,1.42,1.46,30513310,False
2026-04-16,1.44,1.44,1.4,1.41,21110117,False
2026-04-15,1.44,1.44,1.38,1.39,35645478,False
2026-04-14,1.34,1.45,1.32,1.33,62630235,False
2026-04-13,1.39,1.39,1.3,1.31,33604339,False
2026-04-10,1.45,1.52,1.4,1.44,43189848,False
2026-04-09,1.61,1.61,1.41,1.47,81609572,False
2026-04-08,1.3,1.6,1.22,1.58,212312467,False
2026-04-07,1.13,1.18,1.13,1.16,3913268,False
2026-04-06,1.12,1.17,1.12,1.16,7294295,False
2026-04-03,1.15,1.16,1.11,1.14,6415726,False
2026-04-02,1.12,1.17,1.11,1.13,13756717,False
2026-04-01,1.17,1.25,1.16,1.19,10178494,False
2026-03-31,1.14,1.16,1.11,1.15,7605115,False
2026-03-30,1.16,1.16,1.1,1.11,19802685,False
2026-03-27,1.19,1.19,1.14,1.15,27181362,False
2026-03-26,1.23,1.24,1.17,1.18,33024724,False
2026-03-25,1.25,1.29,1.2,1.23,24816049,False
2026-03-24,1.31,1.31,1.22,1.25,8168773,False
2026-03-19,1.2,1.31,1.15,1.25,22028800,False
2026-03-18,1.19,1.23,1.16,1.2,8832641,False
2026-03-17,1.18,1.2,1.14,1.16,11254334,False
2026-03-16,1.19,1.21,1.14,1.17,11094286,False
2026-03-13,1.18,1.22,1.14,1.19,15933544,False
2026-03-12,1.22,1.26,1.16,1.19,14753958,False
2026-03-11,1.31,1.33,1.2,1.22,17023356,False
2026-03-10,1.29,1.32,1.25,1.27,15499891,False
2026-03-09,1.3,1.3,1.14,1.15,33608420,False
2026-03-06,1.36,1.36,1.3,1.31,7756355,False
2026-03-05,1.35,1.38,1.31,1.35,19282091,False
2026-03-04,1.39,1.39,1.28,1.33,11758055,False
2026-03-03,1.2,1.39,1.2,1.34,14780104,False
2026-03-02,1.11,1.46,1.1,1.23,41849359,False
2026-02-27,1.64,1.64,1.45,1.54,36245681,False
2026-02-26,1.48,1.56,1.36,1.52,20007346,False
2026-02-25,1.5,1.64,1.45,1.48,33421278,False
2026-02-24,1.39,1.49,1.35,1.47,27444317,False
2026-02-23,1.26,1.4,1.2,1.34,24647531,False
2026-02-20,1.29,1.33,1.16,1.26,22787240,False
2026-02-19,1.44,1.44,1.2,1.29,12420700,False
2026-02-18,1.42,1.42,1.37,1.4,10240561,False
2026-02-17,1.45,1.45,1.35,1.38,20184610,False
2026-02-16,1.55,1.55,1.4,1.41,26673405,False
2026-02-13,1.5,1.54,1.49,1.51,15882868,False
2026-02-12,1.55,1.59,1.46,1.5,30912538,False
2026-02-11,1.54,1.66,1.5,1.56,51954245,False
2026-02-10,1.6,1.62,1.54,1.56,29726179,False
2026-02-09,1.63,1.68,1.57,1.59,26090746,False
2026-02-06,1.72,1.76,1.61,1.63,50264390,False
2026-02-04,1.75,1.81,1.7,1.72,32938146,False
2026-02-03,1.7,1.76,1.62,1.74,91350753,False
2026-02-02,1.65,1.93,1.6,1.65,191182675,False
2026-01-30,18.0,18.4,17.41,17.7,16707271,False
2026-01-29,18.74,19.0,17.82,18.11,13846068,False
2026-01-28,18.28,18.6,17.86,18.0,12275044,False
2026-01-27,18.4,19.2,17.93,18.09,11066866,False
2026-01-26,19.09,19.3,17.82,18.34,10388003,False
2026-01-23,17.66,19.4,17.46,18.84,23532206,False
2026-01-22,17.4,18.48,17.0,17.64,13100213,False
2026-01-21,17.84,17.85,17.19,17.29,4307671,False
2026-01-20,19.97,20.0,17.45,17.65,19791016,False
2026-01-19,18.0,19.09,17.5,19.09,8048798,False
2026-01-16,17.1,18.24,17.1,17.35,10242893,False
2026-01-15,17.13,17.69,16.5,16.94,4838375,False
2026-01-14,18.35,18.45,16.75,17.02,7244113,False
2026-01-13,19.01,19.37,18.21,18.36,15804376,False
2026-01-12,18.49,19.17,18.3,18.56,8958056,False
2026-01-09,18.9,19.44,18.02,18.24,10717448,False
2026-01-08,19.82,20.42,18.6,18.83,21049722,False
2026-01-07,18.29,19.82,18.11,19.82,20566720,False
2026-01-06,18.52,18.62,17.81,18.02,5816780,False
2026-01-05,17.99,18.5,17.71,18.32,10404835,False
2026-01-02,18.24,18.28,17.7,17.77,6326029,False
2026-01-01,18.32,18.74,17.65,18.09,12844920,False
2025-12-31,17.5,18.72,17.15,18.17,28167321,False
2025-12-30,16.97,17.48,16.81,17.02,6714211,False
2025-12-29,17.0,17.5,16.65,16.81,5851417,False
2025-12-26,17.3,17.95,16.75,16.91,6788200,False
2025-12-24,17.97,18.24,16.51,17.36,22388705,False
2025-12-23,20.24,20.49,18.1,18.1,13990479,False
2025-12-22,19.8,20.81,19.8,20.11,14978649,False
2025-12-19,20.37,20.69,19.6,19.73,8454110,False
2025-12-18,20.52,21.1,19.9,20.19,10657584,False
2025-12-17,19.05,21.44,18.8,20.49,36863271,False
2025-12-16,22.8,23.19,20.44,20.44,24179561,False
2025-12-15,24.74,24.85,22.3,22.71,36163034,False
2025-12-12,22.99,23.74,22.6,23.43,24730544,False
2025-12-11,23.25,23.78,21.7,22.53,29911165,False
2025-12-10,22.6,24.48,22.11,23.37,50337869,False
2025-12-09,21.91,22.7,21.55,22.31,29274280,False
2025-12-08,20.87,21.95,20.51,21.62,28734978,False
2025-12-05,20.68,21.6,20.01,20.95,44579133,False
2025-12-04,19.5,20.97,18.5,20.19,28525345,False
2025-12-03,20.49,21.2,19.01,19.39,30777443,False
2025-12-02,19.51,20.36,18.76,20.36,37154533,False
2025-12-01,15.51,18.51,15.15,18.51,70035790,False
2025-11-28,16.83,16.83,16.83,16.83,4186496,False
2025-11-27,19.27,19.4,18.7,18.7,5863422,False
2025-11-26,22.89,22.94,20.78,20.78,26722812,False
2025-11-25,24.26,24.9,22.8,23.09,13378349,False
2025-11-24,24.65,24.8,23.57,24.26,16653190,False
2025-11-21,24.0,25.2,22.51,24.62,48405229,False
2025-11-20,23.19,24.48,22.62,24.17,37950210,False
2025-11-19,23.51,23.9,22.33,22.8,15991135,False
2025-11-18,23.5,24.38,22.65,23.29,52720375,False
2025-11-17,21.5,23.19,21.29,23.19,38664671,False
2025-11-14,19.98,21.55,19.96,21.08,37673572,False
2025-11-13,20.99,21.0,18.81,19.63,40354364,False
2025-11-12,22.61,24.5,20.36,20.66,89366326,False
2025-11-11,21.22,23.34,20.76,22.61,77173809,False
2025-11-10,19.76,21.22,18.81,21.22,73709982,False
