date,open,high,low,close,volume,is_anomaly
2026-09-18,38.5,39.49,36.2,36.58,2886,False
2026-09-17,36.55,38.95,36.5,36.85,4983,False
2026-09-16,37.67,39.9,37.0,38.02,5269,False
2026-09-15,37.07,40.95,37.07,38.1,133481,False
2026-09-14,36.21,40.5,36.21,40.0,120263,False
2026-09-11,37.0,40.0,36.75,40.0,3126,False
2026-09-10,37.55,41.0,37.55,40.6,5963,False
2026-09-09,42.94,42.94,37.0,40.0,106269,False
2026-09-08,39.4,43.75,39.4,40.99,726,False
2026-09-07,39.05,42.25,39.05,40.12,1046,False
2026-09-04,38.8,41.98,38.0,41.94,2504,False
2026-09-03,40.01,44.0,37.75,40.27,107074,False
2026-09-02,40.0,45.4,40.0,41.02,4960,False
2026-09-01,41.5,44.95,41.5,42.51,4426,False
2026-08-31,40.05,45.95,40.05,45.87,5069,False
2026-08-28,43.2,45.0,42.5,42.82,21469,False
2026-08-27,41.37,44.98,41.37,42.72,18198,False
2026-08-25,41.3,45.95,41.3,45.21,106183,False
2026-08-24,41.1,45.78,41.1,43.04,4952,False
2026-08-21,46.0,46.0,41.7,45.47,42754,False
2026-08-20,41.0,46.9,41.0,44.0,9717,False
2026-08-19,40.3,45.0,40.3,44.7,126,False
2026-08-18,43.0,44.98,43.0,44.7,2400,False
2026-08-17,43.0,45.99,43.0,44.28,823,False
2026-08-13,44.0,47.0,44.0,44.59,6584,False
2026-08-12,47.95,47.95,43.52,46.84,23982,False
2026-08-11,48.0,48.0,42.75,47.48,195,False
2026-08-10,42.42,49.18,42.42,47.48,4964,False
2026-08-07,42.31,47.0,41.4,46.48,7731,False
2026-08-06,45.81,45.99,43.01,45.98,5408,False
2026-08-05,46.95,46.95,43.0,45.81,10116,False
2026-08-04,42.6,48.85,42.6,43.07,2018,False
2026-08-03,43.0,47.0,43.0,46.7,2060,False
2026-07-31,42.32,46.9,42.32,45.83,35,False
2026-07-30,42.81,42.81,42.81,45.83,3,True
2026-07-29,42.75,45.9,42.75,45.83,5,False
2026-07-28,42.5,45.98,42.5,45.83,6233,False
2026-07-27,41.51,45.8,41.51,45.67,8511,False
2026-07-24,41.0,46.89,41.0,44.58,45,False
2026-07-23,40.9,45.95,40.9,44.58,3961,False
2026-07-22,42.01,45.98,42.01,45.37,1166,False
2026-07-21,40.46,46.95,40.46,45.75,39764,False
2026-07-20,40.21,46.9,40.21,44.0,131,False
2026-07-17,42.05,47.95,42.05,44.0,962,False
2026-07-16,43.03,47.0,43.03,44.97,93679,False
2026-07-15,42.17,47.95,42.17,46.64,3965,False
2026-07-14,43.25,48.88,43.25,46.85,305,False
2026-07-13,44.15,47.95,44.15,46.85,22706,False
2026-07-10,49.49,49.49,43.0,45.01,84038,False
2026-07-09,44.0,48.5,44.0,45.03,28090,False
2026-07-08,47.71,48.75,43.51,47.4,34410,False
2026-07-07,48.8,48.8,45.0,47.71,8987,False
2026-07-06,42.05,48.0,42.05,44.38,4222,False
2026-07-03,46.0,48.48,43.0,46.7,5462,False
2026-07-02,42.83,47.0,42.83,46.13,10845,False
2026-07-01,42.51,45.99,42.51,45.68,22,False
2026-06-30,42.02,46.0,42.02,45.68,11442,False
2026-06-29,47.03,47.03,42.01,46.0,6074,False
2026-06-24,43.0,46.0,42.51,42.77,14,False
