date,open,high,low,close,volume,is_anomaly
2026-09-18,5.64,6.26,5.55,6.09,5830625,False
2026-09-17,5.49,5.69,5.45,5.56,1114635,False
2026-09-16,5.5,5.61,5.41,5.49,342561,False
2026-09-15,5.69,5.7,5.54,5.57,364420,False
2026-09-14,5.75,5.75,5.46,5.51,669839,False
2026-09-11,6.0,6.0,5.1,5.75,1303798,False
2026-09-10,6.19,6.19,5.71,5.79,1009071,False
2026-09-09,6.18,6.25,6.0,6.09,749389,False
2026-09-08,6.17,6.4,6.12,6.18,682268,False
2026-09-07,6.17,6.55,6.17,6.27,4468937,False
2026-09-04,6.06,6.25,5.95,6.15,2198063,False
2026-09-03,6.07,6.07,5.92,5.97,785113,False
2026-09-02,6.09,6.1,5.95,5.97,707069,False
2026-09-01,6.29,6.29,6.11,6.12,420963,False
2026-08-31,6.3,6.45,6.1,6.19,1088341,False
2026-08-28,6.18,6.35,6.11,6.16,786537,False
2026-08-27,6.26,6.55,6.1,6.17,3105486,False
2026-08-25,6.25,6.39,6.16,6.22,813342,False
2026-08-24,6.25,6.44,6.12,6.16,1083273,False
2026-08-21,6.36,6.45,6.05,6.1,2187384,False
2026-08-20,6.4,6.41,6.24,6.26,885869,False
2026-08-19,6.36,6.49,6.33,6.34,782783,False
2026-08-18,6.53,6.66,6.31,6.45,2247044,False
2026-08-17,6.6,6.79,6.49,6.52,1098652,False
2026-08-13,6.99,6.99,6.53,6.68,1364063,False
2026-08-12,6.95,7.1,6.77,6.84,2683449,False
2026-08-11,6.59,6.98,6.51,6.91,6764508,False
2026-08-10,6.72,6.72,6.51,6.55,1862633,False
2026-08-07,6.69,6.85,6.58,6.61,1654857,False
2026-08-06,6.8,6.86,6.57,6.64,3819168,False
2026-08-05,6.7,7.14,6.6,6.76,15308481,False
2026-08-04,6.78,6.78,6.55,6.59,1330545,False
2026-08-03,6.8,6.9,6.66,6.7,1381096,False
2026-07-31,6.84,6.91,6.65,6.7,2013201,False
2026-07-30,6.13,6.75,6.13,6.66,5291622,False
2026-07-29,6.59,6.59,6.24,6.28,2046471,False
2026-07-28,6.72,6.72,6.49,6.52,3532765,False
2026-07-27,6.85,6.85,6.55,6.68,3519356,False
2026-07-24,6.41,6.5,6.3,6.41,3554280,False
2026-07-23,6.94,6.98,6.33,6.57,3311320,False
2026-07-22,7.0,7.13,6.9,6.94,2746406,False
2026-07-21,7.14,7.22,7.03,7.05,2881320,False
2026-07-20,7.05,7.19,6.94,7.05,4195493,False
2026-07-17,7.4,7.4,7.0,7.05,4850065,False
2026-07-16,7.52,7.74,7.17,7.3,16024307,False
2026-07-15,6.9,7.61,6.81,7.42,15426163,False
2026-07-14,7.09,7.32,6.65,6.77,13297697,False
2026-07-13,7.05,7.58,7.0,7.15,15260941,False
2026-07-10,8.07,8.07,7.31,7.41,33568457,False
2026-07-09,6.85,7.84,6.7,7.84,58382446,False
2026-07-08,6.2,7.18,5.86,6.84,63958482,False
2026-07-07,5.97,6.44,5.85,6.27,37977565,False
2026-07-06,5.65,5.97,5.6,5.89,5712178,False
2026-07-03,5.6,5.69,5.54,5.55,461467,False
2026-07-02,5.61,5.72,5.56,5.58,2077955,False
2026-07-01,5.58,5.73,5.55,5.57,1471691,False
2026-06-30,5.48,5.76,5.37,5.63,2310797,False
2026-06-29,5.51,5.55,5.39,5.41,1197462,False
2026-06-24,5.5,5.63,5.4,5.51,1128100,False
2026-06-23,5.44,5.8,5.4,5.44,1925796,False
2026-06-22,5.57,5.58,5.37,5.44,2138654,False
2026-06-19,5.67,5.74,5.5,5.53,1509673,False
2026-06-18,5.9,5.94,5.61,5.63,2233915,False
2026-06-17,5.7,6.08,5.7,5.82,17209992,False
2026-06-16,5.57,5.83,5.5,5.62,4949466,False
2026-06-15,5.56,5.61,5.45,5.52,729822,False
2026-06-12,5.5,5.64,5.47,5.49,1739449,False
2026-06-11,5.58,5.6,5.45,5.49,655210,False
2026-06-10,5.6,5.63,5.48,5.49,982565,False
2026-06-09,5.62,5.75,5.51,5.54,4337416,False
2026-06-08,5.45,5.7,5.31,5.5,2852848,False
2026-06-05,5.54,5.54,5.41,5.45,1027886,False
2026-06-04,5.45,5.55,5.32,5.45,1369348,False
2026-06-03,5.4,5.45,5.3,5.37,1264085,False
2026-06-02,5.4,5.49,5.35,5.39,610051,False
2026-06-01,5.55,5.55,5.42,5.43,604390,False
2026-05-29,5.62,5.63,5.42,5.49,1552097,False
2026-05-25,5.71,5.73,5.52,5.55,739276,False
2026-05-22,5.66,5.79,5.51,5.56,2021555,False
2026-05-21,5.65,5.83,5.51,5.62,3714266,False
2026-05-20,5.43,5.65,5.41,5.5,850864,False
2026-05-19,5.35,5.64,5.35,5.43,2195897,False
2026-05-18,5.75,5.78,5.3,5.41,1791385,False
2026-05-15,5.77,5.9,5.6,5.64,5957550,False
2026-05-14,5.81,6.15,5.65,5.74,23586232,False
2026-05-13,5.4,6.09,5.27,5.61,21686021,False
2026-05-12,5.47,5.6,5.35,5.37,730027,False
2026-05-11,5.32,5.48,5.27,5.42,363674,False
2026-05-08,5.35,5.46,5.35,5.37,1348965,False
2026-05-07,5.55,5.55,5.36,5.4,877292,False
2026-05-06,5.55,5.59,5.35,5.48,1098857,False
2026-05-05,5.25,5.45,5.2,5.35,889588,False
2026-05-04,5.46,5.53,5.25,5.29,1926550,False
2026-04-30,5.3,5.32,5.16,5.24,1277568,False
2026-04-29,5.64,5.64,5.28,5.33,1428880,False
2026-04-28,5.59,6.0,5.5,5.56,4417177,False
2026-04-27,5.55,5.75,5.43,5.59,228428,False
2026-04-24,5.58,5.6,5.42,5.55,707516,False
2026-04-23,5.4,5.6,5.35,5.57,827578,False
2026-04-22,5.7,5.7,5.3,5.38,1357783,False
2026-04-21,5.6,5.8,5.55,5.59,1220034,False
2026-04-20,5.85,5.87,5.4,5.64,1617899,False
2026-04-17,5.88,5.9,5.75,5.8,6520380,False
2026-04-16,5.43,5.88,5.4,5.74,7029582,False
2026-04-15,5.44,5.54,5.35,5.37,1799372,False
2026-04-14,5.3,5.55,5.28,5.3,2129990,False
2026-04-13,5.33,5.33,5.2,5.22,357630,False
2026-04-10,5.32,5.56,5.3,5.47,1690828,False
2026-04-09,5.68,5.68,5.3,5.37,954292,False
2026-04-08,5.6,5.79,5.23,5.57,3543698,False
2026-04-07,5.26,5.26,5.15,5.2,155015,False
2026-04-06,5.28,5.39,5.11,5.22,578853,False
2026-04-03,5.09,5.45,5.05,5.27,536898,False
2026-04-02,5.32,5.32,5.1,5.22,377131,False
2026-04-01,5.23,5.45,5.23,5.31,1865940,False
2026-03-31,5.2,5.35,5.01,5.13,1058018,False
2026-03-30,5.46,5.46,5.03,5.12,830823,False
2026-03-27,5.4,5.47,5.2,5.34,476517,False
2026-03-26,5.63,5.71,5.25,5.3,1422828,False
2026-03-25,5.41,5.71,5.41,5.63,6032677,False
2026-03-24,5.48,5.6,5.26,5.39,2448876,False
2026-03-19,5.21,5.3,5.15,5.24,407620,False
2026-03-18,5.3,5.31,5.2,5.23,670265,False
2026-03-17,5.37,5.37,5.15,5.25,517646,False
2026-03-16,5.42,5.42,5.15,5.18,599513,False
2026-03-13,5.4,5.53,5.37,5.44,224569,False
2026-03-12,5.5,5.59,5.45,5.47,345124,False
2026-03-11,5.58,5.78,5.47,5.51,1110475,False
2026-03-10,5.58,5.78,5.29,5.56,1302931,False
2026-03-09,5.41,5.41,5.0,5.08,966501,False
2026-03-06,5.52,5.65,5.29,5.41,548415,False
2026-03-05,5.33,5.69,5.28,5.48,1753689,False
2026-03-04,5.34,5.49,5.18,5.31,1497706,False
2026-03-03,5.02,5.45,5.02,5.32,635287,False
2026-03-02,5.25,5.87,4.97,5.04,1120385,False
2026-02-27,5.8,5.95,5.71,5.8,614741,False
2026-02-26,5.99,6.15,5.6,5.9,2031321,False
2026-02-25,6.01,6.16,5.95,5.99,1196742,False
2026-02-24,5.99,6.16,5.7,5.97,1356654,False
2026-02-23,6.19,6.28,5.7,5.86,3868344,False
2026-02-20,5.92,6.14,5.78,6.0,724559,False
2026-02-19,6.22,6.31,5.52,5.92,1393475,False
2026-02-18,6.19,6.27,6.1,6.17,1555615,False
2026-02-17,6.18,6.28,5.91,6.09,2253609,False
2026-02-16,6.31,6.5,6.0,6.13,3186370,False
2026-02-13,6.26,6.72,6.06,6.31,8418657,False
2026-02-12,5.99,6.34,5.87,6.13,6176914,False
2026-02-11,6.02,6.06,5.8,5.83,4234786,False
2026-02-10,6.11,6.15,5.91,6.0,1475699,False
2026-02-09,6.15,6.21,5.99,6.04,1931792,False
2026-02-06,6.35,6.4,5.33,6.14,6524196,False
2026-02-04,6.2,6.35,6.03,6.25,6751500,False
2026-02-03,6.1,6.22,6.04,6.14,3434388,False
2026-02-02,5.86,6.25,5.85,6.08,4831113,False
2026-01-30,6.06,6.2,5.21,5.77,3903082,False
2026-01-29,6.09,6.25,5.96,6.06,5425714,False
2026-01-28,6.23,6.25,5.81,6.0,6215391,False
2026-01-27,5.95,6.4,5.95,6.1,14166209,False
2026-01-26,5.5,6.2,5.5,5.8,9547940,False
2026-01-23,5.7,5.9,5.47,5.51,1639097,False
2026-01-22,5.35,5.99,5.31,5.6,6134533,False
2026-01-21,5.55,5.6,5.31,5.34,2309332,False
2026-01-20,5.61,5.7,5.5,5.54,795899,False
2026-01-19,5.5,5.8,5.5,5.58,2628699,False
2026-01-16,5.45,5.78,5.39,5.43,4587460,False
2026-01-15,5.24,5.49,5.06,5.3,1033702,False
2026-01-14,5.74,5.9,5.15,5.25,5426380,False
2026-01-13,5.94,5.94,5.51,5.65,1886497,False
2026-01-12,6.04,6.14,5.81,5.84,8145925,False
2026-01-09,6.0,6.3,5.9,6.12,10114513,False
2026-01-08,6.0,6.33,5.85,5.98,8382050,False
2026-01-07,5.95,6.47,5.8,5.97,15703661,False
2026-01-06,5.8,5.99,5.6,5.89,2401539,False
2026-01-05,5.7,6.15,5.6,5.73,7132448,False
2026-01-02,5.98,6.11,5.6,5.7,4889039,False
2026-01-01,5.24,6.19,5.24,5.95,46343933,False
2025-12-31,5.4,5.49,5.15,5.19,3190496,False
2025-12-30,5.04,5.36,4.81,5.27,4296811,False
2025-12-29,5.24,5.35,4.75,4.88,4584588,False
2025-12-26,5.71,5.95,5.06,5.17,18570325,False
2025-12-24,4.83,5.69,4.75,5.69,37023291,False
2025-12-23,4.52,5.0,4.46,4.69,6623032,False
2025-12-22,4.4,4.6,4.31,4.44,2323355,False
2025-12-19,4.56,4.65,4.33,4.39,1066218,False
2025-12-18,4.54,4.7,4.48,4.52,772934,False
2025-12-17,4.66,4.66,4.4,4.46,1451743,False
2025-12-16,4.7,4.75,4.5,4.55,2371229,False
2025-12-15,4.96,4.98,4.57,4.63,4466993,False
2025-12-12,9.7,9.77,9.05,9.68,10150389,False
2025-12-11,9.44,9.48,9.26,9.4,830934,False
2025-12-10,9.43,9.65,9.27,9.33,2542868,False
2025-12-09,9.1,9.29,9.08,9.23,918650,False
2025-12-08,8.99,9.3,8.62,9.08,1268469,False
2025-12-05,9.03,9.25,8.63,8.77,1279860,False
2025-12-04,9.4,9.63,8.95,9.0,1332189,False
2025-12-03,9.45,10.07,9.21,9.32,9143508,False
2025-12-02,8.87,9.39,8.02,9.19,1611592,False
2025-12-01,8.83,8.9,8.55,8.7,1043323,False
2025-11-28,8.06,8.54,8.06,8.35,410324,False
2025-11-27,8.19,8.19,7.9,7.95,96686,False
2025-11-26,8.13,8.19,8.0,8.0,79619,False
2025-11-25,8.24,8.25,8.03,8.11,130684,False
2025-11-24,8.4,8.65,7.78,8.09,157968,False
2025-11-21,8.4,8.74,8.26,8.3,126940,False
2025-11-20,8.45,8.9,8.0,8.28,582421,False
2025-11-19,8.62,8.62,8.3,8.45,114352,False
2025-11-18,8.4,8.6,8.1,8.32,543702,False
2025-11-17,8.49,8.68,8.01,8.14,439973,False
2025-11-14,8.11,8.68,7.9,8.28,589163,False
2025-11-13,7.95,8.1,7.85,7.96,663120,False
2025-11-12,8.3,8.47,7.51,7.92,1442973,False
2025-11-11,8.98,8.98,8.25,8.29,1340944,False
2025-11-10,9.4,10.23,8.65,8.82,6852863,False
2025-11-07,8.74,9.25,8.62,9.25,5836668,False
2025-11-06,7.84,8.41,7.84,8.25,1280917,False
2025-11-05,7.55,7.85,7.55,7.7,121147,False
2025-11-04,7.65,7.95,7.45,7.65,348340,False
2025-11-03,7.81,8.2,7.6,7.76,1058682,False
2025-10-31,7.97,8.0,7.72,7.8,208332,False
2025-10-30,7.75,8.0,7.7,7.72,143470,False
2025-10-29,7.34,7.82,7.34,7.75,128583,False
2025-10-28,7.95,7.99,7.68,7.72,114701,False
2025-10-27,7.73,8.0,7.7,7.76,227209,False
2025-10-24,7.85,8.1,7.61,7.73,168494,False
2025-10-23,8.4,8.78,7.65,7.74,2563585,False
2025-10-22,7.65,8.77,7.6,8.52,2896988,False
2025-10-21,7.55,8.09,7.55,7.77,133053,False
2025-10-20,7.9,7.99,7.5,7.77,18194,False
2025-10-17,7.89,8.39,7.48,7.8,19730,False
2025-10-16,7.7,7.95,7.42,7.48,35750,False
2025-10-15,7.7,7.95,7.4,7.54,126003,False
