date,open,high,low,close,volume,is_anomaly
2026-09-18,11.9,13.09,11.9,13.09,941532,False
2026-09-17,12.2,12.2,11.7,11.9,362158,False
2026-09-16,11.5,12.09,11.5,11.73,418248,False
2026-09-15,12.0,12.0,11.55,11.75,110781,False
2026-09-14,11.75,12.08,11.55,11.68,40936,False
2026-09-11,11.79,12.45,11.51,12.09,203267,False
2026-09-10,12.03,12.34,11.7,11.79,165502,False
2026-09-09,12.2,12.2,12.0,12.03,324956,False
2026-09-08,12.17,12.38,12.0,12.02,391761,False
2026-09-07,12.55,13.24,12.1,12.34,1295756,False
2026-09-04,12.63,13.24,12.25,12.81,417502,False
2026-09-03,12.11,12.74,11.7,12.63,646118,False
2026-09-02,12.95,12.95,12.0,12.11,709568,False
2026-09-01,12.31,12.99,12.31,12.55,113962,False
2026-08-31,12.85,13.15,12.2,12.69,98281,False
2026-08-28,13.25,13.4,12.85,12.88,139458,False
2026-08-27,13.48,13.48,12.85,13.14,727690,False
2026-08-25,13.48,13.48,12.68,12.8,525559,False
2026-08-24,13.69,13.69,13.01,13.06,382295,False
2026-08-21,13.25,13.4,13.0,13.08,275306,False
2026-08-20,13.94,13.94,13.0,13.06,359755,False
2026-08-19,13.6,14.9,13.2,13.3,671182,False
2026-08-18,13.61,13.69,13.21,13.56,486238,False
2026-08-17,13.82,14.17,13.52,13.61,540782,False
2026-08-13,14.35,14.35,13.8,13.81,625657,False
2026-08-12,14.29,14.29,13.85,13.97,776793,False
2026-08-11,14.2,14.4,13.9,14.18,1568707,False
2026-08-10,13.79,14.2,13.5,14.07,1298884,False
2026-08-07,13.66,13.66,13.26,13.53,378434,False
2026-08-06,13.55,13.7,13.32,13.34,438272,False
2026-08-05,13.51,13.7,13.36,13.58,1420953,False
2026-08-04,13.49,13.55,13.0,13.23,958159,False
2026-08-03,14.0,14.0,13.26,13.38,819194,False
2026-07-31,13.9,14.0,13.5,13.65,702479,False
2026-07-30,13.24,13.79,12.75,13.54,1104762,False
2026-07-29,13.19,13.19,12.8,12.95,244219,False
2026-07-28,13.45,13.45,12.82,13.04,303697,False
2026-07-27,13.24,13.4,12.51,13.07,544277,False
2026-07-24,13.0,13.2,12.01,12.82,526551,False
2026-07-23,13.2,13.35,13.05,13.06,439707,False
2026-07-22,13.34,13.88,13.06,13.4,256053,False
2026-07-21,13.94,13.99,13.7,13.79,477191,False
2026-07-20,13.71,14.09,13.4,13.71,918714,False
2026-07-17,13.8,14.1,13.45,13.91,1362286,False
2026-07-16,13.21,14.58,13.21,13.99,4549847,False
2026-07-15,12.98,13.55,12.8,13.42,2262846,False
2026-07-14,13.47,13.7,12.32,12.61,3944196,False
2026-07-13,13.54,14.0,13.49,13.64,1618549,False
2026-07-10,14.69,14.9,13.79,14.04,3939803,False
2026-07-09,13.5,14.67,13.3,14.53,6621866,False
2026-07-08,13.39,14.2,12.8,13.52,8452439,False
2026-07-07,12.97,13.8,12.85,13.42,7477066,False
2026-07-06,11.5,12.68,11.45,12.68,5528677,False
2026-07-03,11.51,11.69,11.36,11.53,1483415,False
2026-07-02,11.5,11.8,11.35,11.46,3100059,False
2026-07-01,11.24,11.6,11.2,11.37,4021642,False
2026-06-30,10.6,11.4,10.35,11.13,5232377,False
2026-06-29,10.69,10.69,10.15,10.4,1317527,False
2026-06-24,10.69,10.7,10.4,10.55,783650,False
2026-06-23,10.58,10.79,10.3,10.47,1586695,False
2026-06-22,10.79,10.79,10.2,10.3,1881733,False
2026-06-19,10.7,11.0,10.35,10.48,4164633,False
2026-06-18,10.84,10.85,10.63,10.69,1634449,False
2026-06-17,10.1,11.21,10.1,10.92,12448263,False
2026-06-16,10.19,10.39,9.86,10.19,1385567,False
2026-06-15,10.13,10.13,9.84,9.95,1062918,False
2026-06-12,10.15,10.15,9.76,9.82,505635,False
2026-06-11,10.08,10.08,9.85,9.89,616103,False
2026-06-10,10.01,10.4,9.85,9.93,604155,False
2026-06-09,10.2,10.48,9.83,10.01,1622342,False
2026-06-08,9.65,10.25,9.4,9.82,2869730,False
2026-06-05,9.56,9.59,9.2,9.56,675846,False
2026-06-04,9.35,9.6,9.26,9.43,851158,False
2026-06-03,9.21,9.47,9.12,9.34,112786,False
2026-06-02,9.5,9.5,9.01,9.21,320626,False
2026-06-01,9.25,9.25,9.0,9.07,253540,False
2026-05-29,9.25,9.3,9.01,9.17,492425,False
2026-05-25,9.01,9.34,9.01,9.25,528328,False
2026-05-22,9.29,9.45,9.05,9.27,920413,False
2026-05-21,9.1,9.35,8.94,9.15,1566476,False
2026-05-20,9.0,9.1,8.84,8.92,330331,False
2026-05-19,9.21,9.21,8.9,8.93,304299,False
2026-05-18,9.1,9.19,8.82,8.89,494322,False
2026-05-15,9.0,9.19,9.0,9.06,749364,False
2026-05-14,9.41,9.57,9.05,9.1,1460396,False
2026-05-13,9.14,9.7,8.93,9.31,2555848,False
2026-05-12,9.09,9.14,8.93,9.0,310842,False
2026-05-11,8.7,9.2,8.7,9.06,618013,False
2026-05-08,9.0,9.09,8.8,8.94,315165,False
2026-05-07,9.36,9.36,9.01,9.07,577356,False
2026-05-06,9.0,9.4,8.95,9.19,1726770,False
2026-05-05,8.75,8.95,8.7,8.81,222982,False
2026-05-04,8.75,9.2,8.7,8.96,1208641,False
2026-04-30,8.7,8.78,8.31,8.65,902533,False
2026-04-29,9.18,9.33,8.7,8.8,1472692,False
2026-04-28,9.08,9.95,9.08,9.13,6020631,False
2026-04-27,8.92,9.45,8.62,9.01,3552792,False
2026-04-24,8.75,9.1,8.61,8.92,1744725,False
2026-04-23,8.39,9.0,8.39,8.86,1981974,False
2026-04-22,8.25,8.48,8.25,8.37,623072,False
2026-04-21,8.5,8.65,8.35,8.39,951830,False
2026-04-20,9.13,9.13,8.25,8.39,3874753,False
2026-04-17,9.3,9.45,8.8,8.94,3614322,False
2026-04-16,8.56,9.45,8.25,9.12,8969630,False
2026-04-15,8.5,9.0,8.44,8.54,2260848,False
2026-04-14,8.38,8.38,8.01,8.31,968545,False
2026-04-13,7.71,8.0,7.7,7.9,474309,False
2026-04-10,7.83,8.08,7.83,8.0,519927,False
2026-04-09,8.44,8.45,7.74,7.82,1667986,False
2026-04-08,8.2,8.49,8.0,8.35,2073518,False
2026-04-07,7.61,7.9,7.61,7.79,930443,False
2026-04-06,7.74,7.85,7.6,7.69,901627,False
2026-04-03,7.49,7.87,7.48,7.53,943049,False
2026-04-02,7.48,7.7,7.4,7.48,740802,False
2026-04-01,7.56,7.9,7.56,7.67,1223670,False
2026-03-31,7.8,7.8,7.45,7.5,1106123,False
2026-03-30,7.22,7.9,7.22,7.51,2171895,False
