date,open,high,low,close,volume,is_anomaly
2026-09-18,162.98,162.98,161.97,162.98,1552,False
2026-09-17,161.47,161.5,160.0,161.48,1453,False
2026-09-16,160.0,162.39,160.0,160.0,793,False
2026-09-15,159.0,164.0,155.0,160.92,909,False
2026-09-14,158.1,162.0,155.4,155.54,10584,False
2026-09-11,165.0,165.0,164.89,161.7,51,True
2026-09-10,166.95,166.95,161.7,161.7,10646,False
2026-09-09,168.0,168.0,165.0,166.96,4039,False
2026-09-08,167.99,170.0,165.0,167.64,3745,False
2026-09-07,164.5,167.0,164.49,166.47,12181,False
2026-09-04,163.99,166.99,158.02,164.49,2805,False
2026-09-03,163.49,165.8,163.49,165.19,10923,False
2026-09-02,163.0,164.0,160.31,162.98,7550,False
2026-09-01,163.0,165.0,161.0,164.86,3427,False
2026-08-31,163.97,164.0,160.11,164.0,2624,False
2026-08-28,160.01,164.0,160.01,163.98,10844,False
2026-08-27,162.98,162.99,161.0,161.0,8338,False
2026-08-25,161.9,164.0,160.1,162.99,17525,False
2026-08-24,168.0,168.0,160.01,161.32,5376,False
2026-08-21,157.0,161.0,156.02,157.24,720,False
2026-08-20,160.0,160.0,159.8,160.0,1363,False
2026-08-19,159.51,161.5,159.5,160.0,5105,False
2026-08-18,161.48,162.0,158.5,159.5,16126,False
2026-08-17,161.0,162.0,160.0,161.99,13239,False
2026-08-13,163.0,163.0,159.0,160.0,4555,False
2026-08-12,159.5,165.0,159.0,159.72,17265,False
2026-08-11,161.0,165.0,156.01,160.0,8056,False
2026-08-10,158.5,160.8,158.3,160.02,5394,False
2026-08-07,160.85,160.85,156.5,156.8,7958,False
2026-08-06,161.6,162.0,159.99,160.0,2597,False
2026-08-05,162.99,166.0,159.0,161.6,14358,False
2026-08-04,156.0,160.0,154.9,158.51,6496,False
2026-08-03,155.99,155.99,153.0,153.01,3206,False
2026-07-31,150.55,159.0,150.16,152.79,6424,False
2026-07-30,156.0,156.0,152.0,152.95,230,False
2026-07-29,157.24,157.24,149.0,152.3,1325,False
2026-07-28,158.48,158.48,151.0,152.4,955,False
2026-07-27,154.0,168.0,151.0,155.6,2499,False
