date,open,high,low,close,volume,is_anomaly
2026-09-18,21.1,21.38,21.1,21.23,465206,False
2026-09-17,20.9,21.34,20.9,21.03,1165784,False
2026-09-16,21.16,21.25,20.72,20.84,1049784,False
2026-09-15,21.3,21.49,21.1,21.34,625030,False
2026-09-14,21.69,21.69,21.0,21.19,1057011,False
2026-09-11,21.64,21.95,20.7,21.7,4560839,False
2026-09-10,24.11,24.11,22.01,22.17,4304117,False
2026-09-09,24.35,24.4,24.01,24.11,1240911,False
2026-09-08,25.5,25.5,24.06,24.29,2765251,False
2026-09-07,25.08,26.3,24.69,25.43,8617486,False
2026-09-04,24.59,25.23,24.1,24.79,5735795,False
2026-09-03,24.85,25.0,24.51,24.59,959324,False
2026-09-02,25.19,25.19,24.7,24.84,989529,False
2026-09-01,25.62,25.62,25.06,25.27,1339524,False
2026-08-31,25.6,25.62,24.75,25.36,2476494,False
2026-08-28,26.83,26.83,25.5,25.62,5993830,False
2026-08-27,26.99,27.32,26.75,26.83,1245349,False
2026-08-25,27.08,27.15,26.7,26.99,1322565,False
2026-08-24,26.85,28.1,26.5,26.83,5126909,False
2026-08-21,27.1,27.13,26.61,26.69,1017928,False
2026-08-20,27.01,27.39,26.9,26.93,839917,False
2026-08-19,26.85,27.5,26.73,27.21,1818560,False
2026-08-18,27.1,27.45,26.7,26.88,2065335,False
2026-08-17,27.7,27.89,27.25,27.42,1686739,False
2026-08-13,27.6,27.82,27.4,27.51,1137635,False
2026-08-12,27.89,27.94,27.4,27.54,2093598,False
2026-08-11,27.99,28.4,27.55,27.67,2732802,False
2026-08-10,28.1,28.26,28.01,28.09,1360200,False
2026-08-07,28.25,28.4,27.91,28.02,3989368,False
2026-08-06,27.7,28.48,27.31,28.23,6124452,False
2026-08-05,27.88,28.0,27.53,27.61,1301034,False
2026-08-04,27.55,27.79,27.3,27.39,587564,False
2026-08-03,27.98,27.99,27.5,27.53,1692561,False
2026-07-31,27.55,27.93,27.22,27.29,2750007,False
2026-07-30,27.51,28.01,27.3,27.59,2859775,False
2026-07-29,28.01,28.01,27.45,27.58,1614297,False
2026-07-28,28.5,28.65,28.01,28.11,2810446,False
2026-07-27,28.02,28.49,27.85,28.34,4071897,False
2026-07-24,27.6,27.79,26.9,27.29,3104266,False
2026-07-23,28.05,28.36,27.63,27.72,1755885,False
2026-07-22,28.77,28.96,28.05,28.13,2318117,False
2026-07-21,28.8,29.5,28.65,28.74,6998434,False
2026-07-20,28.25,29.0,28.21,28.68,4403726,False
2026-07-17,28.88,29.65,28.57,28.72,10427355,False
2026-07-16,27.95,29.15,27.92,28.21,3322968,False
2026-07-15,27.85,28.42,27.5,27.92,4059535,False
2026-07-14,28.55,29.44,27.21,27.64,8800021,False
2026-07-13,29.11,30.85,29.05,29.69,11986700,False
2026-07-10,29.45,29.99,29.4,29.52,3454408,False
2026-07-09,29.1,29.97,28.5,29.52,4949010,False
2026-07-08,30.44,30.44,28.11,29.16,9383764,False
2026-07-07,31.05,31.5,30.6,30.66,11535686,False
2026-07-06,30.33,30.8,29.71,30.6,13287840,False
2026-07-03,30.88,30.98,30.25,30.31,3253303,False
2026-07-02,31.95,31.95,30.55,30.77,12397449,False
2026-07-01,32.51,33.39,31.3,31.76,27698338,False
2026-06-30,29.0,31.43,29.0,31.43,22770300,False
2026-06-29,29.21,29.79,28.37,28.57,8325055,False
2026-06-24,27.75,29.74,27.75,29.41,21872379,False
2026-06-23,27.34,27.68,26.75,27.49,7069081,False
2026-06-22,26.5,27.72,26.42,27.0,5417929,False
2026-06-19,27.07,27.17,26.0,26.31,2751996,False
2026-06-18,27.02,27.82,26.9,27.07,3230049,False
2026-06-17,28.01,28.3,27.19,27.34,3605714,False
2026-06-16,27.65,28.3,27.52,27.95,12285189,False
2026-06-15,26.5,27.52,26.06,27.35,9891785,False
2026-06-12,26.0,26.27,25.72,25.84,3831642,False
2026-06-11,25.8,25.98,25.5,25.67,967245,False
2026-06-10,25.7,26.3,25.5,25.8,3022930,False
2026-06-09,25.9,26.03,25.67,25.73,2030079,False
2026-06-08,25.99,26.0,25.53,25.63,1897268,False
2026-06-05,26.44,26.75,26.05,26.12,2435158,False
2026-06-04,26.31,26.5,26.01,26.17,1691080,False
2026-06-03,26.5,26.5,26.0,26.22,2297991,False
2026-06-02,26.75,27.45,26.41,26.49,4341260,False
2026-06-01,25.91,27.75,25.66,26.72,15813896,False
2026-05-29,26.25,26.33,25.5,25.93,2744717,False
2026-05-25,26.9,26.9,26.0,26.16,2386038,False
2026-05-22,26.49,26.74,26.03,26.1,4116983,False
2026-05-21,26.15,26.81,25.8,26.52,8927973,False
2026-05-20,25.7,26.05,25.41,25.75,2521735,False
2026-05-19,26.2,26.51,25.75,25.89,3725510,False
2026-05-18,25.6,26.81,25.3,25.7,10444759,False
2026-05-15,25.9,25.99,24.95,25.26,3273678,False
2026-05-14,26.89,27.0,25.55,25.79,6733954,False
2026-05-13,24.6,27.39,24.6,26.62,27034877,False
2026-05-12,25.05,25.7,24.48,24.9,9327864,False
2026-05-11,27.0,28.73,25.6,25.86,28723104,False
2026-05-08,25.39,26.17,24.56,26.17,6509893,False
2026-05-07,21.42,23.79,21.42,23.79,13917357,False
