date,open,high,low,close,volume,is_anomaly
2026-09-18,2.42,2.48,2.36,2.39,9465613,False
2026-09-17,2.4,2.46,2.32,2.41,5205765,False
2026-09-16,2.38,2.48,2.35,2.37,2334209,False
2026-09-15,2.5,2.55,2.41,2.43,4358265,False
2026-09-14,2.48,2.54,2.38,2.46,8123054,False
2026-09-11,2.42,2.5,2.25,2.45,26433822,False
2026-09-10,2.56,2.56,2.4,2.42,7116968,False
2026-09-09,2.57,2.63,2.5,2.51,9595324,False
2026-09-08,2.62,2.67,2.5,2.58,16540172,False
2026-09-07,2.4,2.6,2.39,2.57,35534280,False
2026-09-04,2.36,2.5,2.36,2.46,10094961,False
2026-09-03,2.48,2.5,2.35,2.41,12824075,False
2026-09-02,2.4,2.48,2.32,2.45,16256618,False
2026-09-01,2.33,2.5,2.31,2.41,22078693,False
2026-08-31,2.3,2.36,2.28,2.3,2734717,False
2026-08-28,2.4,2.4,2.33,2.35,4670639,False
2026-08-27,2.34,2.42,2.34,2.35,9988491,False
2026-08-25,2.3,2.41,2.28,2.34,11707300,False
2026-08-24,2.3,2.3,2.25,2.25,4133312,False
2026-08-21,2.29,2.34,2.25,2.26,7098083,False
2026-08-20,2.28,2.35,2.26,2.3,6959675,False
2026-08-19,2.28,2.36,2.26,2.3,16391331,False
2026-08-18,2.26,2.33,2.25,2.27,9494557,False
2026-08-17,2.32,2.41,2.26,2.29,13824830,False
2026-08-13,2.47,2.48,2.34,2.36,12172358,False
2026-08-12,2.33,2.5,2.28,2.46,27947995,False
2026-08-11,2.27,2.4,2.27,2.33,7604590,False
2026-08-10,2.34,2.41,2.28,2.3,26693065,False
2026-08-07,2.41,2.44,2.34,2.37,9973915,False
2026-08-06,2.46,2.53,2.37,2.39,32748672,False
2026-08-05,2.64,2.72,2.44,2.46,52879995,False
2026-08-04,2.47,2.62,2.43,2.59,86054121,False
2026-08-03,2.61,2.7,2.46,2.51,113317951,False
2026-07-31,2.6,2.83,2.48,2.57,178796682,False
2026-07-30,2.32,2.65,2.17,2.53,176883906,False
2026-07-29,2.21,2.4,2.2,2.27,40353000,False
2026-07-28,2.65,2.65,2.27,2.3,63665301,False
2026-07-27,2.32,2.7,2.26,2.6,92629988,False
2026-07-24,2.24,2.4,2.16,2.24,36977902,False
2026-07-23,2.41,2.42,2.21,2.24,19436336,False
2026-07-22,2.55,2.58,2.23,2.41,134167491,False
2026-07-21,2.16,2.57,2.16,2.39,111319585,False
2026-07-20,2.05,2.18,2.01,2.15,36283729,False
2026-07-17,2.03,2.06,1.97,2.0,5098609,False
2026-07-16,1.99,2.04,1.96,2.03,2450056,False
2026-07-15,1.94,2.04,1.94,1.98,7819188,False
2026-07-14,1.95,2.02,1.88,1.94,11674936,False
2026-07-13,2.02,2.06,1.97,2.0,11030360,False
2026-07-10,1.81,2.06,1.81,2.02,38321177,False
