date,open,high,low,close,volume,is_anomaly
2026-08-19,7.26,7.39,7.11,7.18,26200478,False
2026-08-18,7.5,7.51,7.24,7.26,24063582,False
2026-08-17,7.35,7.58,7.29,7.46,30716893,False
2026-08-13,7.43,7.49,7.3,7.36,10204051,False
2026-08-12,7.4,7.5,7.38,7.43,11311010,False
2026-08-11,7.49,7.84,7.4,7.48,61848727,False
2026-08-10,7.35,7.51,7.35,7.48,19498071,False
2026-08-07,7.36,7.4,7.28,7.32,10787735,False
2026-08-06,7.32,7.45,7.26,7.42,12685679,False
2026-08-05,7.36,7.39,7.21,7.32,18525074,False
2026-08-04,7.3,7.32,7.2,7.26,6213015,False
2026-08-03,7.31,7.38,7.27,7.3,7427472,False
2026-07-31,7.25,7.29,7.12,7.18,14460521,False
2026-07-30,7.27,7.33,7.12,7.19,19095390,False
2026-07-29,7.32,7.35,7.22,7.29,7554849,False
2026-07-28,7.58,7.58,7.35,7.39,15390222,False
2026-07-27,7.26,7.58,7.26,7.47,59231062,False
2026-07-24,7.0,7.24,7.0,7.14,18140027,False
2026-07-23,7.25,7.25,7.03,7.06,17443855,False
2026-07-22,7.4,7.44,7.18,7.22,18735568,False
2026-07-21,7.35,7.49,7.33,7.4,16342373,False
2026-07-20,7.29,7.31,7.1,7.28,27615297,False
2026-07-17,7.51,7.59,7.32,7.35,18396866,False
2026-07-16,7.5,7.64,7.43,7.59,13502300,False
2026-07-15,7.52,7.73,7.28,7.43,52694743,False
2026-07-14,7.8,7.85,7.45,7.52,43532090,False
2026-07-13,7.99,8.0,7.89,7.93,29610051,False
2026-07-10,8.02,8.23,7.97,8.1,67529983,False
2026-07-09,7.86,8.0,7.75,7.94,37386049,False
2026-07-08,8.11,8.25,7.72,7.86,90576284,False
2026-07-07,8.24,8.24,8.1,8.11,12401809,False
2026-07-06,8.27,8.3,8.15,8.17,17746595,False
2026-07-03,8.35,8.4,8.21,8.24,9567971,False
2026-07-02,8.33,8.46,8.22,8.29,21978001,False
2026-07-01,8.52,8.63,8.2,8.33,82666150,False
2026-06-30,8.58,8.7,8.5,8.54,15921015,False
2026-06-29,8.81,8.87,8.53,8.57,51574602,False
2026-06-24,8.5,8.84,8.5,8.75,112892122,False
2026-06-23,8.2,8.6,8.2,8.42,83430084,False
2026-06-22,8.25,8.36,8.12,8.2,15781351,False
2026-06-19,7.7,8.45,7.7,8.15,31689766,False
