date,open,high,low,close,volume,is_anomaly
2026-08-13,447.88,450.0,445.0,446.61,696125,False
2026-08-12,445.7,450.12,443.0,446.47,1099611,False
2026-08-11,454.3,454.3,443.99,445.11,1441981,False
2026-08-10,462.8,462.8,452.99,454.36,2057991,False
2026-08-07,457.5,462.0,453.0,458.75,1949072,False
2026-08-06,453.91,460.5,453.91,458.63,1931851,False
2026-08-05,454.39,456.78,450.12,451.97,2675868,False
2026-08-04,450.0,451.99,442.5,443.4,1031670,False
2026-08-03,450.0,454.99,446.01,449.08,1884947,False
2026-07-31,441.11,445.25,440.0,440.91,769454,False
2026-07-30,445.7,445.7,435.4,437.91,1458139,False
2026-07-29,450.16,453.0,443.0,445.76,1291410,False
2026-07-28,461.0,462.0,452.01,455.04,4407482,False
2026-07-27,450.0,460.0,445.25,456.6,4395892,False
2026-07-24,431.0,443.0,427.96,433.01,2056126,False
2026-07-23,444.7,447.4,432.0,434.29,1046583,False
2026-07-22,449.0,455.0,439.5,445.15,955502,False
2026-07-21,449.0,462.39,449.0,450.0,1550022,False
2026-07-20,441.0,448.4,436.72,446.42,1685018,False
2026-07-17,453.0,456.49,444.14,445.63,1489663,False
2026-07-16,444.5,453.48,444.5,451.2,1390663,False
2026-07-15,439.5,448.75,439.0,442.45,1226889,False
2026-07-14,455.0,456.9,437.0,438.68,2616052,False
2026-07-13,463.0,465.0,457.0,459.46,1271920,False
2026-07-10,470.0,474.9,466.99,468.58,1064007,False
2026-07-09,462.0,470.0,461.01,466.59,2018665,False
2026-07-08,477.0,479.94,456.0,464.99,5648437,False
2026-07-07,489.0,490.5,480.01,481.39,1452331,False
2026-07-06,482.89,490.8,482.0,488.66,2184221,False
2026-07-03,481.05,484.9,476.0,480.12,1155247,False
2026-07-02,474.9,484.9,474.9,480.03,3253073,False
2026-07-01,470.0,474.92,469.29,472.38,2038908,False
2026-06-30,462.1,471.5,462.1,469.52,1320094,False
2026-06-29,467.75,467.75,460.5,461.84,902422,False
2026-06-24,458.02,469.0,458.02,467.75,1991650,False
2026-06-23,460.01,462.9,455.0,457.47,1694484,False
2026-06-22,465.11,467.9,457.5,459.06,1538353,False
2026-06-19,471.0,472.99,459.0,462.98,2737636,False
2026-06-18,472.0,477.0,469.99,471.57,2098556,False
2026-06-17,470.0,475.0,464.16,470.61,3055536,False
2026-06-16,472.5,475.9,463.63,469.82,4277608,False
2026-06-15,470.0,472.4,460.9,469.36,6516394,False
2026-06-12,438.88,454.01,436.52,449.11,5436081,False
2026-06-11,427.0,434.9,422.0,433.09,3275763,False
2026-06-10,431.0,435.0,427.0,429.35,1587252,False
2026-06-09,432.99,438.0,431.0,432.15,3790348,False
2026-06-08,426.0,429.9,423.5,426.49,1162090,False
2026-06-05,435.6,437.67,430.2,431.5,850824,False
2026-06-04,434.95,436.36,430.0,434.4,937132,False
2026-06-03,435.0,435.0,427.0,429.83,1560670,False
2026-06-02,437.14,441.5,432.0,435.67,1596078,False
2026-06-01,451.9,452.15,434.0,437.14,2214263,False
2026-05-29,440.0,454.5,437.8,453.43,4073832,False
2026-05-25,435.0,438.5,430.0,436.77,1913466,False
2026-05-22,430.48,431.5,420.16,422.13,1107759,False
2026-05-21,418.0,434.0,418.0,426.82,4012991,False
2026-05-20,410.01,412.25,405.01,410.88,3983677,False
2026-05-19,408.11,415.49,406.11,407.89,628912,False
2026-05-18,413.15,414.99,405.0,406.51,949984,False
2026-05-15,429.0,429.0,416.0,417.75,1174717,False
2026-05-14,422.36,429.9,421.0,422.8,531442,False
